x,y,score
0.46,0.76,1.5728
0.54,0.86,1.4654
0.16,0.19,2.16195
0.61,0.18,2.8256
0.82,0.41,2.71435
0.72,0.66,2.10665
0.63,0.37,2.6491
0.41,0.28,2.3677
0.16,0.44,1.6736
0.8,0.33,2.7689
0.84,0.23,3.0729
0.25,0.48,1.7243
0.62,0.7,1.8489
0.78,0.28,2.85445
0.03,0.68,1.01915
0.57,0.0,3.1242
0.69,0.37,2.58255
0.46,0.05,2.84545
0.65,0.03,3.12395
0.56,0.8,1.5779
0.28,0.44,1.86335
0.65,0.0,3.2284
0.57,0.1,2.9248
0.44,0.29,2.3922
0.63,0.49,2.47665
0.26,0.03,2.52595
0.92,0.27,3.3137
0.69,0.35,2.6417
0.79,0.78,2.0352
0.3,0.26,2.228
0.98,0.54,2.74945
0.25,0.62,1.48545
0.55,0.43,2.33035
0.19,0.06,2.416
0.14,0.65,1.2439
0.09,0.65,1.17835
0.92,1.0,1.4462
0.51,0.43,2.2709
0.36,0.66,1.37865
0.33,0.92,1.11715
0.01,0.93,0.64155
0.25,0.81,1.12465
0.9,0.46,2.7545
0.3,0.12,2.456
0.87,0.59,2.32065
0.8,0.75,2.50685
0.93,0.2,3.28135
0.34,0.41,2.00695
0.05,0.48,1.38055
0.9,0.12,3.4177
0.59,0.65,2.04535
0.72,0.62,2.1162
0.29,0.87,1.2505
0.02,0.72,0.9546
0.8,0.35,2.9859
0.09,0.22,1.96415
0.05,0.61,1.2028
0.49,0.38,2.2256
0.62,0.21,2.8949
0.79,0.55,2.3551
0.64,0.52,2.1034
0.17,0.15,2.0879
0.45,0.81,1.33805
0.48,0.8,1.54485
0.51,0.39,2.298
0.62,0.39,2.45285
0.58,0.64,1.83945
0.8,0.62,2.4703
0.6,0.07,3.06675
0.35,0.87,1.2799
0.85,0.83,2.09875
0.96,0.89,2.4999
0.68,0.4,2.57535
0.13,0.15,2.07685
0.14,0.31,1.88475
0.15,0.88,0.73165
0.72,0.97,1.5317
0.56,0.33,2.44055
0.52,0.26,2.5575
0.99,0.97,2.0332
0.9,0.63,2.89335
0.31,0.47,1.8716
0.98,0.8,2.4982
0.31,0.34,2.10305
0.22,0.4,1.83755
0.87,0.37,2.98285
0.76,0.43,2.86695
0.79,0.76,2.12955
0.83,0.38,2.775
0.74,0.12,3.1381
0.68,0.51,2.50675
0.56,0.43,2.34495
0.63,0.01,3.20455
0.45,0.24,2.48465
0.52,0.13,2.78665
0.64,0.47,2.39115
0.51,0.91,1.25145
0.78,0.92,1.96895
0.92,0.54,2.49055
0.75,0.83,1.8296
0.72,0.5,2.40055
0.53,0.74,1.6375
0.82,0.88,1.8449
0.63,0.35,2.6874
0.8,0.56,2.36155
0.99,0.8,2.34095
0.69,0.67,2.178
0.44,0.43,2.154
0.71,0.62,2.2629
0.63,0.08,3.1384
0.48,0.4,2.35285
0.93,0.51,2.40165
0.65,0.12,3.0582
0.78,0.34,2.80325
0.17,0.41,1.7401
0.59,0.93,1.5656
0.98,0.65,2.5431
0.89,0.49,2.7309
0.09,0.48,1.48555
0.98,0.94,1.9805
0.6,0.72,1.9858
0.74,0.48,2.5488
0.48,0.19,2.63135
0.15,0.11,2.3015
0.86,0.55,2.4414
0.97,0.56,2.9268
1.0,0.64,2.59735
0.43,0.66,1.6882
0.85,0.2,3.18415
0.02,0.64,1.0767
0.26,0.02,2.5902
0.12,0.68,1.1543
0.66,0.15,3.06525
0.75,0.58,2.42235
0.04,0.92,0.5655
0.15,0.58,1.3906
0.4,0.84,1.38295
0.94,0.97,1.61995
0.64,0.08,3.0224
0.08,0.63,1.23025
0.81,0.9,1.7505
0.21,0.79,1.11725
0.21,0.13,2.34175
0.82,0.12,3.1954
0.77,0.84,1.67495
0.76,0.89,1.91605
0.06,0.34,1.70015
0.92,0.45,2.8867
0.41,0.87,1.4386
0.11,0.48,1.5039
0.67,0.53,2.33745
0.36,0.88,1.1087
0.47,0.6,1.99765
0.34,0.03,2.6518
0.79,0.95,1.26215
0.24,0.56,1.51585
0.17,0.32,1.87775
0.59,0.26,2.7125
0.59,0.68,1.75965
1.0,0.57,2.51125
0.63,0.84,1.7818
0.72,0.58,2.35645
0.84,0.68,2.08535
0.07,0.87,0.7793
0.71,0.48,2.4941
0.27,0.76,1.2606
0.2,0.43,1.75225
0.25,0.83,1.18185
0.74,0.97,1.52875
0.56,0.06,2.96325
0.77,0.18,3.0088
0.61,0.23,2.7525
0.73,0.56,2.23055
0.4,0.67,1.6081
0.93,0.15,3.4091
0.37,0.3,2.2719
0.89,0.6,2.4382
0.32,0.92,0.95435
0.97,0.95,1.97705
0.96,0.12,3.44425
0.74,0.25,2.86285
0.47,0.92,1.24385
0.13,0.43,1.6161
0.8,0.68,2.30255
0.01,0.53,1.2279
0.69,0.03,3.2729
0.73,0.82,2.1519
0.97,0.94,1.86105
0.9,1.0,1.8766
0.08,0.23,1.93255
0.82,0.79,2.23905
0.42,0.46,2.1316
0.62,0.93,1.3181
0.71,0.43,2.65855
0.77,0.04,3.2685
0.97,0.53,2.68905
0.73,0.22,3.06745
0.59,0.14,2.85915
0.5,0.81,1.5382
0.4,1.0,1.1628
0.89,0.12,3.37485
0.05,0.83,0.81185
0.19,0.67,1.2945
0.97,0.93,1.93085
0.69,0.2,2.9646
0.72,0.64,2.2774
0.94,0.47,2.89595
