x,y,score
0.46,0.76,3.005
0.54,0.86,3.225
0.16,0.19,2.34
0.61,0.18,3.555
0.82,0.41,4.15
0.72,0.66,3.855
0.63,0.37,3.345
0.41,0.28,2.12
0.16,0.44,1.655
0.8,0.33,4.005
0.84,0.23,4.33
0.25,0.48,1.955
0.62,0.7,3.635
0.78,0.28,3.925
0.03,0.68,1.265
0.57,0.0,2.995
0.69,0.37,3.97
0.46,0.05,3.1
0.65,0.03,3.56
0.56,0.8,3.14
0.28,0.44,2.195
0.65,0.0,3.66
0.57,0.1,3.405
0.44,0.29,3.085
0.63,0.49,3.6
0.26,0.03,2.84
0.92,0.27,4.615
0.69,0.35,3.745
0.79,0.78,4.185
0.3,0.26,2.135
0.98,0.54,4.81
0.25,0.62,1.08
0.55,0.43,3.125
0.19,0.06,2.775
0.14,0.65,1.545
0.09,0.65,0.91
0.92,1.0,4.59
0.51,0.43,3.005
0.36,0.66,2.135
0.33,0.92,2.31
0.01,0.93,0.985
0.25,0.81,1.89
0.9,0.46,4.475
0.3,0.12,2.625
0.87,0.59,4.64
0.8,0.75,4.26
0.93,0.2,4.59
0.34,0.41,1.81
0.05,0.48,1.16
0.9,0.12,4.525
0.59,0.65,3.06
0.72,0.62,3.78
0.29,0.87,2.26
0.02,0.72,1.135
0.8,0.35,3.995
0.09,0.22,2.17
0.05,0.61,1.145
0.49,0.38,3.07
0.62,0.21,3.49
0.79,0.55,4.0
0.64,0.52,3.55
0.17,0.15,2.64
0.45,0.81,2.63
0.48,0.8,2.765
0.51,0.39,1.91
0.62,0.39,1.905
0.58,0.64,3.16
0.8,0.62,4.18
0.6,0.07,3.425
0.35,0.87,2.27
0.85,0.83,4.215
0.96,0.89,4.71
0.68,0.4,3.645
0.13,0.15,2.58
0.14,0.31,2.035
0.15,0.88,1.645
0.72,0.97,3.59
0.56,0.33,3.14
0.52,0.26,3.07
0.99,0.97,4.83
0.9,0.63,4.56
0.31,0.47,2.38
0.98,0.8,4.795
0.31,0.34,1.875
0.22,0.4,1.82
0.87,0.37,4.465
0.76,0.43,4.03
0.79,0.76,3.95
0.83,0.38,4.18
0.74,0.12,3.945
0.68,0.51,3.375
0.56,0.43,3.35
0.63,0.01,2.965
0.45,0.24,3.06
0.52,0.13,2.535
0.64,0.47,3.685
0.51,0.91,2.79
0.78,0.92,4.11
0.92,0.54,4.51
0.75,0.83,3.885
0.72,0.5,3.78
0.53,0.74,3.1
0.82,0.88,4.28
0.63,0.35,3.27
0.8,0.56,4.105
0.99,0.8,4.79
0.69,0.67,3.565
0.44,0.43,2.595
0.71,0.62,3.725
0.63,0.08,3.385
0.48,0.4,3.03
0.93,0.51,4.515
0.65,0.12,3.565
0.78,0.34,4.055
0.17,0.41,1.66
0.59,0.93,3.05
0.98,0.65,4.815
0.89,0.49,4.455
0.09,0.48,1.345
0.98,0.94,4.825
0.6,0.72,3.335
0.74,0.48,3.985
0.48,0.19,2.89
0.15,0.11,1.63
0.86,0.55,4.32
0.97,0.56,4.83
1.0,0.64,4.895
0.43,0.66,2.7
0.85,0.2,4.13
0.02,0.64,1.115
0.26,0.02,2.94
0.12,0.68,0.895
0.66,0.15,3.66
0.75,0.58,3.92
0.04,0.92,1.15
0.15,0.58,1.64
0.4,0.84,2.365
0.94,0.97,4.585
0.64,0.08,3.625
0.08,0.63,1.325
0.81,0.9,4.105
0.21,0.79,1.91
0.21,0.13,2.48
0.82,0.12,2.695
0.77,0.84,3.985
0.76,0.89,3.985
0.06,0.34,1.95
0.92,0.45,4.63
0.41,0.87,2.685
0.11,0.48,1.53
0.67,0.53,3.79
0.36,0.88,2.465
0.47,0.6,2.68
0.34,0.03,2.94
0.79,0.95,4.05
0.24,0.56,1.93
0.17,0.32,1.65
0.59,0.26,3.495
0.59,0.68,3.38
1.0,0.57,4.875
0.63,0.84,3.525
0.72,0.58,3.7
0.84,0.68,4.155
0.07,0.87,1.305
0.71,0.48,3.505
0.27,0.76,1.945
