x,y,score
0.0,0.0,3.0
0.0,0.01,2.4574999999999996
0.0,0.02,2.04875
0.0,0.03,2.005
0.0,0.04,1.8117500000000004
0.0,0.05,1.537
0.0,0.06,1.4077499999999998
0.0,0.07,1.34275
0.0,0.08,1.29125
0.0,0.09,1.2255000000000003
0.0,0.1,1.335
0.0,0.11,1.2085000000000001
0.0,0.12,1.23225
0.0,0.13,1.1947499999999998
0.0,0.14,1.19375
0.0,0.15,1.0955
0.0,0.16,1.2142499999999998
0.0,0.17,1.128
0.0,0.18,1.0950000000000002
0.0,0.19,1.1212499999999999
0.0,0.2,1.0692499999999998
0.0,0.21,1.09425
0.0,0.22,1.1062499999999997
0.0,0.23,1.122
0.0,0.24,1.1170000000000002
0.0,0.25,1.0650000000000002
0.0,0.26,1.06575
0.0,0.27,1.0884999999999998
0.0,0.28,1.07475
0.0,0.29,1.058
0.0,0.3,1.069
0.0,0.31,1.049
0.0,0.32,1.06575
0.0,0.33,1.047
0.0,0.34,1.0312500000000002
0.0,0.35000000000000003,1.0415
0.0,0.36,1.0599999999999998
0.0,0.37,1.041
0.0,0.38,1.0294999999999999
0.0,0.39,1.0362499999999997
0.0,0.4,1.0295
0.0,0.41000000000000003,1.04
0.0,0.42,1.01925
0.0,0.43,1.0384999999999998
0.0,0.44,1.0195
0.0,0.45,1.0219999999999998
0.0,0.46,1.0227499999999998
0.0,0.47000000000000003,1.02125
0.0,0.48,1.017
0.0,0.49,1.0240000000000002
0.0,0.5,1.011
0.0,0.51,1.03125
0.0,0.52,1.0135
0.0,0.53,1.0165000000000002
0.0,0.54,1.01025
0.0,0.55,1.021
0.0,0.56,1.012
0.0,0.5700000000000001,1.0112500000000002
0.0,0.58,1.0135
0.0,0.59,1.0165
0.0,0.6,1.0082500000000003
0.0,0.61,1.0055
0.0,0.62,1.01775
0.0,0.63,1.0050000000000001
0.0,0.64,1.0045
0.0,0.65,1.0070000000000001
0.0,0.66,1.0042500000000003
0.0,0.67,1.0085000000000002
0.0,0.68,1.00325
0.0,0.6900000000000001,1.0085
0.0,0.7000000000000001,1.0075
0.0,0.71,1.0025
0.0,0.72,1.0120000000000002
0.0,0.73,1.00425
0.0,0.74,1.00325
0.0,0.75,1.00325
0.0,0.76,1.0045000000000002
0.0,0.77,1.00025
0.0,0.78,1.0047499999999998
0.0,0.79,1.00075
0.0,0.8,1.0045000000000002
0.0,0.81,1.0037500000000001
0.0,0.8200000000000001,0.9962500000000002
0.0,0.8300000000000001,1.0000000000000002
0.0,0.84,0.9982500000000002
0.0,0.85,1.00025
0.0,0.86,1.0025
0.0,0.87,1.0012500000000002
0.0,0.88,0.9982500000000002
0.0,0.89,0.9972500000000002
0.0,0.9,0.9962500000000002
0.0,0.91,0.9985000000000002
0.0,0.92,0.9975000000000003
0.0,0.93,0.9977500000000002
0.0,0.9400000000000001,0.9962500000000002
0.0,0.9500000000000001,0.9962500000000002
0.0,0.96,0.9957500000000001
0.0,0.97,0.9960000000000001
0.0,0.98,0.9975000000000002
0.0,0.99,0.9950000000000001
0.0,1.0,0.9950000000000001
0.01,0.0,3.0
0.01,0.01,2.5952499999999996
0.01,0.02,2.44525
0.01,0.03,1.9302499999999998
0.01,0.04,1.93775
0.01,0.05,1.5470000000000002
0.01,0.06,1.6415
0.01,0.07,1.7195
0.01,0.08,1.34375
0.01,0.09,1.48875
0.01,0.1,1.3325
0.01,0.11,1.302
0.01,0.12,1.2505000000000002
0.01,0.13,1.2672500000000002
0.01,0.14,1.22
0.01,0.15,1.14725
0.01,0.16,1.2155
0.01,0.17,1.22125
0.01,0.18,1.1457500000000003
0.01,0.19,1.1234999999999997
0.01,0.2,1.143
0.01,0.21,1.1225
0.01,0.22,1.178
0.01,0.23,1.1542499999999998
0.01,0.24,1.11275
0.01,0.25,1.2145
0.01,0.26,1.19
0.01,0.27,1.1380000000000001
0.01,0.28,1.1184999999999998
0.01,0.29,1.09825
0.01,0.3,1.101
0.01,0.31,1.1244999999999998
0.01,0.32,1.0935000000000001
0.01,0.33,1.1105
0.01,0.34,1.07575
0.01,0.35000000000000003,1.07625
0.01,0.36,1.0787499999999999
0.01,0.37,1.0707499999999999
0.01,0.38,1.0772499999999998
0.01,0.39,1.1199999999999999
0.01,0.4,1.0755
0.01,0.41000000000000003,1.0715
0.01,0.42,1.0827499999999999
0.01,0.43,1.0819999999999999
0.01,0.44,1.0554999999999999
0.01,0.45,1.0562499999999997
0.01,0.46,1.0725
0.01,0.47000000000000003,1.0617499999999997
0.01,0.48,1.0505
0.01,0.49,1.064
0.01,0.5,1.05725
0.01,0.51,1.0585
0.01,0.52,1.0622500000000001
0.01,0.53,1.057
0.01,0.54,1.0530000000000002
0.01,0.55,1.0759999999999998
0.01,0.56,1.0502500000000001
0.01,0.5700000000000001,1.04975
0.01,0.58,1.0552499999999998
0.01,0.59,1.05825
0.01,0.6,1.04825
0.01,0.61,1.04725
0.01,0.62,1.04475
0.01,0.63,1.0545
0.01,0.64,1.04525
0.01,0.65,1.0574999999999999
0.01,0.66,1.0535
0.01,0.67,1.057
0.01,0.68,1.0495
0.01,0.6900000000000001,1.04175
0.01,0.7000000000000001,1.03975
0.01,0.71,1.05275
0.01,0.72,1.0335
0.01,0.73,1.0485
0.01,0.74,1.0434999999999999
0.01,0.75,1.041
0.01,0.76,1.051
0.01,0.77,1.037
0.01,0.78,1.03
0.01,0.79,1.0372499999999998
0.01,0.8,1.03
0.01,0.81,1.0394999999999999
0.01,0.8200000000000001,1.03975
0.01,0.8300000000000001,1.0382500000000001
0.01,0.84,1.03675
0.01,0.85,1.03475
0.01,0.86,1.032
0.01,0.87,1.02875
0.01,0.88,1.0370000000000001
0.01,0.89,1.03375
0.01,0.9,1.03925
0.01,0.91,1.04075
0.01,0.92,1.0425
0.01,0.93,1.0514999999999999
0.01,0.9400000000000001,1.03675
0.01,0.9500000000000001,1.04325
0.01,0.96,1.0499999999999998
0.01,0.97,1.0304999999999997
0.01,0.98,1.0334999999999999
0.01,0.99,1.0390000000000001
0.01,1.0,1.03775
0.02,0.0,3.0
0.02,0.01,2.6540000000000004
0.02,0.02,2.07425
0.02,0.03,2.0279999999999996
0.02,0.04,1.8865000000000003
0.02,0.05,1.8715000000000004
0.02,0.06,1.674
0.02,0.07,1.3855
0.02,0.08,1.5732500000000003
0.02,0.09,1.5145
0.02,0.1,1.3782500000000002
0.02,0.11,1.2265000000000001
0.02,0.12,1.252
0.02,0.13,1.32825
0.02,0.14,1.3375
0.02,0.15,1.3547499999999997
0.02,0.16,1.2852500000000002
0.02,0.17,1.2285
0.02,0.18,1.1872499999999997
0.02,0.19,1.2115000000000002
0.02,0.2,1.1475000000000002
0.02,0.21,1.16225
0.02,0.22,1.2600000000000002
0.02,0.23,1.1564999999999999
0.02,0.24,1.17825
0.02,0.25,1.1717500000000003
0.02,0.26,1.16525
0.02,0.27,1.1785
0.02,0.28,1.13375
0.02,0.29,1.1787500000000002
0.02,0.3,1.13625
0.02,0.31,1.2012500000000002
0.02,0.32,1.1320000000000001
0.02,0.33,1.12125
0.02,0.34,1.1320000000000001
0.02,0.35000000000000003,1.1179999999999999
0.02,0.36,1.1179999999999999
0.02,0.37,1.115
0.02,0.38,1.1024999999999998
0.02,0.39,1.1247500000000001
0.02,0.4,1.126
0.02,0.41000000000000003,1.09575
0.02,0.42,1.1309999999999998
0.02,0.43,1.12225
0.02,0.44,1.09575
0.02,0.45,1.0975000000000001
0.02,0.46,1.0944999999999998
0.02,0.47000000000000003,1.1035
0.02,0.48,1.1149999999999998
0.02,0.49,1.10275
0.02,0.5,1.10375
0.02,0.51,1.088
0.02,0.52,1.10275
0.02,0.53,1.09875
0.02,0.54,1.1005
0.02,0.55,1.099
0.02,0.56,1.0855000000000001
0.02,0.5700000000000001,1.0894999999999997
0.02,0.58,1.09375
0.02,0.59,1.08775
0.02,0.6,1.09075
0.02,0.61,1.097
0.02,0.62,1.08175
0.02,0.63,1.0775000000000001
0.02,0.64,1.0827499999999999
0.02,0.65,1.0972499999999996
0.02,0.66,1.0947500000000001
0.02,0.67,1.07225
0.02,0.68,1.0845
0.02,0.6900000000000001,1.1052499999999996
0.02,0.7000000000000001,1.1044999999999996
0.02,0.71,1.0814999999999997
0.02,0.72,1.0775000000000001
0.02,0.73,1.0815
0.02,0.74,1.0725
0.02,0.75,1.078
0.02,0.76,1.0917499999999998
0.02,0.77,1.1002499999999997
0.02,0.78,1.07225
0.02,0.79,1.0795
0.02,0.8,1.0785
0.02,0.81,1.0877500000000002
0.02,0.8200000000000001,1.0755000000000001
0.02,0.8300000000000001,1.076
0.02,0.84,1.0745
0.02,0.85,1.0775000000000001
0.02,0.86,1.0675000000000001
0.02,0.87,1.0897500000000002
0.02,0.88,1.0725
0.02,0.89,1.089
0.02,0.9,1.0795
0.02,0.91,1.08175
0.02,0.92,1.0872499999999998
0.02,0.93,1.07425
0.02,0.9400000000000001,1.0872499999999998
0.02,0.9500000000000001,1.071
0.02,0.96,1.0835
0.02,0.97,1.061
0.02,0.98,1.06375
0.02,0.99,1.0799999999999996
0.02,1.0,1.0799999999999998
0.03,0.0,3.0
0.03,0.01,2.63375
0.03,0.02,2.30825
0.03,0.03,2.10825
0.03,0.04,1.9482499999999998
0.03,0.05,2.00575
0.03,0.06,1.7914999999999999
0.03,0.07,1.5615
0.03,0.08,1.49
0.03,0.09,1.44025
0.03,0.1,1.433
0.03,0.11,1.35375
0.03,0.12,1.4722500000000003
0.03,0.13,1.32775
0.03,0.14,1.37125
0.03,0.15,1.23475
0.03,0.16,1.23425
0.03,0.17,1.2814999999999999
0.03,0.18,1.261
0.03,0.19,1.29925
0.03,0.2,1.2055
0.03,0.21,1.2435
0.03,0.22,1.21525
0.03,0.23,1.2172500000000002
0.03,0.24,1.1862499999999998
0.03,0.25,1.2495
0.03,0.26,1.2577500000000001
0.03,0.27,1.189
0.03,0.28,1.206
0.03,0.29,1.17025
0.03,0.3,1.199
0.03,0.31,1.22675
0.03,0.32,1.195
0.03,0.33,1.1435
0.03,0.34,1.16075
0.03,0.35000000000000003,1.1847500000000002
0.03,0.36,1.16375
0.03,0.37,1.16625
0.03,0.38,1.15
0.03,0.39,1.201
0.03,0.4,1.1720000000000002
0.03,0.41000000000000003,1.15025
0.03,0.42,1.1670000000000003
0.03,0.43,1.175
0.03,0.44,1.1345
0.03,0.45,1.1564999999999999
0.03,0.46,1.177
0.03,0.47000000000000003,1.1612500000000001
0.03,0.48,1.1335000000000002
0.03,0.49,1.1352499999999999
0.03,0.5,1.122
0.03,0.51,1.14025
0.03,0.52,1.121
0.03,0.53,1.123
0.03,0.54,1.1207499999999997
0.03,0.55,1.13475
0.03,0.56,1.1199999999999999
0.03,0.5700000000000001,1.127
0.03,0.58,1.1267500000000001
0.03,0.59,1.1500000000000004
0.03,0.6,1.1082500000000002
0.03,0.61,1.13425
0.03,0.62,1.11825
0.03,0.63,1.123
0.03,0.64,1.1219999999999999
0.03,0.65,1.11875
0.03,0.66,1.1077499999999998
0.03,0.67,1.1252499999999999
0.03,0.68,1.1457500000000003
0.03,0.6900000000000001,1.1214999999999997
0.03,0.7000000000000001,1.123
0.03,0.71,1.13775
0.03,0.72,1.13025
0.03,0.73,1.1139999999999999
0.03,0.74,1.107
0.03,0.75,1.11625
0.03,0.76,1.11025
0.03,0.77,1.1045000000000003
0.03,0.78,1.1357500000000003
0.03,0.79,1.1235
0.03,0.8,1.12325
0.03,0.81,1.112
0.03,0.8200000000000001,1.1002499999999997
0.03,0.8300000000000001,1.134
0.03,0.84,1.1132499999999999
0.03,0.85,1.1119999999999999
0.03,0.86,1.12125
0.03,0.87,1.1047500000000001
0.03,0.88,1.1049999999999998
0.03,0.89,1.1195
0.03,0.9,1.09975
0.03,0.91,1.1074999999999997
0.03,0.92,1.1357500000000003
0.03,0.93,1.1387500000000002
0.03,0.9400000000000001,1.1045000000000003
0.03,0.9500000000000001,1.1164999999999998
0.03,0.96,1.10425
0.03,0.97,1.1247500000000001
0.03,0.98,1.11175
0.03,0.99,1.1154999999999997
0.03,1.0,1.1117500000000002
0.04,0.0,3.0
0.04,0.01,2.83525
0.04,0.02,2.556
0.04,0.03,2.117
0.04,0.04,1.9900000000000002
0.04,0.05,1.9562500000000003
0.04,0.06,1.7605
0.04,0.07,1.64175
0.04,0.08,1.6507499999999997
0.04,0.09,1.585
0.04,0.1,1.5775
0.04,0.11,1.4657499999999999
0.04,0.12,1.3042499999999997
0.04,0.13,1.506
0.04,0.14,1.4425000000000001
0.04,0.15,1.3242500000000001
0.04,0.16,1.29375
0.04,0.17,1.2990000000000002
0.04,0.18,1.23675
0.04,0.19,1.2312500000000002
0.04,0.2,1.2305000000000001
0.04,0.21,1.29875
0.04,0.22,1.3307499999999997
0.04,0.23,1.2765
0.04,0.24,1.2687500000000003
0.04,0.25,1.2
0.04,0.26,1.2710000000000004
0.04,0.27,1.1915
0.04,0.28,1.24075
0.04,0.29,1.1962499999999998
0.04,0.3,1.1952500000000001
0.04,0.31,1.20325
0.04,0.32,1.207
0.04,0.33,1.236
0.04,0.34,1.2245000000000001
0.04,0.35000000000000003,1.2797500000000002
0.04,0.36,1.2647499999999998
0.04,0.37,1.25075
0.04,0.38,1.2037499999999999
0.04,0.39,1.1975
0.04,0.4,1.2135
0.04,0.41000000000000003,1.22775
0.04,0.42,1.21175
0.04,0.43,1.21475
0.04,0.44,1.158
0.04,0.45,1.1772500000000001
0.04,0.46,1.21475
0.04,0.47000000000000003,1.181
0.04,0.48,1.1800000000000002
0.04,0.49,1.159
0.04,0.5,1.174
0.04,0.51,1.1644999999999999
0.04,0.52,1.1824999999999999
0.04,0.53,1.1877499999999999
0.04,0.54,1.1692499999999997
0.04,0.55,1.1767499999999997
0.04,0.56,1.1732500000000001
0.04,0.5700000000000001,1.1724999999999999
0.04,0.58,1.17025
0.04,0.59,1.1724999999999999
0.04,0.6,1.17075
0.04,0.61,1.16525
0.04,0.62,1.1912500000000001
0.04,0.63,1.1664999999999999
0.04,0.64,1.1495
0.04,0.65,1.16675
0.04,0.66,1.166
0.04,0.67,1.1822499999999998
0.04,0.68,1.1597500000000003
0.04,0.6900000000000001,1.1645
0.04,0.7000000000000001,1.1515
0.04,0.71,1.1555
0.04,0.72,1.14175
0.04,0.73,1.15825
0.04,0.74,1.1577499999999998
0.04,0.75,1.1515
0.04,0.76,1.1717500000000003
0.04,0.77,1.1615
0.04,0.78,1.143
0.04,0.79,1.1505
0.04,0.8,1.1597500000000003
0.04,0.81,1.1555
0.04,0.8200000000000001,1.14775
0.04,0.8300000000000001,1.158
0.04,0.84,1.14775
0.04,0.85,1.1532499999999999
0.04,0.86,1.12925
0.04,0.87,1.1720000000000002
0.04,0.88,1.1835
0.04,0.89,1.15275
0.04,0.9,1.13875
0.04,0.91,1.1650000000000003
0.04,0.92,1.138
0.04,0.93,1.18175
0.04,0.9400000000000001,1.1455000000000002
0.04,0.9500000000000001,1.1460000000000001
0.04,0.96,1.1552499999999999
0.04,0.97,1.1455
0.04,0.98,1.1425
0.04,0.99,1.1545
0.04,1.0,1.1447499999999997
0.05,0.0,3.0
0.05,0.01,2.5155000000000003
0.05,0.02,2.55125
0.05,0.03,2.2415
0.05,0.04,2.25125
0.05,0.05,1.95375
0.05,0.06,1.76525
0.05,0.07,1.6792500000000001
0.05,0.08,1.67025
0.05,0.09,1.6095000000000002
0.05,0.1,1.4700000000000002
0.05,0.11,1.5462500000000001
0.05,0.12,1.58875
0.05,0.13,1.418
0.05,0.14,1.4175
0.05,0.15,1.4015000000000002
0.05,0.16,1.3225
0.05,0.17,1.3240000000000003
0.05,0.18,1.3764999999999998
0.05,0.19,1.36125
0.05,0.2,1.25225
0.05,0.21,1.323
0.05,0.22,1.2819999999999998
0.05,0.23,1.27275
0.05,0.24,1.29275
0.05,0.25,1.2660000000000002
0.05,0.26,1.2647499999999998
0.05,0.27,1.2295
0.05,0.28,1.29225
0.05,0.29,1.2987499999999998
0.05,0.3,1.31575
0.05,0.31,1.2555
0.05,0.32,1.30475
0.05,0.33,1.28725
0.05,0.34,1.2519999999999998
0.05,0.35000000000000003,1.2512500000000002
0.05,0.36,1.26875
0.05,0.37,1.2665
0.05,0.38,1.2737500000000002
0.05,0.39,1.2152499999999997
0.05,0.4,1.2144999999999997
0.05,0.41000000000000003,1.21025
0.05,0.42,1.2650000000000001
0.05,0.43,1.2215000000000003
0.05,0.44,1.2445
0.05,0.45,1.2072499999999997
0.05,0.46,1.21725
0.05,0.47000000000000003,1.2200000000000002
0.05,0.48,1.22725
0.05,0.49,1.21325
0.05,0.5,1.2192500000000002
0.05,0.51,1.2395
0.05,0.52,1.20525
0.05,0.53,1.2012500000000002
0.05,0.54,1.2087499999999998
0.05,0.55,1.1912500000000001
0.05,0.56,1.21275
0.05,0.5700000000000001,1.217
0.05,0.58,1.1992500000000001
0.05,0.59,1.232
0.05,0.6,1.2015
0.05,0.61,1.2085000000000001
0.05,0.62,1.2335
0.05,0.63,1.2015
0.05,0.64,1.2172500000000002
0.05,0.65,1.1925
0.05,0.66,1.1855000000000002
0.05,0.67,1.20675
0.05,0.68,1.1827500000000002
0.05,0.6900000000000001,1.21475
0.05,0.7000000000000001,1.193
0.05,0.71,1.221
0.05,0.72,1.2252500000000004
0.05,0.73,1.1912500000000001
0.05,0.74,1.22075
0.05,0.75,1.1755
0.05,0.76,1.20975
0.05,0.77,1.225
0.05,0.78,1.1877499999999999
0.05,0.79,1.22975
0.05,0.8,1.1942499999999998
0.05,0.81,1.1935000000000002
0.05,0.8200000000000001,1.19725
0.05,0.8300000000000001,1.2065
0.05,0.84,1.1919999999999997
0.05,0.85,1.1942499999999998
0.05,0.86,1.2012500000000004
0.05,0.87,1.1780000000000004
0.05,0.88,1.1949999999999998
0.05,0.89,1.1932500000000004
0.05,0.9,1.17475
0.05,0.91,1.1930000000000003
0.05,0.92,1.2149999999999999
0.05,0.93,1.19225
0.05,0.9400000000000001,1.19075
0.05,0.9500000000000001,1.1804999999999999
0.05,0.96,1.1830000000000003
0.05,0.97,1.1835
0.05,0.98,1.1785
0.05,0.99,1.1887500000000002
0.05,1.0,1.212
0.06,0.0,3.0
0.06,0.01,2.6770000000000005
0.06,0.02,2.7335000000000003
0.06,0.03,2.3577500000000002
0.06,0.04,2.5705
0.06,0.05,2.1057499999999996
0.06,0.06,1.91675
0.06,0.07,1.848
0.06,0.08,1.70225
0.06,0.09,1.8002500000000001
0.06,0.1,1.58125
0.06,0.11,1.48875
0.06,0.12,1.7397500000000001
0.06,0.13,1.47475
0.06,0.14,1.48075
0.06,0.15,1.4227500000000002
0.06,0.16,1.4217499999999998
0.06,0.17,1.3475000000000001
0.06,0.18,1.5082499999999999
0.06,0.19,1.3395000000000001
0.06,0.2,1.29775
0.06,0.21,1.39825
0.06,0.22,1.409
0.06,0.23,1.4475000000000002
0.06,0.24,1.3835000000000002
0.06,0.25,1.3705
0.06,0.26,1.3367499999999999
0.06,0.27,1.3119999999999998
0.06,0.28,1.4525000000000001
0.06,0.29,1.2979999999999998
0.06,0.3,1.326
0.06,0.31,1.3402500000000002
0.06,0.32,1.3165
0.06,0.33,1.3357500000000002
0.06,0.34,1.3087499999999999
0.06,0.35000000000000003,1.31475
0.06,0.36,1.31475
0.06,0.37,1.3175
0.06,0.38,1.2564999999999997
0.06,0.39,1.28875
0.06,0.4,1.31725
0.06,0.41000000000000003,1.2435000000000003
0.06,0.42,1.3145
0.06,0.43,1.32275
0.06,0.44,1.24125
0.06,0.45,1.26
