x,y,score
0.46,0.76,2.8289
0.54,0.86,3.14765
0.16,0.19,1.6515
0.61,0.18,3.42235
0.82,0.41,4.2555
0.72,0.66,3.8626
0.63,0.37,3.48885
0.41,0.28,2.63835
0.16,0.44,1.64735
0.8,0.33,4.20345
0.84,0.23,4.34415
0.25,0.48,2.02105
0.62,0.7,3.4487
0.78,0.28,4.1101
0.03,0.68,1.128
0.57,0.0,3.23885
0.69,0.37,3.76775
0.46,0.05,2.849
0.65,0.03,3.56295
0.56,0.8,3.22155
0.28,0.44,2.11855
0.65,0.0,3.4066
0.57,0.1,3.2797
0.44,0.29,2.78765
0.63,0.49,3.51315
0.26,0.03,2.04325
0.92,0.27,4.6403
0.69,0.35,3.75295
0.79,0.78,4.14325
0.3,0.26,2.1959
0.98,0.54,4.88205
0.25,0.62,2.02105
0.55,0.43,3.19285
0.19,0.06,1.7723
0.14,0.65,1.5512
0.09,0.65,1.3608
0.92,1.0,4.6568
0.51,0.43,3.04985
0.36,0.66,2.4361
0.33,0.92,2.321
0.01,0.93,1.042
0.25,0.81,1.9881
0.9,0.46,4.5656
0.3,0.12,2.19975
0.87,0.59,4.4486
0.8,0.75,4.18235
0.93,0.2,4.66895
0.34,0.41,2.3874
0.05,0.48,1.2076
0.9,0.12,4.5599
0.59,0.65,3.3141
0.72,0.62,3.8623
0.29,0.87,2.1568
0.02,0.72,1.0804
0.8,0.35,4.1778
0.09,0.22,1.38295
0.05,0.61,1.2134
0.49,0.38,2.9491
0.62,0.21,3.47325
0.79,0.55,4.13665
0.64,0.52,3.5808
0.17,0.15,1.6933
0.45,0.81,2.79195
0.48,0.8,2.9115
0.51,0.39,3.02145
0.62,0.39,3.4845
0.58,0.64,3.3497
0.8,0.62,4.20595
0.6,0.07,3.39655
0.35,0.87,2.3912
0.85,0.83,4.387
0.96,0.89,4.81405
0.68,0.4,3.72605
0.13,0.15,1.54715
0.14,0.31,1.57985
0.15,0.88,1.5878
0.72,0.97,3.8714
0.56,0.33,3.2632
0.52,0.26,3.1076
0.99,0.97,4.9425
0.9,0.63,4.5701
0.31,0.47,2.2653
0.98,0.8,4.88875
0.31,0.34,2.27135
0.22,0.4,1.89415
0.87,0.37,4.437
0.76,0.43,4.015
0.79,0.76,4.1411
0.83,0.38,4.307
0.74,0.12,3.94735
0.68,0.51,3.72395
0.56,0.43,3.25035
0.63,0.01,3.46525
0.45,0.24,2.79845
0.52,0.13,3.11095
0.64,0.47,3.54455
0.51,0.91,3.05085
0.78,0.92,4.11245
0.92,0.54,4.65655
0.75,0.83,3.9927
0.72,0.5,3.86325
0.53,0.74,3.11405
0.82,0.88,4.28035
0.63,0.35,3.53895
0.8,0.56,4.1898
0.99,0.8,4.93575
0.69,0.67,3.74475
0.44,0.43,2.76055
0.71,0.62,3.81305
0.63,0.08,3.51555
0.48,0.4,2.92995
0.93,0.51,4.68755
0.65,0.12,3.6045
0.78,0.34,4.1004
0.17,0.41,1.6856
0.59,0.93,3.31545
0.98,0.65,4.8906
0.89,0.49,4.52875
0.09,0.48,1.3698
0.98,0.94,4.90365
0.6,0.72,3.40865
0.74,0.48,3.9366
0.48,0.19,2.89065
0.15,0.11,1.62475
0.86,0.55,4.4269
0.97,0.56,4.8479
1.0,0.64,4.97055
0.43,0.66,2.7075
0.85,0.2,4.3743
0.02,0.64,1.0852
0.26,0.02,2.09025
0.12,0.68,1.48835
0.66,0.15,3.6382
0.75,0.58,3.98935
0.04,0.92,1.1672
0.15,0.58,1.59775
0.4,0.84,2.55875
0.94,0.97,4.73065
0.64,0.08,3.5422
0.08,0.63,1.32595
0.81,0.9,4.21545
0.21,0.79,1.8548
0.21,0.13,1.85895
0.82,0.12,4.22635
0.77,0.84,4.0447
0.76,0.89,4.01715
0.06,0.34,1.2546
0.92,0.45,4.6561
0.41,0.87,2.6159
0.11,0.48,1.44835
0.67,0.53,3.6687
0.36,0.88,2.43935
0.47,0.6,2.8611
0.34,0.03,2.371
0.79,0.95,4.1543
0.24,0.56,1.96695
0.17,0.32,1.68395
0.59,0.26,3.32705
0.59,0.68,3.3286
1.0,0.57,4.96775
0.63,0.84,3.52115
0.72,0.58,3.87375
0.84,0.68,4.34825
0.07,0.87,1.2812
0.71,0.48,3.83585
0.27,0.76,2.05655
0.2,0.43,1.81185
0.25,0.83,1.99425
0.74,0.97,3.92865
0.56,0.06,3.2578
0.77,0.18,4.0499
0.61,0.23,3.4435
0.73,0.56,3.90815
0.4,0.67,2.56145
0.93,0.15,4.66025
0.37,0.3,2.49905
0.89,0.6,4.53635
0.32,0.92,2.287
0.97,0.95,4.85595
0.96,0.12,4.75775
0.74,0.25,3.96745
0.47,0.92,2.83995
0.13,0.43,1.54215
0.8,0.68,4.1956
0.01,0.53,1.0508
0.69,0.03,3.71535
0.73,0.82,3.90775
0.97,0.94,4.8593
0.9,1.0,4.5812
0.08,0.23,1.33
0.82,0.79,4.2795
0.42,0.46,2.6968
0.62,0.93,3.4478
0.71,0.43,3.85125
0.77,0.04,4.00255
0.97,0.53,4.8501
0.73,0.22,3.90125
0.59,0.14,3.37045
0.5,0.81,2.98985
0.4,1.0,2.5856
0.89,0.12,4.50165
0.05,0.83,1.2034
0.19,0.67,1.7605
0.97,0.93,4.8579
0.69,0.2,3.75645
0.72,0.64,3.85955
0.94,0.47,4.72745
0.81,0.73,4.2265
0.5,0.86,3.00865
0.15,0.5,1.5932
0.45,0.28,2.812
0.48,0.93,2.91965
0.15,0.25,1.6
0.32,0.14,2.2858
0.62,0.38,3.46615
0.48,0.51,2.9157
0.61,0.92,3.41755
0.34,0.82,2.33395
0.39,0.43,2.55875
0.89,0.11,4.50995
0.67,0.3,3.65265
0.15,0.26,1.5998
0.72,0.21,3.875
0.57,0.41,3.2501
0.01,0.09,1.049
0.55,0.84,3.158
0.85,0.24,4.37775
0.53,0.07,3.09905
0.81,0.85,4.229
0.65,0.79,3.58795
0.08,0.01,1.344
0.62,0.24,3.47605
0.28,0.85,2.1057
0.12,0.31,1.4888
0.04,0.88,1.1724
0.25,0.42,2.00465
0.29,0.34,2.156
0.12,0.75,1.48695
0.16,0.7,1.6356
0.9,0.47,4.57135
0.65,0.01,3.51565
0.44,0.94,2.74495
0.38,0.39,2.50335
0.95,0.84,4.7621
0.31,0.48,2.2571
0.45,0.92,2.78975
0.08,0.35,1.32935
0.68,0.89,3.68495
0.99,1.0,4.9404
0.61,0.37,3.43185
0.02,0.96,1.08
0.94,0.0,3.25645
0.71,0.78,3.8118
0.09,0.02,1.3684
0.46,0.16,2.85465
0.3,0.07,2.21805
0.94,0.83,4.7465
0.25,0.01,2.0523
0.78,0.53,4.1023
0.24,0.45,1.9778
0.1,0.82,1.3964
0.27,0.33,2.09645
0.89,0.17,4.5137
0.5,0.19,2.9917
0.12,0.89,1.4818
0.57,0.07,3.27745
0.85,0.58,4.3655
0.03,0.67,1.128
