x,y,score
0.46,0.76,1.99095
0.54,0.86,2.0021
0.16,0.19,2.20495
0.61,0.18,2.7342
0.82,0.41,2.55225
0.72,0.66,2.2891
0.63,0.37,2.4935
0.41,0.28,2.4341
0.16,0.44,1.7123
0.8,0.33,2.6265
0.84,0.23,2.74015
0.25,0.48,1.91425
0.62,0.7,2.1888
0.78,0.28,2.66525
0.03,0.68,1.13305
0.57,0.0,3.01
0.69,0.37,2.53255
0.46,0.05,2.9068
0.65,0.03,2.95915
0.56,0.8,2.0553
0.28,0.44,2.0266
0.65,0.0,3.01
0.57,0.1,2.8349
0.44,0.29,2.45835
0.63,0.49,2.38395
0.26,0.03,2.88915
0.92,0.27,2.72625
0.69,0.35,2.55135
0.79,0.78,2.25595
0.3,0.26,2.3339
0.98,0.54,2.52565
0.25,0.62,1.78255
0.55,0.43,2.35835
0.19,0.06,2.71795
0.14,0.65,1.5006
0.09,0.65,1.3595
0.92,1.0,2.2017
0.51,0.43,2.33975
0.36,0.66,1.92605
0.33,0.92,1.7283
0.01,0.93,1.0277
0.25,0.81,1.6438
0.9,0.46,2.5437
0.3,0.12,2.651
0.87,0.59,2.42815
0.8,0.75,2.27935
0.93,0.2,2.79245
0.34,0.41,2.16615
0.05,0.48,1.2776
0.9,0.12,2.87455
0.59,0.65,2.20815
0.72,0.62,2.33105
0.29,0.87,1.6791
0.02,0.72,1.08305
0.8,0.35,2.60855
0.09,0.22,1.80945
0.05,0.61,1.215
0.49,0.38,2.37625
0.62,0.21,2.6978
0.79,0.55,2.4223
0.64,0.52,2.3461
0.17,0.15,2.34535
0.45,0.81,1.93305
0.48,0.8,1.98185
0.51,0.39,2.38735
0.62,0.39,2.4701
0.58,0.64,2.19635
0.8,0.62,2.3712
0.6,0.07,2.8923
0.35,0.87,1.77355
0.85,0.83,2.25715
0.96,0.89,2.28565
0.68,0.4,2.4895
0.13,0.15,2.26475
0.14,0.31,1.87215
0.15,0.88,1.43255
0.72,0.97,2.0859
0.56,0.33,2.4856
0.52,0.26,2.5606
0.99,0.97,2.257
0.9,0.63,2.4193
0.31,0.47,2.03125
0.98,0.8,2.3435
0.31,0.34,2.20505
0.22,0.4,1.90765
0.87,0.37,2.61475
0.76,0.43,2.5128
0.79,0.76,2.27085
0.83,0.38,2.58595
0.74,0.12,2.84455
0.68,0.51,2.38225
0.56,0.43,2.3811
0.63,0.01,2.99305
0.45,0.24,2.55265
0.52,0.13,2.771
0.64,0.47,2.3918
0.51,0.91,1.94195
0.78,0.92,2.16425
0.92,0.54,2.49595
0.75,0.83,2.1962
0.72,0.5,2.43165
0.53,0.74,2.07945
0.82,0.88,2.21095
0.63,0.35,2.51325
0.8,0.56,2.41545
0.99,0.8,2.34735
0.69,0.67,2.26695
0.44,0.43,2.2582
0.71,0.62,2.31045
0.63,0.08,2.8851
0.48,0.4,2.34005
0.93,0.51,2.5217
0.65,0.12,2.82765
0.78,0.34,2.6043
0.17,0.41,1.80165
0.59,0.93,2.0139
0.98,0.65,2.44575
0.89,0.49,2.5152
0.09,0.48,1.455
0.98,0.94,2.268
0.6,0.72,2.16125
0.74,0.48,2.45135
0.48,0.19,2.64545
0.15,0.11,2.43835
0.86,0.55,2.44755
0.97,0.56,2.5015
1.0,0.64,2.4535
0.43,0.66,2.0344
0.85,0.2,2.77955
0.02,0.64,1.102
0.26,0.02,2.9373
0.12,0.68,1.42525
0.66,0.15,2.7848
0.75,0.58,2.3794
0.04,0.92,1.11995
0.15,0.58,1.57645
0.4,0.84,1.8702
0.94,0.97,2.2269
