x,y,score
0.46,0.76,1.6532
0.54,0.86,1.5757
0.16,0.19,2.36755
0.61,0.18,3.0577
0.82,0.41,2.9268
0.72,0.66,2.24205
0.63,0.37,2.6984
0.41,0.28,2.54795
0.16,0.44,1.87675
0.8,0.33,3.0483
0.84,0.23,3.3059
0.25,0.48,1.92455
0.62,0.7,2.02895
0.78,0.28,3.10815
0.03,0.68,1.19945
0.57,0.0,3.35995
0.69,0.37,2.78095
0.46,0.05,3.0906
0.65,0.03,3.4244
0.56,0.8,1.72965
0.28,0.44,2.04025
0.65,0.0,3.48265
0.57,0.1,3.16555
0.44,0.29,2.5918
0.63,0.49,2.44615
0.26,0.03,2.82615
0.92,0.27,3.34995
0.69,0.35,2.82455
0.79,0.78,2.10755
0.3,0.26,2.42375
0.98,0.54,2.8622
0.25,0.62,1.63935
0.55,0.43,2.4596
0.19,0.06,2.6701
0.14,0.65,1.412
0.09,0.65,1.34555
0.92,1.0,1.8725
0.51,0.43,2.3839
0.36,0.66,1.7212
0.33,0.92,1.1681
0.01,0.93,0.6487
0.25,0.81,1.2631
0.9,0.46,2.9239
0.3,0.12,2.72095
0.87,0.59,2.6274
0.8,0.75,2.18535
0.93,0.2,3.4978
0.34,0.41,2.2006
0.05,0.48,1.6252
0.9,0.12,3.6072
0.59,0.65,2.08555
0.72,0.62,2.33295
0.29,0.87,1.21235
0.02,0.72,1.1082
0.8,0.35,2.98045
0.09,0.22,2.21145
0.05,0.61,1.3675
0.49,0.38,2.49675
0.62,0.21,3.0202
0.79,0.55,2.5841
0.64,0.52,2.4359
0.17,0.15,2.4722
0.45,0.81,1.5509
0.48,0.8,1.6106
0.51,0.39,2.47505
0.62,0.39,2.62205
0.58,0.64,2.0792
0.8,0.62,2.44535
0.6,0.07,3.2544
0.35,0.87,1.27235
0.85,0.83,2.09475
0.96,0.89,2.1528
0.68,0.4,2.7113
0.13,0.15,2.39655
0.14,0.31,2.09235
0.15,0.88,0.9536
0.72,0.97,1.62515
0.56,0.33,2.68595
0.52,0.26,2.7624
0.99,0.97,2.03295
0.9,0.63,2.577
0.31,0.47,2.04215
0.98,0.8,2.3497
0.31,0.34,2.296
0.22,0.4,2.0321
0.87,0.37,3.0488
0.76,0.43,2.7804
0.79,0.76,2.1657
0.83,0.38,2.9858
0.74,0.12,3.3692
0.68,0.51,2.50975
0.56,0.43,2.4711
0.63,0.01,3.4209
0.45,0.24,2.6999
0.52,0.13,3.02045
0.64,0.47,2.50545
0.51,0.91,1.4522
0.78,0.92,1.8154
0.92,0.54,2.7936
0.75,0.83,1.9706
0.72,0.5,2.58375
0.53,0.74,1.81715
0.82,0.88,1.95005
0.63,0.35,2.7468
0.8,0.56,2.5755
0.99,0.8,2.37125
0.69,0.67,2.2045
0.44,0.43,2.3032
0.71,0.62,2.34135
0.63,0.08,3.28515
0.48,0.4,2.43905
0.93,0.51,2.84925
0.65,0.12,3.23205
0.78,0.34,2.9925
0.17,0.41,1.93335
0.59,0.93,1.5216
0.98,0.65,2.6613
0.89,0.49,2.84295
0.09,0.48,1.67915
0.98,0.94,2.0801
0.6,0.72,1.9421
0.74,0.48,2.6617
0.48,0.19,2.83875
0.15,0.11,2.527
0.86,0.55,2.691
0.97,0.56,2.8181
1.0,0.64,2.71985
0.43,0.66,1.814
0.85,0.2,3.3841
0.02,0.64,1.2703
0.26,0.02,2.8463
0.12,0.68,1.33115
0.66,0.15,3.19895
0.75,0.58,2.46005
0.04,0.92,0.7253
0.15,0.58,1.56645
0.4,0.84,1.41205
0.94,0.97,1.9675
0.64,0.08,3.3058
0.08,0.63,1.36855
0.81,0.9,1.8921
0.21,0.79,1.22785
0.21,0.13,2.5774
0.82,0.12,3.49405
0.77,0.84,1.9758
0.76,0.89,1.84855
0.06,0.34,1.8943
0.92,0.45,2.97225
0.41,0.87,1.3863
0.11,0.48,1.71025
0.67,0.53,2.4478
0.36,0.88,1.28135
0.47,0.6,2.00325
0.34,0.03,2.96895
0.79,0.95,1.77055
0.24,0.56,1.76295
0.17,0.32,2.10895
0.59,0.26,2.85615
0.59,0.68,2.01035
1.0,0.57,2.83395
0.63,0.84,1.77475
0.72,0.58,2.4195
0.84,0.68,2.3802
0.07,0.87,0.8658
0.71,0.48,2.62075
0.27,0.76,1.37165
0.2,0.43,1.9256
0.25,0.83,1.22215
0.74,0.97,1.6585
0.56,0.06,3.2341
0.77,0.18,3.2924
0.61,0.23,2.97235
0.73,0.56,2.48865
0.4,0.67,1.7509
0.93,0.15,3.597
0.37,0.3,2.4618
0.89,0.6,2.6272
0.32,0.92,1.13555
0.97,0.95,2.0349
0.96,0.12,3.70375
0.74,0.25,3.10615
0.47,0.92,1.34655
0.13,0.43,1.8541
0.8,0.68,2.3304
0.01,0.53,1.4635
0.69,0.03,3.4813
0.73,0.82,1.94145
0.97,0.94,2.06185
0.9,1.0,1.84415
0.08,0.23,2.1735
0.82,0.79,2.15115
0.42,0.46,2.1824
0.62,0.93,1.57275
0.71,0.43,2.70575
0.77,0.04,3.57865
0.97,0.53,2.884
0.73,0.22,3.1609
0.59,0.14,3.10625
0.5,0.81,1.6233
0.4,1.0,1.08275
0.89,0.12,3.5976
0.05,0.83,0.9191
0.19,0.67,1.439
0.97,0.93,2.0731
0.69,0.2,3.1398
0.72,0.64,2.2956
0.94,0.47,2.95635
0.81,0.73,2.25495
0.5,0.86,1.49885
0.15,0.5,1.73055
0.45,0.28,2.6193
0.48,0.93,1.337
0.15,0.25,2.2303
0.32,0.14,2.70845
0.62,0.38,2.63695
0.48,0.51,2.18545
0.61,0.92,1.55985
0.34,0.82,1.35405
0.39,0.43,2.2131
0.89,0.11,3.6234
0.67,0.3,2.89505
0.15,0.26,2.2132
0.72,0.21,3.17105
0.57,0.41,2.5403
0.01,0.09,2.3497
0.55,0.84,1.66015
0.85,0.24,3.29735
0.53,0.07,3.1548
0.81,0.85,1.98565
0.65,0.79,1.88015
0.08,0.01,2.6174
0.62,0.24,2.9576
0.28,0.85,1.2222
0.12,0.31,2.0619
0.04,0.88,0.80155
0.25,0.42,2.0745
0.29,0.34,2.2563
0.12,0.75,1.18395
0.16,0.7,1.34065
0.9,0.47,2.90255
0.65,0.01,3.4713
0.44,0.94,1.2555
0.38,0.39,2.284
0.95,0.84,2.2241
0.31,0.48,2.0212
0.45,0.92,1.3284
0.08,0.35,1.92805
0.68,0.89,1.72075
0.99,1.0,1.9709
0.61,0.37,2.6989
0.02,0.96,0.60065
0.94,0.0,3.91405
0.71,0.78,2.0163
0.09,0.02,2.6095
0.46,0.16,2.867
0.3,0.07,2.8191
0.94,0.83,2.2365
0.25,0.01,2.86505
0.78,0.53,2.6072
0.24,0.45,1.98015
0.1,0.82,1.01145
0.27,0.33,2.2459
0.89,0.17,3.49805
0.5,0.19,2.88635
0.12,0.89,0.8965
0.57,0.07,3.2162
0.85,0.58,2.60255
0.03,0.67,1.21725
0.79,0.05,3.5858
0.18,0.3,2.1882
0.66,0.43,2.63215
0.41,0.6,1.8989
0.52,0.47,2.33645
0.53,0.05,3.20525
0.51,0.93,1.4254
0.8,0.32,3.04615
0.91,0.77,2.3162
0.57,0.84,1.6768
0.65,0.7,2.0911
0.6,0.23,2.9456
0.11,0.82,1.01915
0.46,1.0,1.19435
0.71,0.57,2.40455
0.28,0.08,2.78365
0.2,0.19,2.431
0.82,0.03,3.67065
0.9,0.83,2.1859
0.68,0.02,3.49375
0.1,0.34,1.9781
0.97,0.02,3.91125
0.27,0.01,2.88735
0.84,0.82,2.11755
0.99,0.61,2.752
0.18,0.48,1.8154
0.18,0.73,1.29145
0.79,0.15,3.38055
0.77,0.93,1.77965
0.58,0.8,1.7838
0.18,0.95,0.8723
0.21,0.71,1.40015
0.98,0.62,2.72775
0.23,0.97,0.9043
0.06,0.16,2.28685
0.53,0.36,2.5713
0.97,0.86,2.22075
0.26,0.42,2.03775
0.81,0.43,2.85525
0.2,0.12,2.56525
0.1,0.57,1.54065
0.15,0.35,2.0425
0.89,0.02,3.7996
0.51,0.7,1.8659
0.57,0.27,2.828
0.11,0.19,2.31645
0.69,0.41,2.70485
0.68,0.83,1.8452
0.97,0.34,3.26355
0.36,0.11,2.8257
0.53,0.1,3.10975
0.19,0.47,1.86005
0.81,0.31,3.0925
0.66,0.86,1.7618
0.93,0.77,2.3435
0.82,0.05,3.6396
0.88,0.94,1.92555
0.33,0.39,2.2536
0.1,0.68,1.29865
0.84,0.95,1.8423
0.29,0.54,1.843
0.96,0.41,3.13085
0.89,0.67,2.48535
0.91,0.12,3.62515
0.31,0.86,1.2361
0.11,0.2,2.2673
0.06,0.77,1.06815
0.89,0.59,2.6544
0.01,0.38,1.7667
0.18,0.09,2.5921
0.2,0.72,1.3729
0.56,0.89,1.5681
0.19,0.48,1.8174
0.33,0.63,1.7386
0.86,0.41,2.96445
0.51,0.19,2.88515
0.35,0.08,2.86625
0.51,0.69,1.8937
0.68,0.91,1.6604
0.78,0.73,2.20965
0.65,0.68,2.1276
0.4,0.44,2.22195
0.02,0.27,1.98365
0.3,0.89,1.16035
0.87,0.99,1.81385
0.95,0.8,2.3095
0.58,0.76,1.84125
0.71,0.86,1.84395
0.44,0.13,2.89635
0.48,0.0,3.22765
0.57,0.63,2.08765
0.59,0.25,2.87975
0.95,0.45,3.00435
0.12,0.04,2.61475
0.21,0.3,2.21045
0.57,0.31,2.73445
0.26,0.94,0.9977
0.55,0.82,1.69615
0.73,0.83,1.9402
0.94,0.28,3.34585
0.74,0.14,3.3243
0.03,0.55,1.464
0.28,0.81,1.27925
0.22,0.76,1.30295
0.26,0.45,1.9816
0.15,0.41,1.91465
0.85,0.02,3.73475
0.18,0.19,2.39775
0.11,0.09,2.48895
0.34,0.74,1.541
0.99,0.67,2.63115
0.74,0.85,1.89905
0.91,0.29,3.3046
0.12,0.41,1.85895
0.17,0.03,2.71525
0.06,0.47,1.64085
0.88,0.68,2.4574
0.68,0.19,3.14935
0.44,0.59,1.9581
0.64,0.56,2.34135
0.17,0.24,2.26545
0.56,0.65,2.02235
0.63,0.48,2.4644
0.08,0.2,2.22855
0.24,0.82,1.21985
0.99,0.37,3.24155
0.89,0.42,2.99255
0.38,0.47,2.12735
0.68,0.22,3.07015
0.2,0.25,2.30765
0.27,0.27,2.36635
0.1,0.01,2.64625
0.41,0.8,1.54765
0.38,0.04,3.0055
0.69,0.98,1.5693
0.59,0.96,1.46195
0.18,0.21,2.35565
0.11,0.97,0.72065
0.03,0.82,0.9079
0.52,0.89,1.4899
0.75,0.97,1.6746
0.17,0.87,1.0145
0.87,0.48,2.8486
0.03,0.44,1.66435
0.33,0.44,2.13165
0.76,0.32,3.0038
0.73,0.5,2.584
0.26,0.28,2.3115
0.36,0.29,2.46715
0.28,0.11,2.7078
0.0,0.23,2.0527
0.87,0.0,3.80275
0.26,0.61,1.66365
1.0,0.5,2.99815
0.35,0.61,1.8234
0.02,0.33,1.86255
0.52,0.76,1.7661
0.06,0.97,0.65565
0.98,0.06,3.85665
0.13,0.17,2.35915
0.24,0.64,1.5952
0.35,0.14,2.75555
0.11,0.94,0.7856
0.76,0.77,2.0925
0.67,0.45,2.6076
0.09,0.51,1.6314
0.99,0.31,3.35405
0.07,0.89,0.8246
0.65,0.43,2.63775
0.85,0.19,3.39155
0.91,0.58,2.66625
0.48,0.56,2.0857
0.66,0.06,3.35765
0.18,0.38,2.02185
0.56,0.64,2.06395
0.72,0.43,2.7305
0.64,0.11,3.24845
0.38,0.45,2.17905
0.42,0.25,2.61885
1.0,0.63,2.7333
0.35,0.26,2.48645
0.03,0.18,2.19905
0.27,0.91,1.08015
0.8,0.26,3.1548
0.15,0.31,2.10825
0.89,0.44,2.94425
0.61,0.87,1.6601
0.31,0.61,1.7614
0.72,0.45,2.68705
0.0,0.6,1.2965
0.98,0.82,2.3204
0.25,0.27,2.35945
0.4,0.57,1.96645
0.15,0.38,1.96885
0.6,0.2,2.9904
0.77,0.12,3.4177
0.52,0.15,2.97825
0.65,0.41,2.66635
0.35,0.6,1.8416
0.93,0.29,3.2983
0.61,0.43,2.56505
0.45,0.63,1.92325
0.08,0.68,1.2716
0.89,0.37,3.09755
0.59,0.08,3.2224
0.1,0.38,1.90325
0.83,0.8,2.13615
0.02,0.69,1.1623
0.68,0.41,2.6809
0.22,0.48,1.85495
0.92,0.65,2.5627
0.77,1.0,1.6469
0.68,0.81,1.8948
0.11,0.26,2.14755
0.21,0.21,2.40735
0.84,0.37,3.0453
0.37,0.63,1.77305
0.61,0.85,1.71815
0.23,0.77,1.31025
0.65,0.66,2.16205
0.71,0.07,3.42235
0.33,0.68,1.6408
0.74,0.0,3.6148
0.01,0.48,1.5755
0.71,0.35,2.8736
0.96,0.32,3.3033
0.51,0.1,3.07095
0.75,0.73,2.15225
0.48,0.85,1.52115
0.98,0.42,3.1343
0.19,0.88,1.01655
0.11,0.77,1.12175
0.9,0.32,3.2081
0.87,1.0,1.79075
0.56,0.7,1.9343
0.11,0.27,2.1212
0.02,0.88,0.75645
0.77,0.66,2.3049
0.8,0.8,2.08745
0.98,0.11,3.7578
0.75,0.33,2.98095
0.71,0.74,2.0716
0.3,0.3,2.34235
0.74,0.01,3.59955
0.38,0.86,1.343
0.18,0.75,1.26615
0.91,0.55,2.7414
0.33,0.87,1.27065
0.18,0.61,1.54765
0.34,0.01,3.00335
0.09,0.94,0.75095
0.63,0.97,1.4847
0.04,0.07,2.4412
0.86,0.22,3.35715
0.0,0.89,0.721
0.72,0.11,3.3623
0.82,0.64,2.45265
0.9,0.41,3.02205
0.42,0.72,1.70105
0.63,0.7,2.04485
1.0,0.58,2.8359
0.77,0.56,2.508
0.15,0.79,1.14285
0.69,0.57,2.39805
0.65,0.67,2.11295
0.62,0.73,1.96245
0.53,0.63,2.03035
0.1,0.96,0.72715
0.52,0.86,1.5549
0.29,0.51,1.9093
0.73,0.85,1.89845
0.84,0.28,3.1771
0.21,0.76,1.3073
0.33,0.61,1.77875
0.62,0.04,3.35785
0.98,0.59,2.79285
0.23,0.23,2.3701
0.14,0.78,1.14075
0.88,0.61,2.6018
0.23,0.41,2.01775
0.78,0.15,3.36105
0.55,0.33,2.6687
0.79,0.01,3.6685
0.89,0.3,3.2286
0.69,0.16,3.2103
0.87,0.17,3.45665
0.66,0.16,3.1632
0.98,0.18,3.61535
0.54,0.36,2.5845
0.54,0.37,2.5593
0.83,0.07,3.6106
0.07,0.62,1.35685
0.01,0.77,0.96275
0.48,0.12,2.9891
0.52,0.35,2.5709
0.36,0.13,2.78445
0.23,0.73,1.38765
0.32,0.02,2.94445
0.94,0.4,3.11855
0.13,0.19,2.31085
0.05,0.14,2.3102
0.67,0.87,1.7351
0.79,0.74,2.1831
0.12,0.23,2.2185
0.22,0.8,1.2358
