x,y,score
0.46,0.76,0.9171
0.54,0.86,0.64815
0.16,0.19,2.4122
0.61,0.18,2.58215
0.82,0.41,1.9963
0.72,0.66,1.2813
0.63,0.37,2.04315
0.41,0.28,2.24345
0.16,0.44,1.7212
0.8,0.33,2.20335
0.84,0.23,2.5098
0.25,0.48,1.64165
0.62,0.7,1.10995
0.78,0.28,2.34165
0.03,0.68,1.01035
0.57,0.0,3.0678
0.69,0.37,2.07555
0.46,0.05,2.89925
0.65,0.03,3.0065
0.56,0.8,0.8193
0.28,0.44,1.76845
0.65,0.0,3.0959
0.57,0.1,2.7936
0.44,0.29,2.2298
0.63,0.49,1.7048
0.26,0.03,2.8829
0.92,0.27,2.4217
0.69,0.35,2.12895
0.79,0.78,0.9443
0.3,0.26,2.25835
0.98,0.54,1.68485
0.25,0.62,1.2533
0.55,0.43,1.8624
0.19,0.06,2.77855
0.14,0.65,1.12005
0.09,0.65,1.1033
0.92,1.0,0.3821
0.51,0.43,1.87075
0.36,0.66,1.16305
0.33,0.92,0.42385
0.01,0.93,0.30095
0.25,0.81,0.71305
0.9,0.46,1.8892
0.3,0.12,2.65245
0.87,0.59,1.50265
0.8,0.75,1.03225
0.93,0.2,2.63095
0.34,0.41,1.8598
0.05,0.48,1.56035
0.9,0.12,2.8319
0.59,0.65,1.2551
0.72,0.62,1.36495
0.29,0.87,0.5499
0.02,0.72,0.89175
0.8,0.35,2.14335
0.09,0.22,2.3035
0.05,0.61,1.2101
0.49,0.38,1.98835
0.62,0.21,2.4973
0.79,0.55,1.59345
0.64,0.52,1.6409
0.17,0.15,2.5159
0.45,0.81,0.78185
0.48,0.8,0.80465
0.51,0.39,1.9602
0.62,0.39,1.9896
0.58,0.64,1.2811
0.8,0.62,1.40905
0.6,0.07,2.8863
0.35,0.87,0.55815
0.85,0.83,0.8319
0.96,0.89,0.6989
0.68,0.4,1.9735
0.13,0.15,2.50695
0.14,0.31,2.07735
0.15,0.88,0.48515
0.72,0.97,0.39665
0.56,0.33,2.1337
0.52,0.26,2.32285
0.99,0.97,0.48885
0.9,0.63,1.41395
0.31,0.47,1.67415
0.98,0.8,0.9678
0.31,0.34,2.0353
0.22,0.4,1.82075
0.87,0.37,2.1249
0.76,0.43,1.92975
0.79,0.76,1.01385
0.83,0.38,2.07585
0.74,0.12,2.784
0.68,0.51,1.70015
0.56,0.43,1.8664
0.63,0.01,3.06065
0.45,0.24,2.3652
0.52,0.13,2.6903
0.64,0.47,1.7744
0.51,0.91,0.51025
0.78,0.92,0.56845
0.92,0.54,1.66305
0.75,0.83,0.80945
0.72,0.5,1.7088
0.53,0.74,0.9763
0.82,0.88,0.6868
0.63,0.35,2.1054
0.8,0.56,1.562
0.99,0.8,0.95995
0.69,0.67,1.2521
0.44,0.43,1.8302
0.71,0.62,1.3688
0.63,0.08,2.86375
0.48,0.4,1.9245
0.93,0.51,1.73885
0.65,0.12,2.76235
0.78,0.34,2.1706
0.17,0.41,1.79735
0.59,0.93,0.4745
0.98,0.65,1.38575
0.89,0.49,1.79585
0.09,0.48,1.5754
0.98,0.94,0.56975
0.6,0.72,1.06175
0.74,0.48,1.7756
0.48,0.19,2.50495
0.15,0.11,2.6384
0.86,0.55,1.6166
0.97,0.56,1.60625
1.0,0.64,1.41505
0.43,0.66,1.16865
0.85,0.2,2.6011
