x,y,score
0.46,0.76,1.63745
0.54,0.86,1.51195
0.16,0.19,2.20625
0.61,0.18,2.89115
0.82,0.41,3.1862
0.72,0.66,2.3879
0.63,0.37,2.68945
0.41,0.28,2.47415
0.16,0.44,1.79875
0.8,0.33,3.24425
0.84,0.23,3.43855
0.25,0.48,1.86515
0.62,0.7,2.05725
0.78,0.28,3.17685
0.03,0.68,1.1844
0.57,0.0,3.0
0.69,0.37,2.83665
0.46,0.05,2.88645
0.65,0.03,3.0097
0.56,0.8,1.70905
0.28,0.44,2.00545
0.65,0.0,3.0
0.57,0.1,2.9045
0.44,0.29,2.47745
0.63,0.49,2.5174
0.26,0.03,2.80925
0.92,0.27,3.8511
0.69,0.35,2.8718
0.79,0.78,2.26435
0.3,0.26,2.3105
0.98,0.54,4.41945
0.25,0.62,1.63245
0.55,0.43,2.45105
0.19,0.06,2.59145
0.14,0.65,1.4021
0.09,0.65,1.3175
0.92,1.0,1.28625
0.51,0.43,2.36865
0.36,0.66,1.7229
0.33,0.92,1.0725
0.01,0.93,0.66725
0.25,0.81,1.2517
0.9,0.46,3.6033
0.3,0.12,2.57085
0.87,0.59,3.19135
0.8,0.75,2.3866
0.93,0.2,3.94085
0.34,0.41,2.1598
0.05,0.48,1.5354
0.9,0.12,3.6648
0.59,0.65,2.0971
0.72,0.62,2.47195
0.29,0.87,1.16155
0.02,0.72,1.08365
0.8,0.35,3.22165
0.09,0.22,2.0155
0.05,0.61,1.32355
0.49,0.38,2.4511
0.62,0.21,2.88665
0.79,0.55,2.8392
0.64,0.52,2.51765
0.17,0.15,2.2953
0.45,0.81,1.49645
0.48,0.8,1.5708
0.51,0.39,2.42305
0.62,0.39,2.6443
0.58,0.64,2.135
0.8,0.62,2.77805
0.6,0.07,2.9583
0.35,0.87,1.2233
0.85,0.83,2.2824
0.96,0.89,2.96435
0.68,0.4,2.74555
0.13,0.15,2.235
0.14,0.31,1.98005
0.15,0.88,0.95105
0.72,0.97,1.31155
0.56,0.33,2.61425
0.52,0.26,2.68455
0.99,0.97,2.72315
0.9,0.63,3.254
0.31,0.47,1.9818
0.98,0.8,3.967
0.31,0.34,2.2071
0.22,0.4,1.9481
0.87,0.37,3.4753
0.76,0.43,2.9412
0.79,0.76,2.3851
0.83,0.38,3.244
0.74,0.12,3.14815
0.68,0.51,2.58965
0.56,0.43,2.4209
0.63,0.01,3.00635
0.45,0.24,2.5572
0.52,0.13,2.83035
0.64,0.47,2.57405
0.51,0.91,1.3085
0.78,0.92,1.6536
0.92,0.54,3.6253
0.75,0.83,1.94595
0.72,0.5,2.7098
0.53,0.74,1.8015
0.82,0.88,2.0205
0.63,0.35,2.7549
0.8,0.56,2.92795
0.99,0.8,4.37995
0.69,0.67,2.3052
0.44,0.43,2.26955
0.71,0.62,2.43105
0.63,0.08,2.99205
0.48,0.4,2.3828
0.93,0.51,3.80335
0.65,0.12,2.99095
0.78,0.34,3.1344
0.17,0.41,1.85375
0.59,0.93,1.33105
0.98,0.65,4.32425
0.89,0.49,3.49035
0.09,0.48,1.6041
0.98,0.94,3.04075
0.6,0.72,1.95345
0.74,0.48,2.81225
0.48,0.19,2.7022
0.15,0.11,2.35895
0.86,0.55,3.2196
0.97,0.56,4.2678
1.0,0.64,4.8406
0.43,0.66,1.8157
0.85,0.2,3.47835
0.02,0.64,1.22465
0.26,0.02,2.8543
0.12,0.68,1.31845
0.66,0.15,2.9904
0.75,0.58,2.6698
0.04,0.92,0.74025
0.15,0.58,1.52975
0.4,0.84,1.3428
0.94,0.97,1.7597
0.64,0.08,3.0035
0.08,0.63,1.36025
0.81,0.9,1.8239
0.21,0.79,1.24825
0.21,0.13,2.42025
0.82,0.12,3.3265
0.77,0.84,1.98865
0.76,0.89,1.71465
0.06,0.34,1.77615
0.92,0.45,3.7856
0.41,0.87,1.321
0.11,0.48,1.6415
0.67,0.53,2.5408
0.36,0.88,1.22685
0.47,0.6,2.0042
0.34,0.03,2.8674
0.79,0.95,1.50385
0.24,0.56,1.7338
0.17,0.32,1.99405
0.59,0.26,2.7601
0.59,0.68,2.06185
1.0,0.57,4.8677
0.63,0.84,1.70225
0.72,0.58,2.5639
0.84,0.68,2.79705
0.07,0.87,0.86425
0.71,0.48,2.76915
0.27,0.76,1.3572
0.2,0.43,1.86525
0.25,0.83,1.21705
0.74,0.97,1.3617
0.56,0.06,2.95215
0.77,0.18,3.23645
0.61,0.23,2.8495
0.73,0.56,2.65535
