x,y,score
0.46,0.76,0.832
0.54,0.86,0.5563
0.16,0.19,2.42675
0.61,0.18,2.51625
0.82,0.41,1.89645
0.72,0.66,1.12985
0.63,0.37,1.9723
0.41,0.28,2.1996
0.16,0.44,1.69945
0.8,0.33,2.1217
0.84,0.23,2.41095
0.25,0.48,1.5893
0.62,0.7,1.01555
0.78,0.28,2.24925
0.03,0.68,0.9814
0.57,0.0,3.03445
0.69,0.37,1.98745
0.46,0.05,2.8673
0.65,0.03,2.96
0.56,0.8,0.70545
0.28,0.44,1.7226
0.65,0.0,3.0484
0.57,0.1,2.74745
0.44,0.29,2.17685
0.63,0.49,1.6158
0.26,0.03,2.89935
0.92,0.27,2.3069
0.69,0.35,2.024
0.79,0.78,0.7812
0.3,0.26,2.228
0.98,0.54,1.51975
0.25,0.62,1.18105
0.55,0.43,1.7809
0.19,0.06,2.79915
0.14,0.65,1.07425
0.09,0.65,1.09
0.92,1.0,0.30855
0.51,0.43,1.7922
0.36,0.66,1.06955
0.33,0.92,0.3897
0.01,0.93,0.5838
0.25,0.81,0.65465
0.9,0.46,1.75005
0.3,0.12,2.65125
0.87,0.59,1.3739
0.8,0.75,0.90635
0.93,0.2,2.51265
0.34,0.41,1.8125
0.05,0.48,1.56535
0.9,0.12,2.73015
0.59,0.65,1.15325
0.72,0.62,1.26825
0.29,0.87,0.5017
0.02,0.72,0.8758
0.8,0.35,2.07405
0.09,0.22,2.326
0.05,0.61,1.1848
0.49,0.38,1.9279
0.62,0.21,2.4208
0.79,0.55,1.4836
0.64,0.52,1.54135
0.17,0.15,2.5573
0.45,0.81,0.67955
0.48,0.8,0.7086
0.51,0.39,1.90735
0.62,0.39,1.91475
0.58,0.64,1.183
0.8,0.62,1.28075
0.6,0.07,2.83505
0.35,0.87,0.49355
0.85,0.83,0.6895
0.96,0.89,0.5421
0.68,0.4,1.8857
0.13,0.15,2.53815
0.14,0.31,2.0601
0.15,0.88,0.47895
0.72,0.97,0.3302
0.56,0.33,2.0773
0.52,0.26,2.25645
0.99,0.97,0.3473
0.9,0.63,1.278
0.31,0.47,1.63
0.98,0.8,0.7912
0.31,0.34,2.00465
0.22,0.4,1.81555
0.87,0.37,2.0085
0.76,0.43,1.81415
0.79,0.76,0.88145
0.83,0.38,1.9826
