x,y,score
0.46,0.76,2.0029
0.54,0.86,2.01175
0.16,0.19,2.21575
0.61,0.18,2.73485
0.82,0.41,2.55335
0.72,0.66,2.2937
0.63,0.37,2.4937
0.41,0.28,2.42085
0.16,0.44,1.74395
0.8,0.33,2.61295
0.84,0.23,2.74905
0.25,0.48,1.9071
0.62,0.7,2.18495
0.78,0.28,2.6635
0.03,0.68,1.13965
0.57,0.0,3.0119
0.69,0.37,2.54305
0.46,0.05,2.89925
0.65,0.03,2.9641
0.56,0.8,2.0742
0.28,0.44,2.00175
0.65,0.0,3.01085
0.57,0.1,2.81985
0.44,0.29,2.44815
0.63,0.49,2.3807
0.26,0.03,2.873
0.92,0.27,2.72685
0.69,0.35,2.56055
0.79,0.78,2.26725
0.3,0.26,2.3307
0.98,0.54,2.5151
0.25,0.62,1.7788
0.55,0.43,2.3823
0.19,0.06,2.6942
0.14,0.65,1.498
0.09,0.65,1.35235
0.92,1.0,2.22715
0.51,0.43,2.34225
0.36,0.66,1.934
0.33,0.92,1.72295
0.01,0.93,1.0307
0.25,0.81,1.6577
0.9,0.46,2.54835
0.3,0.12,2.6296
0.87,0.59,2.437
0.8,0.75,2.27935
0.93,0.2,2.79485
0.34,0.41,2.1646
0.05,0.48,1.3172
0.9,0.12,2.8783
0.59,0.65,2.1788
0.72,0.62,2.30665
0.29,0.87,1.6676
0.02,0.72,1.0832
0.8,0.35,2.6022
0.09,0.22,1.93065
0.05,0.61,1.2311
0.49,0.38,2.36885
0.62,0.21,2.68865
0.79,0.55,2.4286
0.64,0.52,2.36855
0.17,0.15,2.37865
0.45,0.81,1.94845
0.48,0.8,1.98685
0.51,0.39,2.35615
0.62,0.39,2.47525
0.58,0.64,2.20025
0.8,0.62,2.3751
0.6,0.07,2.8937
0.35,0.87,1.7812
0.85,0.83,2.2688
0.96,0.89,2.2859
0.68,0.4,2.474
0.13,0.15,2.2242
0.14,0.31,1.86315
0.15,0.88,1.41335
0.72,0.97,2.11525
0.56,0.33,2.48855
0.52,0.26,2.5756
0.99,0.97,2.27135
0.9,0.63,2.4144
0.31,0.47,2.0269
0.98,0.8,2.3579
0.31,0.34,2.1929
0.22,0.4,1.95215
0.87,0.37,2.6045
0.76,0.43,2.51615
0.79,0.76,2.25715
0.83,0.38,2.59915
0.74,0.12,2.8511
0.68,0.51,2.40345
0.56,0.43,2.37075
0.63,0.01,2.99525
0.45,0.24,2.5182
0.52,0.13,2.7753
0.64,0.47,2.38975
0.51,0.91,1.95325
0.78,0.92,2.1648
0.92,0.54,2.49275
0.75,0.83,2.2123
0.72,0.5,2.43185
0.53,0.74,2.08125
0.82,0.88,2.22855
0.63,0.35,2.509
0.8,0.56,2.4226
0.99,0.8,2.34115
0.69,0.67,2.27535
0.44,0.43,2.25445
0.71,0.62,2.328
0.63,0.08,2.87485
0.48,0.4,2.33115
0.93,0.51,2.5227
0.65,0.12,2.83505
0.78,0.34,2.61805
0.17,0.41,1.7718
0.59,0.93,2.02245
0.98,0.65,2.4426
0.89,0.49,2.5371
0.09,0.48,1.47045
0.98,0.94,2.27485
0.6,0.72,2.14655
0.74,0.48,2.45885
0.48,0.19,2.64215
0.15,0.11,2.43565
0.86,0.55,2.4508
0.97,0.56,2.51345
1.0,0.64,2.47125
0.43,0.66,2.01735
0.85,0.2,2.7803
0.02,0.64,1.11495
0.26,0.02,2.91855
0.12,0.68,1.4298
0.66,0.15,2.7814
0.75,0.58,2.3806
0.04,0.92,1.1139
0.15,0.58,1.58615
0.4,0.84,1.86705
0.94,0.97,2.2563
0.64,0.08,2.8732
0.08,0.63,1.3282
0.81,0.9,2.2013
0.21,0.79,1.57295
0.21,0.13,2.4794
0.82,0.12,2.85445
0.77,0.84,2.19635
0.76,0.89,2.1605
0.06,0.34,1.54425
0.92,0.45,2.57425
0.41,0.87,1.86155
0.11,0.48,1.5515
0.67,0.53,2.3428
0.36,0.88,1.79335
0.47,0.6,2.13145
0.34,0.03,2.90375
0.79,0.95,2.16305
0.24,0.56,1.79735
0.17,0.32,1.9436
0.59,0.26,2.5965
0.59,0.68,2.1775
1.0,0.57,2.50505
0.63,0.84,2.12375
0.72,0.58,2.35055
0.84,0.68,2.35305
0.07,0.87,1.2162
0.71,0.48,2.43885
0.27,0.76,1.72915
0.2,0.43,1.8516
0.25,0.83,1.648
0.74,0.97,2.1301
0.56,0.06,2.90125
0.77,0.18,2.7946
0.61,0.23,2.6583
0.73,0.56,2.3745
0.4,0.67,1.9917
0.93,0.15,2.8553
0.37,0.3,2.3477
0.89,0.6,2.4664
0.32,0.92,1.715
0.97,0.95,2.2674
0.96,0.12,2.88355
0.74,0.25,2.67785
0.47,0.92,1.90255
0.13,0.43,1.6773
0.8,0.68,2.3385
0.01,0.53,1.11355
0.69,0.03,2.96805
0.73,0.82,2.20895
0.97,0.94,2.2703
0.9,1.0,2.20515
0.08,0.23,1.85495
0.82,0.79,2.2497
0.42,0.46,2.1974
0.62,0.93,2.04575
0.71,0.43,2.48085
0.77,0.04,2.9608
0.97,0.53,2.53565
0.73,0.22,2.7054
0.59,0.14,2.76055
0.5,0.81,2.01405
0.4,1.0,1.7717
0.89,0.12,2.8761
0.05,0.83,1.1679
0.19,0.67,1.6148
0.97,0.93,2.2785
0.69,0.2,2.7364
0.72,0.64,2.3115
0.94,0.47,2.5788
0.81,0.73,2.30415
0.5,0.86,1.96175
0.15,0.5,1.6451
0.45,0.28,2.4915
0.48,0.93,1.9159
0.15,0.25,2.03635
0.32,0.14,2.5762
0.62,0.38,2.48915
0.48,0.51,2.20565
0.61,0.92,2.036
0.34,0.82,1.8013
0.39,0.43,2.1956
0.89,0.11,2.8877
0.67,0.3,2.58725
0.15,0.26,1.98825
0.72,0.21,2.70415
0.57,0.41,2.3969
0.01,0.09,2.19815
0.55,0.84,2.0311
0.85,0.24,2.73025
0.53,0.07,2.8773
0.81,0.85,2.2264
0.65,0.79,2.1592
0.08,0.01,2.78965
0.62,0.24,2.6469
0.28,0.85,1.6783
0.12,0.31,1.83105
0.04,0.88,1.12045
0.25,0.42,1.97415
0.29,0.34,2.1589
0.12,0.75,1.3835
0.16,0.7,1.5278
0.9,0.47,2.5723
0.65,0.01,2.9937
0.44,0.94,1.8645
0.38,0.39,2.23075
0.95,0.84,2.3279
0.31,0.48,2.0371
0.45,0.92,1.88265
0.08,0.35,1.5954
0.68,0.89,2.1234
0.99,1.0,2.26485
0.61,0.37,2.471
0.02,0.96,1.0548
0.94,0.0,3.0057
0.71,0.78,2.2125
0.09,0.02,2.7443
0.46,0.16,2.65635
0.3,0.07,2.7639
0.94,0.83,2.298
0.25,0.01,2.9409
0.78,0.53,2.43755
0.24,0.45,1.92115
0.1,0.82,1.31125
0.27,0.33,2.1561
0.89,0.17,2.83255
0.5,0.19,2.65655
0.12,0.89,1.33705
0.57,0.07,2.88275
0.85,0.58,2.4316
0.03,0.67,1.13775
0.79,0.05,2.93625
0.18,0.3,1.9803
0.66,0.43,2.4509
0.41,0.6,2.04855
0.52,0.47,2.2998
0.53,0.05,2.91695
0.51,0.93,1.9324
0.8,0.32,2.6329
0.91,0.77,2.34195
0.57,0.84,2.0685
0.65,0.7,2.2129
0.6,0.23,2.6402
0.11,0.82,1.3284
0.46,1.0,1.85305
0.71,0.57,2.3771
0.28,0.08,2.7274
0.2,0.19,2.2901
0.82,0.03,2.9699
0.9,0.83,2.2939
0.68,0.02,2.973
0.1,0.34,1.68265
0.97,0.02,2.98785
0.27,0.01,2.928
0.84,0.82,2.25855
0.99,0.61,2.4749
0.18,0.48,1.7439
0.18,0.73,1.55145
0.79,0.15,2.827
0.77,0.93,2.17185
0.58,0.8,2.0996
0.18,0.95,1.4485
0.21,0.71,1.62345
0.98,0.62,2.4906
0.23,0.97,1.5571
0.06,0.16,2.0689
0.53,0.36,2.45025
0.97,0.86,2.3218
0.26,0.42,1.99075
0.81,0.43,2.54
0.2,0.12,2.50285
0.1,0.57,1.41875
0.15,0.35,1.83725
0.89,0.02,2.9834
0.51,0.7,2.11315
0.57,0.27,2.5592
0.11,0.19,2.0607
0.69,0.41,2.47485
0.68,0.83,2.1664
0.97,0.34,2.67345
0.36,0.11,2.71275
0.53,0.1,2.8142
0.19,0.47,1.775
0.81,0.31,2.6568
0.66,0.86,2.11775
0.93,0.77,2.33445
0.82,0.05,2.9401
0.88,0.94,2.2171
0.33,0.39,2.1397
0.1,0.68,1.3562
0.84,0.95,2.2045
0.29,0.54,1.92365
0.96,0.41,2.61675
0.89,0.67,2.4036
0.91,0.12,2.8762
0.31,0.86,1.7392
0.11,0.2,2.0482
0.06,0.77,1.2179
0.89,0.59,2.45675
0.01,0.38,1.26405
0.18,0.09,2.5723
0.2,0.72,1.6031
0.56,0.89,2.01015
0.19,0.48,1.7742
0.33,0.63,1.88815
0.86,0.41,2.55435
0.51,0.19,2.65185
0.35,0.08,2.77335
0.51,0.69,2.0989
0.68,0.91,2.11215
0.78,0.73,2.2734
0.65,0.68,2.23
0.4,0.44,2.2203
0.02,0.27,1.47365
0.3,0.89,1.6905
0.87,0.99,2.18575
0.95,0.8,2.3581
0.58,0.76,2.1323
0.71,0.86,2.16565
0.44,0.13,2.72205
0.48,0.0,3.00945
0.57,0.63,2.2012
0.59,0.25,2.6144
0.95,0.45,2.57645
0.12,0.04,2.6863
0.21,0.3,2.0743
0.57,0.31,2.50785
0.26,0.94,1.60135
0.55,0.82,2.0586
0.73,0.83,2.18635
0.94,0.28,2.7413
0.74,0.14,2.80585
0.03,0.55,1.1845
0.28,0.81,1.702
0.22,0.76,1.62895
0.26,0.45,1.9573
0.15,0.41,1.75905
0.85,0.02,2.98175
0.18,0.19,2.2546
0.11,0.09,2.452
0.34,0.74,1.8418
0.99,0.67,2.4357
0.74,0.85,2.19005
0.91,0.29,2.71505
0.12,0.41,1.63725
0.17,0.03,2.7882
0.06,0.47,1.37605
0.88,0.68,2.38425
0.68,0.19,2.7259
0.44,0.59,2.09975
0.64,0.56,2.3141
0.17,0.24,2.068
0.56,0.65,2.16835
0.63,0.48,2.37785
0.08,0.2,1.93295
0.24,0.82,1.6334
0.99,0.37,2.65075
0.89,0.42,2.57025
0.38,0.47,2.1312
0.68,0.22,2.695
0.2,0.25,2.13925
0.27,0.27,2.23565
0.1,0.01,2.8138
0.41,0.8,1.90195
0.38,0.04,2.87915
0.69,0.98,2.0642
0.59,0.96,2.01495
0.18,0.21,2.20975
0.11,0.97,1.289
0.03,0.82,1.1058
0.52,0.89,1.97815
0.75,0.97,2.1112
0.17,0.87,1.4572
0.87,0.48,2.5129
0.03,0.44,1.28255
0.33,0.44,2.09095
0.76,0.32,2.5978
0.73,0.5,2.43085
0.26,0.28,2.21695
0.36,0.29,2.3621
0.28,0.11,2.6246
0.0,0.23,1.51445
0.87,0.0,3.0089
0.26,0.61,1.80095
1.0,0.5,2.56115
0.35,0.61,1.9448
0.02,0.33,1.36765
0.52,0.76,2.06025
0.06,0.97,1.17205
0.98,0.06,2.94035
0.13,0.17,2.18625
0.24,0.64,1.75465
0.35,0.14,2.63305
0.11,0.94,1.2919
0.76,0.77,2.2545
0.67,0.45,2.42995
0.09,0.51,1.4411
0.99,0.31,2.6983
0.07,0.89,1.2116
0.65,0.43,2.4576
0.85,0.19,2.7874
0.91,0.58,2.4628
0.48,0.56,2.18995
0.66,0.06,2.92415
0.18,0.38,1.86715
0.56,0.64,2.17975
0.72,0.43,2.48635
0.64,0.11,2.83325
