x,y,score
0.46,0.76,2.84
0.54,0.86,3.26
0.16,0.19,1.62
0.61,0.18,3.4
0.82,0.41,4.1
0.72,0.66,3.98
0.63,0.37,3.52
0.41,0.28,2.5
0.16,0.44,1.66
0.8,0.33,4.18
0.84,0.23,4.1
0.25,0.48,2.07
0.62,0.7,3.52
0.78,0.28,3.92
0.03,0.68,1.15
0.57,0.0,3.0
0.69,0.37,3.41
0.46,0.05,2.65
0.65,0.03,3.16
0.56,0.8,3.06
0.28,0.44,2.11
0.65,0.0,3.0
0.57,0.1,3.33
0.44,0.29,2.86
0.63,0.49,3.44
0.26,0.03,2.53
0.92,0.27,4.64
0.69,0.35,3.69
0.79,0.78,4.04
0.3,0.26,2.26
0.98,0.54,4.83
0.25,0.62,2.07
0.55,0.43,3.29
0.19,0.06,2.2
0.14,0.65,1.74
0.09,0.65,1.34
0.92,1.0,4.66
0.51,0.43,3.06
0.36,0.66,2.23
0.33,0.92,2.18
0.01,0.93,1.07
0.25,0.81,2.02
0.9,0.46,4.55
0.3,0.12,2.08
0.87,0.59,4.23
0.8,0.75,4.02
0.93,0.2,4.46
0.34,0.41,2.3
0.05,0.48,1.15
0.9,0.12,4.0
0.59,0.65,3.25
0.72,0.62,3.67
0.29,0.87,2.31
0.02,0.72,1.13
0.8,0.35,4.06
0.09,0.22,1.37
0.05,0.61,1.07
0.49,0.38,2.7
0.62,0.21,3.31
0.79,0.55,4.25
0.64,0.52,3.44
0.17,0.15,1.79
0.45,0.81,2.83
0.48,0.8,2.7
0.51,0.39,3.0
0.62,0.39,3.49
0.58,0.64,3.16
0.8,0.62,4.05
0.6,0.07,3.38
0.35,0.87,2.22
0.85,0.83,4.32
0.96,0.89,4.76
0.68,0.4,3.76
0.13,0.15,1.66
0.14,0.31,1.6
0.15,0.88,1.56
0.72,0.97,3.84
0.56,0.33,3.25
0.52,0.26,3.11
0.99,0.97,4.86
0.9,0.63,4.29
0.31,0.47,2.01
0.98,0.8,4.79
0.31,0.34,2.23
0.22,0.4,1.94
0.87,0.37,4.36
0.76,0.43,4.17
0.79,0.76,4.02
0.83,0.38,4.28
0.74,0.12,3.79
0.68,0.51,3.67
0.56,0.43,3.05
0.63,0.01,2.975
0.45,0.24,2.52
0.52,0.13,3.01
0.64,0.47,3.44
0.51,0.91,3.08
0.78,0.92,3.94
0.92,0.54,4.65
0.75,0.83,3.81
0.72,0.5,3.76
0.53,0.74,3.15
0.82,0.88,4.28
0.63,0.35,3.3
0.8,0.56,4.15
0.99,0.8,4.81
0.69,0.67,3.87
0.44,0.43,2.66
0.71,0.62,3.7
0.63,0.08,3.11
0.48,0.4,2.62
0.93,0.51,4.53
0.65,0.12,3.35
0.78,0.34,4.08
0.17,0.41,1.72
0.59,0.93,3.2
0.98,0.65,4.82
0.89,0.49,4.44
0.09,0.48,1.39
0.98,0.94,4.78
0.6,0.72,3.24
0.74,0.48,3.75
0.48,0.19,2.86
0.15,0.11,1.57
0.86,0.55,4.26
0.97,0.56,4.76
1.0,0.64,4.86
0.43,0.66,2.72
0.85,0.2,4.42
0.02,0.64,1.09
0.26,0.02,2.31
0.12,0.68,1.48
0.66,0.15,3.22
0.75,0.58,3.85
0.04,0.92,1.28
0.15,0.58,1.49
0.4,0.84,2.48
0.94,0.97,4.64
0.64,0.08,3.16
0.08,0.63,1.35
0.81,0.9,3.93
0.21,0.79,1.75
0.21,0.13,2.17
0.82,0.12,4.1
0.77,0.84,4.07
0.76,0.89,4.0
0.06,0.34,1.3
0.92,0.45,4.51
0.41,0.87,2.74
0.11,0.48,1.41
0.67,0.53,3.77
0.36,0.88,2.12
0.47,0.6,2.94
0.34,0.03,2.7
0.79,0.95,4.14
0.24,0.56,1.76
0.17,0.32,1.79
0.59,0.26,3.44
0.59,0.68,3.29
1.0,0.57,4.82
0.63,0.84,3.38
0.72,0.58,3.81
0.84,0.68,4.13
0.07,0.87,1.25
0.71,0.48,3.79
0.27,0.76,2.03
0.2,0.43,1.56
0.25,0.83,2.02
0.74,0.97,3.74
0.56,0.06,3.28
0.77,0.18,3.66
0.61,0.23,3.35
0.73,0.56,3.78
0.4,0.67,2.83
0.93,0.15,4.48
0.37,0.3,2.49
0.89,0.6,4.32
0.32,0.92,2.26
0.97,0.95,4.76
0.96,0.12,4.58
0.74,0.25,4.05
0.47,0.92,2.96
0.13,0.43,1.66
0.8,0.68,4.14
0.01,0.53,1.09
0.69,0.03,3.23
0.73,0.82,3.72
0.97,0.94,4.79
0.9,1.0,4.44
0.08,0.23,1.37
0.82,0.79,4.16
0.42,0.46,2.94
0.62,0.93,3.61
0.71,0.43,3.8
0.77,0.04,3.35
0.97,0.53,4.72
0.73,0.22,3.67
0.59,0.14,3.46
0.5,0.81,3.03
0.4,1.0,2.56
0.89,0.12,3.94
0.05,0.83,1.18
0.19,0.67,1.85
0.97,0.93,4.76
0.69,0.2,3.52
0.72,0.64,3.75
0.94,0.47,4.6
0.81,0.73,4.06
0.5,0.86,2.76
0.15,0.5,1.69
0.45,0.28,2.85
0.48,0.93,3.03
0.15,0.25,1.67
0.32,0.14,2.27
0.62,0.38,3.37
0.48,0.51,2.82
0.61,0.92,3.42
0.34,0.82,2.5
0.39,0.43,2.54
0.89,0.11,4.15
0.67,0.3,3.44
0.15,0.26,1.64
0.72,0.21,3.83
0.57,0.41,3.24
0.01,0.09,2.08
0.55,0.84,3.47
0.85,0.24,4.25
0.53,0.07,2.97
0.81,0.85,4.05
0.65,0.79,3.57
0.08,0.01,3.005
0.62,0.24,3.46
0.28,0.85,2.09
0.12,0.31,1.63
0.04,0.88,1.18
0.25,0.42,1.73
0.29,0.34,2.11
0.12,0.75,1.36
0.16,0.7,1.62
0.9,0.47,4.49
0.65,0.01,3.0
0.44,0.94,2.6
0.38,0.39,2.38
0.95,0.84,4.57
0.31,0.48,2.18
0.45,0.92,2.74
0.08,0.35,1.33
0.68,0.89,3.81
0.99,1.0,4.86
0.61,0.37,3.41
0.02,0.96,1.06
0.94,0.0,3.02
0.71,0.78,3.67
0.09,0.02,2.99
0.46,0.16,2.7
0.3,0.07,2.16
0.94,0.83,4.64
0.25,0.01,2.84
0.78,0.53,4.03
0.24,0.45,1.67
0.1,0.82,1.31
0.27,0.33,2.13
0.89,0.17,4.35
0.5,0.19,2.98
0.12,0.89,1.39
0.57,0.07,3.0
0.85,0.58,4.21
0.03,0.67,1.11
0.79,0.05,3.71
0.18,0.3,1.51
0.66,0.43,3.41
0.41,0.6,2.49
0.52,0.47,2.94
0.53,0.05,2.77
0.51,0.93,3.14
0.8,0.32,4.09
0.91,0.77,4.44
0.57,0.84,3.04
0.65,0.7,3.54
0.6,0.23,3.2
0.11,0.82,1.46
0.46,1.0,2.86
0.71,0.57,3.68
0.28,0.08,2.4
0.2,0.19,1.93
0.82,0.03,2.975
0.9,0.83,4.45
0.68,0.02,3.26
0.1,0.34,1.52
0.97,0.02,4.11
0.27,0.01,2.955
0.84,0.82,4.24
0.99,0.61,4.81
0.18,0.48,1.89
0.18,0.73,1.66
0.79,0.15,4.17
0.77,0.93,3.86
0.58,0.8,3.4
0.18,0.95,1.78
0.21,0.71,1.75
0.98,0.62,4.79
0.23,0.97,1.86
0.06,0.16,1.39
0.53,0.36,3.15
0.97,0.86,4.78
0.26,0.42,2.0
0.81,0.43,4.15
0.2,0.12,2.1
0.1,0.57,1.29
0.15,0.35,1.57
0.89,0.02,3.44
0.51,0.7,3.04
0.57,0.27,3.17
0.11,0.19,1.59
0.69,0.41,3.79
0.68,0.83,3.65
0.97,0.34,4.75
0.36,0.11,2.37
0.53,0.1,3.18
0.19,0.47,1.83
0.81,0.31,4.05
0.66,0.86,3.63
0.93,0.77,4.5
0.82,0.05,3.83
0.88,0.94,4.28
0.33,0.39,2.25
0.1,0.68,1.25
0.84,0.95,4.33
0.29,0.54,2.14
0.96,0.41,4.59
0.89,0.67,4.44
0.91,0.12,4.37
0.31,0.86,2.2
0.11,0.2,1.44
0.06,0.77,1.16
0.89,0.59,4.54
0.01,0.38,1.04
0.18,0.09,1.9
0.2,0.72,1.92
0.56,0.89,3.06
0.19,0.48,1.67
0.33,0.63,2.36
0.86,0.41,4.26
0.51,0.19,3.05
0.35,0.08,2.37
0.51,0.69,3.12
0.68,0.91,3.68
0.78,0.73,3.83
0.65,0.68,3.5
0.4,0.44,2.6
0.02,0.27,1.32
0.3,0.89,2.28
0.87,0.99,4.36
0.95,0.8,4.78
0.58,0.76,3.04
0.71,0.86,3.79
0.44,0.13,2.89
0.48,0.0,3.02
0.57,0.63,3.05
0.59,0.25,3.41
0.95,0.45,4.67
0.12,0.04,2.15
0.21,0.3,1.8
0.57,0.31,3.2
0.26,0.94,1.82
0.55,0.82,2.9
0.73,0.83,3.74
0.94,0.28,4.51
0.74,0.14,3.85
0.03,0.55,1.18
0.28,0.81,1.84
0.22,0.76,1.94
0.26,0.45,2.14
0.15,0.41,1.8
0.85,0.02,2.99
0.18,0.19,2.04
0.11,0.09,1.95
0.34,0.74,2.52
0.99,0.67,4.85
0.74,0.85,3.83
0.91,0.29,4.43
0.12,0.41,1.61
0.17,0.03,1.96
0.06,0.47,1.3
0.88,0.68,4.21
0.68,0.19,3.42
0.44,0.59,2.54
0.64,0.56,3.35
0.17,0.24,1.71
0.56,0.65,3.01
0.63,0.48,3.39
0.08,0.2,1.69
0.24,0.82,1.9
0.99,0.37,4.8
0.89,0.42,4.45
0.38,0.47,2.41
0.68,0.22,3.68
0.2,0.25,1.75
0.27,0.27,2.06
0.1,0.01,2.975
0.41,0.8,2.52
0.38,0.04,2.75
0.69,0.98,3.62
0.59,0.96,3.08
0.18,0.21,1.59
0.11,0.97,1.36
0.03,0.82,1.1
0.52,0.89,3.0
0.75,0.97,3.8
0.17,0.87,1.53
0.87,0.48,4.39
0.03,0.44,1.1
0.33,0.44,2.22
0.76,0.32,4.0
0.73,0.5,3.78
0.26,0.28,1.94
0.36,0.29,2.38
0.28,0.11,2.17
0.0,0.23,1.2
0.87,0.0,3.02
0.26,0.61,2.11
1.0,0.5,4.9
0.35,0.61,2.23
0.02,0.33,1.21
0.52,0.76,3.13
0.06,0.97,1.14
0.98,0.06,3.88
0.13,0.17,1.68
0.24,0.64,1.75
0.35,0.14,2.32
0.11,0.94,1.44
0.76,0.77,3.82
0.67,0.45,3.78
0.09,0.51,1.44
0.99,0.31,4.77
0.07,0.89,1.32
0.65,0.43,3.5
0.85,0.19,4.06
0.91,0.58,4.49
0.48,0.56,3.05
0.66,0.06,3.5
0.18,0.38,1.79
0.56,0.64,3.38
0.72,0.43,3.83
0.64,0.11,3.45
0.38,0.45,2.11
0.42,0.25,2.51
1.0,0.63,4.86
0.35,0.26,2.25
0.03,0.18,1.3
0.27,0.91,2.1
0.8,0.26,4.04
0.15,0.31,1.59
0.89,0.44,4.42
0.61,0.87,2.99
0.31,0.61,2.11
0.72,0.45,3.8
0.0,0.6,0.99
0.98,0.82,4.82
0.25,0.27,1.86
