x,y,score
0.46,0.76,2.5982
0.54,0.86,2.8394
0.16,0.19,1.7874
0.61,0.18,3.33735
0.82,0.41,4.0125
0.72,0.66,3.5853
0.63,0.37,3.3576
0.41,0.28,2.62615
0.16,0.44,1.6777
0.8,0.33,3.9581
0.84,0.23,4.14645
0.25,0.48,1.98085
0.62,0.7,3.1973
0.78,0.28,3.92635
0.03,0.68,1.13695
0.57,0.0,3.2744
0.69,0.37,3.5831
0.46,0.05,2.91375
0.65,0.03,3.57535
0.56,0.8,2.9283
0.28,0.44,2.1193
0.65,0.0,3.59725
0.57,0.1,3.2495
0.44,0.29,2.72575
0.63,0.49,3.31415
0.26,0.03,2.19755
0.92,0.27,4.42765
0.69,0.35,3.5845
0.79,0.78,3.7511
0.3,0.26,2.26995
0.98,0.54,4.5202
0.25,0.62,1.90975
0.55,0.43,3.06465
0.19,0.06,1.95165
0.14,0.65,1.5332
0.09,0.65,1.3489
0.92,1.0,4.09485
0.51,0.43,2.9065
0.36,0.66,2.3054
0.33,0.92,2.1094
0.01,0.93,0.9641
0.25,0.81,1.83545
0.9,0.46,4.28485
0.3,0.12,2.3195
0.87,0.59,4.0942
0.8,0.75,3.7807
0.93,0.2,4.47005
0.34,0.41,2.33685
0.05,0.48,1.27945
0.9,0.12,4.39795
0.59,0.65,3.06845
0.72,0.62,3.5639
0.29,0.87,1.9563
0.02,0.72,1.0878
0.8,0.35,3.95595
0.09,0.22,1.52785
0.05,0.61,1.2255
0.49,0.38,2.85515
0.62,0.21,3.39465
0.79,0.55,3.82275
0.64,0.52,3.32425
0.17,0.15,1.83955
0.45,0.81,2.5517
0.48,0.8,2.652
0.51,0.39,2.94065
0.62,0.39,3.31335
0.58,0.64,3.0798
0.8,0.62,3.8578
0.6,0.07,3.36835
0.35,0.87,2.18135
0.85,0.83,3.94305
0.96,0.89,4.271
0.68,0.4,3.51245
0.13,0.15,1.6961
0.14,0.31,1.6945
0.15,0.88,1.47525
0.72,0.97,3.42085
0.56,0.33,3.11615
0.52,0.26,3.03525
0.99,0.97,4.3776
0.9,0.63,4.2064
0.31,0.47,2.1864
0.98,0.8,4.4152
0.31,0.34,2.2391
0.22,0.4,1.90825
0.87,0.37,4.20735
0.76,0.43,3.8022
0.79,0.76,3.77415
0.83,0.38,4.0498
0.74,0.12,3.85915
0.68,0.51,3.4673
0.56,0.43,3.08445
0.63,0.01,3.4991
