x,y,score
0.46,0.76,1.28
0.54,0.86,1.06
0.16,0.19,2.245
0.61,0.18,3.405
0.82,0.41,3.24
0.72,0.66,2.405
0.63,0.37,3.145
0.41,0.28,2.585
0.16,0.44,1.71
0.8,0.33,3.54
0.84,0.23,3.67
0.25,0.48,1.67
0.62,0.7,1.88
0.78,0.28,3.51
0.03,0.68,1.07
0.57,0.0,3.34
0.69,0.37,3.08
0.46,0.05,2.97
0.65,0.03,3.575
0.56,0.8,1.435
0.28,0.44,1.885
0.65,0.0,3.705
0.57,0.1,3.135
0.44,0.29,2.505
0.63,0.49,2.72
0.26,0.03,2.66
0.92,0.27,4.495
0.69,0.35,3.08
0.79,0.78,1.79
0.3,0.26,2.325
0.98,0.54,4.91
0.25,0.62,1.57
0.55,0.43,2.7
0.19,0.06,2.355
0.14,0.65,1.24
0.09,0.65,1.14
0.92,1.0,0.325
0.51,0.43,2.42
0.36,0.66,1.455
0.33,0.92,0.45
0.01,0.93,0.265
0.25,0.81,0.965
0.9,0.46,4.305
0.3,0.12,2.51
0.87,0.59,3.65
0.8,0.75,2.345
0.93,0.2,4.37
0.34,0.41,2.16
0.05,0.48,1.445
0.9,0.12,4.375
0.59,0.65,2.435
0.72,0.62,2.555
0.29,0.87,0.685
0.02,0.72,0.98
0.8,0.35,3.705
0.09,0.22,1.93
0.05,0.61,1.23
0.49,0.38,2.58
0.62,0.21,3.245
0.79,0.55,3.12
0.64,0.52,2.775
0.17,0.15,2.255
0.45,0.81,1.42
0.48,0.8,1.365
0.51,0.39,2.61
0.62,0.39,2.785
0.58,0.64,1.905
0.8,0.62,2.915
0.6,0.07,3.325
0.35,0.87,0.505
0.85,0.83,2.9
0.96,0.89,2.95
0.68,0.4,2.99
0.13,0.15,2.15
0.14,0.31,1.97
0.15,0.88,0.585
0.72,0.97,0.29
0.56,0.33,2.455
0.52,0.26,2.85
0.99,0.97,3.68
0.9,0.63,3.895
0.31,0.47,1.96
0.98,0.8,4.67
0.31,0.34,2.285
0.22,0.4,1.925
0.87,0.37,3.955
0.76,0.43,3.275
0.79,0.76,2.22
0.83,0.38,3.42
0.74,0.12,3.67
0.68,0.51,2.845
0.56,0.43,2.705
0.63,0.01,3.605
0.45,0.24,2.62
0.52,0.13,3.07
0.64,0.47,2.46
0.51,0.91,0.69
0.78,0.92,1.29
0.92,0.54,4.355
0.75,0.83,1.785
0.72,0.5,2.9
0.53,0.74,1.58
0.82,0.88,2.09
0.63,0.35,3.34
0.8,0.56,3.36
0.99,0.8,4.85
0.69,0.67,2.235
0.44,0.43,2.265
0.71,0.62,2.565
0.63,0.08,3.055
0.48,0.4,2.205
0.93,0.51,4.49
0.65,0.12,3.375
0.78,0.34,3.245
0.17,0.41,1.975
0.59,0.93,0.345
0.98,0.65,4.64
0.89,0.49,4.21
0.09,0.48,1.71
0.98,0.94,2.78
0.6,0.72,1.89
0.74,0.48,2.9
0.48,0.19,2.625
0.15,0.11,2.39
0.86,0.55,3.26
0.97,0.56,4.74
1.0,0.64,4.97
0.43,0.66,1.63
0.85,0.2,4.345
0.02,0.64,1.085
0.26,0.02,2.55
0.12,0.68,1.135
0.66,0.15,3.72
0.75,0.58,2.785
0.04,0.92,0.395
0.15,0.58,1.615
0.4,0.84,0.975
0.94,0.97,0.94
0.64,0.08,3.34
0.08,0.63,1.185
0.81,0.9,2.025
0.21,0.79,0.985
0.21,0.13,2.365
0.82,0.12,4.19
0.77,0.84,1.905
0.76,0.89,1.335
0.06,0.34,1.975
0.92,0.45,4.08
0.41,0.87,0.73
0.11,0.48,1.435
0.67,0.53,2.755
0.36,0.88,0.55
0.47,0.6,1.995
0.34,0.03,2.83
0.79,0.95,0.605
0.24,0.56,1.735
0.17,0.32,2.105
0.59,0.26,3.005
0.59,0.68,2.295
1.0,0.57,5.0
0.63,0.84,1.105
0.72,0.58,2.87
0.84,0.68,2.675
0.07,0.87,0.3
0.71,0.48,3.09
0.27,0.76,1.0
0.2,0.43,1.9
0.25,0.83,0.635
0.74,0.97,0.345
0.56,0.06,3.355
0.77,0.18,3.84
0.61,0.23,3.325
0.73,0.56,3.16
0.4,0.67,1.545
0.93,0.15,4.615
0.37,0.3,2.465
0.89,0.6,3.605
0.32,0.92,0.435
0.97,0.95,3.99
0.96,0.12,4.79
0.74,0.25,3.69
0.47,0.92,0.84
0.13,0.43,1.79
0.8,0.68,2.9
0.01,0.53,1.335
0.69,0.03,3.605
0.73,0.82,2.065
0.97,0.94,2.36
0.9,1.0,0.145
0.08,0.23,1.975
0.82,0.79,2.21
0.42,0.46,2.3
0.62,0.93,0.71
0.71,0.43,2.95
