x,y,score
0.46,0.76,1.9879
0.54,0.86,2.01585
0.16,0.19,2.17535
0.61,0.18,2.74065
0.82,0.41,2.5662
0.72,0.66,2.3082
0.63,0.37,2.52
0.41,0.28,2.43115
0.16,0.44,1.71105
0.8,0.33,2.6463
0.84,0.23,2.78135
0.25,0.48,1.91745
0.62,0.7,2.19895
0.78,0.28,2.68555
0.03,0.68,1.12655
0.57,0.0,3.12935
0.69,0.37,2.5394
0.46,0.05,2.9014
0.65,0.03,3.13865
0.56,0.8,2.07305
0.28,0.44,2.0165
0.65,0.0,3.33325
0.57,0.1,2.87975
0.44,0.29,2.44125
0.63,0.49,2.37105
0.26,0.03,2.74175
0.92,0.27,2.7667
0.69,0.35,2.5596
0.79,0.78,2.31785
0.3,0.26,2.31705
0.98,0.54,2.5788
0.25,0.62,1.7804
0.55,0.43,2.367
0.19,0.06,2.5406
0.14,0.65,1.4899
0.09,0.65,1.36395
0.92,1.0,2.64785
0.51,0.43,2.3424
0.36,0.66,1.92895
0.33,0.92,1.7312
0.01,0.93,1.0267
0.25,0.81,1.6457
0.9,0.46,2.60975
0.3,0.12,2.611
0.87,0.59,2.45725
0.8,0.75,2.3212
0.93,0.2,2.8207
0.34,0.41,2.173
0.05,0.48,1.27085
0.9,0.12,3.13835
0.59,0.65,2.2016
0.72,0.62,2.35225
0.29,0.87,1.68625
0.02,0.72,1.08135
0.8,0.35,2.61895
0.09,0.22,1.7669
0.05,0.61,1.21805
0.49,0.38,2.3804
0.62,0.21,2.6967
0.79,0.55,2.4304
0.64,0.52,2.37425
0.17,0.15,2.31575
0.45,0.81,1.95255
0.48,0.8,2.0017
0.51,0.39,2.3948
0.62,0.39,2.48085
0.58,0.64,2.20335
0.8,0.62,2.38025
0.6,0.07,2.9765
0.35,0.87,1.77945
0.85,0.83,2.3419
0.96,0.89,2.47885
0.68,0.4,2.4993
0.13,0.15,2.16635
0.14,0.31,1.83595
0.15,0.88,1.44565
0.72,0.97,2.19355
0.56,0.33,2.5024
0.52,0.26,2.5544
0.99,0.97,3.03515
0.9,0.63,2.4262
0.31,0.47,2.05115
0.98,0.8,2.51955
0.31,0.34,2.20855
0.22,0.4,1.9626
0.87,0.37,2.6442
0.76,0.43,2.52255
0.79,0.76,2.3209
0.83,0.38,2.6248
0.74,0.12,2.92045
0.68,0.51,2.4054
0.56,0.43,2.388
0.63,0.01,3.2332
0.45,0.24,2.5287
0.52,0.13,2.7743
0.64,0.47,2.4097
0.51,0.91,1.9533
0.78,0.92,2.28125
0.92,0.54,2.53475
0.75,0.83,2.24825
0.72,0.5,2.4251
0.53,0.74,2.08055
0.82,0.88,2.34455
0.63,0.35,2.5343
0.8,0.56,2.4261
0.99,0.8,2.6645
0.69,0.67,2.26715
0.44,0.43,2.25865
0.71,0.62,2.3525
0.63,0.08,2.9334
0.48,0.4,2.33305
0.93,0.51,2.54475
0.65,0.12,2.88045
0.78,0.34,2.6123
0.17,0.41,1.7872
0.59,0.93,2.0316
0.98,0.65,2.5358
0.89,0.49,2.52585
0.09,0.48,1.43955
0.98,0.94,2.88885
0.6,0.72,2.15625
0.74,0.48,2.4524
0.48,0.19,2.641
0.15,0.11,2.37095
0.86,0.55,2.4644
0.97,0.56,2.55025
1.0,0.64,2.50995
0.43,0.66,2.0325
0.85,0.2,2.89685
0.02,0.64,1.092
0.26,0.02,2.7398
0.12,0.68,1.4219
0.66,0.15,2.81105
0.75,0.58,2.3889
0.04,0.92,1.1308
0.15,0.58,1.5804
0.4,0.84,1.88095
0.94,0.97,2.74355
0.64,0.08,2.9635
0.08,0.63,1.3316
0.81,0.9,2.34135
0.21,0.79,1.5916
0.21,0.13,2.46335
0.82,0.12,3.00485
0.77,0.84,2.2651
0.76,0.89,2.23535
0.06,0.34,1.40515
0.92,0.45,2.59255
0.41,0.87,1.8572
0.11,0.48,1.52835
0.67,0.53,2.371
0.36,0.88,1.7929
0.47,0.6,2.11975
0.34,0.03,2.7982
0.79,0.95,2.20745
0.24,0.56,1.7963
0.17,0.32,1.91455
0.59,0.26,2.61975
0.59,0.68,2.18445
1.0,0.57,2.53995
0.63,0.84,2.11175
0.72,0.58,2.38545
0.84,0.68,2.3999
0.07,0.87,1.2417
0.71,0.48,2.4374
0.27,0.76,1.7261
0.2,0.43,1.8804
0.25,0.83,1.6327
0.74,0.97,2.25475
0.56,0.06,2.97925
0.77,0.18,2.8326
0.61,0.23,2.6517
0.73,0.56,2.3854
0.4,0.67,1.9773
0.93,0.15,2.90105
0.37,0.3,2.34025
0.89,0.6,2.4676
0.32,0.92,1.7097
0.97,0.95,2.7829
0.96,0.12,3.2112
0.74,0.25,2.72085
0.47,0.92,1.9017
0.13,0.43,1.64925
0.8,0.68,2.36995
0.01,0.53,1.0664
0.69,0.03,3.2097
0.73,0.82,2.22655
0.97,0.94,2.79265
0.9,1.0,2.50245
0.08,0.23,1.76095
0.82,0.79,2.3053
0.42,0.46,2.2196
0.62,0.93,2.0328
0.71,0.43,2.4781
0.77,0.04,3.3302
0.97,0.53,2.5568
0.73,0.22,2.73615
0.59,0.14,2.79355
0.5,0.81,1.99835
0.4,1.0,1.7755
0.89,0.12,3.0126
0.05,0.83,1.1765
0.19,0.67,1.61995
0.97,0.93,2.9043
0.69,0.2,2.7674
0.72,0.64,2.3358
0.94,0.47,2.56545
0.81,0.73,2.3537
0.5,0.86,1.97015
0.15,0.5,1.6527
0.45,0.28,2.48965
0.48,0.93,1.90825
0.15,0.25,1.99105
0.32,0.14,2.59945
0.62,0.38,2.4852
0.48,0.51,2.21475
0.61,0.92,2.06075
0.34,0.82,1.78735
0.39,0.43,2.208
0.89,0.11,3.137
0.67,0.3,2.62275
0.15,0.26,1.97025
0.72,0.21,2.76315
0.57,0.41,2.4163
0.01,0.09,1.3636
0.55,0.84,2.03475
0.85,0.24,2.7673
0.53,0.07,2.89905
0.81,0.85,2.32125
0.65,0.79,2.1657
0.08,0.01,2.56105
0.62,0.24,2.6411
0.28,0.85,1.67645
0.12,0.31,1.75535
0.04,0.88,1.13625
0.25,0.42,1.9933
0.29,0.34,2.14965
0.12,0.75,1.4036
0.16,0.7,1.5353
0.9,0.47,2.5829
0.65,0.01,3.23095
0.44,0.94,1.86085
0.38,0.39,2.2555
0.95,0.84,2.5595
0.31,0.48,2.0308
0.45,0.92,1.87795
0.08,0.35,1.5323
