x,y,score
0.46,0.76,0.82835
0.54,0.86,0.54575
0.16,0.19,2.4245
0.61,0.18,2.5279
0.82,0.41,1.8841
0.72,0.66,1.12065
0.63,0.37,1.9572
0.41,0.28,2.18945
0.16,0.44,1.7087
0.8,0.33,2.1214
0.84,0.23,2.4027
0.25,0.48,1.5952
0.62,0.7,1.02475
0.78,0.28,2.2494
0.03,0.68,0.98435
0.57,0.0,3.02995
0.69,0.37,1.99265
0.46,0.05,2.8722
0.65,0.03,2.9546
0.56,0.8,0.7346
0.28,0.44,1.70685
0.65,0.0,3.0514
0.57,0.1,2.7491
0.44,0.29,2.185
0.63,0.49,1.60155
0.26,0.03,2.8966
0.92,0.27,2.304
0.69,0.35,2.0474
0.79,0.78,0.81945
0.3,0.26,2.2481
0.98,0.54,1.5337
0.25,0.62,1.1879
0.55,0.43,1.7876
0.19,0.06,2.8032
0.14,0.65,1.0784
0.09,0.65,1.0718
0.92,1.0,0.29485
0.51,0.43,1.7768
0.36,0.66,1.09255
0.33,0.92,0.3967
0.01,0.93,0.5526
0.25,0.81,0.6397
0.9,0.46,1.758
0.3,0.12,2.6498
0.87,0.59,1.3666
0.8,0.75,0.87495
0.93,0.2,2.50845
0.34,0.41,1.8184
0.05,0.48,1.55865
0.9,0.12,2.73915
0.59,0.65,1.15505
0.72,0.62,1.24975
0.29,0.87,0.4983
0.02,0.72,0.86885
0.8,0.35,2.0616
0.09,0.22,2.3239
0.05,0.61,1.19815
0.49,0.38,1.92335
0.62,0.21,2.44015
0.79,0.55,1.48365
0.64,0.52,1.5438
0.17,0.15,2.5362
0.45,0.81,0.6937
0.48,0.8,0.7193
0.51,0.39,1.8827
0.62,0.39,1.90835
0.58,0.64,1.189
0.8,0.62,1.24265
0.6,0.07,2.83005
0.35,0.87,0.50275
0.85,0.83,0.67835
0.96,0.89,0.53945
0.68,0.4,1.87975
0.13,0.15,2.5385
0.14,0.31,2.08205
0.15,0.88,0.46895
0.72,0.97,0.34515
0.56,0.33,2.0662
0.52,0.26,2.2689
0.99,0.97,0.37285
0.9,0.63,1.24545
0.31,0.47,1.65395
0.98,0.8,0.7859
0.31,0.34,2.0207
0.22,0.4,1.83135
0.87,0.37,1.99585
0.76,0.43,1.82905
0.79,0.76,0.87135
0.83,0.38,1.9561
0.74,0.12,2.7085
0.68,0.51,1.574
0.56,0.43,1.7842
0.63,0.01,3.01055
0.45,0.24,2.3158
0.52,0.13,2.66295
0.64,0.47,1.6904
0.51,0.91,0.43545
0.78,0.92,0.4443
0.92,0.54,1.5176
0.75,0.83,0.66775
0.72,0.5,1.622
0.53,0.74,0.8916
0.82,0.88,0.55015
0.63,0.35,2.0496
0.8,0.56,1.4596
0.99,0.8,0.7817
0.69,0.67,1.09605
0.44,0.43,1.7895
0.71,0.62,1.2399
0.63,0.08,2.80865
0.48,0.4,1.84265
0.93,0.51,1.60645
0.65,0.12,2.69105
0.78,0.34,2.0664
0.17,0.41,1.74925
0.59,0.93,0.4064
0.98,0.65,1.2097
0.89,0.49,1.65605
0.09,0.48,1.57495
0.98,0.94,0.41545
0.6,0.72,0.9356
0.74,0.48,1.6575
0.48,0.19,2.4601
0.15,0.11,2.6608
0.86,0.55,1.4658
0.97,0.56,1.45085
1.0,0.64,1.2435
0.43,0.66,1.1113
0.85,0.2,2.5117
0.02,0.64,1.09035
0.26,0.02,2.9229
0.12,0.68,0.9946
0.66,0.15,2.6058
0.75,0.58,1.3769
0.04,0.92,0.459
0.15,0.58,1.3104
0.4,0.84,0.58315
0.94,0.97,0.3548
0.64,0.08,2.8319
0.08,0.63,1.11105
0.81,0.9,0.49775
0.21,0.79,0.69835
0.21,0.13,2.60115
0.82,0.12,2.71905
0.77,0.84,0.637
0.76,0.89,0.51405
0.06,0.34,1.9772
0.92,0.45,1.78305
0.41,0.87,0.5171
0.11,0.48,1.56845
0.67,0.53,1.50465
0.36,0.88,0.4862
