x,y,score
0.0,0.0,3.0
0.0,0.01,2.95525
0.0,0.02,2.9095000000000004
0.0,0.03,2.8905
0.0,0.04,2.7960000000000003
0.0,0.05,2.6462499999999998
0.0,0.06,2.4325
0.0,0.07,2.33275
0.0,0.08,2.1824999999999997
0.0,0.09,2.0940000000000003
0.0,0.1,1.9722499999999996
0.0,0.11,2.00775
0.0,0.12,1.777
0.0,0.13,1.75425
0.0,0.14,1.6309999999999998
0.0,0.15,1.64325
0.0,0.16,1.5725
0.0,0.17,1.5
0.0,0.18,1.4197499999999998
0.0,0.19,1.5007500000000003
0.0,0.2,1.38975
0.0,0.21,1.3619999999999999
0.0,0.22,1.30775
0.0,0.23,1.3435000000000001
0.0,0.24,1.26525
0.0,0.25,1.3370000000000002
0.0,0.26,1.2785
0.0,0.27,1.2814999999999999
0.0,0.28,1.25875
0.0,0.29,1.19125
0.0,0.3,1.206
0.0,0.31,1.1817499999999999
0.0,0.32,1.2032500000000002
0.0,0.33,1.18125
0.0,0.34,1.1607499999999997
0.0,0.35000000000000003,1.163
0.0,0.36,1.1800000000000002
0.0,0.37,1.15075
0.0,0.38,1.1307500000000004
0.0,0.39,1.1175
0.0,0.4,1.1252499999999999
0.0,0.41000000000000003,1.1445
0.0,0.42,1.1164999999999998
0.0,0.43,1.1145
0.0,0.44,1.0987500000000001
0.0,0.45,1.0789999999999997
0.0,0.46,1.0935000000000001
0.0,0.47000000000000003,1.11025
0.0,0.48,1.0685
0.0,0.49,1.067
0.0,0.5,1.08175
0.0,0.51,1.0587500000000003
0.0,0.52,1.0677499999999998
0.0,0.53,1.037
0.0,0.54,1.0532499999999998
0.0,0.55,1.06425
0.0,0.56,1.04575
0.0,0.5700000000000001,1.052
0.0,0.58,1.044
0.0,0.59,1.0415
0.0,0.6,1.0385
0.0,0.61,1.0267499999999998
0.0,0.62,1.024
0.0,0.63,1.0352499999999998
0.0,0.64,1.02875
0.0,0.65,1.0124999999999997
0.0,0.66,1.0125000000000002
0.0,0.67,1.0057499999999997
0.0,0.68,1.01525
0.0,0.6900000000000001,0.9995
0.0,0.7000000000000001,1.01475
0.0,0.71,1.0082499999999999
0.0,0.72,1.0025
0.0,0.73,1.0005000000000002
0.0,0.74,1.0077500000000001
0.0,0.75,0.9877499999999998
0.0,0.76,0.9894999999999999
0.0,0.77,0.9859999999999998
0.0,0.78,0.99075
0.0,0.79,0.9772499999999997
0.0,0.8,0.99225
0.0,0.81,0.9784999999999998
0.0,0.8200000000000001,0.98225
0.0,0.8300000000000001,0.96975
0.0,0.84,0.9772500000000001
0.0,0.85,0.9764999999999999
0.0,0.86,0.98375
0.0,0.87,0.97475
0.0,0.88,0.9720000000000001
0.0,0.89,0.97425
0.0,0.9,0.9669999999999999
0.0,0.91,0.962
0.0,0.92,0.9644999999999999
0.0,0.93,0.96025
0.0,0.9400000000000001,0.9644999999999999
0.0,0.9500000000000001,0.9574999999999999
0.0,0.96,0.9552499999999998
0.0,0.97,0.95175
0.0,0.98,0.9592499999999997
0.0,0.99,0.9517500000000002
0.0,1.0,0.9522499999999997
0.01,0.0,3.0
0.01,0.01,2.9652499999999997
0.01,0.02,2.9179999999999997
0.01,0.03,2.85225
0.01,0.04,2.8235
0.01,0.05,2.6695
