x,y,score
0.46,0.76,1.5985
0.54,0.86,1.5647
0.16,0.19,2.3986
0.61,0.18,2.4622
0.82,0.41,1.96665
0.72,0.66,1.8038
0.63,0.37,2.01015
0.41,0.28,2.18745
0.16,0.44,1.75735
0.8,0.33,2.07245
0.84,0.23,2.3364
0.25,0.48,1.769
0.62,0.7,1.7265
0.78,0.28,2.20955
0.03,0.68,1.1318
0.57,0.0,3.0
0.69,0.37,1.9936
0.46,0.05,2.8511
0.65,0.03,2.90875
0.56,0.8,1.62595
0.28,0.44,1.83995
0.65,0.0,3.0
0.57,0.1,2.7024
0.44,0.29,2.16975
0.63,0.49,1.93775
0.26,0.03,2.90965
0.92,0.27,2.24055
0.69,0.35,2.021
0.79,0.78,1.7367
0.3,0.26,2.2368
0.98,0.54,1.98605
0.25,0.62,1.5718
0.55,0.43,1.96615
0.19,0.06,2.81095
0.14,0.65,1.4013
0.09,0.65,1.29945
0.92,1.0,1.64575
0.51,0.43,1.95015
0.36,0.66,1.6149
0.33,0.92,1.39245
0.01,0.93,0.98035
0.25,0.81,1.3937
0.9,0.46,1.9915
0.3,0.12,2.6398
0.87,0.59,1.92315
0.8,0.75,1.7473
0.93,0.2,2.43015
0.34,0.41,1.9469
0.05,0.48,1.4686
0.9,0.12,2.64995
0.59,0.65,1.7485
0.72,0.62,1.8419
0.29,0.87,1.39265
0.02,0.72,1.0641
0.8,0.35,2.02085
0.09,0.22,2.30265
0.05,0.61,1.25895
0.49,0.38,2.01415
0.62,0.21,2.3829
0.79,0.55,1.9243
0.64,0.52,1.91745
0.17,0.15,2.537
0.45,0.81,1.54455
0.48,0.8,1.5652
0.51,0.39,1.9815
0.62,0.39,1.99785
0.58,0.64,1.74685
0.8,0.62,1.86085
0.6,0.07,2.78875
0.35,0.87,1.4472
0.85,0.83,1.7205
0.96,0.89,1.7137
0.68,0.4,1.9758
0.13,0.15,2.53285
0.14,0.31,2.05605
0.15,0.88,1.2354
0.72,0.97,1.58295
0.56,0.33,2.08675
0.52,0.26,2.24245
0.99,0.97,1.67825
0.9,0.63,1.89205
0.31,0.47,1.81245
0.98,0.8,1.78545
0.31,0.34,2.02685
0.22,0.4,1.8894
0.87,0.37,1.99085
0.76,0.43,1.97725
0.79,0.76,1.74225
0.83,0.38,1.9775
0.74,0.12,2.66265
0.68,0.51,1.9407
0.56,0.43,1.9779
0.63,0.01,2.9705
0.45,0.24,2.30155
0.52,0.13,2.6117
0.64,0.47,1.96075
0.51,0.91,1.51315
0.78,0.92,1.62615
0.92,0.54,1.9628
0.75,0.83,1.68755
0.72,0.5,1.9551
0.53,0.74,1.64935
0.82,0.88,1.66615
0.63,0.35,2.0409
0.8,0.56,1.92055
0.99,0.8,1.78165
0.69,0.67,1.77925
0.44,0.43,1.93685
0.71,0.62,1.83625
0.63,0.08,2.76555
0.48,0.4,1.977
0.93,0.51,1.98765
0.65,0.12,2.66125
0.78,0.34,2.053
0.17,0.41,1.82645
0.59,0.93,1.558
0.98,0.65,1.89345
0.89,0.49,1.9726
0.09,0.48,1.5805
0.98,0.94,1.6962
0.6,0.72,1.69365
0.74,0.48,1.96275
0.48,0.19,2.4487
0.15,0.11,2.6739
0.86,0.55,1.9408
0.97,0.56,1.9615
1.0,0.64,1.8968
0.43,0.66,1.6557
0.85,0.2,2.42305
0.02,0.64,1.13145
0.26,0.02,2.94195
0.12,0.68,1.3365
0.66,0.15,2.561
0.75,0.58,1.8812
0.04,0.92,1.04255
0.15,0.58,1.50975
0.4,0.84,1.48205
0.94,0.97,1.6732
0.64,0.08,2.7726
0.08,0.63,1.2862
0.81,0.9,1.6652
0.21,0.79,1.3617
0.21,0.13,2.60175
0.82,0.12,2.65185
0.77,0.84,1.67785
0.76,0.89,1.6332
0.06,0.34,1.87855
0.92,0.45,1.98025
0.41,0.87,1.4728
0.11,0.48,1.58905
0.67,0.53,1.9082
0.36,0.88,1.44245
0.47,0.6,1.7467
0.34,0.03,2.90755
0.79,0.95,1.61705
0.24,0.56,1.63515
0.17,0.32,2.0465
0.59,0.26,2.25625
0.59,0.68,1.71845
1.0,0.57,1.94725
0.63,0.84,1.60785
0.72,0.58,1.8871
0.84,0.68,1.8231
0.07,0.87,1.1139
0.71,0.48,1.95315
0.27,0.76,1.45845
0.2,0.43,1.8255
0.25,0.83,1.38325
0.74,0.97,1.59585
0.56,0.06,2.82625
0.77,0.18,2.4894
0.61,0.23,2.3416
0.73,0.56,1.89965
0.4,0.67,1.6205
0.93,0.15,2.57675
0.37,0.3,2.1442
0.89,0.6,1.90465
0.32,0.92,1.3846
0.97,0.95,1.68815
0.96,0.12,2.6559
0.74,0.25,2.2772
0.47,0.92,1.4962
0.13,0.43,1.73725
0.8,0.68,1.81245
0.01,0.53,1.2226
0.69,0.03,2.9131
0.73,0.82,1.67795
0.97,0.94,1.6907
0.9,1.0,1.6307
0.08,0.23,2.24095
0.82,0.79,1.7304
0.42,0.46,1.9029
0.62,0.93,1.5679
0.71,0.43,1.9847
0.77,0.04,2.88805
0.97,0.53,1.97385
0.73,0.22,2.36005
0.59,0.14,2.59885
0.5,0.81,1.57995
0.4,1.0,1.40685
0.89,0.12,2.6536
0.05,0.83,1.09165
0.19,0.67,1.4481
0.97,0.93,1.7015
0.69,0.2,2.4229
0.72,0.64,1.82005
0.94,0.47,1.9702
0.81,0.73,1.7784
0.5,0.86,1.54005
0.15,0.5,1.64085
0.45,0.28,2.19445
0.48,0.93,1.4934
0.15,0.25,2.22145
0.32,0.14,2.59095
0.62,0.38,2.0037
0.48,0.51,1.8623
0.61,0.92,1.556
0.34,0.82,1.46915
0.39,0.43,1.92735
0.89,0.11,2.67865
0.67,0.3,2.14955
0.15,0.26,2.1991
0.72,0.21,2.398
0.57,0.41,1.98135
0.01,0.09,2.703
0.55,0.84,1.58625
0.85,0.24,2.3216
0.53,0.07,2.7907
0.81,0.85,1.6932
0.65,0.79,1.65475
0.08,0.01,2.96805
0.62,0.24,2.3088
