x,y,score
0.46,0.76,2.83365
0.54,0.86,3.1308
0.16,0.19,1.65035
0.61,0.18,3.42595
0.82,0.41,4.255
0.72,0.66,3.82915
0.63,0.37,3.5011
0.41,0.28,2.6434
0.16,0.44,1.65365
0.8,0.33,4.18095
0.84,0.23,4.33845
0.25,0.48,1.9954
0.62,0.7,3.4464
0.78,0.28,4.0798
0.03,0.68,1.13225
0.57,0.0,3.2798
0.69,0.37,3.7407
0.46,0.05,2.8477
0.65,0.03,3.59425
0.56,0.8,3.19285
0.28,0.44,2.12405
0.65,0.0,3.598
0.57,0.1,3.2773
0.44,0.29,2.7472
0.63,0.49,3.4818
0.26,0.03,2.0635
0.92,0.27,4.65555
0.69,0.35,3.7298
0.79,0.78,4.10915
0.3,0.26,2.19635
0.98,0.54,4.88075
0.25,0.62,1.98475
0.55,0.43,3.18335
0.19,0.06,1.77725
0.14,0.65,1.5447
0.09,0.65,1.37475
0.92,1.0,4.6258
0.51,0.43,3.00805
0.36,0.66,2.4306
0.33,0.92,2.3132
0.01,0.93,1.0358
0.25,0.81,2.01735
0.9,0.46,4.58365
0.3,0.12,2.2054
0.87,0.59,4.4444
0.8,0.75,4.16335
0.93,0.2,4.6927
0.34,0.41,2.35905
0.05,0.48,1.19905
0.9,0.12,4.58745
0.59,0.65,3.3405
0.72,0.62,3.84775
0.29,0.87,2.16375
0.02,0.72,1.0851
0.8,0.35,4.1794
0.09,0.22,1.3811
0.05,0.61,1.2123
0.49,0.38,2.94305
0.62,0.21,3.4818
0.79,0.55,4.1394
0.64,0.52,3.5279
0.17,0.15,1.69035
0.45,0.81,2.76605
0.48,0.8,2.9246
0.51,0.39,3.00995
0.62,0.39,3.47495
0.58,0.64,3.2903
0.8,0.62,4.15235
0.6,0.07,3.41675
0.35,0.87,2.38575
0.85,0.83,4.376
0.96,0.89,4.7887
0.68,0.4,3.69745
0.13,0.15,1.54745
0.14,0.31,1.5695
0.15,0.88,1.5935
0.72,0.97,3.8432
0.56,0.33,3.2243
0.52,0.26,3.09075
0.99,0.97,4.9158
0.9,0.63,4.5562
0.31,0.47,2.2369
0.98,0.8,4.86875
0.31,0.34,2.261
0.22,0.4,1.88115
0.87,0.37,4.46355
0.76,0.43,4.01615
0.79,0.76,4.1081
0.83,0.38,4.2972
0.74,0.12,3.93765
0.68,0.51,3.6887
0.56,0.43,3.22615
0.63,0.01,3.5276
0.45,0.24,2.8082
0.52,0.13,3.0924
0.64,0.47,3.5302
0.51,0.91,3.03935
0.78,0.92,4.09945
0.92,0.54,4.6461
0.75,0.83,3.96655
0.72,0.5,3.8587
0.53,0.74,3.10315
0.82,0.88,4.23605
0.63,0.35,3.4919
0.8,0.56,4.1703
0.99,0.8,4.90845
0.69,0.67,3.7122
0.44,0.43,2.77285
0.71,0.62,3.8424
0.63,0.08,3.5285
0.48,0.4,2.9134
0.93,0.51,4.687
0.65,0.12,3.593
0.78,0.34,4.0948
0.17,0.41,1.6877
0.59,0.93,3.33325
0.98,0.65,4.87365
0.89,0.49,4.51965
0.09,0.48,1.38235
0.98,0.94,4.87305
