x,y,score
0.46,0.76,0.72485
0.54,0.86,0.42255
0.16,0.19,2.43445
0.61,0.18,2.48045
0.82,0.41,1.79075
0.72,0.66,1.0159
0.63,0.37,1.8913
0.41,0.28,2.16775
0.16,0.44,1.6838
0.8,0.33,2.01365
0.84,0.23,2.3142
0.25,0.48,1.57165
0.62,0.7,0.8921
0.78,0.28,2.174
0.03,0.68,0.966
0.57,0.0,3.0088
0.69,0.37,1.89515
0.46,0.05,2.84865
0.65,0.03,2.9233
0.56,0.8,0.5907
0.28,0.44,1.67305
0.65,0.0,3.01335
0.57,0.1,2.708
0.44,0.29,2.13515
0.63,0.49,1.52475
0.26,0.03,2.905
0.92,0.27,2.20625
0.69,0.35,1.95675
0.79,0.78,0.64935
0.3,0.26,2.22175
0.98,0.54,1.4327
0.25,0.62,1.1431
0.55,0.43,1.70435
0.19,0.06,2.817
0.14,0.65,1.04105
0.09,0.65,1.04175
0.92,1.0,0.0
0.51,0.43,1.70595
0.36,0.66,1.011
0.33,0.92,0.24465
0.01,0.93,0.2124
0.25,0.81,0.5715
0.9,0.46,1.63835
0.3,0.12,2.6375
0.87,0.59,1.23015
0.8,0.75,0.74895
0.93,0.2,2.5052
0.34,0.41,1.7889
0.05,0.48,1.55005
0.9,0.12,2.7043
0.59,0.65,1.04175
0.72,0.62,1.1437
0.29,0.87,0.381
0.02,0.72,0.84015
0.8,0.35,1.9542
0.09,0.22,2.33285
0.05,0.61,1.1804
0.49,0.38,1.8467
0.62,0.21,2.3833
0.79,0.55,1.36035
0.64,0.52,1.4518
0.17,0.15,2.5436
0.45,0.81,0.57665
0.48,0.8,0.6138
0.51,0.39,1.8243
0.62,0.39,1.82535
0.58,0.64,1.09305
0.8,0.62,1.12995
0.6,0.07,2.79455
0.35,0.87,0.3813
0.85,0.83,0.51705
0.96,0.89,0.3279
0.68,0.4,1.79775
0.13,0.15,2.5385
0.14,0.31,2.0747
0.15,0.88,0.36855
0.72,0.97,0.0918
0.56,0.33,2.01515
0.52,0.26,2.22875
0.99,0.97,0.093
0.9,0.63,1.1184
0.31,0.47,1.60575
0.98,0.8,0.59295
0.31,0.34,1.98985
0.22,0.4,1.7883
0.87,0.37,1.91605
0.76,0.43,1.7107
0.79,0.76,0.7212
0.83,0.38,1.8835
0.74,0.12,2.65505
0.68,0.51,1.4937
0.56,0.43,1.70555
0.63,0.01,2.9764
0.45,0.24,2.2827
0.52,0.13,2.61135
0.64,0.47,1.5863
0.51,0.91,0.27495
0.78,0.92,0.2457
0.92,0.54,1.3617
0.75,0.83,0.5034
0.72,0.5,1.50855
0.53,0.74,0.768
0.82,0.88,0.35385
0.63,0.35,1.96005
0.8,0.56,1.33935
0.99,0.8,0.60695
0.69,0.67,0.99315
0.44,0.43,1.73095
0.71,0.62,1.1408
0.63,0.08,2.77375
0.48,0.4,1.80325
0.93,0.51,1.47105
0.65,0.12,2.65775
0.78,0.34,1.9729
0.17,0.41,1.77265
0.59,0.93,0.21945
0.98,0.65,1.04085
0.89,0.49,1.54115
0.09,0.48,1.5564
0.98,0.94,0.1797
0.6,0.72,0.8172
0.74,0.48,1.57215
0.48,0.19,2.43525
0.15,0.11,2.67145
0.86,0.55,1.3433
0.97,0.56,1.31765
1.0,0.64,1.08065
0.43,0.66,1.02605
0.85,0.2,2.40145
0.02,0.64,1.09225
0.26,0.02,2.93945
0.12,0.68,0.96155
0.66,0.15,2.56825
0.75,0.58,1.26255
0.04,0.92,0.23385
0.15,0.58,1.2728
0.4,0.84,0.4796
0.94,0.97,0.08985
0.64,0.08,2.76705
0.08,0.63,1.0849
0.81,0.9,0.29565
0.21,0.79,0.6318
0.21,0.13,2.60645
0.82,0.12,2.6771
0.77,0.84,0.48075
0.76,0.89,0.33345
0.06,0.34,1.9691
0.92,0.45,1.6435
0.41,0.87,0.40575
0.11,0.48,1.5562
0.67,0.53,1.39655
0.36,0.88,0.3576
0.47,0.6,1.1953
0.34,0.03,2.90675
0.79,0.95,0.14985
0.24,0.56,1.32535
0.17,0.32,2.04
0.59,0.26,2.2236
0.59,0.68,0.9411
1.0,0.57,1.28585
0.63,0.84,0.45705
0.72,0.58,1.28015
0.84,0.68,0.9398
0.07,0.87,0.39975
0.71,0.48,1.5705
0.27,0.76,0.73635
0.2,0.43,1.71085
0.25,0.83,0.5079
0.74,0.97,0.0879
0.56,0.06,2.82825
0.77,0.18,2.48515
0.61,0.23,2.30905
0.73,0.56,1.30235
0.4,0.67,0.98035
0.93,0.15,2.6007
0.37,0.3,2.11255
0.89,0.6,1.20135
0.32,0.92,0.23475
0.97,0.95,0.1479
0.96,0.12,2.84305
0.74,0.25,2.2763
0.47,0.92,0.2319
0.13,0.43,1.69355
0.8,0.68,0.96935
0.01,0.53,1.40255
0.69,0.03,2.9298
0.73,0.82,0.53565
0.97,0.94,0.19155
0.9,1.0,0.0
0.08,0.23,2.3085
0.82,0.79,0.64155
0.42,0.46,1.619
0.62,0.93,0.2082
0.71,0.43,1.7187
0.77,0.04,2.9079
0.97,0.53,1.41215
0.73,0.22,2.36755
0.59,0.14,2.5896
0.5,0.81,0.5771
0.4,1.0,0.0
0.89,0.12,2.68795
0.05,0.83,0.50835
0.19,0.67,1.00335
0.97,0.93,0.2247
0.69,0.2,2.4181
0.72,0.64,1.0916
0.94,0.47,1.5912
0.81,0.73,0.8211
0.5,0.86,0.4269
0.15,0.5,1.4964
0.45,0.28,2.1678
0.48,0.93,0.21195
0.15,0.25,2.2552
0.32,0.14,2.5782
0.62,0.38,1.85625
0.48,0.51,1.47105
0.61,0.92,0.23775
0.34,0.82,0.542
0.39,0.43,1.7038
0.89,0.11,2.7288
0.67,0.3,2.10475
0.15,0.26,2.2264
0.72,0.21,2.35855
0.57,0.41,1.76195
0.01,0.09,2.72425
0.55,0.84,0.49095
0.85,0.24,2.301
0.53,0.07,2.79615
0.81,0.85,0.4395
0.65,0.79,0.6123
0.08,0.01,2.95865
0.62,0.24,2.28785
0.28,0.85,0.44805
0.12,0.31,2.07175
0.04,0.88,0.35445
0.25,0.42,1.7418
0.29,0.34,1.97435
0.12,0.75,0.74385
0.16,0.7,0.89755
0.9,0.47,1.6067
0.65,0.01,2.9811
0.44,0.94,0.1911
0.38,0.39,1.8525
0.95,0.84,0.4815
0.31,0.48,1.56205
0.45,0.92,0.2451
0.08,0.35,1.95015
0.68,0.89,0.33945
0.99,1.0,0.0
0.61,0.37,1.8922
0.02,0.96,0.11985
0.94,0.0,3.1518
0.71,0.78,0.657
0.09,0.02,2.92725
0.46,0.16,2.52445
0.3,0.07,2.7864
0.94,0.83,0.5028
0.25,0.01,2.9654
0.78,0.53,1.43675
0.24,0.45,1.6596
0.1,0.82,0.5391
0.27,0.33,2.00925
0.89,0.17,2.5437
0.5,0.19,2.43665
0.12,0.89,0.3246
0.57,0.07,2.7925
0.85,0.58,1.27945
0.03,0.67,0.9951
0.79,0.05,2.88595
0.18,0.3,2.0991
0.66,0.43,1.72765
0.41,0.6,1.21865
0.52,0.47,1.5889
0.53,0.05,2.8572
0.51,0.93,0.2136
0.8,0.32,2.07725
0.91,0.77,0.7014
0.57,0.84,0.4833
0.65,0.7,0.88875
0.6,0.23,2.3059
0.11,0.82,0.53235
0.46,1.0,0.0
0.71,0.57,1.3009
0.28,0.08,2.7634
0.2,0.19,2.42605
0.82,0.03,2.94975
0.9,0.83,0.50805
0.68,0.02,2.95175
0.1,0.34,1.9613
0.97,0.02,3.23485
0.27,0.01,2.9606
0.84,0.82,0.51675
0.99,0.61,1.20065
