x,y,score
0.46,0.76,1.0397
0.54,0.86,0.7977
0.16,0.19,2.41135
0.61,0.18,2.6724
0.82,0.41,2.14785
0.72,0.66,1.4259
0.63,0.37,2.14795
0.41,0.28,2.30255
0.16,0.44,1.7399
0.8,0.33,2.3335
0.84,0.23,2.6472
0.25,0.48,1.69975
0.62,0.7,1.27205
0.78,0.28,2.4778
0.03,0.68,1.05195
0.57,0.0,3.1221
0.69,0.37,2.1996
0.46,0.05,2.92775
0.65,0.03,3.07115
0.56,0.8,0.9812
0.28,0.44,1.7962
0.65,0.0,3.1572
0.57,0.1,2.856
0.44,0.29,2.27745
0.63,0.49,1.8306
0.26,0.03,2.87155
0.92,0.27,2.56325
0.69,0.35,2.23525
0.79,0.78,1.1574
0.3,0.26,2.28345
0.98,0.54,1.89525
0.25,0.62,1.2919
0.55,0.43,1.9614
0.19,0.06,2.76755
0.14,0.65,1.15165
0.09,0.65,1.1461
0.92,1.0,0.6192
0.51,0.43,1.93885
0.36,0.66,1.2554
0.33,0.92,0.54415
0.01,0.93,0.3503
0.25,0.81,0.7943
0.9,0.46,2.05995
0.3,0.12,2.67785
0.87,0.59,1.68135
0.8,0.75,1.22785
0.93,0.2,2.7374
0.34,0.41,1.90935
0.05,0.48,1.5816
0.9,0.12,2.9685
0.59,0.65,1.41305
0.72,0.62,1.53725
0.29,0.87,0.6713
0.02,0.72,0.9377
0.8,0.35,2.28015
0.09,0.22,2.29795
0.05,0.61,1.24045
0.49,0.38,2.05495
0.62,0.21,2.58725
0.79,0.55,1.769
0.64,0.52,1.7613
0.17,0.15,2.53525
0.45,0.81,0.87925
0.48,0.8,0.94155
0.51,0.39,2.0358
0.62,0.39,2.09195
0.58,0.64,1.41335
0.8,0.62,1.5759
0.6,0.07,2.93295
0.35,0.87,0.68535
0.85,0.83,1.05005
0.96,0.89,0.923
0.68,0.4,2.11
0.13,0.15,2.4875
0.14,0.31,2.06385
0.15,0.88,0.56045
0.72,0.97,0.5981
0.56,0.33,2.22845
0.52,0.26,2.39845
0.99,0.97,0.73295
0.9,0.63,1.59255
0.31,0.47,1.74755
0.98,0.8,1.19565
0.31,0.34,2.0876
0.22,0.4,1.86475
0.87,0.37,2.2935
0.76,0.43,2.06175
0.79,0.76,1.1984
0.83,0.38,2.24055
0.74,0.12,2.88495
0.68,0.51,1.82145
0.56,0.43,1.96295
0.63,0.01,3.12255
0.45,0.24,2.41755
0.52,0.13,2.7413
0.64,0.47,1.8817
0.51,0.91,0.6632
0.78,0.92,0.76185
0.92,0.54,1.8561
0.75,0.83,0.9996
0.72,0.5,1.8723
0.53,0.74,1.1145
0.82,0.88,0.87935
0.63,0.35,2.2064
0.8,0.56,1.73505
0.99,0.8,1.1822
0.69,0.67,1.3875
0.44,0.43,1.88115
0.71,0.62,1.5215
0.63,0.08,2.92045
0.48,0.4,2.0079
0.93,0.51,1.91455
0.65,0.12,2.8419
0.78,0.34,2.3132
0.17,0.41,1.818
0.59,0.93,0.6412
0.98,0.65,1.58355
0.89,0.49,1.97085
0.09,0.48,1.605
0.98,0.94,0.8139
0.6,0.72,1.2236
0.74,0.48,1.9257
0.48,0.19,2.5779
0.15,0.11,2.61565
0.86,0.55,1.78475
0.97,0.56,1.8179
1.0,0.64,1.63605
0.43,0.66,1.2827
0.85,0.2,2.73185
0.02,0.64,1.15005
0.26,0.02,2.90055
0.12,0.68,1.07
0.66,0.15,2.75945
0.75,0.58,1.65865
0.04,0.92,0.40015
0.15,0.58,1.36095
0.4,0.84,0.7852
0.94,0.97,0.70685
0.64,0.08,2.93795
0.08,0.63,1.20035
0.81,0.9,0.84255
0.21,0.79,0.8237
0.21,0.13,2.59235
0.82,0.12,2.92035
0.77,0.84,0.98235
0.76,0.89,0.836
0.06,0.34,1.9353
0.92,0.45,2.0899
0.41,0.87,0.7191
0.11,0.48,1.5992
0.67,0.53,1.746
0.36,0.88,0.6698
0.47,0.6,1.4632
0.34,0.03,2.9188
0.79,0.95,0.6911
0.24,0.56,1.47445
0.17,0.32,2.05835
0.59,0.26,2.42995
0.59,0.68,1.3085
1.0,0.57,1.8244
0.63,0.84,0.92425
0.72,0.58,1.6487
0.84,0.68,1.43075
0.07,0.87,0.5446
0.71,0.48,1.90035
0.27,0.76,0.93885
0.2,0.43,1.7759
0.25,0.83,0.76305
0.74,0.97,0.60695
0.56,0.06,2.9463
0.77,0.18,2.74025
0.61,0.23,2.5173
0.73,0.56,1.71715
0.4,0.67,1.23455
0.93,0.15,2.9057
0.37,0.3,2.2362
0.89,0.6,1.6715
0.32,0.92,0.5311
0.97,0.95,0.7719
0.96,0.12,2.9946
0.74,0.25,2.53195
0.47,0.92,0.61115
0.13,0.43,1.76275
0.8,0.68,1.415
0.01,0.53,1.42715
0.69,0.03,3.0958
0.73,0.82,1.02515
0.97,0.94,0.8118
0.9,1.0,0.61245
0.08,0.23,2.2585
0.82,0.79,1.1497
0.42,0.46,1.80325
0.62,0.93,0.65975
0.71,0.43,2.06275
0.77,0.04,3.11295
0.97,0.53,1.8934
0.73,0.22,2.60075
0.59,0.14,2.74665
0.5,0.81,0.91075
0.4,1.0,0.3552
0.89,0.12,2.95745
0.05,0.83,0.64135
0.19,0.67,1.14335
0.97,0.93,0.8359
0.69,0.2,2.667
0.72,0.64,1.49655
0.94,0.47,2.0451
0.81,0.73,1.3024
0.5,0.86,0.7808
0.15,0.5,1.581
0.45,0.28,2.29415
0.48,0.93,0.59115
0.15,0.25,2.23305
0.32,0.14,2.6221
0.62,0.38,2.13685
0.48,0.51,1.712
0.61,0.92,0.6792
0.34,0.82,0.8206
0.39,0.43,1.86755
0.89,0.11,2.9806
0.67,0.3,2.3548
0.15,0.26,2.20375
0.72,0.21,2.60825
0.57,0.41,2.02135
0.01,0.09,2.59995
0.55,0.84,0.85765
0.85,0.24,2.63345
0.53,0.07,2.9154
0.81,0.85,0.9736
0.65,0.79,1.04085
0.08,0.01,2.8485
0.62,0.24,2.5062
0.28,0.85,0.7052
0.12,0.31,2.06935
0.04,0.88,0.4996
0.25,0.42,1.8567
0.29,0.34,2.0681
0.12,0.75,0.89345
0.16,0.7,1.04745
0.9,0.47,2.03145
0.65,0.01,3.12975
0.44,0.94,0.53985
0.38,0.39,1.9827
0.95,0.84,1.05545
0.31,0.48,1.69965
0.45,0.92,0.58965
0.08,0.35,1.9391
0.68,0.89,0.79145
0.99,1.0,0.6552
0.61,0.37,2.1702
0.02,0.96,0.2741
0.94,0.0,3.2988
0.71,0.78,1.1107
0.09,0.02,2.8272
0.46,0.16,2.63405
0.3,0.07,2.79865
0.94,0.83,1.07835
0.25,0.01,2.92715
0.78,0.53,1.80955
0.24,0.45,1.7615
0.1,0.82,0.71455
0.27,0.33,2.081
0.89,0.17,2.8224
0.5,0.19,2.558
0.12,0.89,0.519
0.57,0.07,2.9153
0.85,0.58,1.71725
0.03,0.67,1.07575
0.79,0.05,3.0958
0.18,0.3,2.1205
0.66,0.43,2.0137
0.41,0.6,1.4647
0.52,0.47,1.844
0.53,0.05,2.96205
0.51,0.93,0.6034
0.8,0.32,2.36115
0.91,0.77,1.2172
0.57,0.84,0.87945
0.65,0.7,1.29315
0.6,0.23,2.503
0.11,0.82,0.6985
0.46,1.0,0.396
0.71,0.57,1.6665
0.28,0.08,2.7737
0.2,0.19,2.41985
0.82,0.03,3.1612
0.9,0.83,1.06615
0.68,0.02,3.1189
0.1,0.34,1.98135
0.97,0.02,3.26155
0.27,0.01,2.9354
0.84,0.82,1.0718
0.99,0.61,1.6962
0.18,0.48,1.6453
0.18,0.73,0.9677
0.79,0.15,2.82745
0.77,0.93,0.73235
0.58,0.8,0.9894
0.18,0.95,0.38965
0.21,0.71,1.04505
0.98,0.62,1.6732
0.23,0.97,0.3633
0.06,0.16,2.4235
0.53,0.36,2.1232
0.97,0.86,1.02585
0.26,0.42,1.82685
0.81,0.43,2.0929
0.2,0.12,2.61505
0.1,0.57,1.3658
0.15,0.35,1.98945
0.89,0.02,3.2265
0.51,0.7,1.22285
0.57,0.27,2.3837
0.11,0.19,2.39375
0.69,0.41,2.07655
0.68,0.83,0.9433
0.97,0.34,2.4026
0.36,0.11,2.7162
0.53,0.1,2.8369
0.19,0.47,1.6882
0.81,0.31,2.40705
0.66,0.86,0.8599
0.93,0.77,1.22505
0.82,0.05,3.10615
0.88,0.94,0.7593
0.33,0.39,1.95625
0.1,0.68,1.0818
0.84,0.95,0.72595
0.29,0.54,1.5416
0.96,0.41,2.23615
0.89,0.67,1.4823
0.91,0.12,2.96835
0.31,0.86,0.69375
0.11,0.2,2.35065
0.06,0.77,0.82005
0.89,0.59,1.69895
0.01,0.38,1.82275
0.18,0.09,2.6853
0.2,0.72,1.01135
0.56,0.89,0.726
0.19,0.48,1.66205
0.33,0.63,1.3158
0.86,0.41,2.149
0.51,0.19,2.5747
0.35,0.08,2.7791
0.51,0.69,1.2522
0.68,0.91,0.72865
0.78,0.73,1.26705
0.65,0.68,1.3234
0.4,0.44,1.8631
0.02,0.27,2.11255
0.3,0.89,0.60955
0.87,0.99,0.62275
0.95,0.8,1.1428
0.58,0.76,1.1101
0.71,0.86,0.8924
0.44,0.13,2.70295
0.48,0.0,3.07095
0.57,0.63,1.43935
0.59,0.25,2.44945
0.95,0.45,2.1091
0.12,0.04,2.78115
0.21,0.3,2.13335
0.57,0.31,2.2926
0.26,0.94,0.442
0.55,0.82,0.92065
0.73,0.83,0.973
0.94,0.28,2.56
0.74,0.14,2.8205
0.03,0.55,1.38865
0.28,0.81,0.81145
0.22,0.76,0.9135
0.26,0.45,1.74375
0.15,0.41,1.81905
0.85,0.02,3.2029
0.18,0.19,2.41045
0.11,0.09,2.65925
0.34,0.74,1.03035
0.99,0.67,1.52655
0.74,0.85,0.92585
0.91,0.29,2.53
0.12,0.41,1.79505
0.17,0.03,2.84715
0.06,0.47,1.59915
0.88,0.68,1.4643
0.68,0.19,2.6599
0.44,0.59,1.45925
0.64,0.56,1.6753
0.17,0.24,2.26815
0.56,0.65,1.3653
0.63,0.48,1.86655
0.08,0.2,2.34695
0.24,0.82,0.76535
0.99,0.37,2.3459
0.89,0.42,2.15845
0.38,0.47,1.7603
0.68,0.22,2.58335
0.2,0.25,2.27195
0.27,0.27,2.2497
0.1,0.01,2.86095
0.41,0.8,0.9089
0.38,0.04,2.91885
0.69,0.98,0.56435
0.59,0.96,0.56485
0.18,0.21,2.35475
0.11,0.97,0.29655
0.03,0.82,0.66785
0.52,0.89,0.7151
0.75,0.97,0.61335
0.17,0.87,0.59825
0.87,0.48,1.98405
0.03,0.44,1.6699
0.33,0.44,1.8309
0.76,0.32,2.3501
0.73,0.5,1.8744
0.26,0.28,2.2005
0.36,0.29,2.2424
0.28,0.11,2.69195
0.0,0.23,2.2227
0.87,0.0,3.2664
0.26,0.61,1.3212
1.0,0.5,2.01415
0.35,0.61,1.3625
0.02,0.33,1.95455
0.52,0.76,1.0772
0.06,0.97,0.2763
0.98,0.06,3.14855
0.13,0.17,2.43925
0.24,0.64,1.2457
0.35,0.14,2.6392
0.11,0.94,0.3856
0.76,0.77,1.15685
0.67,0.45,1.9661
0.09,0.51,1.527
0.99,0.31,2.49205
0.07,0.89,0.4924
0.65,0.43,2.0283
0.85,0.19,2.75745
0.91,0.58,1.7301
0.48,0.56,1.5868
0.66,0.06,3.0072
0.18,0.38,1.92285
0.56,0.64,1.39085
0.72,0.43,2.0523
0.64,0.11,2.87125
0.38,0.45,1.8122
0.42,0.25,2.373
1.0,0.63,1.6469
0.35,0.26,2.32485
0.03,0.18,2.3811
0.27,0.91,0.54055
0.8,0.26,2.53815
0.15,0.31,2.0692
0.89,0.44,2.10175
0.61,0.87,0.81985
0.31,0.61,1.36625
0.72,0.45,2.0002
0.0,0.6,1.21935
0.98,0.82,1.1264
0.25,0.27,2.23685
0.4,0.57,1.5219
0.15,0.38,1.9021
0.6,0.2,2.59445
0.77,0.12,2.9012
0.52,0.15,2.6873
0.65,0.41,2.0449
0.35,0.6,1.38785
0.93,0.29,2.5185
0.61,0.43,2.00025
0.45,0.63,1.3917
0.08,0.68,1.05865
0.89,0.37,2.29075
0.59,0.08,2.9177
0.1,0.38,1.86615
0.83,0.8,1.10655
0.02,0.69,1.0169
0.68,0.41,2.08325
0.22,0.48,1.67915
0.92,0.65,1.542
0.77,1.0,0.54285
0.68,0.81,1.009
0.11,0.26,2.2067
0.21,0.21,2.3693
0.84,0.37,2.2618
0.37,0.63,1.31315
0.61,0.85,0.88195
0.23,0.77,0.90135
0.65,0.66,1.38855
0.71,0.07,3.0045
0.33,0.68,1.19535
0.74,0.0,3.1977
0.01,0.48,1.57195
0.71,0.35,2.2728
0.96,0.32,2.46695
0.51,0.1,2.82725
0.75,0.73,1.25935
0.48,0.85,0.8216
0.98,0.42,2.2189
0.19,0.88,0.5693
0.11,0.77,0.84195
0.9,0.32,2.4375
0.87,1.0,0.5958
0.56,0.7,1.25095
0.11,0.27,2.16245
0.02,0.88,0.48195
0.77,0.66,1.4577
0.8,0.8,1.09335
0.98,0.11,3.0348
0.75,0.33,2.31145
0.71,0.74,1.21415
0.3,0.3,2.19755
0.74,0.01,3.17585
0.38,0.86,0.7301
0.18,0.75,0.9162
0.91,0.55,1.8356
0.33,0.87,0.68575
0.18,0.61,1.27905
0.34,0.01,2.9713
0.09,0.94,0.3663
0.63,0.97,0.55355
0.04,0.07,2.67535
0.86,0.22,2.67735
0.0,0.89,0.4518
0.72,0.11,2.89205
0.82,0.64,1.55365
0.9,0.41,2.17685
0.42,0.72,1.1156
0.63,0.7,1.27495
1.0,0.58,1.7873
0.77,0.56,1.70675
0.15,0.79,0.80675
0.69,0.57,1.6595
0.65,0.67,1.3758
0.62,0.73,1.19455
0.53,0.63,1.40875
0.1,0.96,0.32835
0.52,0.86,0.8
0.29,0.51,1.6204
0.73,0.85,0.92845
0.84,0.28,2.51405
0.21,0.76,0.90435
0.33,0.61,1.38575
0.62,0.04,3.02685
0.98,0.59,1.74845
0.23,0.23,2.3258
0.14,0.78,0.8085
0.88,0.61,1.6568
0.23,0.41,1.87025
0.78,0.15,2.8027
0.55,0.33,2.228
0.79,0.01,3.1942
0.89,0.3,2.485
0.69,0.16,2.74615
0.87,0.17,2.80065
0.66,0.16,2.73315
0.98,0.18,2.8403
0.54,0.36,2.14635
0.54,0.37,2.119
0.83,0.07,3.0465
0.07,0.62,1.22185
0.01,0.77,0.7744
0.48,0.12,2.7469
0.52,0.35,2.16365
0.36,0.13,2.66205
0.23,0.73,1.01875
0.32,0.02,2.938
0.94,0.4,2.2396
0.13,0.19,2.3876
0.05,0.14,2.4849
0.67,0.87,0.8346
0.79,0.74,1.2627
0.12,0.23,2.2778
0.22,0.8,0.82255
0.36,0.96,0.46035
0.38,0.91,0.58595
0.19,0.03,2.84675
0.12,0.91,0.46225
0.85,0.78,1.17115
0.29,0.57,1.44885
0.12,0.84,0.64685
0.75,0.08,2.9977
0.77,0.9,0.8193
0.25,0.39,1.93135
0.58,0.19,2.6109
0.53,0.54,1.66245
0.4,0.98,0.4213
0.12,0.74,0.91035
0.33,0.7,1.139
0.4,0.45,1.82655
0.76,0.2,2.66375
0.34,0.47,1.74535
0.2,0.29,2.16085
0.3,0.99,0.34095
0.54,0.42,1.9759
0.11,0.72,0.9649
0.86,0.56,1.7679
0.48,0.52,1.67245
0.27,0.31,2.15435
0.59,0.02,3.0722
0.43,0.45,1.8417
0.36,0.48,1.73185
0.19,0.37,1.93165
0.19,0.5,1.585
0.04,0.76,0.8373
0.5,0.23,2.47985
0.92,0.28,2.5366
0.93,0.11,3.00365
0.24,0.66,1.1951
0.33,0.69,1.1698
0.17,0.52,1.52425
0.1,0.16,2.4486
0.55,0.24,2.46235
0.64,0.55,1.68845
0.38,0.15,2.62725
0.66,0.94,0.66245
0.16,0.31,2.09555
0.49,0.66,1.29495
0.84,0.27,2.5417
0.68,0.47,1.9117
0.74,0.34,2.28955
0.15,0.1,2.6378
0.85,0.96,0.68655
0.64,0.31,2.324
0.76,0.01,3.1817
0.74,0.83,0.9928
0.21,0.51,1.58335
0.84,0.9,0.85995
0.97,0.11,3.0146
0.83,0.6,1.65215
0.7,0.9,0.7744
0.97,0.69,1.45775
0.41,0.2,2.5038
0.02,0.09,2.60535
0.95,0.36,2.3437
0.17,1.0,0.2514
0.43,0.86,0.7487
0.61,0.13,2.78555
0.08,0.53,1.46245
0.3,0.34,2.0601
0.76,0.02,3.1628
0.57,0.91,0.68025
0.14,0.56,1.39085
0.31,0.7,1.1343
