x,y,score
0.46,0.76,1.1939
0.54,0.86,0.9885
0.16,0.19,2.41805
0.61,0.18,2.75735
0.82,0.41,2.32135
0.72,0.66,1.6354
0.63,0.37,2.29745
0.41,0.28,2.3745
0.16,0.44,1.78
0.8,0.33,2.5299
0.84,0.23,2.78865
0.25,0.48,1.75025
0.62,0.7,1.44225
0.78,0.28,2.6574
0.03,0.68,1.0836
0.57,0.0,3.1832
0.69,0.37,2.3493
0.46,0.05,2.98695
0.65,0.03,3.1597
0.56,0.8,1.1425
0.28,0.44,1.84545
0.65,0.0,3.2387
0.57,0.1,2.92675
0.44,0.29,2.348
0.63,0.49,1.98885
0.26,0.03,2.88265
0.92,0.27,2.76735
0.69,0.35,2.38965
0.79,0.78,1.37685
0.3,0.26,2.33635
0.98,0.54,2.11805
0.25,0.62,1.40115
0.55,0.43,2.0811
0.19,0.06,2.7472
0.14,0.65,1.2319
0.09,0.65,1.20565
0.92,1.0,0.9259
0.51,0.43,2.0717
0.36,0.66,1.3619
0.33,0.92,0.68975
0.01,0.93,0.42835
0.25,0.81,0.92075
0.9,0.46,2.28525
0.3,0.12,2.6773
0.87,0.59,1.935
0.8,0.75,1.4521
0.93,0.2,2.94965
0.34,0.41,1.99285
0.05,0.48,1.5818
0.9,0.12,3.1315
0.59,0.65,1.5765
0.72,0.62,1.72065
0.29,0.87,0.77865
0.02,0.72,0.97175
0.8,0.35,2.4894
0.09,0.22,2.2642
0.05,0.61,1.277
0.49,0.38,2.18615
0.62,0.21,2.70335
0.79,0.55,1.9465
0.64,0.52,1.9378
0.17,0.15,2.50495
0.45,0.81,1.06845
0.48,0.8,1.118
0.51,0.39,2.15155
0.62,0.39,2.2368
0.58,0.64,1.58205
0.8,0.62,1.7986
0.6,0.07,3.02235
0.35,0.87,0.8147
0.85,0.83,1.31055
0.96,0.89,1.23615
0.68,0.4,2.2542
0.13,0.15,2.47975
0.14,0.31,2.10015
0.15,0.88,0.6739
0.72,0.97,0.84185
0.56,0.33,2.345
0.52,0.26,2.49555
0.99,0.97,1.05445
0.9,0.63,1.84915
0.31,0.47,1.8011
0.98,0.8,1.4839
0.31,0.34,2.15625
0.22,0.4,1.91035
0.87,0.37,2.4538
0.76,0.43,2.25095
0.79,0.76,1.4167
0.83,0.38,2.4325
0.74,0.12,3.0087
0.68,0.51,2.0012
0.56,0.43,2.1069
0.63,0.01,3.208
0.45,0.24,2.4872
0.52,0.13,2.83115
0.64,0.47,2.06375
0.51,0.91,0.85435
0.78,0.92,1.0136
0.92,0.54,2.088
0.75,0.83,1.2302
0.72,0.5,2.03415
0.53,0.74,1.29155
0.82,0.88,1.1427
0.63,0.35,2.36005
0.8,0.56,1.91985
0.99,0.8,1.48055
0.69,0.67,1.5905
0.44,0.43,2.0173
0.71,0.62,1.7367
0.63,0.08,3.03245
0.48,0.4,2.0932
0.93,0.51,2.16675
0.65,0.12,2.93955
0.78,0.34,2.49005
0.17,0.41,1.86655
0.59,0.93,0.86715
0.98,0.65,1.8469
0.89,0.49,2.1932
0.09,0.48,1.62955
0.98,0.94,1.12685
0.6,0.72,1.38365
0.74,0.48,2.1086
0.48,0.19,2.63055
0.15,0.11,2.6145
0.86,0.55,2.0481
0.97,0.56,2.06585
1.0,0.64,1.88585
0.43,0.66,1.4223
0.85,0.2,2.89745
0.02,0.64,1.1727
0.26,0.02,2.91325
0.12,0.68,1.1427
0.66,0.15,2.88095
0.75,0.58,1.87115
0.04,0.92,0.47505
0.15,0.58,1.4283
0.4,0.84,0.95035
0.94,0.97,1.00955
0.64,0.08,3.05295
0.08,0.63,1.2156
0.81,0.9,1.1057
0.21,0.79,0.9445
0.21,0.13,2.5921
0.82,0.12,3.07395
0.77,0.84,1.2088
0.76,0.89,1.0819
0.06,0.34,1.9485
0.92,0.45,2.30015
0.41,0.87,0.8729
0.11,0.48,1.6417
0.67,0.53,1.94675
0.36,0.88,0.81345
0.47,0.6,1.60125
0.34,0.03,2.94215
0.79,0.95,0.95155
0.24,0.56,1.52865
0.17,0.32,2.0831
0.59,0.26,2.5442
0.59,0.68,1.48065
1.0,0.57,2.05895
0.63,0.84,1.09745
0.72,0.58,1.85325
0.84,0.68,1.66335
0.07,0.87,0.64035
0.71,0.48,2.09125
0.27,0.76,1.0719
0.2,0.43,1.8271
0.25,0.83,0.87295
0.74,0.97,0.8693
0.56,0.06,3.0247
0.77,0.18,2.872
0.61,0.23,2.63135
0.73,0.56,1.8928
0.4,0.67,1.3614
0.93,0.15,3.08025
0.37,0.3,2.29405
0.89,0.6,1.93125
0.32,0.92,0.6935
0.97,0.95,1.09855
0.96,0.12,3.1577
0.74,0.25,2.6808
0.47,0.92,0.7928
0.13,0.43,1.77485
0.8,0.68,1.6291
0.01,0.53,1.4333
0.69,0.03,3.1914
0.73,0.82,1.23305
0.97,0.94,1.11515
0.9,1.0,0.91255
0.08,0.23,2.242
0.82,0.79,1.39755
0.42,0.46,1.88645
0.62,0.93,0.89135
0.71,0.43,2.22055
0.77,0.04,3.22895
0.97,0.53,2.14705
0.73,0.22,2.7417
0.59,0.14,2.85975
0.5,0.81,1.1061
0.4,1.0,0.5467
0.89,0.12,3.1239
0.05,0.83,0.706
0.19,0.67,1.23395
0.97,0.93,1.1341
0.69,0.2,2.7768
0.72,0.64,1.69425
0.94,0.47,2.2739
0.81,0.73,1.526
0.5,0.86,0.96305
0.15,0.5,1.63705
0.45,0.28,2.39
0.48,0.93,0.7835
0.15,0.25,2.239
0.32,0.14,2.6335
0.62,0.38,2.2848
0.48,0.51,1.83605
0.61,0.92,0.89035
0.34,0.82,0.9574
0.39,0.43,1.95135
0.89,0.11,3.15665
0.67,0.3,2.48805
0.15,0.26,2.2164
0.72,0.21,2.7685
0.57,0.41,2.14755
0.01,0.09,2.55025
0.55,0.84,1.0663
0.85,0.24,2.76575
0.53,0.07,2.97875
0.81,0.85,1.236
0.65,0.79,1.25685
0.08,0.01,2.7952
0.62,0.24,2.6217
0.28,0.85,0.84115
0.12,0.31,2.0754
0.04,0.88,0.5713
0.25,0.42,1.90075
0.29,0.34,2.1115
0.12,0.75,0.97335
0.16,0.7,1.1221
0.9,0.47,2.22575
0.65,0.01,3.2122
0.44,0.94,0.72785
0.38,0.39,2.0629
0.95,0.84,1.36605
0.31,0.48,1.7968
0.45,0.92,0.79045
0.08,0.35,1.93665
0.68,0.89,1.0458
0.99,1.0,0.97675
0.61,0.37,2.2889
0.02,0.96,0.3634
0.94,0.0,3.4535
0.71,0.78,1.328
0.09,0.02,2.78715
0.46,0.16,2.7032
0.3,0.07,2.80565
0.94,0.83,1.3532
0.25,0.01,2.924
0.78,0.53,2.0011
0.24,0.45,1.82215
0.1,0.82,0.77855
0.27,0.33,2.1282
0.89,0.17,2.99865
0.5,0.19,2.64515
0.12,0.89,0.60255
0.57,0.07,3.00815
0.85,0.58,1.93805
0.03,0.67,1.1082
0.79,0.05,3.21375
0.18,0.3,2.1446
0.66,0.43,2.1724
0.41,0.6,1.5508
0.52,0.47,1.9807
0.53,0.05,3.01615
0.51,0.93,0.79865
0.8,0.32,2.53445
0.91,0.77,1.50325
0.57,0.84,1.07535
0.65,0.7,1.48205
0.6,0.23,2.61135
0.11,0.82,0.78815
0.46,1.0,0.59215
0.71,0.57,1.84905
0.28,0.08,2.76675
0.2,0.19,2.43765
0.82,0.03,3.289
0.9,0.83,1.34085
0.68,0.02,3.2191
0.1,0.34,1.96425
0.97,0.02,3.42915
0.27,0.01,2.94185
0.84,0.82,1.3149
0.99,0.61,1.9478
0.18,0.48,1.6835
0.18,0.73,1.06075
0.79,0.15,2.95965
0.77,0.93,0.9876
0.58,0.8,1.18975
0.18,0.95,0.50555
0.21,0.71,1.1382
0.98,0.62,1.9325
0.23,0.97,0.49475
0.06,0.16,2.4104
0.53,0.36,2.25225
0.97,0.86,1.32915
0.26,0.42,1.90015
0.81,0.43,2.27365
0.2,0.12,2.61215
0.1,0.57,1.4156
0.15,0.35,1.9896
0.89,0.02,3.37045
0.51,0.7,1.3788
0.57,0.27,2.5037
0.11,0.19,2.36205
0.69,0.41,2.25505
0.68,0.83,1.17585
0.97,0.34,2.61225
0.36,0.11,2.7562
0.53,0.1,2.9163
0.19,0.47,1.72345
0.81,0.31,2.59235
0.66,0.86,1.06825
0.93,0.77,1.5063
0.82,0.05,3.2294
0.88,0.94,1.04365
0.33,0.39,2.0127
0.1,0.68,1.10875
0.84,0.95,0.9923
0.29,0.54,1.60275
0.96,0.41,2.4175
0.89,0.67,1.7368
0.91,0.12,3.1298
0.31,0.86,0.841
0.11,0.2,2.33985
0.06,0.77,0.8719
0.89,0.59,1.9344
0.01,0.38,1.81425
0.18,0.09,2.677
0.2,0.72,1.0919
0.56,0.89,0.92675
0.19,0.48,1.70975
0.33,0.63,1.41085
0.86,0.41,2.38485
0.51,0.19,2.6654
0.35,0.08,2.8237
0.51,0.69,1.40545
0.68,0.91,0.96225
0.78,0.73,1.48495
0.65,0.68,1.5502
0.4,0.44,1.94805
0.02,0.27,2.09245
0.3,0.89,0.7424
0.87,0.99,0.92505
0.95,0.8,1.4684
0.58,0.76,1.2963
0.71,0.86,1.117
0.44,0.13,2.7632
0.48,0.0,3.1298
0.57,0.63,1.6173
0.59,0.25,2.55925
0.95,0.45,2.33105
0.12,0.04,2.7389
0.21,0.3,2.1667
0.57,0.31,2.4003
0.26,0.94,0.59405
0.55,0.82,1.0999
0.73,0.83,1.2085
0.94,0.28,2.7572
0.74,0.14,2.9437
0.03,0.55,1.39855
0.28,0.81,0.9286
0.22,0.76,1.02475
0.26,0.45,1.82275
0.15,0.41,1.84145
0.85,0.02,3.336
0.18,0.19,2.41565
0.11,0.09,2.61375
0.34,0.74,1.1496
0.99,0.67,1.8154
0.74,0.85,1.19725
0.91,0.29,2.70235
0.12,0.41,1.8294
0.17,0.03,2.8155
0.06,0.47,1.645
0.88,0.68,1.69935
0.68,0.19,2.79415
0.44,0.59,1.61375
0.64,0.56,1.83175
0.17,0.24,2.27485
0.56,0.65,1.55285
0.63,0.48,1.9989
0.08,0.2,2.32265
0.24,0.82,0.8933
