x,y,score
0.0,0.0,2.6700000000000004
0.0,0.01,2.63975
0.0,0.02,2.61825
0.0,0.03,2.6034999999999995
0.0,0.04,2.5752499999999996
0.0,0.05,2.5452500000000002
0.0,0.06,2.5172499999999998
0.0,0.07,2.509
0.0,0.08,2.5007499999999996
0.0,0.09,2.457
0.0,0.1,2.43775
0.0,0.11,2.4200000000000004
0.0,0.12,2.41525
0.0,0.13,2.3642499999999997
0.0,0.14,2.3274999999999997
0.0,0.15,2.3434999999999997
0.0,0.16,2.3205
0.0,0.17,2.2565
0.0,0.18,2.2604999999999995
0.0,0.19,2.2012500000000004
0.0,0.2,2.2432499999999997
0.0,0.21,2.1615
0.0,0.22,2.145
0.0,0.23,2.11975
0.0,0.24,2.1157500000000002
0.0,0.25,2.1065
0.0,0.26,2.0835
0.0,0.27,2.02475
0.0,0.28,2.0192499999999995
0.0,0.29,1.9979999999999998
0.0,0.3,1.9762499999999998
0.0,0.31,1.9377499999999999
0.0,0.32,1.9537499999999999
0.0,0.33,1.8755
0.0,0.34,1.8592499999999998
0.0,0.35000000000000003,1.855
0.0,0.36,1.79675
0.0,0.37,1.81075
0.0,0.38,1.8235
0.0,0.39,1.762
0.0,0.4,1.70425
0.0,0.41000000000000003,1.73075
0.0,0.42,1.682
0.0,0.43,1.6497500000000003
0.0,0.44,1.6357499999999998
0.0,0.45,1.5999999999999999
0.0,0.46,1.58875
0.0,0.47000000000000003,1.58075
0.0,0.48,1.54175
0.0,0.49,1.4897500000000001
0.0,0.5,1.5105
0.0,0.51,1.48225
0.0,0.52,1.4617499999999999
0.0,0.53,1.4825
0.0,0.54,1.385
0.0,0.55,1.3777499999999998
0.0,0.56,1.37625
0.0,0.5700000000000001,1.338
0.0,0.58,1.3177499999999998
0.0,0.59,1.3082500000000001
0.0,0.6,1.2665000000000002
0.0,0.61,1.2674999999999998
0.0,0.62,1.2325
0.0,0.63,1.18525
0.0,0.64,1.1897499999999999
0.0,0.65,1.133
0.0,0.66,1.154
0.0,0.67,1.0879999999999999
0.0,0.68,1.041
0.0,0.6900000000000001,1.06275
0.0,0.7000000000000001,1.0665
0.0,0.71,1.0105
0.0,0.72,1.0482500000000001
0.0,0.73,0.9750000000000002
0.0,0.74,0.9845
0.0,0.75,0.925
0.0,0.76,0.883
0.0,0.77,0.85875
0.0,0.78,0.8677499999999998
0.0,0.79,0.8520000000000001
0.0,0.8,0.81875
0.0,0.81,0.7515000000000001
0.0,0.8200000000000001,0.74525
0.0,0.8300000000000001,0.7582500000000001
0.0,0.84,0.7015
0.0,0.85,0.6659999999999998
0.0,0.86,0.6685
0.0,0.87,0.6252500000000001
0.0,0.88,0.604
0.0,0.89,0.58825
0.0,0.9,0.5939999999999999
0.0,0.91,0.5575
0.0,0.92,0.51825
0.0,0.93,0.48625000000000007
0.0,0.9400000000000001,0.48575
0.0,0.9500000000000001,0.46099999999999997
0.0,0.96,0.425
0.0,0.97,0.40549999999999997
0.0,0.98,0.3855
0.0,0.99,0.35575
0.0,1.0,0.33
0.01,0.0,2.6760000000000006
0.01,0.01,2.654
0.01,0.02,2.6370000000000005
0.01,0.03,2.6115
0.01,0.04,2.5855
0.01,0.05,2.5532500000000007
0.01,0.06,2.5444999999999998
0.01,0.07,2.50175
0.01,0.08,2.4787500000000002
0.01,0.09,2.4805
0.01,0.1,2.453
0.01,0.11,2.43875
0.01,0.12,2.4165
0.01,0.13,2.3620000000000005
0.01,0.14,2.34425
0.01,0.15,2.3505000000000003
0.01,0.16,2.29125
0.01,0.17,2.29925
0.01,0.18,2.2582500000000003
0.01,0.19,2.23975
0.01,0.2,2.2047499999999998
0.01,0.21,2.1705
0.01,0.22,2.1877500000000003
0.01,0.23,2.1534999999999997
0.01,0.24,2.1127499999999997
0.01,0.25,2.09675
0.01,0.26,2.07125
0.01,0.27,2.0432500000000005
0.01,0.28,2.05675
0.01,0.29,2.0317499999999997
0.01,0.3,1.9837500000000001
0.01,0.31,1.9237499999999996
0.01,0.32,1.9622499999999998
0.01,0.33,1.9015
0.01,0.34,1.8775000000000002
0.01,0.35000000000000003,1.841
0.01,0.36,1.83
0.01,0.37,1.8180000000000003
0.01,0.38,1.7670000000000001
0.01,0.39,1.7662499999999999
0.01,0.4,1.7419999999999998
0.01,0.41000000000000003,1.7182499999999998
0.01,0.42,1.6902500000000003
0.01,0.43,1.65425
0.01,0.44,1.6614999999999998
0.01,0.45,1.6282500000000002
0.01,0.46,1.62075
0.01,0.47000000000000003,1.5825
0.01,0.48,1.53875
0.01,0.49,1.5395
0.01,0.5,1.52825
0.01,0.51,1.4817500000000001
0.01,0.52,1.4412499999999997
0.01,0.53,1.4142500000000002
0.01,0.54,1.4145
0.01,0.55,1.4120000000000001
0.01,0.56,1.3712499999999999
0.01,0.5700000000000001,1.31975
0.01,0.58,1.3367499999999999
0.01,0.59,1.353
0.01,0.6,1.25525
0.01,0.61,1.2395
0.01,0.62,1.2425
0.01,0.63,1.218
0.01,0.64,1.2029999999999998
0.01,0.65,1.18125
0.01,0.66,1.12925
0.01,0.67,1.1280000000000001
0.01,0.68,1.0792499999999998
0.01,0.6900000000000001,1.091
0.01,0.7000000000000001,1.0565000000000002
0.01,0.71,1.0057500000000001
0.01,0.72,1.0067499999999998
0.01,0.73,0.96875
0.01,0.74,0.9644999999999999
0.01,0.75,0.943
0.01,0.76,0.87775
0.01,0.77,0.85825
0.01,0.78,0.84325
0.01,0.79,0.8640000000000001
0.01,0.8,0.7994999999999999
0.01,0.81,0.7682499999999999
0.01,0.8200000000000001,0.75525
0.01,0.8300000000000001,0.7642500000000001
0.01,0.84,0.701
0.01,0.85,0.67875
0.01,0.86,0.6752499999999999
0.01,0.87,0.6535
0.01,0.88,0.63575
0.01,0.89,0.6272499999999999
0.01,0.9,0.5817500000000001
0.01,0.91,0.5442500000000001
0.01,0.92,0.5515
0.01,0.93,0.48925
0.01,0.9400000000000001,0.48175
0.01,0.9500000000000001,0.4685
0.01,0.96,0.4225
0.01,0.97,0.40575
0.01,0.98,0.385
0.01,0.99,0.36225
0.01,1.0,0.34125
0.02,0.0,2.688
0.02,0.01,2.6657500000000005
0.02,0.02,2.6505
0.02,0.03,2.5989999999999993
0.02,0.04,2.5885000000000002
0.02,0.05,2.57425
0.02,0.06,2.537
0.02,0.07,2.534
0.02,0.08,2.51325
0.02,0.09,2.48525
0.02,0.1,2.4567499999999995
0.02,0.11,2.4102499999999996
0.02,0.12,2.4282500000000002
0.02,0.13,2.37575
0.02,0.14,2.3467499999999997
0.02,0.15,2.37775
0.02,0.16,2.32025
0.02,0.17,2.27725
0.02,0.18,2.281
0.02,0.19,2.2312499999999997
0.02,0.2,2.2039999999999997
0.02,0.21,2.2190000000000003
0.02,0.22,2.1857499999999996
0.02,0.23,2.1615
0.02,0.24,2.1462499999999998
0.02,0.25,2.1195
0.02,0.26,2.08475
0.02,0.27,2.0225
0.02,0.28,2.0044999999999997
0.02,0.29,2.008
0.02,0.3,2.0137500000000004
0.02,0.31,1.9377499999999999
0.02,0.32,1.9325000000000003
0.02,0.33,1.8972500000000003
0.02,0.34,1.9195
0.02,0.35000000000000003,1.8425
