x,y,score
0.46,0.76,1.66035
0.54,0.86,1.58815
0.16,0.19,2.3602
0.61,0.18,3.06475
0.82,0.41,2.9156
0.72,0.66,2.2566
0.63,0.37,2.69795
0.41,0.28,2.5527
0.16,0.44,1.86995
0.8,0.33,3.04725
0.84,0.23,3.31385
0.25,0.48,1.9118
0.62,0.7,2.04995
0.78,0.28,3.10205
0.03,0.68,1.1982
0.57,0.0,3.3499
0.69,0.37,2.80795
0.46,0.05,3.0823
0.65,0.03,3.41655
0.56,0.8,1.74595
0.28,0.44,2.0408
0.65,0.0,3.47275
0.57,0.1,3.15645
0.44,0.29,2.57025
0.63,0.49,2.45315
0.26,0.03,2.82495
0.92,0.27,3.3421
0.69,0.35,2.81815
0.79,0.78,2.12065
0.3,0.26,2.42945
0.98,0.54,2.89915
0.25,0.62,1.6541
0.55,0.43,2.45625
0.19,0.06,2.65485
0.14,0.65,1.4048
0.09,0.65,1.3344
0.92,1.0,1.8812
0.51,0.43,2.40965
0.36,0.66,1.7159
0.33,0.92,1.15535
0.01,0.93,0.6573
0.25,0.81,1.2563
0.9,0.46,2.9213
0.3,0.12,2.70355
0.87,0.59,2.62005
0.8,0.75,2.1821
0.93,0.2,3.4951
0.34,0.41,2.19475
0.05,0.48,1.59515
0.9,0.12,3.60985
0.59,0.65,2.11515
0.72,0.62,2.3357
0.29,0.87,1.19165
0.02,0.72,1.09505
0.8,0.35,2.98365
0.09,0.22,2.1956
0.05,0.61,1.3755
0.49,0.38,2.47195
0.62,0.21,3.01345
0.79,0.55,2.5884
0.64,0.52,2.41745
0.17,0.15,2.4574
0.45,0.81,1.55225
0.48,0.8,1.6091
0.51,0.39,2.47205
0.62,0.39,2.6178
0.58,0.64,2.09975
0.8,0.62,2.45345
0.6,0.07,3.2496
0.35,0.87,1.2822
0.85,0.83,2.1008
0.96,0.89,2.1582
0.68,0.4,2.73345
0.13,0.15,2.3961
0.14,0.31,2.08365
0.15,0.88,0.98075
0.72,0.97,1.64485
0.56,0.33,2.7235
0.52,0.26,2.7578
0.99,0.97,2.0424
0.9,0.63,2.5844
0.31,0.47,2.0423
0.98,0.8,2.3637
0.31,0.34,2.2886
0.22,0.4,2.02995
0.87,0.37,3.07195
0.76,0.43,2.77985
0.79,0.76,2.16785
0.83,0.38,2.97925
0.74,0.12,3.3714
0.68,0.51,2.4796
0.56,0.43,2.49085
0.63,0.01,3.43835
0.45,0.24,2.69615
0.52,0.13,3.0122
0.64,0.47,2.52145
0.51,0.91,1.45295
0.78,0.92,1.8217
0.92,0.54,2.7979
0.75,0.83,1.95025
0.72,0.5,2.5826
0.53,0.74,1.8188
0.82,0.88,1.9922
0.63,0.35,2.7426
0.8,0.56,2.5818
0.99,0.8,2.3803
0.69,0.67,2.2094
0.44,0.43,2.2943
0.71,0.62,2.3141
0.63,0.08,3.27715
0.48,0.4,2.42025
0.93,0.51,2.8891
0.65,0.12,3.23055
0.78,0.34,2.97355
0.17,0.41,1.93945
0.59,0.93,1.52805
0.98,0.65,2.6632
0.89,0.49,2.86235
0.09,0.48,1.68195
0.98,0.94,2.09045
0.6,0.72,1.94945
0.74,0.48,2.653
0.48,0.19,2.8384
0.15,0.11,2.50235
0.86,0.55,2.66715
0.97,0.56,2.8386
1.0,0.64,2.7338
0.43,0.66,1.8172
0.85,0.2,3.3648
0.02,0.64,1.24975
0.26,0.02,2.8596
0.12,0.68,1.31265
0.66,0.15,3.18645
0.75,0.58,2.45155
0.04,0.92,0.719
0.15,0.58,1.54405
0.4,0.84,1.41345
0.94,0.97,1.96295
0.64,0.08,3.31305
0.08,0.63,1.3736
0.81,0.9,1.9145
0.21,0.79,1.2474
0.21,0.13,2.5605
0.82,0.12,3.49175
0.77,0.84,1.95835
0.76,0.89,1.8517
0.06,0.34,1.90625
0.92,0.45,2.9771
0.41,0.87,1.3773
0.11,0.48,1.70505
0.67,0.53,2.44685
0.36,0.88,1.2851
0.47,0.6,1.99835
0.34,0.03,2.94555
0.79,0.95,1.78075
0.24,0.56,1.75595
0.17,0.32,2.12305
0.59,0.26,2.8787
0.59,0.68,2.01655
1.0,0.57,2.8702
0.63,0.84,1.7447
0.72,0.58,2.4144
0.84,0.68,2.38775
0.07,0.87,0.87675
0.71,0.48,2.613
0.27,0.76,1.38205
0.2,0.43,1.94
0.25,0.83,1.23155
0.74,0.97,1.67585
0.56,0.06,3.22865
0.77,0.18,3.30265
0.61,0.23,2.9516
0.73,0.56,2.47835
0.4,0.67,1.75825
0.93,0.15,3.60205
0.37,0.3,2.4493
0.89,0.6,2.65085
