x,y,score
0.46,0.76,2.0572
0.54,0.86,2.12925
0.16,0.19,2.12765
0.61,0.18,3.1723
0.82,0.41,3.3718
0.72,0.66,2.80615
0.63,0.37,2.96585
0.41,0.28,2.589
0.16,0.44,1.80075
0.8,0.33,3.41705
0.84,0.23,3.66805
0.25,0.48,1.97455
0.62,0.7,2.5356
0.78,0.28,3.44875
0.03,0.68,1.17585
0.57,0.0,3.32345
0.69,0.37,3.11405
0.46,0.05,3.02085
0.65,0.03,3.48495
0.56,0.8,2.2209
0.28,0.44,2.0533
0.65,0.0,3.533
0.57,0.1,3.2135
0.44,0.29,2.65775
0.63,0.49,2.80345
0.26,0.03,2.5905
0.92,0.27,3.8048
0.69,0.35,3.1448
0.79,0.78,2.7981
0.3,0.26,2.3538
0.98,0.54,3.5803
0.25,0.62,1.7508
0.55,0.43,2.71155
0.19,0.06,2.3651
0.14,0.65,1.4689
0.09,0.65,1.3483
0.92,1.0,2.82095
0.51,0.43,2.591
0.36,0.66,1.95945
0.33,0.92,1.55545
0.01,0.93,0.78265
0.25,0.81,1.51175
0.9,0.46,3.4838
0.3,0.12,2.5461
0.87,0.59,3.25535
0.8,0.75,2.8511
0.93,0.2,3.9091
0.34,0.41,2.2786
0.05,0.48,1.46395
0.9,0.12,3.95525
0.59,0.65,2.51265
0.72,0.62,2.8416
0.29,0.87,1.51075
0.02,0.72,1.0924
0.8,0.35,3.38905
0.09,0.22,1.92345
0.05,0.61,1.3334
0.49,0.38,2.66
0.62,0.21,3.17565
0.79,0.55,3.11455
0.64,0.52,2.79645
0.17,0.15,2.21275
0.45,0.81,1.9749
0.48,0.8,2.03965
0.51,0.39,2.6552
0.62,0.39,2.8952
0.58,0.64,2.4908
0.8,0.62,3.058
0.6,0.07,3.3017
0.35,0.87,1.6635
0.85,0.83,2.88595
0.96,0.89,3.04665
0.68,0.4,3.04985
0.13,0.15,2.1168
0.14,0.31,1.9057
0.15,0.88,1.17385
0.72,0.97,2.40145
0.56,0.33,2.87035
0.52,0.26,2.873
0.99,0.97,3.0226
0.9,0.63,3.26735
0.31,0.47,2.09335
0.98,0.8,3.2211
0.31,0.34,2.2877
0.22,0.4,1.9761
0.87,0.37,3.53915
0.76,0.43,3.20725
0.79,0.76,2.8194
0.83,0.38,3.43885
0.74,0.12,3.55445
0.68,0.51,2.9169
0.56,0.43,2.74335
0.63,0.01,3.46365
0.45,0.24,2.73955
0.52,0.13,3.04645
0.64,0.47,2.8671
0.51,0.91,1.99435
0.78,0.92,2.587
0.92,0.54,3.41755
0.75,0.83,2.6573
0.72,0.5,3.0296
0.53,0.74,2.2718
0.82,0.88,2.7335
0.63,0.35,3.0058
0.8,0.56,3.10445
0.99,0.8,3.24115
0.69,0.67,2.73405
0.44,0.43,2.46175
0.71,0.62,2.8298
0.63,0.08,3.38015
0.48,0.4,2.5896
0.93,0.51,3.4938
0.65,0.12,3.3552
0.78,0.34,3.3771
0.17,0.41,1.85465
0.59,0.93,2.15635
0.98,0.65,3.4127
0.89,0.49,3.4285
0.09,0.48,1.57925
0.98,0.94,3.03065
0.6,0.72,2.43675
0.74,0.48,3.0831
0.48,0.19,2.8804
0.15,0.11,2.2186
0.86,0.55,3.2895
0.97,0.56,3.51235
1.0,0.64,3.4928
0.43,0.66,2.1294
0.85,0.2,3.7231
0.02,0.64,1.2024
0.26,0.02,2.59175
0.12,0.68,1.38375
0.66,0.15,3.32925
0.75,0.58,2.97245
0.04,0.92,0.8729
0.15,0.58,1.58705
0.4,0.84,1.8227
0.94,0.97,2.89585
0.64,0.08,3.3812
0.08,0.63,1.34965
0.81,0.9,2.6953
0.21,0.79,1.4306
0.21,0.13,2.32295
0.82,0.12,3.75945
0.77,0.84,2.6696
0.76,0.89,2.59015
0.06,0.34,1.7134
0.92,0.45,3.55475
0.41,0.87,1.80865
0.11,0.48,1.61925
0.67,0.53,2.86515
0.36,0.88,1.671
0.47,0.6,2.30565
0.34,0.03,2.76955
0.79,0.95,2.58535
0.24,0.56,1.8358
