x,y,score
0.46,0.76,2.72095
0.54,0.86,3.0616
0.16,0.19,2.3955
0.61,0.18,2.52755
0.82,0.41,3.8542
0.72,0.66,3.72315
0.63,0.37,2.93265
0.41,0.28,2.25385
0.16,0.44,1.69145
0.8,0.33,3.2213
0.84,0.23,2.85785
0.25,0.48,1.93615
0.62,0.7,3.3431
0.78,0.28,2.97185
0.03,0.68,1.12625
0.57,0.0,3.0
0.69,0.37,3.1493
0.46,0.05,2.85115
0.65,0.03,2.9135
0.56,0.8,3.1024
0.28,0.44,1.98645
0.65,0.0,3.0
0.57,0.1,2.7192
0.44,0.29,2.3014
0.63,0.49,3.2672
0.26,0.03,2.9066
0.92,0.27,3.15975
0.69,0.35,3.09945
0.79,0.78,4.03205
0.3,0.26,2.22345
0.98,0.54,4.69435
0.25,0.62,1.92995
0.55,0.43,2.77835
0.19,0.06,2.8175
0.14,0.65,1.53615
0.09,0.65,1.36305
0.92,1.0,4.5559
0.51,0.43,2.6716
0.36,0.66,2.35305
0.33,0.92,2.2322
0.01,0.93,1.0199
0.25,0.81,1.94295
0.9,0.46,4.22745
0.3,0.12,2.6482
0.87,0.59,4.27485
0.8,0.75,4.05595
0.93,0.2,2.75625
0.34,0.41,2.1399
0.05,0.48,1.30205
0.9,0.12,2.8004
0.59,0.65,3.209
0.72,0.62,3.71495
0.29,0.87,2.0595
0.02,0.72,1.07765
0.8,0.35,3.42985
0.09,0.22,2.2579
0.05,0.61,1.2159
0.49,0.38,2.48655
0.62,0.21,2.503
0.79,0.55,3.96185
0.64,0.52,3.3266
0.17,0.15,2.5464
0.45,0.81,2.6892
0.48,0.8,2.795
0.51,0.39,2.5355
0.62,0.39,2.91775
0.58,0.64,3.17005
0.8,0.62,4.02915
0.6,0.07,2.78955
0.35,0.87,2.3269
0.85,0.83,4.26785
0.96,0.89,4.7174
0.68,0.4,3.2701
0.13,0.15,2.53025
0.14,0.31,1.96835
0.15,0.88,1.5675
0.72,0.97,3.75065
0.56,0.33,2.58675
0.52,0.26,2.36515
0.99,0.97,4.83585
0.9,0.63,4.44115
0.31,0.47,2.1109
0.98,0.8,4.77695
0.31,0.34,2.1019
0.22,0.4,1.87545
0.87,0.37,3.66815
0.76,0.43,3.6762
0.79,0.76,4.0297
0.83,0.38,3.55
0.74,0.12,2.695
0.68,0.51,3.48245
0.56,0.43,2.9031
0.63,0.01,2.96955
0.45,0.24,2.3456
0.52,0.13,2.6227
0.64,0.47,3.28975
0.51,0.91,2.89285
0.78,0.92,4.0
0.92,0.54,4.4549
0.75,0.83,3.8799
0.72,0.5,3.6709
0.53,0.74,2.97545
0.82,0.88,4.1679
0.63,0.35,2.9146
0.8,0.56,4.01105
0.99,0.8,4.8117
0.69,0.67,3.61135
0.44,0.43,2.37155
0.71,0.62,3.68215
0.63,0.08,2.7754
0.48,0.4,2.48075
0.93,0.51,4.41165
0.65,0.12,2.66405
0.78,0.34,3.42765
0.17,0.41,1.73355
0.59,0.93,3.2304
0.98,0.65,4.7553
0.89,0.49,4.2649
0.09,0.48,1.4287
0.98,0.94,4.78615
0.6,0.72,3.2622
0.74,0.48,3.67155
0.48,0.19,2.48095
0.15,0.11,2.6606
0.86,0.55,4.1981
0.97,0.56,4.64215
1.0,0.64,4.81345
0.43,0.66,2.60645
0.85,0.2,2.8593
0.02,0.64,1.0893
0.26,0.02,2.93705
0.12,0.68,1.48065
0.66,0.15,2.6181
0.75,0.58,3.79875
0.04,0.92,1.14
0.15,0.58,1.5877
0.4,0.84,2.4804
0.94,0.97,4.63215
0.64,0.08,2.77435
0.08,0.63,1.3223
0.81,0.9,4.12465
0.21,0.79,1.7785
0.21,0.13,2.5848
0.82,0.12,2.75995
0.77,0.84,3.96435
0.76,0.89,3.9255
0.06,0.34,1.74775
0.92,0.45,4.307
0.41,0.87,2.5386
0.11,0.48,1.50235
0.67,0.53,3.435
0.36,0.88,2.3479
0.47,0.6,2.6979
0.34,0.03,2.90725
0.79,0.95,4.04885
0.24,0.56,1.88055
0.17,0.32,1.9412
0.59,0.26,2.5274
0.59,0.68,3.21355
1.0,0.57,4.7811
0.63,0.84,3.3896
0.72,0.58,3.69975
0.84,0.68,4.22425
0.07,0.87,1.2567
0.71,0.48,3.5778
0.27,0.76,2.01185
0.2,0.43,1.818
0.25,0.83,1.9438
0.74,0.97,3.8439
0.56,0.06,2.82705
0.77,0.18,2.7011
0.61,0.23,2.51795
0.73,0.56,3.7571
0.4,0.67,2.49695
0.93,0.15,2.7337
0.37,0.3,2.21215
0.89,0.6,4.3805
0.32,0.92,2.20215
0.97,0.95,4.76245
0.96,0.12,2.7952
0.74,0.25,2.79955
0.47,0.92,2.75965
0.13,0.43,1.6312
0.8,0.68,4.0443
0.01,0.53,1.1061
0.69,0.03,2.90845
0.73,0.82,3.77985
0.97,0.94,4.7517
0.9,1.0,4.4896
0.08,0.23,2.24015
0.82,0.79,4.1341
0.42,0.46,2.4376
0.62,0.93,3.356
0.71,0.43,3.44075
0.77,0.04,2.8988
0.97,0.53,4.6639
0.73,0.22,2.71585
0.59,0.14,2.6125
0.5,0.81,2.86385
0.4,1.0,2.51055
0.89,0.12,2.749
0.05,0.83,1.17375
0.19,0.67,1.7195
0.97,0.93,4.75125
0.69,0.2,2.58115
