x,y,score
0.46,0.76,2.845
0.54,0.86,2.885
0.16,0.19,1.525
0.61,0.18,3.485
0.82,0.41,4.295
0.72,0.66,3.66
0.63,0.37,3.425
0.41,0.28,2.675
0.16,0.44,1.755
0.8,0.33,4.15
0.84,0.23,4.145
0.25,0.48,1.905
0.62,0.7,3.22
0.78,0.28,4.01
0.03,0.68,1.055
0.57,0.0,3.0
0.69,0.37,3.73
0.46,0.05,2.665
0.65,0.03,3.405
0.56,0.8,3.18
0.28,0.44,2.025
0.65,0.0,3.0
0.57,0.1,3.165
0.44,0.29,2.69
0.63,0.49,3.685
0.26,0.03,2.265
0.92,0.27,4.655
0.69,0.35,3.5
0.79,0.78,4.105
0.3,0.26,2.26
0.98,0.54,4.755
0.25,0.62,2.265
0.55,0.43,2.95
0.19,0.06,1.905
0.14,0.65,1.405
0.09,0.65,1.485
0.92,1.0,4.49
0.51,0.43,2.885
0.36,0.66,2.62
0.33,0.92,2.37
0.01,0.93,1.01
0.25,0.81,1.825
0.9,0.46,4.405
0.3,0.12,2.245
0.87,0.59,4.205
0.8,0.75,4.175
0.93,0.2,4.535
0.34,0.41,2.34
0.05,0.48,1.22
0.9,0.12,4.315
0.59,0.65,2.975
0.72,0.62,3.77
0.29,0.87,2.205
0.02,0.72,1.075
0.8,0.35,4.085
0.09,0.22,1.355
0.05,0.61,1.185
0.49,0.38,2.835
0.62,0.21,3.265
0.79,0.55,4.02
0.64,0.52,3.44
0.17,0.15,1.695
0.45,0.81,2.8
0.48,0.8,2.71
0.51,0.39,2.985
0.62,0.39,3.425
0.58,0.64,3.2
0.8,0.62,3.855
0.6,0.07,3.43
0.35,0.87,2.465
0.85,0.83,4.265
0.96,0.89,4.645
0.68,0.4,3.545
0.13,0.15,1.665
0.14,0.31,1.585
0.15,0.88,1.69
0.72,0.97,3.65
0.56,0.33,3.25
0.52,0.26,3.075
0.99,0.97,4.67
0.9,0.63,4.37
0.31,0.47,2.245
0.98,0.8,4.685
0.31,0.34,2.22
0.22,0.4,1.89
0.87,0.37,4.265
0.76,0.43,3.92
0.79,0.76,3.92
0.83,0.38,4.305
0.74,0.12,4.03
0.68,0.51,3.765
0.56,0.43,3.29
0.63,0.01,3.485
0.45,0.24,2.91
0.52,0.13,2.705
0.64,0.47,3.3
0.51,0.91,2.885
0.78,0.92,3.95
0.92,0.54,4.49
0.75,0.83,3.76
0.72,0.5,3.62
0.53,0.74,3.1
0.82,0.88,3.975
0.63,0.35,3.245
0.8,0.56,4.02
0.99,0.8,4.69
0.69,0.67,3.595
0.44,0.43,2.63
0.71,0.62,3.59
0.63,0.08,3.35
0.48,0.4,2.95
0.93,0.51,4.56
0.65,0.12,3.595
0.78,0.34,3.87
0.17,0.41,1.59
0.59,0.93,3.25
0.98,0.65,4.84
0.89,0.49,4.385
0.09,0.48,1.315
0.98,0.94,4.665
0.6,0.72,3.36
0.74,0.48,3.725
0.48,0.19,2.86
0.15,0.11,1.69
0.86,0.55,4.15
0.97,0.56,4.735
1.0,0.64,4.81
0.43,0.66,2.765
0.85,0.2,4.13
0.02,0.64,1.06
0.26,0.02,1.945
0.12,0.68,1.365
0.66,0.15,3.605
0.75,0.58,3.83
0.04,0.92,1.15
0.15,0.58,1.61
0.4,0.84,2.225
0.94,0.97,4.565
0.64,0.08,3.625
0.08,0.63,1.225
0.81,0.9,3.925
0.21,0.79,1.765
0.21,0.13,2.045
0.82,0.12,4.13
0.77,0.84,3.945
0.76,0.89,3.765
0.06,0.34,1.3
0.92,0.45,4.625
0.41,0.87,2.31
0.11,0.48,1.495
0.67,0.53,3.435
0.36,0.88,2.26
0.47,0.6,2.79
0.34,0.03,2.975
0.79,0.95,4.07
0.24,0.56,2.035
0.17,0.32,1.65
0.59,0.26,3.35
0.59,0.68,3.26
1.0,0.57,4.81
0.63,0.84,3.265
0.72,0.58,3.71
0.84,0.68,4.28
0.07,0.87,1.245
0.71,0.48,3.6
0.27,0.76,1.91
0.2,0.43,1.62
0.25,0.83,2.005
0.74,0.97,3.63
0.56,0.06,3.09
0.77,0.18,4.215
0.61,0.23,3.57
0.73,0.56,3.9
0.4,0.67,2.5
0.93,0.15,4.635
0.37,0.3,2.45
0.89,0.6,4.415
0.32,0.92,2.19
0.97,0.95,4.63
0.96,0.12,4.765
0.74,0.25,3.89
0.47,0.92,2.765
0.13,0.43,1.49
0.8,0.68,4.03
0.01,0.53,1.015
0.69,0.03,3.535
0.73,0.82,3.59
0.97,0.94,4.565
0.9,1.0,4.33
0.08,0.23,1.335
0.82,0.79,4.035
0.42,0.46,2.61
0.62,0.93,3.425
0.71,0.43,3.68
0.77,0.04,4.085
0.97,0.53,4.71
0.73,0.22,3.785
0.59,0.14,3.335
0.5,0.81,2.87
0.4,1.0,2.41
0.89,0.12,4.465
0.05,0.83,1.085
0.19,0.67,1.7
0.97,0.93,4.65
0.69,0.2,3.87
0.72,0.64,3.93
0.94,0.47,4.655
0.81,0.73,4.03
0.5,0.86,2.93
0.15,0.5,1.505
0.45,0.28,2.905
0.48,0.93,2.85
0.15,0.25,1.715
0.32,0.14,2.305
0.62,0.38,3.08
0.48,0.51,2.59
0.61,0.92,3.31
0.34,0.82,2.1
0.39,0.43,2.505
0.89,0.11,4.535
0.67,0.3,3.475
0.15,0.26,1.585
0.72,0.21,3.985
0.57,0.41,3.135
0.01,0.09,1.195
0.55,0.84,3.05
0.85,0.24,4.32
0.53,0.07,3.29
0.81,0.85,4.01
0.65,0.79,3.33
0.08,0.01,1.695
0.62,0.24,3.54
0.28,0.85,2.125
0.12,0.31,1.65
0.04,0.88,1.09
0.25,0.42,2.195
0.29,0.34,2.065
0.12,0.75,1.555
0.16,0.7,1.68
0.9,0.47,4.3
0.65,0.01,3.385
0.44,0.94,2.625
0.38,0.39,2.495
0.95,0.84,4.675
0.31,0.48,2.17
0.45,0.92,2.61
0.08,0.35,1.485
0.68,0.89,3.65
0.99,1.0,4.67
0.61,0.37,3.485
0.02,0.96,1.06
0.94,0.0,3.0
0.71,0.78,3.555
0.09,0.02,1.695
0.46,0.16,2.59
0.3,0.07,2.15
0.94,0.83,4.595
0.25,0.01,2.715
0.78,0.53,3.85
0.24,0.45,1.675
0.1,0.82,1.35
0.27,0.33,2.21
0.89,0.17,4.45
0.5,0.19,3.115
