x,y,score
0.46,0.76,0.727
0.54,0.86,0.42965
0.16,0.19,2.4373
0.61,0.18,2.4684
0.82,0.41,1.7512
0.72,0.66,1.03665
0.63,0.37,1.8827
0.41,0.28,2.1756
0.16,0.44,1.6852
0.8,0.33,2.03265
0.84,0.23,2.32095
0.25,0.48,1.57175
0.62,0.7,0.91705
0.78,0.28,2.16315
0.03,0.68,0.9695
0.57,0.0,3.0
0.69,0.37,1.89105
0.46,0.05,2.8443
0.65,0.03,2.9097
0.56,0.8,0.59885
0.28,0.44,1.69395
0.65,0.0,3.0
0.57,0.1,2.69505
0.44,0.29,2.13615
0.63,0.49,1.5108
0.26,0.03,2.90445
0.92,0.27,2.1981
0.69,0.35,1.95625
0.79,0.78,0.67325
0.3,0.26,2.2195
0.98,0.54,1.3764
0.25,0.62,1.145
0.55,0.43,1.70535
0.19,0.06,2.81415
0.14,0.65,1.06045
0.09,0.65,1.0456
0.92,1.0,0.0447
0.51,0.43,1.73185
0.36,0.66,1.0318
0.33,0.92,0.27145
0.01,0.93,0.4688
0.25,0.81,0.58615
0.9,0.46,1.6156
0.3,0.12,2.63835
0.87,0.59,1.2296
0.8,0.75,0.75445
0.93,0.2,2.394
0.34,0.41,1.78865
0.05,0.48,1.5572
0.9,0.12,2.646
0.59,0.65,1.0524
0.72,0.62,1.12975
0.29,0.87,0.41615
0.02,0.72,0.85385
0.8,0.35,1.94395
0.09,0.22,2.33595
0.05,0.61,1.17915
0.49,0.38,1.8421
0.62,0.21,2.37615
0.79,0.55,1.34465
0.64,0.52,1.451
0.17,0.15,2.5407
0.45,0.81,0.5871
0.48,0.8,0.623
0.51,0.39,1.84525
0.62,0.39,1.8276
0.58,0.64,1.07235
0.8,0.62,1.15325
0.6,0.07,2.7861
0.35,0.87,0.40675
0.85,0.83,0.5327
0.96,0.89,0.34935
0.68,0.4,1.799
0.13,0.15,2.5524
0.14,0.31,2.06635
0.15,0.88,0.38725
0.72,0.97,0.12
0.56,0.33,2.0045
0.52,0.26,2.23005
0.99,0.97,0.1343
0.9,0.63,1.11825
0.31,0.47,1.5895
0.98,0.8,0.6105
0.31,0.34,1.9896
0.22,0.4,1.78525
0.87,0.37,1.8909
0.76,0.43,1.7105
0.79,0.76,0.7187
0.83,0.38,1.87405
0.74,0.12,2.6421
0.68,0.51,1.4922
0.56,0.43,1.7213
0.63,0.01,2.97
0.45,0.24,2.28105
0.52,0.13,2.6109
0.64,0.47,1.6033
0.51,0.91,0.29945
0.78,0.92,0.26055
0.92,0.54,1.37605
0.75,0.83,0.526
0.72,0.5,1.4927
0.53,0.74,0.78335
0.82,0.88,0.3815
0.63,0.35,1.9576
0.8,0.56,1.31305
0.99,0.8,0.62015
0.69,0.67,0.9964
0.44,0.43,1.7154
0.71,0.62,1.1223
0.63,0.08,2.7612
0.48,0.4,1.80205
0.93,0.51,1.46265
0.65,0.12,2.6388
0.78,0.34,2.0067
0.17,0.41,1.7696
0.59,0.93,0.24605
0.98,0.65,1.04815
0.89,0.49,1.5364
0.09,0.48,1.55695
0.98,0.94,0.2128
0.6,0.72,0.8228
0.74,0.48,1.5606
0.48,0.19,2.44035
0.15,0.11,2.6712
0.86,0.55,1.357
0.97,0.56,1.3129
1.0,0.64,1.08415
0.43,0.66,1.0191
0.85,0.2,2.42235
0.02,0.64,1.09215
0.26,0.02,2.94585
0.12,0.68,0.9732
0.66,0.15,2.5569
0.75,0.58,1.26355
0.04,0.92,0.3194
0.15,0.58,1.28145
0.4,0.84,0.50425
0.94,0.97,0.12495
0.64,0.08,2.75865
0.08,0.63,1.0936
0.81,0.9,0.317
0.21,0.79,0.65145
0.21,0.13,2.6074
0.82,0.12,2.6433
0.77,0.84,0.50395
0.76,0.89,0.35195
0.06,0.34,1.9702
0.92,0.45,1.633
0.41,0.87,0.41615
0.11,0.48,1.5481
0.67,0.53,1.4192
0.36,0.88,0.3824
0.47,0.6,1.2044
0.34,0.03,2.91195
0.79,0.95,0.17045
0.24,0.56,1.31615
0.17,0.32,2.0384
0.59,0.26,2.227
0.59,0.68,0.9459
1.0,0.57,1.2967
0.63,0.84,0.4759
0.72,0.58,1.24905
0.84,0.68,0.9461
0.07,0.87,0.42925
0.71,0.48,1.555
0.27,0.76,0.74335
