x,y,score
0.46,0.76,1.8785
0.54,0.86,1.79535
0.16,0.19,2.1265
0.61,0.18,3.2424
0.82,0.41,3.774
0.72,0.66,2.84575
0.63,0.37,3.05195
0.41,0.28,2.6044
0.16,0.44,1.81195
0.8,0.33,3.77355
0.84,0.23,4.053
0.25,0.48,1.94275
0.62,0.7,2.43375
0.78,0.28,3.7073
0.03,0.68,1.18065
0.57,0.0,3.3231
0.69,0.37,3.2793
0.46,0.05,2.9817
0.65,0.03,3.51595
0.56,0.8,2.0129
0.28,0.44,2.08445
0.65,0.0,3.56185
0.57,0.1,3.2114
0.44,0.29,2.658
0.63,0.49,2.91215
0.26,0.03,2.5272
0.92,0.27,4.4141
0.69,0.35,3.29435
0.79,0.78,2.7856
0.3,0.26,2.36135
0.98,0.54,4.73855
0.25,0.62,1.69155
0.55,0.43,2.749
0.19,0.06,2.32935
0.14,0.65,1.4326
0.09,0.65,1.35855
0.92,1.0,1.86725
0.51,0.43,2.6434
0.36,0.66,1.84285
0.33,0.92,1.2112
0.01,0.93,0.67765
0.25,0.81,1.3291
0.9,0.46,4.15555
0.3,0.12,2.51705
0.87,0.59,3.7628
0.8,0.75,2.97285
0.93,0.2,4.52985
0.34,0.41,2.2378
0.05,0.48,1.5209
0.9,0.12,4.3831
0.59,0.65,2.45405
0.72,0.62,2.9917
0.29,0.87,1.262
0.02,0.72,1.09405
0.8,0.35,3.7334
0.09,0.22,1.9541
0.05,0.61,1.3283
0.49,0.38,2.67265
0.62,0.21,3.25975
0.79,0.55,3.39655
0.64,0.52,2.8557
0.17,0.15,2.198
0.45,0.81,1.7219
0.48,0.8,1.80545
0.51,0.39,2.70825
0.62,0.39,3.02285
0.58,0.64,2.4638
0.8,0.62,3.2857
0.6,0.07,3.32745
0.35,0.87,1.3774
0.85,0.83,2.92475
0.96,0.89,3.5444
0.68,0.4,3.21885
0.13,0.15,2.1159
0.14,0.31,1.9361
0.15,0.88,1.0011
0.72,0.97,1.7707
0.56,0.33,2.91795
0.52,0.26,2.9058
0.99,0.97,3.4456
0.9,0.63,3.8912
0.31,0.47,2.10905
0.98,0.8,4.39515
0.31,0.34,2.28345
0.22,0.4,2.0044
0.87,0.37,4.08
0.76,0.43,3.4335
0.79,0.76,2.8904
0.83,0.38,3.84395
0.74,0.12,3.7552
0.68,0.51,3.0016
0.56,0.43,2.77625
0.63,0.01,3.4943
0.45,0.24,2.75395
0.52,0.13,3.06215
0.64,0.47,2.96735
0.51,0.91,1.5581
0.78,0.92,2.1608
0.92,0.54,4.18195
0.75,0.83,2.4595
0.72,0.5,3.1998
0.53,0.74,2.1157
0.82,0.88,2.5738
0.63,0.35,3.13015
0.8,0.56,3.41645
0.99,0.8,4.60995
0.69,0.67,2.7273
0.44,0.43,2.4472
0.71,0.62,2.9107
0.63,0.08,3.44135
0.48,0.4,2.6028
0.93,0.51,4.27815
0.65,0.12,3.44745
0.78,0.34,3.66475
0.17,0.41,1.86825
0.59,0.93,1.6606
0.98,0.65,4.63705
0.89,0.49,4.0253
0.09,0.48,1.6263
0.98,0.94,3.63995
0.6,0.72,2.35485
0.74,0.48,3.31105
0.48,0.19,2.86855
0.15,0.11,2.2049
0.86,0.55,3.78985
0.97,0.56,4.57165
1.0,0.64,4.94605
0.43,0.66,2.04235
0.85,0.2,4.0908
0.02,0.64,1.2337
0.26,0.02,2.5362
0.12,0.68,1.34065
0.66,0.15,3.41025
0.75,0.58,3.1529
0.04,0.92,0.7419
0.15,0.58,1.54995
0.4,0.84,1.56605
0.94,0.97,2.4922
0.64,0.08,3.4378
0.08,0.63,1.35515
0.81,0.9,2.39075
0.21,0.79,1.2956
0.21,0.13,2.30265
0.82,0.12,4.0625
0.77,0.84,2.476
0.76,0.89,2.20445
0.06,0.34,1.7412
0.92,0.45,4.24865
0.41,0.87,1.4964
0.11,0.48,1.6433
0.67,0.53,2.93385
0.36,0.88,1.35685
0.47,0.6,2.2548
0.34,0.03,2.69965
0.79,0.95,1.996
0.24,0.56,1.7868
0.17,0.32,1.9897
0.59,0.26,3.1103
0.59,0.68,2.37425
1.0,0.57,4.9427
0.63,0.84,2.07605
0.72,0.58,3.04555
0.84,0.68,3.3506
0.07,0.87,0.8735
0.71,0.48,3.1752
0.27,0.76,1.5056
0.2,0.43,1.8851
0.25,0.83,1.2864
0.74,0.97,1.77875
0.56,0.06,3.2388
0.77,0.18,3.7929
0.61,0.23,3.20355
0.73,0.56,3.1065
0.4,0.67,1.9333
0.93,0.15,4.5401
0.37,0.3,2.49025
0.89,0.6,3.8227
0.32,0.92,1.1777
0.97,0.95,3.08545
0.96,0.12,4.7152
0.74,0.25,3.6075
0.47,0.92,1.4612
0.13,0.43,1.75985
0.8,0.68,3.14275
0.01,0.53,1.3805
0.69,0.03,3.6517
0.73,0.82,2.45915
0.97,0.94,3.15625
0.9,1.0,1.8413
0.08,0.23,1.93655
0.82,0.79,2.93485
0.42,0.46,2.3836
0.62,0.93,1.7053
0.71,0.43,3.25195
0.77,0.04,3.91895
0.97,0.53,4.63515
0.73,0.22,3.6245
0.59,0.14,3.2505
0.5,0.81,1.81045
0.4,1.0,1.1141
0.89,0.12,4.3677
0.05,0.83,0.94385
0.19,0.67,1.49875
0.97,0.93,3.42965
0.69,0.2,3.50125
0.72,0.64,2.9294
0.94,0.47,4.4185
0.81,0.73,3.0784
0.5,0.86,1.69085
0.15,0.5,1.69245
0.45,0.28,2.6996
0.48,0.93,1.4407
0.15,0.25,2.04325
0.32,0.14,2.5541
0.62,0.38,3.038
0.48,0.51,2.42835
0.61,0.92,1.7581
0.34,0.82,1.4693
0.39,0.43,2.3216
0.89,0.11,4.3897
0.67,0.3,3.31445
0.15,0.26,2.0276
0.72,0.21,3.5825
0.57,0.41,2.82615
0.01,0.09,1.9424
0.55,0.84,1.8935
0.85,0.24,4.05085
0.53,0.07,3.13745
0.81,0.85,2.5836
0.65,0.79,2.30175
0.08,0.01,2.1617
0.62,0.24,3.23435
0.28,0.85,1.27715
0.12,0.31,1.89345
0.04,0.88,0.8254
0.25,0.42,2.02625
0.29,0.34,2.22575
0.12,0.75,1.21815
0.16,0.7,1.39345
0.9,0.47,4.11535
0.65,0.01,3.55375
0.44,0.94,1.361
0.38,0.39,2.3641
0.95,0.84,3.745
0.31,0.48,2.07925
0.45,0.92,1.4469
0.08,0.35,1.76635
0.68,0.89,2.00645
0.99,1.0,1.97765
0.61,0.37,3.0106
0.02,0.96,0.6138
0.94,0.0,4.6641
0.71,0.78,2.491
0.09,0.02,2.1736
0.46,0.16,2.86775
0.3,0.07,2.5705
0.94,0.83,3.66975
0.25,0.01,2.51575
0.78,0.53,3.3688
0.24,0.45,1.97125
0.1,0.82,1.0515
0.27,0.33,2.21695
0.89,0.17,4.35845
0.5,0.19,2.92
0.12,0.89,0.937
0.57,0.07,3.2553
0.85,0.58,3.6708
0.03,0.67,1.19695
0.79,0.05,3.9882
0.18,0.3,2.02835
0.66,0.43,3.13255
0.41,0.6,2.09515
0.52,0.47,2.59435
0.53,0.05,3.1508
0.51,0.93,1.5022
0.8,0.32,3.7696
0.91,0.77,3.6037
0.57,0.84,1.9135
0.65,0.7,2.5621
0.6,0.23,3.1565
0.11,0.82,1.0675
0.46,1.0,1.1894
0.71,0.57,3.0023
0.28,0.08,2.51
0.2,0.19,2.21735
0.82,0.03,4.1022
0.9,0.83,3.27465
0.68,0.02,3.61755
0.1,0.34,1.80535
0.97,0.02,4.8183
0.27,0.01,2.5629
0.84,0.82,2.88065
0.99,0.61,4.8038
0.18,0.48,1.79795
0.18,0.73,1.37085
0.79,0.15,3.8896
0.77,0.93,2.0841
0.58,0.8,2.0699
0.18,0.95,0.89155
0.21,0.71,1.47745
0.98,0.62,4.6936
0.23,0.97,0.9254
0.06,0.16,1.94685
0.53,0.36,2.8091
0.97,0.86,3.93255
0.26,0.42,2.03405
0.81,0.43,3.6862
0.2,0.12,2.292
0.1,0.57,1.4848
0.15,0.35,1.918
0.89,0.02,4.42405
0.51,0.7,2.12925
0.57,0.27,3.032
0.11,0.19,2.03075
0.69,0.41,3.23615
0.68,0.83,2.2527
0.97,0.34,4.72015
0.36,0.11,2.67335
0.53,0.1,3.1243
0.19,0.47,1.84645
0.81,0.31,3.8207
0.66,0.86,2.07605
0.93,0.77,3.75265
0.82,0.05,4.1004
0.88,0.94,2.39035
