x,y,score
0.46,0.76,2.7837
0.54,0.86,3.1151
0.16,0.19,1.8878
0.61,0.18,3.1761
0.82,0.41,4.08515
0.72,0.66,3.7804
0.63,0.37,3.39705
0.41,0.28,2.55965
0.16,0.44,1.6582
0.8,0.33,3.91775
0.84,0.23,3.9246
0.25,0.48,1.9885
0.62,0.7,3.3864
0.78,0.28,3.8459
0.03,0.68,1.1223
0.57,0.0,3.011
0.69,0.37,3.60095
0.46,0.05,2.8607
0.65,0.03,3.0208
0.56,0.8,3.1615
0.28,0.44,2.0864
0.65,0.0,3.013
0.57,0.1,2.97005
0.44,0.29,2.70215
0.63,0.49,3.41105
0.26,0.03,2.797
0.92,0.27,4.34075
0.69,0.35,3.61565
0.79,0.78,4.0515
0.3,0.26,2.20045
0.98,0.54,4.7721
0.25,0.62,1.9805
0.55,0.43,3.0811
0.19,0.06,2.50845
0.14,0.65,1.5336
0.09,0.65,1.362
0.92,1.0,4.578
0.51,0.43,2.97785
0.36,0.66,2.4069
0.33,0.92,2.2685
0.01,0.93,1.0234
0.25,0.81,1.9671
0.9,0.46,4.44215
0.3,0.12,2.4193
0.87,0.59,4.3613
0.8,0.75,4.0695
0.93,0.2,4.0706
0.34,0.41,2.36125
0.05,0.48,1.218
0.9,0.12,3.7231
0.59,0.65,3.2779
0.72,0.62,3.7698
0.29,0.87,2.0812
0.02,0.72,1.0766
0.8,0.35,3.9594
0.09,0.22,1.6067
0.05,0.61,1.2013
0.49,0.38,2.91325
0.62,0.21,3.23005
0.79,0.55,4.0599
0.64,0.52,3.46535
0.17,0.15,1.99365
0.45,0.81,2.7365
0.48,0.8,2.8411
0.51,0.39,2.95905
0.62,0.39,3.3543
0.58,0.64,3.2545
0.8,0.62,4.0819
0.6,0.07,3.0213
0.35,0.87,2.3406
0.85,0.83,4.291
0.96,0.89,4.7189
0.68,0.4,3.55055
0.13,0.15,1.82685
0.14,0.31,1.6277
0.15,0.88,1.5895
0.72,0.97,3.7865
0.56,0.33,3.106
0.52,0.26,2.955
0.99,0.97,4.8435
0.9,0.63,4.4814
0.31,0.47,2.20485
0.98,0.8,4.7878
0.31,0.34,2.25165
0.22,0.4,1.859
0.87,0.37,4.21045
0.76,0.43,3.9275
0.79,0.76,4.0616
0.83,0.38,4.1317
0.74,0.12,3.41995
0.68,0.51,3.6162
0.56,0.43,3.1733
0.63,0.01,2.98835
0.45,0.24,2.6974
0.52,0.13,2.91865
0.64,0.47,3.4516
0.51,0.91,2.9927
0.78,0.92,4.0457
0.92,0.54,4.5418
0.75,0.83,3.9053
0.72,0.5,3.7557
0.53,0.74,3.0365
0.82,0.88,4.1665
0.63,0.35,3.40865
0.8,0.56,4.0887
0.99,0.8,4.8358
0.69,0.67,3.6818
0.44,0.43,2.6687
0.71,0.62,3.7393
0.63,0.08,3.06745
0.48,0.4,2.85515
0.93,0.51,4.55605
0.65,0.12,3.1676
0.78,0.34,3.90845
0.17,0.41,1.7022
0.59,0.93,3.2815
0.98,0.65,4.76465
0.89,0.49,4.4197
0.09,0.48,1.3719
0.98,0.94,4.7993
0.6,0.72,3.3108
0.74,0.48,3.857
0.48,0.19,2.78655
0.15,0.11,2.17805
0.86,0.55,4.27605
0.97,0.56,4.7177
1.0,0.64,4.8651
0.43,0.66,2.6763
0.85,0.2,3.9682
0.02,0.64,1.09
0.26,0.02,2.8553
0.12,0.68,1.4657
0.66,0.15,3.3032
0.75,0.58,3.8935
0.04,0.92,1.132
0.15,0.58,1.5962
0.4,0.84,2.5423
0.94,0.97,4.6395
0.64,0.08,3.11435
0.08,0.63,1.3155
0.81,0.9,4.1279
0.21,0.79,1.8051
0.21,0.13,2.1464
0.82,0.12,3.54905
0.77,0.84,3.9782
0.76,0.89,3.9344
0.06,0.34,1.31565
0.92,0.45,4.5091
0.41,0.87,2.5975
0.11,0.48,1.4713
0.67,0.53,3.5465
0.36,0.88,2.4156
0.47,0.6,2.8277
0.34,0.03,2.81185
0.79,0.95,4.072
0.24,0.56,1.9448
0.17,0.32,1.74095
0.59,0.26,3.1332
0.59,0.68,3.2902
1.0,0.57,4.8584
0.63,0.84,3.4333
0.72,0.58,3.7926
0.84,0.68,4.2607
0.07,0.87,1.2656
0.71,0.48,3.7167
0.27,0.76,2.047
0.2,0.43,1.795
0.25,0.83,1.9659
0.74,0.97,3.8725
0.56,0.06,2.96475
0.77,0.18,3.6965
0.61,0.23,3.2257
0.73,0.56,3.8141
0.4,0.67,2.5544
0.93,0.15,3.8532
0.37,0.3,2.4317
0.89,0.6,4.43205
0.32,0.92,2.2153
0.97,0.95,4.76
0.96,0.12,3.8646
0.74,0.25,3.5623
0.47,0.92,2.8104
0.13,0.43,1.53565
0.8,0.68,4.085
0.01,0.53,1.0612
0.69,0.03,3.0641
0.73,0.82,3.8191
0.97,0.94,4.7568
0.9,1.0,4.4802
0.08,0.23,1.5417
0.82,0.79,4.1649
0.42,0.46,2.61575
0.62,0.93,3.3892
0.71,0.43,3.73415
0.77,0.04,3.15455
0.97,0.53,4.742
0.73,0.22,3.5835
0.59,0.14,3.05005
0.5,0.81,2.9333
0.4,1.0,2.526
0.89,0.12,3.74495
0.05,0.83,1.1894
0.19,0.67,1.7487
0.97,0.93,4.7615
0.69,0.2,3.44395
0.72,0.64,3.7605
0.94,0.47,4.6104
0.81,0.73,4.1385
0.5,0.86,2.9069
0.15,0.5,1.5844
0.45,0.28,2.7089
0.48,0.93,2.8388
0.15,0.25,1.71385
0.32,0.14,2.4416
0.62,0.38,3.30985
0.48,0.51,2.85905
0.61,0.92,3.3755
0.34,0.82,2.3003
0.39,0.43,2.5128
0.89,0.11,3.5854
0.67,0.3,3.4783
0.15,0.26,1.707
0.72,0.21,3.52
0.57,0.41,3.1791
0.01,0.09,1.9773
0.55,0.84,3.1295
0.85,0.24,3.9543
0.53,0.07,2.9192
0.81,0.85,4.1589
0.65,0.79,3.5092
0.08,0.01,2.95
0.62,0.24,3.2862
0.28,0.85,2.0642
0.12,0.31,1.5699
0.04,0.88,1.1352
0.25,0.42,1.9953
0.29,0.34,2.14715
0.12,0.75,1.4598
0.16,0.7,1.6292
0.9,0.47,4.45585
0.65,0.01,2.98555
0.44,0.94,2.6976
0.38,0.39,2.45505
0.95,0.84,4.691
0.31,0.48,2.2491
0.45,0.92,2.7347
0.08,0.35,1.412
0.68,0.89,3.6502
0.99,1.0,4.8458
0.61,0.37,3.2716
0.02,0.96,1.0591
0.94,0.0,3.0186
0.71,0.78,3.7582
0.09,0.02,2.8352
0.46,0.16,2.7422
0.3,0.07,2.584
0.94,0.83,4.6323
0.25,0.01,2.9561
0.78,0.53,4.0285
0.24,0.45,1.95295
0.1,0.82,1.3817
0.27,0.33,2.0978
0.89,0.17,3.9101
0.5,0.19,2.82475
0.12,0.89,1.4544
0.57,0.07,2.98445
0.85,0.58,4.2913
0.03,0.67,1.1235
0.79,0.05,3.17445
0.18,0.3,1.77345
0.66,0.43,3.5374
0.41,0.6,2.611
0.52,0.47,2.99535
0.53,0.05,2.9434
0.51,0.93,2.9766
0.8,0.32,3.91895
0.91,0.77,4.5333
0.57,0.84,3.2161
0.65,0.7,3.5222
0.6,0.23,3.16765
0.11,0.82,1.4007
0.46,1.0,2.784
0.71,0.57,3.7251
0.28,0.08,2.52605
0.2,0.19,1.98835
0.82,0.03,3.11635
0.9,0.83,4.4835
0.68,0.02,3.01645
0.1,0.34,1.47055
0.97,0.02,3.12725
0.27,0.01,2.9647
0.84,0.82,4.2737
0.99,0.61,4.79625
0.18,0.48,1.71245
0.18,0.73,1.6888
0.79,0.15,3.52985
0.77,0.93,3.9589
0.58,0.8,3.2654
0.18,0.95,1.6858
0.21,0.71,1.8165
0.98,0.62,4.7826
0.23,0.97,1.8819
0.06,0.16,1.77365
0.53,0.36,3.02925
0.97,0.86,4.7592
0.26,0.42,2.0342
0.81,0.43,4.0993
0.2,0.12,2.13295
0.1,0.57,1.3994
0.15,0.35,1.62975
0.89,0.02,3.11355
0.51,0.7,2.9865
0.57,0.27,3.14905
0.11,0.19,1.7424
0.69,0.41,3.6519
0.68,0.83,3.6208
0.97,0.34,4.51955
0.36,0.11,2.55365
0.53,0.1,2.91015
0.19,0.47,1.74145
0.81,0.31,3.99965
0.66,0.86,3.5527
0.93,0.77,4.5992
0.82,0.05,3.2795
0.88,0.94,4.4268
0.33,0.39,2.28595
0.1,0.68,1.3866
0.84,0.95,4.2651
0.29,0.54,2.122
0.96,0.41,4.63445
0.89,0.67,4.4589
0.91,0.12,3.7403
0.31,0.86,2.1937
0.11,0.2,1.70595
0.06,0.77,1.2367
0.89,0.59,4.4277
0.01,0.38,1.11055
0.18,0.09,2.27075
0.2,0.72,1.7712
0.56,0.89,3.16
0.19,0.48,1.7571
0.33,0.63,2.2705
0.86,0.41,4.2208
0.51,0.19,2.8882
0.35,0.08,2.5877
0.51,0.69,2.9948
0.68,0.91,3.65
0.78,0.73,4.0142
0.65,0.68,3.4826
0.4,0.44,2.5769
0.02,0.27,1.215
0.3,0.89,2.139
0.87,0.99,4.3806
0.95,0.8,4.6771
0.58,0.76,3.2455
0.71,0.86,3.7551
0.44,0.13,2.6897
0.48,0.0,3.0096
0.57,0.63,3.219
0.59,0.25,3.2166
0.95,0.45,4.63835
0.12,0.04,2.6118
