x,y,score
0.46,0.76,1.9509
0.54,0.86,1.98135
0.16,0.19,2.23975
0.61,0.18,2.82135
0.82,0.41,2.6024
0.72,0.66,2.28335
0.63,0.37,2.5232
0.41,0.28,2.4588
0.16,0.44,1.7427
0.8,0.33,2.6895
0.84,0.23,2.8514
0.25,0.48,1.89965
0.62,0.7,2.1837
0.78,0.28,2.7437
0.03,0.68,1.14815
0.57,0.0,3.17115
0.69,0.37,2.5688
0.46,0.05,2.98745
0.65,0.03,3.14145
0.56,0.8,2.04005
0.28,0.44,2.01825
0.65,0.0,3.20475
0.57,0.1,2.93755
0.44,0.29,2.4811
0.63,0.49,2.38655
0.26,0.03,2.8369
0.92,0.27,2.8321
0.69,0.35,2.5959
0.79,0.78,2.2474
0.3,0.26,2.355
0.98,0.54,2.53515
0.25,0.62,1.7423
0.55,0.43,2.37745
0.19,0.06,2.65305
0.14,0.65,1.46635
0.09,0.65,1.3396
0.92,1.0,2.1992
0.51,0.43,2.34205
0.36,0.66,1.8872
0.33,0.92,1.6472
0.01,0.93,0.90045
0.25,0.81,1.5712
0.9,0.46,2.57975
0.3,0.12,2.64865
0.87,0.59,2.4436
0.8,0.75,2.27605
0.93,0.2,2.9334
0.34,0.41,2.1701
0.05,0.48,1.41355
0.9,0.12,3.06145
0.59,0.65,2.19085
0.72,0.62,2.33295
0.29,0.87,1.59715
0.02,0.72,1.077
0.8,0.35,2.66365
0.09,0.22,1.9927
0.05,0.61,1.26405
0.49,0.38,2.39335
0.62,0.21,2.7681
0.79,0.55,2.43435
0.64,0.52,2.35165
0.17,0.15,2.37025
0.45,0.81,1.9011
0.48,0.8,1.9476
0.51,0.39,2.40335
0.62,0.39,2.49435
0.58,0.64,2.1729
0.8,0.62,2.3723
0.6,0.07,3.0158
0.35,0.87,1.71145
0.85,0.83,2.25345
0.96,0.89,2.284
0.68,0.4,2.53355
0.13,0.15,2.28055
0.14,0.31,1.95375
0.15,0.88,1.30145
0.72,0.97,2.085
0.56,0.33,2.52835
0.52,0.26,2.60365
0.99,0.97,2.2512
0.9,0.63,2.4221
0.31,0.47,2.01675
0.98,0.8,2.34125
0.31,0.34,2.2025
0.22,0.4,1.96335
0.87,0.37,2.67165
0.76,0.43,2.53795
0.79,0.76,2.26245
0.83,0.38,2.63385
0.74,0.12,3.002
0.68,0.51,2.401
0.56,0.43,2.3983
0.63,0.01,3.1736
0.45,0.24,2.5631
0.52,0.13,2.85675
0.64,0.47,2.41215
0.51,0.91,1.897
0.78,0.92,2.1497
0.92,0.54,2.51245
0.75,0.83,2.1915
0.72,0.5,2.4285
0.53,0.74,2.05215
0.82,0.88,2.2055
0.63,0.35,2.5486
0.8,0.56,2.4309
0.99,0.8,2.3449
0.69,0.67,2.27065
0.44,0.43,2.2569
0.71,0.62,2.311
0.63,0.08,3.0184
0.48,0.4,2.35045
0.93,0.51,2.5341
0.65,0.12,2.954
0.78,0.34,2.66905
0.17,0.41,1.8336
0.59,0.93,1.97575
0.98,0.65,2.44605
0.89,0.49,2.53415
0.09,0.48,1.534
