x,y,score
0.46,0.76,1.83795
0.54,0.86,1.8376
0.16,0.19,2.3665
0.61,0.18,2.54245
0.82,0.41,2.2644
0.72,0.66,2.05365
0.63,0.37,2.26655
0.41,0.28,2.31
0.16,0.44,1.75915
0.8,0.33,2.368
0.84,0.23,2.5008
0.25,0.48,1.8542
0.62,0.7,1.9929
0.78,0.28,2.4116
0.03,0.68,1.13675
0.57,0.0,3.0
0.69,0.37,2.2905
0.46,0.05,2.8534
0.65,0.03,2.90855
0.56,0.8,1.8872
0.28,0.44,1.9323
0.65,0.0,3.0
0.57,0.1,2.72255
0.44,0.29,2.29625
0.63,0.49,2.1455
0.26,0.03,2.9041
0.92,0.27,2.4452
0.69,0.35,2.30945
0.79,0.78,2.01515
0.3,0.26,2.28575
0.98,0.54,2.2186
0.25,0.62,1.7085
0.55,0.43,2.1592
0.19,0.06,2.804
0.14,0.65,1.48065
0.09,0.65,1.34455
0.92,1.0,1.95845
0.51,0.43,2.13345
0.36,0.66,1.82735
0.33,0.92,1.64955
0.01,0.93,1.0248
0.25,0.81,1.5758
0.9,0.46,2.25755
0.3,0.12,2.6468
0.87,0.59,2.1641
0.8,0.75,2.03835
0.93,0.2,2.5549
0.34,0.41,2.05425
0.05,0.48,1.3674
0.9,0.12,2.68975
0.59,0.65,2.01485
0.72,0.62,2.0777
0.29,0.87,1.63085
0.02,0.72,1.08305
0.8,0.35,2.3413
0.09,0.22,2.16255
0.05,0.61,1.2457
0.49,0.38,2.19985
0.62,0.21,2.4879
0.79,0.55,2.15555
0.64,0.52,2.12655
0.17,0.15,2.5146
0.45,0.81,1.81915
0.48,0.8,1.8425
0.51,0.39,2.18065
0.62,0.39,2.2312
0.58,0.64,2.00235
0.8,0.62,2.11635
0.6,0.07,2.8022
0.35,0.87,1.69665
0.85,0.83,2.01375
0.96,0.89,2.0125
0.68,0.4,2.2393
0.13,0.15,2.45875
0.14,0.31,1.95225
0.15,0.88,1.39965
0.72,0.97,1.90905
0.56,0.33,2.288
0.52,0.26,2.3863
0.99,0.97,1.99205
0.9,0.63,2.13105
0.31,0.47,1.96505
0.98,0.8,2.06405
0.31,0.34,2.1504
0.22,0.4,1.93485
0.87,0.37,2.34085
0.76,0.43,2.23875
0.79,0.76,2.026
0.83,0.38,2.3072
0.74,0.12,2.69155
0.68,0.51,2.1479
0.56,0.43,2.1736
0.63,0.01,2.96895
0.45,0.24,2.39095
0.52,0.13,2.65135
0.64,0.47,2.17625
0.51,0.91,1.81885
0.78,0.92,1.9393
0.92,0.54,2.1936
0.75,0.83,1.9888
0.72,0.5,2.1678
0.53,0.74,1.89335
0.82,0.88,1.9702
0.63,0.35,2.2846
0.8,0.56,2.1403
0.99,0.8,2.07145
0.69,0.67,2.0374
0.44,0.43,2.11365
0.71,0.62,2.0726
0.63,0.08,2.7761
0.48,0.4,2.16485
0.93,0.51,2.2227
0.65,0.12,2.68365
0.78,0.34,2.3415
0.17,0.41,1.7975
0.59,0.93,1.84475
0.98,0.65,2.1508
0.89,0.49,2.2268
0.09,0.48,1.4864
0.98,0.94,2.01145
0.6,0.72,1.96065
0.74,0.48,2.1967
0.48,0.19,2.50985
0.15,0.11,2.64285
0.86,0.55,2.18345
0.97,0.56,2.2012
1.0,0.64,2.1595
0.43,0.66,1.89705
0.85,0.2,2.53675
0.02,0.64,1.1087
0.26,0.02,2.9416
0.12,0.68,1.4103
0.66,0.15,2.62175
0.75,0.58,2.12275
0.04,0.92,1.1193
0.15,0.58,1.55585
0.4,0.84,1.7632
0.94,0.97,1.9838
0.64,0.08,2.77645
0.08,0.63,1.31745
0.81,0.9,1.95665
0.21,0.79,1.5403
0.21,0.13,2.5918
0.82,0.12,2.69305
0.77,0.84,1.98575
0.76,0.89,1.94105
0.06,0.34,1.66625
0.92,0.45,2.26935
0.41,0.87,1.7521
0.11,0.48,1.55275
0.67,0.53,2.1137
0.36,0.88,1.6919
0.47,0.6,1.9562
0.34,0.03,2.91215
0.79,0.95,1.9291
0.24,0.56,1.754
0.17,0.32,1.97555
0.59,0.26,2.39855
0.59,0.68,1.99615
1.0,0.57,2.19955
0.63,0.84,1.92675
0.72,0.58,2.1232
0.84,0.68,2.08845
0.07,0.87,1.1971
0.71,0.48,2.18475
0.27,0.76,1.65165
0.2,0.43,1.8381
0.25,0.83,1.57945
0.74,0.97,1.9043
0.56,0.06,2.83085
0.77,0.18,2.57925
0.61,0.23,2.4483
0.73,0.56,2.12875
0.4,0.67,1.86915
0.93,0.15,2.63565
0.37,0.3,2.2489
0.89,0.6,2.15125
0.32,0.92,1.6248
0.97,0.95,1.9936
0.96,0.12,2.70355
0.74,0.25,2.44895
0.47,0.92,1.76065
0.13,0.43,1.6781
0.8,0.68,2.0743
0.01,0.53,1.12555
0.69,0.03,2.9161
0.73,0.82,1.968
0.97,0.94,2.0028
0.9,1.0,1.9517
0.08,0.23,2.10155
0.82,0.79,2.01105
0.42,0.46,2.05305
0.62,0.93,1.87285
0.71,0.43,2.22805
0.77,0.04,2.88225
0.97,0.53,2.2203
0.73,0.22,2.49785
0.59,0.14,2.63065
0.5,0.81,1.84125
0.4,1.0,1.68405
0.89,0.12,2.69865
0.05,0.83,1.16125
0.19,0.67,1.56425
0.97,0.93,2.00395
0.69,0.2,2.52475
0.72,0.64,2.0606
0.94,0.47,2.2624
0.81,0.73,2.05835
0.5,0.86,1.8201
0.15,0.5,1.62995
0.45,0.28,2.32345
0.48,0.93,1.7712
0.15,0.25,2.16425
0.32,0.14,2.5854
0.62,0.38,2.2604
0.48,0.51,2.0354
0.61,0.92,1.85905
0.34,0.82,1.7079
0.39,0.43,2.0685
0.89,0.11,2.7214
0.67,0.3,2.37745
0.15,0.26,2.1334
0.72,0.21,2.50775
0.57,0.41,2.215
0.01,0.09,2.6224
