x,y,score
0.46,0.76,0.73965
0.54,0.86,0.4402
0.16,0.19,2.42915
0.61,0.18,2.4829
0.82,0.41,1.81735
0.72,0.66,1.07
0.63,0.37,1.90885
0.41,0.28,2.1791
0.16,0.44,1.68535
0.8,0.33,2.07645
0.84,0.23,2.3818
0.25,0.48,1.5774
0.62,0.7,0.93855
0.78,0.28,2.1899
0.03,0.68,0.96845
0.57,0.0,3.0061
0.69,0.37,1.923
0.46,0.05,2.8482
0.65,0.03,2.927
0.56,0.8,0.60685
0.28,0.44,1.6994
0.65,0.0,3.0154
0.57,0.1,2.70455
0.44,0.29,2.12455
0.63,0.49,1.5441
0.26,0.03,2.8984
0.92,0.27,2.32965
0.69,0.35,1.98445
0.79,0.78,0.6995
0.3,0.26,2.23
0.98,0.54,1.74245
0.25,0.62,1.14265
0.55,0.43,1.73285
0.19,0.06,2.8135
0.14,0.65,1.05325
0.09,0.65,1.04785
0.92,1.0,0.0191
0.51,0.43,1.7263
0.36,0.66,1.0418
0.33,0.92,0.2586
0.01,0.93,0.2166
0.25,0.81,0.57905
0.9,0.46,1.74305
0.3,0.12,2.64545
0.87,0.59,1.31975
0.8,0.75,0.7711
0.93,0.2,2.5442
0.34,0.41,1.7818
0.05,0.48,1.54945
0.9,0.12,2.71405
0.59,0.65,1.0593
0.72,0.62,1.1972
0.29,0.87,0.38975
0.02,0.72,0.8424
0.8,0.35,1.9917
0.09,0.22,2.33865
0.05,0.61,1.1812
0.49,0.38,1.87375
0.62,0.21,2.38965
0.79,0.55,1.38645
0.64,0.52,1.47585
0.17,0.15,2.5466
0.45,0.81,0.5948
0.48,0.8,0.6168
0.51,0.39,1.8413
0.62,0.39,1.8621
0.58,0.64,1.10855
0.8,0.62,1.16185
0.6,0.07,2.79755
0.35,0.87,0.3919
0.85,0.83,0.5423
0.96,0.89,0.4203
0.68,0.4,1.8381
0.13,0.15,2.5335
0.14,0.31,2.0648
0.15,0.88,0.37755
0.72,0.97,0.106
0.56,0.33,2.01865
0.52,0.26,2.226
0.99,0.97,0.12075
0.9,0.63,1.20975
0.31,0.47,1.61895
0.98,0.8,0.90235
0.31,0.34,1.99515
0.22,0.4,1.78985
0.87,0.37,1.9871
0.76,0.43,1.7486
0.79,0.76,0.7405
0.83,0.38,1.9206
0.74,0.12,2.672
0.68,0.51,1.52775
0.56,0.43,1.73985
0.63,0.01,2.9858
0.45,0.24,2.28755
0.52,0.13,2.61815
0.64,0.47,1.62875
0.51,0.91,0.2912
0.78,0.92,0.2564
0.92,0.54,1.4639
0.75,0.83,0.52345
0.72,0.5,1.50435
0.53,0.74,0.8043
0.82,0.88,0.3935
0.63,0.35,1.9754
0.8,0.56,1.37695
0.99,0.8,1.12305
0.69,0.67,1.0228
0.44,0.43,1.72345
0.71,0.62,1.16905
0.63,0.08,2.7735
0.48,0.4,1.79685
0.93,0.51,1.5689
0.65,0.12,2.65605
0.78,0.34,2.01745
0.17,0.41,1.7711
0.59,0.93,0.2322
0.98,0.65,1.47285
0.89,0.49,1.63595
0.09,0.48,1.564
0.98,0.94,0.2975
0.6,0.72,0.8567
0.74,0.48,1.6016
0.48,0.19,2.44615
0.15,0.11,2.66615
0.86,0.55,1.40695
0.97,0.56,1.61
1.0,0.64,2.26235
0.43,0.66,1.0283
0.85,0.2,2.47135
0.02,0.64,1.09475
0.26,0.02,2.93195
0.12,0.68,0.9649
0.66,0.15,2.56675
0.75,0.58,1.29995
0.04,0.92,0.23935
0.15,0.58,1.25695
0.4,0.84,0.49645
0.94,0.97,0.11455
0.64,0.08,2.7794
0.08,0.63,1.0972
0.81,0.9,0.3329
0.21,0.79,0.6487
0.21,0.13,2.60575
0.82,0.12,2.6865
0.77,0.84,0.52165
0.76,0.89,0.36415
0.06,0.34,1.9657
0.92,0.45,1.77495
0.41,0.87,0.40695
0.11,0.48,1.5495
0.67,0.53,1.44845
0.36,0.88,0.37675
0.47,0.6,1.2152
0.34,0.03,2.90705
0.79,0.95,0.1648
0.24,0.56,1.3424
0.17,0.32,2.0176
0.59,0.26,2.2399
0.59,0.68,0.95855
1.0,0.57,2.7704
0.63,0.84,0.4744
0.72,0.58,1.30815
0.84,0.68,1.00755
0.07,0.87,0.4
0.71,0.48,1.6029
0.27,0.76,0.7258
0.2,0.43,1.7217
0.25,0.83,0.52715
0.74,0.97,0.1091
0.56,0.06,2.82405
0.77,0.18,2.48305
0.61,0.23,2.3289
0.73,0.56,1.33835
0.4,0.67,0.99105
0.93,0.15,2.71185
0.37,0.3,2.09945
0.89,0.6,1.2893
0.32,0.92,0.24555
0.97,0.95,0.19605
0.96,0.12,2.92975
0.74,0.25,2.28105
0.47,0.92,0.25045
0.13,0.43,1.70995
0.8,0.68,0.99465
0.01,0.53,1.4016
0.69,0.03,2.93265
0.73,0.82,0.5704
0.97,0.94,0.26425
0.9,1.0,0.01835
0.08,0.23,2.30555
0.82,0.79,0.68075
0.42,0.46,1.6312
0.62,0.93,0.22795
0.71,0.43,1.75595
0.77,0.04,2.9128
0.97,0.53,1.67815
0.73,0.22,2.37305
0.59,0.14,2.59545
0.5,0.81,0.597
0.4,1.0,0.01175
0.89,0.12,2.73395
0.05,0.83,0.51245
0.19,0.67,1.009
0.97,0.93,0.2628
0.69,0.2,2.4251
0.72,0.64,1.1128
0.94,0.47,1.7177
0.81,0.73,0.84955
0.5,0.86,0.4406
0.15,0.5,1.49815
0.45,0.28,2.163
0.48,0.93,0.23295
0.15,0.25,2.2535
0.32,0.14,2.57635
0.62,0.38,1.86715
0.48,0.51,1.4845
0.61,0.92,0.24125
0.34,0.82,0.5458
0.39,0.43,1.71895
0.89,0.11,2.75975
0.67,0.3,2.09645
0.15,0.26,2.2171
0.72,0.21,2.40025
0.57,0.41,1.78945
0.01,0.09,2.72035
0.55,0.84,0.4961
0.85,0.24,2.3104
0.53,0.07,2.7911
0.81,0.85,0.46275
0.65,0.79,0.64515
0.08,0.01,2.95705
0.62,0.24,2.29875
0.28,0.85,0.4573
0.12,0.31,2.06385
0.04,0.88,0.35955
0.25,0.42,1.75135
0.29,0.34,1.9671
0.12,0.75,0.7485
0.16,0.7,0.9028
0.9,0.47,1.69675
0.65,0.01,2.98295
0.44,0.94,0.1977
0.38,0.39,1.8378
0.95,0.84,0.5401
0.31,0.48,1.58745
0.45,0.92,0.2475
0.08,0.35,1.9423
0.68,0.89,0.3523
0.99,1.0,0.02
0.61,0.37,1.9093
0.02,0.96,0.12485
0.94,0.0,3.1425
0.71,0.78,0.68175
0.09,0.02,2.92515
0.46,0.16,2.53645
0.3,0.07,2.78445
0.94,0.83,0.59345
0.25,0.01,2.9618
0.78,0.53,1.4807
0.24,0.45,1.6442
0.1,0.82,0.54355
0.27,0.33,2.0157
0.89,0.17,2.58705
0.5,0.19,2.44355
0.12,0.89,0.33135
0.57,0.07,2.80175
0.85,0.58,1.29605
0.03,0.67,0.99725
0.79,0.05,2.8779
0.18,0.3,2.09335
0.66,0.43,1.7398
0.41,0.6,1.23165
0.52,0.47,1.6061
0.53,0.05,2.84975
0.51,0.93,0.23
0.8,0.32,2.10425
0.91,0.77,0.73485
0.57,0.84,0.49635
0.65,0.7,0.9109
