x,y,score
0.46,0.76,1.60295
0.54,0.86,1.5936
0.16,0.19,2.41465
0.61,0.18,2.4994
0.82,0.41,2.1201
0.72,0.66,1.80145
0.63,0.37,2.1308
0.41,0.28,2.2348
0.16,0.44,1.72765
0.8,0.33,2.2202
0.84,0.23,2.4208
0.25,0.48,1.74105
0.62,0.7,1.7307
0.78,0.28,2.311
0.03,0.68,1.1305
0.57,0.0,3.0
0.69,0.37,2.1352
0.46,0.05,2.85265
0.65,0.03,2.9097
0.56,0.8,1.63385
0.28,0.44,1.8481
0.65,0.0,3.0
0.57,0.1,2.7197
0.44,0.29,2.22185
0.63,0.49,1.9503
0.26,0.03,2.90385
0.92,0.27,2.3509
0.69,0.35,2.1742
0.79,0.78,1.7341
0.3,0.26,2.2618
0.98,0.54,1.9784
0.25,0.62,1.5669
0.55,0.43,2.0078
0.19,0.06,2.819
0.14,0.65,1.41015
0.09,0.65,1.3106
0.92,1.0,1.6612
0.51,0.43,1.9905
0.36,0.66,1.6126
0.33,0.92,1.4266
0.01,0.93,1.02045
0.25,0.81,1.4165
0.9,0.46,2.06745
0.3,0.12,2.63445
0.87,0.59,1.91985
0.8,0.75,1.7478
0.93,0.2,2.4867
0.34,0.41,1.95285
0.05,0.48,1.4687
0.9,0.12,2.6769
0.59,0.65,1.7659
0.72,0.62,1.84615
0.29,0.87,1.4228
0.02,0.72,1.09145
0.8,0.35,2.20025
0.09,0.22,2.30985
0.05,0.61,1.2397
0.49,0.38,2.0518
0.62,0.21,2.4333
0.79,0.55,1.9304
0.64,0.52,1.9271
0.17,0.15,2.52555
0.45,0.81,1.57085
0.48,0.8,1.58485
0.51,0.39,2.0637
0.62,0.39,2.09215
0.58,0.64,1.7725
0.8,0.62,1.8505
0.6,0.07,2.7953
0.35,0.87,1.46795
0.85,0.83,1.73225
0.96,0.89,1.7269
0.68,0.4,2.0825
0.13,0.15,2.5462
0.14,0.31,2.0698
0.15,0.88,1.26505
0.72,0.97,1.61175
0.56,0.33,2.17805
0.52,0.26,2.31745
0.99,0.97,1.6938
0.9,0.63,1.88275
0.31,0.47,1.82115
0.98,0.8,1.7872
0.31,0.34,2.07015
0.22,0.4,1.89565
0.87,0.37,2.17235
0.76,0.43,2.0645
0.79,0.76,1.75765
0.83,0.38,2.1636
0.74,0.12,2.66095
0.68,0.51,1.9404
0.56,0.43,2.00775
0.63,0.01,2.9736
0.45,0.24,2.3439
0.52,0.13,2.6293
0.64,0.47,1.9768
0.51,0.91,1.5402
0.78,0.92,1.64065
0.92,0.54,1.9737
0.75,0.83,1.69635
0.72,0.5,1.97765
0.53,0.74,1.65515
0.82,0.88,1.6884
0.63,0.35,2.1671
0.8,0.56,1.93215
0.99,0.8,1.7957
0.69,0.67,1.7814
0.44,0.43,1.96195
0.71,0.62,1.84065
0.63,0.08,2.7761
0.48,0.4,2.03125
0.93,0.51,2.01835
0.65,0.12,2.6642
0.78,0.34,2.2022
0.17,0.41,1.8287
0.59,0.93,1.571
0.98,0.65,1.88485
0.89,0.49,2.01355
0.09,0.48,1.5705
0.98,0.94,1.70225
0.6,0.72,1.7102
0.74,0.48,1.98495
0.48,0.19,2.47415
0.15,0.11,2.66365
0.86,0.55,1.957
0.97,0.56,1.96965
1.0,0.64,1.90685
0.43,0.66,1.66515
0.85,0.2,2.4905
0.02,0.64,1.14285
0.26,0.02,2.9373
0.12,0.68,1.3475
0.66,0.15,2.59725
0.75,0.58,1.88195
0.04,0.92,1.08405
0.15,0.58,1.50955
0.4,0.84,1.5262
0.94,0.97,1.6863
0.64,0.08,2.76975
0.08,0.63,1.32345
0.81,0.9,1.66885
0.21,0.79,1.39175
0.21,0.13,2.60095
0.82,0.12,2.6688
0.77,0.84,1.6874
0.76,0.89,1.67035
0.06,0.34,1.88635
