x,y,score
0.46,0.76,2.8006
0.54,0.86,3.10205
0.16,0.19,1.7149
0.61,0.18,3.3325
0.82,0.41,4.1287
0.72,0.66,3.7987
0.63,0.37,3.4263
0.41,0.28,2.63505
0.16,0.44,1.64915
0.8,0.33,4.0501
0.84,0.23,4.1635
0.25,0.48,2.00555
0.62,0.7,3.42165
0.78,0.28,3.987
0.03,0.68,1.13105
0.57,0.0,3.01
0.69,0.37,3.6683
0.46,0.05,2.8477
0.65,0.03,3.2176
0.56,0.8,3.19445
0.28,0.44,2.12065
0.65,0.0,3.01
0.57,0.1,3.19595
0.44,0.29,2.74475
0.63,0.49,3.4512
0.26,0.03,2.38855
0.92,0.27,4.45065
0.69,0.35,3.6656
0.79,0.78,4.0522
0.3,0.26,2.21
0.98,0.54,4.74775
0.25,0.62,1.9792
0.55,0.43,3.15095
0.19,0.06,1.94135
0.14,0.65,1.57535
0.09,0.65,1.36965
0.92,1.0,4.5481
0.51,0.43,3.00635
0.36,0.66,2.41135
0.33,0.92,2.31725
0.01,0.93,1.03835
0.25,0.81,1.9779
0.9,0.46,4.443
0.3,0.12,2.26655
0.87,0.59,4.3443
0.8,0.75,4.06435
0.93,0.2,4.4357
0.34,0.41,2.3476
0.05,0.48,1.2265
0.9,0.12,4.2375
0.59,0.65,3.30045
0.72,0.62,3.7887
0.29,0.87,2.14475
0.02,0.72,1.08755
0.8,0.35,4.0649
0.09,0.22,1.41775
0.05,0.61,1.21745
0.49,0.38,2.90315
0.62,0.21,3.38525
0.79,0.55,4.034
0.64,0.52,3.4802
0.17,0.15,1.78825
0.45,0.81,2.76495
0.48,0.8,2.88425
0.51,0.39,2.9865
0.62,0.39,3.4043
0.58,0.64,3.24765
0.8,0.62,4.0694
0.6,0.07,3.2778
0.35,0.87,2.3591
0.85,0.83,4.29135
0.96,0.89,4.69095
0.68,0.4,3.63065
0.13,0.15,1.6021
0.14,0.31,1.59845
0.15,0.88,1.5776
0.72,0.97,3.7933
0.56,0.33,3.16925
0.52,0.26,3.024
0.99,0.97,4.8057
0.9,0.63,4.46405
0.31,0.47,2.2664
0.98,0.8,4.776
0.31,0.34,2.2353
0.22,0.4,1.88875
0.87,0.37,4.3122
0.76,0.43,3.9173
0.79,0.76,4.0448
0.83,0.38,4.1597
0.74,0.12,3.7582
0.68,0.51,3.6368
0.56,0.43,3.18115
0.63,0.01,3.03635
0.45,0.24,2.77185
0.52,0.13,3.0121
0.64,0.47,3.5045
0.51,0.91,2.998
0.78,0.92,3.99585
0.92,0.54,4.5299
0.75,0.83,3.8924
0.72,0.5,3.78015
0.53,0.74,3.04225
0.82,0.88,4.1851
