x,y,score
0.46,0.76,1.325
0.54,0.86,1.675
0.16,0.19,2.45
0.61,0.18,2.68
0.82,0.41,4.475
0.72,0.66,1.82
0.63,0.37,3.34
0.41,0.28,2.22
0.16,0.44,1.53
0.8,0.33,1.86
0.84,0.23,4.415
0.25,0.48,1.72
0.62,0.7,1.19
0.78,0.28,4.155
0.03,0.68,1.14
0.57,0.0,3.01
0.69,0.37,3.885
0.46,0.05,2.82
0.65,0.03,3.085
0.56,0.8,1.365
0.28,0.44,2.25
0.65,0.0,3.01
0.57,0.1,2.645
0.44,0.29,2.26
0.63,0.49,1.705
0.26,0.03,2.91
0.92,0.27,4.605
0.69,0.35,1.93
0.79,0.78,4.215
0.3,0.26,2.215
0.98,0.54,1.295
0.25,0.62,1.53
0.55,0.43,1.945
0.19,0.06,2.705
0.14,0.65,1.295
0.09,0.65,1.495
0.92,1.0,4.695
0.51,0.43,3.105
0.36,0.66,1.515
0.33,0.92,1.895
0.01,0.93,1.055
0.25,0.81,1.875
0.9,0.46,4.535
0.3,0.12,2.62
0.87,0.59,4.435
0.8,0.75,4.025
0.93,0.2,2.445
0.34,0.41,1.675
0.05,0.48,1.58
0.9,0.12,4.06
0.59,0.65,3.145
0.72,0.62,3.845
0.29,0.87,1.91
0.02,0.72,1.115
0.8,0.35,4.025
0.09,0.22,2.325
0.05,0.61,1.11
0.49,0.38,3.125
0.62,0.21,2.455
0.79,0.55,1.43
0.64,0.52,3.585
0.17,0.15,2.56
0.45,0.81,2.18
0.48,0.8,1.355
0.51,0.39,3.185
0.62,0.39,1.97
0.58,0.64,1.4
0.8,0.62,3.625
0.6,0.07,2.875
0.35,0.87,1.81
0.85,0.83,0.515
0.96,0.89,1.275
0.68,0.4,3.665
0.13,0.15,2.55
0.14,0.31,1.86
0.15,0.88,1.635
0.72,0.97,1.495
0.56,0.33,2.02
0.52,0.26,2.255
0.99,0.97,4.835
0.9,0.63,1.255
0.31,0.47,1.635
0.98,0.8,4.815
0.31,0.34,1.895
0.22,0.4,1.83
0.87,0.37,4.425
0.76,0.43,2.035
0.79,0.76,1.465
0.83,0.38,4.375
0.74,0.12,3.885
0.68,0.51,1.555
0.56,0.43,1.75
0.63,0.01,3.05
0.45,0.24,2.295
0.52,0.13,2.57
0.64,0.47,1.815
0.51,0.91,1.615
0.78,0.92,2.345
0.92,0.54,4.725
0.75,0.83,1.285
0.72,0.5,1.775
0.53,0.74,1.2
0.82,0.88,2.24
0.63,0.35,2.1
0.8,0.56,1.765
0.99,0.8,4.935
0.69,0.67,1.075
0.44,0.43,1.94
0.71,0.62,2.525
0.63,0.08,2.995
0.48,0.4,1.965
0.93,0.51,4.755
0.65,0.12,2.585
0.78,0.34,3.945
0.17,0.41,1.655
0.59,0.93,1.575
0.98,0.65,4.955
0.89,0.49,4.705
0.09,0.48,1.55
0.98,0.94,4.955
0.6,0.72,3.445
0.74,0.48,4.105
0.48,0.19,2.455
0.15,0.11,2.695
0.86,0.55,4.445
0.97,0.56,4.805
1.0,0.64,4.82
0.43,0.66,1.49
0.85,0.2,4.21
0.02,0.64,1.035
0.26,0.02,2.93
0.12,0.68,1.495
0.66,0.15,2.985
0.75,0.58,1.625
0.04,0.92,1.095
0.15,0.58,1.455
0.4,0.84,1.625
0.94,0.97,4.675
0.64,0.08,2.81
0.08,0.63,1.38
0.81,0.9,4.095
0.21,0.79,1.835
0.21,0.13,2.645
0.82,0.12,4.205
0.77,0.84,1.25
0.76,0.89,3.935
0.06,0.34,1.735
0.92,0.45,1.615
0.41,0.87,1.58
0.11,0.48,1.315
0.67,0.53,1.475
0.36,0.88,2.015
0.47,0.6,1.44
0.34,0.03,2.935
0.79,0.95,1.36
0.24,0.56,1.475
0.17,0.32,2.19
0.59,0.26,2.395
0.59,0.68,1.15
1.0,0.57,4.885
0.63,0.84,1.405
0.72,0.58,2.025
0.84,0.68,1.15
0.07,0.87,1.215
0.71,0.48,1.495
0.27,0.76,1.265
0.2,0.43,1.615
0.25,0.83,1.9
0.74,0.97,1.465
0.56,0.06,2.86
0.77,0.18,3.76
0.61,0.23,2.5
0.73,0.56,1.625
0.4,0.67,1.455
0.93,0.15,4.785
0.37,0.3,2.31
0.89,0.6,1.33
0.32,0.92,1.965
0.97,0.95,4.915
0.96,0.12,2.845
0.74,0.25,2.69
0.47,0.92,1.74
0.13,0.43,1.67
0.8,0.68,0.99
0.01,0.53,1.07
0.69,0.03,3.39
0.73,0.82,1.16
0.97,0.94,4.835
0.9,1.0,4.535
0.08,0.23,2.46
0.82,0.79,4.385
0.42,0.46,1.69
0.62,0.93,1.49
0.71,0.43,3.47
0.77,0.04,3.91
0.97,0.53,1.415
0.73,0.22,2.815
0.59,0.14,2.78
0.5,0.81,1.53
0.4,1.0,2.105
0.89,0.12,4.395
0.05,0.83,0.765
0.19,0.67,1.755
0.97,0.93,4.815
0.69,0.2,2.515
0.72,0.64,1.83
0.94,0.47,4.745
0.81,0.73,1.16
0.5,0.86,2.295
0.15,0.5,1.395
0.45,0.28,2.28
0.48,0.93,1.84
0.15,0.25,2.175
0.32,0.14,2.685
0.62,0.38,3.445
0.48,0.51,1.685
0.61,0.92,1.665
0.34,0.82,1.865
0.39,0.43,2.155
0.89,0.11,4.23
0.67,0.3,2.29
0.15,0.26,2.33
0.72,0.21,2.49
0.57,0.41,1.78
0.01,0.09,2.65
0.55,0.84,1.36
0.85,0.24,2.38
0.53,0.07,2.84
0.81,0.85,4.215
0.65,0.79,1.53
0.08,0.01,2.935
0.62,0.24,2.185
0.28,0.85,2.08
0.12,0.31,2.085
0.04,0.88,0.85
0.25,0.42,1.795
0.29,0.34,2.4
0.12,0.75,1.11
0.16,0.7,1.01
0.9,0.47,4.615
0.65,0.01,3.065
0.44,0.94,1.935
0.38,0.39,2.025
0.95,0.84,1.18
0.31,0.48,1.525
0.45,0.92,1.94
0.08,0.35,1.95
0.68,0.89,1.315
0.99,1.0,4.955
0.61,0.37,2.015
0.02,0.96,1.095
0.94,0.0,3.01
0.71,0.78,1.23
0.09,0.02,2.99
0.46,0.16,2.62
0.3,0.07,2.735
0.94,0.83,4.685
0.25,0.01,2.945
0.78,0.53,2.165
0.24,0.45,1.92
0.1,0.82,1.415
0.27,0.33,1.95
0.89,0.17,4.395
0.5,0.19,2.36
0.12,0.89,1.42
0.57,0.07,2.795
0.85,0.58,1.545
0.03,0.67,1.175
0.79,0.05,3.86
0.18,0.3,1.93
0.66,0.43,3.215
0.41,0.6,1.54
0.52,0.47,1.735
0.53,0.05,2.82
0.51,0.93,1.62
0.8,0.32,2.165
0.91,0.77,4.625
0.57,0.84,1.515
0.65,0.7,1.315
0.6,0.23,2.41
0.11,0.82,1.435
0.46,1.0,1.89
0.71,0.57,1.205
0.28,0.08,2.81
