x,y,score
0.46,0.76,2.285
0.54,0.86,2.185
0.16,0.19,1.575
0.61,0.18,3.1
0.82,0.41,3.14
0.72,0.66,3.905
0.63,0.37,3.705
0.41,0.28,2.57
0.16,0.44,1.705
0.8,0.33,4.015
0.84,0.23,4.225
0.25,0.48,2.045
0.62,0.7,3.605
0.78,0.28,4.055
0.03,0.68,1.16
0.57,0.0,3.0
0.69,0.37,3.05
0.46,0.05,2.795
0.65,0.03,3.575
0.56,0.8,3.185
0.28,0.44,2.195
0.65,0.0,3.0
0.57,0.1,3.005
0.44,0.29,2.655
0.63,0.49,2.695
0.26,0.03,2.055
0.92,0.27,3.365
0.69,0.35,3.855
0.79,0.78,4.005
0.3,0.26,2.21
0.98,0.54,3.335
0.25,0.62,1.805
0.55,0.43,2.645
0.19,0.06,2.005
0.14,0.65,1.585
0.09,0.65,1.285
0.92,1.0,2.825
0.51,0.43,2.955
0.36,0.66,2.035
0.33,0.92,1.73
0.01,0.93,0.995
0.25,0.81,1.685
0.9,0.46,3.25
0.3,0.12,2.175
0.87,0.59,3.005
0.8,0.75,2.885
0.93,0.2,4.565
0.34,0.41,2.475
0.05,0.48,1.235
0.9,0.12,4.395
0.59,0.65,3.305
0.72,0.62,2.74
0.29,0.87,1.715
0.02,0.72,1.085
0.8,0.35,3.28
0.09,0.22,1.575
0.05,0.61,1.175
0.49,0.38,2.57
0.62,0.21,3.475
0.79,0.55,2.87
0.64,0.52,2.735
0.17,0.15,1.585
0.45,0.81,2.165
0.48,0.8,3.005
0.51,0.39,3.325
0.62,0.39,3.475
0.58,0.64,2.69
0.8,0.62,3.05
0.6,0.07,3.155
0.35,0.87,2.445
0.85,0.83,2.89
0.96,0.89,3.02
0.68,0.4,3.675
0.13,0.15,1.495
0.14,0.31,1.515
0.15,0.88,1.49
0.72,0.97,2.45
0.56,0.33,3.075
0.52,0.26,3.145
0.99,0.97,2.975
0.9,0.63,4.545
0.31,0.47,2.085
0.98,0.8,3.095
0.31,0.34,2.495
0.22,0.4,1.76
0.87,0.37,4.485
0.76,0.43,4.005
0.79,0.76,4.025
0.83,0.38,4.415
0.74,0.12,3.995
0.68,0.51,2.78
0.56,0.43,2.725
0.63,0.01,3.185
0.45,0.24,2.745
0.52,0.13,2.595
0.64,0.47,3.485
0.51,0.91,2.315
0.78,0.92,2.635
0.92,0.54,4.805
0.75,0.83,2.6
