x,y,score
0.46,0.76,2.78225
0.54,0.86,3.11365
0.16,0.19,1.85245
0.61,0.18,3.20115
0.82,0.41,4.12825
0.72,0.66,3.76455
0.63,0.37,3.42425
0.41,0.28,2.60975
0.16,0.44,1.6845
0.8,0.33,4.0306
0.84,0.23,4.07315
0.25,0.48,1.98395
0.62,0.7,3.3964
0.78,0.28,3.9341
0.03,0.68,1.1281
0.57,0.0,3.0
0.69,0.37,3.62125
0.46,0.05,2.86225
0.65,0.03,2.9289
0.56,0.8,3.17585
0.28,0.44,2.08435
0.65,0.0,3.0
0.57,0.1,2.82785
0.44,0.29,2.69775
0.63,0.49,3.4248
0.26,0.03,2.89735
0.92,0.27,4.4193
0.69,0.35,3.61185
0.79,0.78,4.0792
0.3,0.26,2.19755
0.98,0.54,4.7834
0.25,0.62,1.95215
0.55,0.43,3.12
0.19,0.06,2.7566
0.14,0.65,1.52045
0.09,0.65,1.3409
0.92,1.0,4.62035
0.51,0.43,2.9785
0.36,0.66,2.40425
0.33,0.92,2.2454
0.01,0.93,1.0269
0.25,0.81,1.8764
0.9,0.46,4.46005
0.3,0.12,2.44895
0.87,0.59,4.3503
0.8,0.75,4.1177
0.93,0.2,4.33505
0.34,0.41,2.33555
0.05,0.48,1.2616
0.9,0.12,3.35675
0.59,0.65,3.2893
0.72,0.62,3.76985
0.29,0.87,2.04505
0.02,0.72,1.07465
0.8,0.35,4.0355
0.09,0.22,1.5842
0.05,0.61,1.2214
0.49,0.38,2.8954
0.62,0.21,3.29915
0.79,0.55,4.06445
0.64,0.52,3.472
0.17,0.15,2.013
0.45,0.81,2.7703
0.48,0.8,2.8587
0.51,0.39,2.9433
0.62,0.39,3.3914
0.58,0.64,3.24825
0.8,0.62,4.08815
0.6,0.07,2.8772
0.35,0.87,2.30575
0.85,0.83,4.33145
0.96,0.89,4.7626
0.68,0.4,3.5993
0.13,0.15,1.93245
0.14,0.31,1.665
0.15,0.88,1.46605
0.72,0.97,3.8047
0.56,0.33,3.14265
0.52,0.26,2.99895
0.99,0.97,4.87765
0.9,0.63,4.4876
0.31,0.47,2.25195
0.98,0.8,4.8169
0.31,0.34,2.26795
0.22,0.4,1.8646
0.87,0.37,4.30475
0.76,0.43,3.91775
0.79,0.76,4.08765
0.83,0.38,4.15875
0.74,0.12,3.1564
0.68,0.51,3.66045
0.56,0.43,3.15495
0.63,0.01,2.96895
0.45,0.24,2.75135
0.52,0.13,2.84195
0.64,0.47,3.47315
