x,y,score
0.46,0.76,2.56
0.54,0.86,2.975
0.16,0.19,1.88
0.61,0.18,3.32
0.82,0.41,4.12
0.72,0.66,3.59
0.63,0.37,3.445
0.41,0.28,2.67
0.16,0.44,1.51
0.8,0.33,3.995
0.84,0.23,4.075
0.25,0.48,1.87
0.62,0.7,3.22
0.78,0.28,4.025
0.03,0.68,1.12
0.57,0.0,3.0
0.69,0.37,3.6
0.46,0.05,2.835
0.65,0.03,2.91
0.56,0.8,3.305
0.28,0.44,2.01
0.65,0.0,3.0
0.57,0.1,3.23
0.44,0.29,2.755
0.63,0.49,3.465
0.26,0.03,2.91
0.92,0.27,4.515
0.69,0.35,3.71
0.79,0.78,4.13
0.3,0.26,2.18
0.98,0.54,4.835
0.25,0.62,1.84
0.55,0.43,2.985
0.19,0.06,2.79
0.14,0.65,1.6
0.09,0.65,1.255
0.92,1.0,4.5
0.51,0.43,3.05
0.36,0.66,2.225
0.33,0.92,2.495
0.01,0.93,1.0
0.25,0.81,1.875
0.9,0.46,4.445
0.3,0.12,2.715
0.87,0.59,4.36
0.8,0.75,4.12
0.93,0.2,4.365
0.34,0.41,2.325
0.05,0.48,1.205
0.9,0.12,2.715
0.59,0.65,3.39
0.72,0.62,3.835
0.29,0.87,1.965
0.02,0.72,1.12
0.8,0.35,4.03
0.09,0.22,1.51
0.05,0.61,1.305
0.49,0.38,2.755
0.62,0.21,3.56
0.79,0.55,3.915
0.64,0.52,3.61
0.17,0.15,1.68
0.45,0.81,2.55
0.48,0.8,2.76
0.51,0.39,2.965
0.62,0.39,3.495
0.58,0.64,2.985
0.8,0.62,4.14
0.6,0.07,2.7
0.35,0.87,2.445
0.85,0.83,4.31
0.96,0.89,4.725
0.68,0.4,3.4
0.13,0.15,1.825
0.14,0.31,1.54
0.15,0.88,1.615
0.72,0.97,3.58
0.56,0.33,3.02
0.52,0.26,3.105
0.99,0.97,4.72
0.9,0.63,4.445
0.31,0.47,2.17
0.98,0.8,4.705
0.31,0.34,2.26
0.22,0.4,1.795
0.87,0.37,4.355
0.76,0.43,3.98
0.79,0.76,4.025
0.83,0.38,4.235
0.74,0.12,3.82
0.68,0.51,3.61
0.56,0.43,3.35
0.63,0.01,2.955
0.45,0.24,2.755
0.52,0.13,2.83
0.64,0.47,3.575
0.51,0.91,3.03
0.78,0.92,3.985
0.92,0.54,4.505
0.75,0.83,3.83
0.72,0.5,3.645
0.53,0.74,3.08
0.82,0.88,4.03
0.63,0.35,3.21
0.8,0.56,4.03
0.99,0.8,4.84
0.69,0.67,3.65
0.44,0.43,2.825
0.71,0.62,3.79
0.63,0.08,2.775
0.48,0.4,2.845
0.93,0.51,4.57
0.65,0.12,3.605
0.78,0.34,3.795
0.17,0.41,1.64
0.59,0.93,3.39
0.98,0.65,4.78
0.89,0.49,4.345
0.09,0.48,1.425
0.98,0.94,4.66
0.6,0.72,3.155
0.74,0.48,3.705
0.48,0.19,2.955
0.15,0.11,1.65
0.86,0.55,4.18
0.97,0.56,4.76
1.0,0.64,4.795
0.43,0.66,2.97
0.85,0.2,3.94
0.02,0.64,1.07
0.26,0.02,2.94
0.12,0.68,1.5
0.66,0.15,3.53
0.75,0.58,3.795
0.04,0.92,1.09
0.15,0.58,1.49
0.4,0.84,2.47
0.94,0.97,4.56
0.64,0.08,2.79
0.08,0.63,1.235
0.81,0.9,3.89
0.21,0.79,1.84
0.21,0.13,2.055
0.82,0.12,2.7
0.77,0.84,3.665
0.76,0.89,3.83
0.06,0.34,1.25
0.92,0.45,4.515
0.41,0.87,2.59
0.11,0.48,1.505
0.67,0.53,3.595
0.36,0.88,2.305
0.47,0.6,2.68
0.34,0.03,2.97
0.79,0.95,3.885
0.24,0.56,1.9
0.17,0.32,1.735
0.59,0.26,3.26
0.59,0.68,3.15
1.0,0.57,4.815
0.63,0.84,3.505
0.72,0.58,3.925
0.84,0.68,4.14
0.07,0.87,1.235
0.71,0.48,3.645
0.27,0.76,2.085
0.2,0.43,1.78
0.25,0.83,1.955
0.74,0.97,3.83
0.56,0.06,2.835
0.77,0.18,3.63
0.61,0.23,3.205
0.73,0.56,3.905
0.4,0.67,2.635
