x,y,score
0.46,0.76,2.75
0.54,0.86,3.34
0.16,0.19,2.46
0.61,0.18,2.415
0.82,0.41,3.56
0.72,0.66,3.72
0.63,0.37,2.755
0.41,0.28,2.34
0.16,0.44,1.61
0.8,0.33,2.19
0.84,0.23,2.355
0.25,0.48,1.99
0.62,0.7,3.115
0.78,0.28,3.935
0.03,0.68,1.18
0.57,0.0,3.0
0.69,0.37,3.21
0.46,0.05,2.835
0.65,0.03,2.925
0.56,0.8,3.19
0.28,0.44,2.03
0.65,0.0,3.0
0.57,0.1,2.605
0.44,0.29,2.37
0.63,0.49,3.075
0.26,0.03,2.925
0.92,0.27,2.235
0.69,0.35,3.145
0.79,0.78,3.775
0.3,0.26,2.485
0.98,0.54,4.425
0.25,0.62,1.865
0.55,0.43,3.045
0.19,0.06,2.88
0.14,0.65,1.445
0.09,0.65,1.395
0.92,1.0,4.42
0.51,0.43,3.09
0.36,0.66,2.61
0.33,0.92,2.245
0.01,0.93,1.06
0.25,0.81,1.97
0.9,0.46,4.51
0.3,0.12,2.58
0.87,0.59,4.235
0.8,0.75,4.075
0.93,0.2,2.475
0.34,0.41,2.23
0.05,0.48,1.24
0.9,0.12,2.64
0.59,0.65,3.205
0.72,0.62,3.72
0.29,0.87,2.225
0.02,0.72,1.11
0.8,0.35,3.715
0.09,0.22,1.755
0.05,0.61,1.19
0.49,0.38,2.835
0.62,0.21,2.355
0.79,0.55,3.735
0.64,0.52,3.285
0.17,0.15,2.625
0.45,0.81,2.55
0.48,0.8,2.93
0.51,0.39,2.77
0.62,0.39,2.84
0.58,0.64,3.04
0.8,0.62,4.055
0.6,0.07,2.865
0.35,0.87,2.575
0.85,0.83,4.16
0.96,0.89,4.74
0.68,0.4,3.29
0.13,0.15,2.49
0.14,0.31,1.64
0.15,0.88,1.625
0.72,0.97,3.68
0.56,0.33,3.115
0.52,0.26,2.805
0.99,0.97,4.84
0.9,0.63,4.53
0.31,0.47,2.035
0.98,0.8,4.7
0.31,0.34,1.995
0.22,0.4,1.855
0.87,0.37,4.375
0.76,0.43,3.755
0.79,0.76,4.045
0.83,0.38,3.915
0.74,0.12,2.67
0.68,0.51,3.51
0.56,0.43,3.165
0.63,0.01,2.97
0.45,0.24,2.395
0.52,0.13,2.61
0.64,0.47,3.305
0.51,0.91,2.88
0.78,0.92,4.14
0.92,0.54,4.52
0.75,0.83,3.77
0.72,0.5,3.475
0.53,0.74,3.3
0.82,0.88,3.86
0.63,0.35,3.045
0.8,0.56,3.965
0.99,0.8,4.52
0.69,0.67,3.745
0.44,0.43,2.71
0.71,0.62,3.76
0.63,0.08,2.76
0.48,0.4,2.83
0.93,0.51,4.09
0.65,0.12,2.7
0.78,0.34,3.685
0.17,0.41,1.6
0.59,0.93,3.355
0.98,0.65,4.795
0.89,0.49,4.36
0.09,0.48,1.205
0.98,0.94,4.8
0.6,0.72,3.055
0.74,0.48,3.615
0.48,0.19,2.49
0.15,0.11,2.61
0.86,0.55,4.22
0.97,0.56,4.41
1.0,0.64,4.56
0.43,0.66,2.645
0.85,0.2,2.505
0.02,0.64,1.045
0.26,0.02,2.94
0.12,0.68,1.465
0.66,0.15,2.46
0.75,0.58,4.18
0.04,0.92,1.13
0.15,0.58,1.39
0.4,0.84,2.575
0.94,0.97,4.665
0.64,0.08,2.775
0.08,0.63,1.25
0.81,0.9,4.145
0.21,0.79,1.945
0.21,0.13,2.475
0.82,0.12,2.655
0.77,0.84,3.96
0.76,0.89,3.81
0.06,0.34,1.715
0.92,0.45,4.395
0.41,0.87,2.595
0.11,0.48,1.55
0.67,0.53,3.525
0.36,0.88,2.245
0.47,0.6,2.86
0.34,0.03,2.895
0.79,0.95,4.14
0.24,0.56,1.99
0.17,0.32,1.965
0.59,0.26,3.11
0.59,0.68,3.205
1.0,0.57,4.85
0.63,0.84,3.195
0.72,0.58,3.765
0.84,0.68,4.34
0.07,0.87,1.19
0.71,0.48,3.955
0.27,0.76,2.12
0.2,0.43,1.925
0.25,0.83,1.905
0.74,0.97,3.745
0.56,0.06,2.85
0.77,0.18,2.43
0.61,0.23,2.38
0.73,0.56,3.605
0.4,0.67,2.29
0.93,0.15,2.61
0.37,0.3,2.485
0.89,0.6,4.08
0.32,0.92,2.09
0.97,0.95,4.685
0.96,0.12,2.58
0.74,0.25,2.295
0.47,0.92,2.925
0.13,0.43,1.51
0.8,0.68,4.05
0.01,0.53,1.09
0.69,0.03,2.97
0.73,0.82,3.7
0.97,0.94,4.72
0.9,1.0,4.53
0.08,0.23,2.325
0.82,0.79,4.165
0.42,0.46,2.545
0.62,0.93,3.36
0.71,0.43,3.375
0.77,0.04,2.895
0.97,0.53,4.37
0.73,0.22,2.37
0.59,0.14,2.515
0.5,0.81,2.745
0.4,1.0,2.815
0.89,0.12,2.56
0.05,0.83,1.065
0.19,0.67,1.805
0.97,0.93,4.8
0.69,0.2,2.385
0.72,0.64,3.79
0.94,0.47,4.15
0.81,0.73,4.03
0.5,0.86,2.81
0.15,0.5,1.51
0.45,0.28,2.25
0.48,0.93,2.88
0.15,0.25,2.28
0.32,0.14,2.67
0.62,0.38,2.87
