x,y,score
0.0,0.0,3.0
0.0,0.01,2.73625
0.0,0.02,2.62275
0.0,0.03,2.6034999999999995
0.0,0.04,2.5275
0.0,0.05,2.44575
0.0,0.06,2.3812500000000005
0.0,0.07,2.36
0.0,0.08,2.33775
0.0,0.09,2.2462500000000003
0.0,0.1,2.272
0.0,0.11,2.20125
0.0,0.12,2.1885
0.0,0.13,2.16325
0.0,0.14,2.0752499999999996
0.0,0.15,2.0505
0.0,0.16,2.0830000000000006
0.0,0.17,2.0124999999999997
0.0,0.18,1.9367500000000004
0.0,0.19,1.93575
0.0,0.2,1.9312499999999997
0.0,0.21,1.9157499999999998
0.0,0.22,1.91025
0.0,0.23,1.8169999999999997
0.0,0.24,1.8345000000000002
0.0,0.25,1.7869999999999997
0.0,0.26,1.75425
0.0,0.27,1.7445
0.0,0.28,1.7137499999999999
0.0,0.29,1.7582499999999999
0.0,0.3,1.658
0.0,0.31,1.6685000000000003
0.0,0.32,1.675
0.0,0.33,1.6527499999999997
0.0,0.34,1.62175
0.0,0.35000000000000003,1.6357500000000003
0.0,0.36,1.5852499999999998
0.0,0.37,1.5150000000000001
0.0,0.38,1.55775
0.0,0.39,1.5147499999999998
0.0,0.4,1.5462500000000001
0.0,0.41000000000000003,1.4994999999999998
0.0,0.42,1.44625
0.0,0.43,1.4620000000000002
0.0,0.44,1.4377499999999999
0.0,0.45,1.4180000000000001
0.0,0.46,1.3945000000000003
0.0,0.47000000000000003,1.3735
0.0,0.48,1.3872500000000003
0.0,0.49,1.38775
0.0,0.5,1.3737500000000002
0.0,0.51,1.32375
0.0,0.52,1.3145000000000002
0.0,0.53,1.2899999999999998
0.0,0.54,1.26825
0.0,0.55,1.2425
0.0,0.56,1.2675
0.0,0.5700000000000001,1.1985000000000001
0.0,0.58,1.23625
0.0,0.59,1.2102500000000003
0.0,0.6,1.1902500000000003
0.0,0.61,1.1782500000000002
0.0,0.62,1.1517500000000003
0.0,0.63,1.135
0.0,0.64,1.1107500000000001
0.0,0.65,1.14325
0.0,0.66,1.1015000000000001
0.0,0.67,1.08025
0.0,0.68,1.0815
0.0,0.6900000000000001,1.0045
0.0,0.7000000000000001,1.0215
0.0,0.71,1.0237500000000002
0.0,0.72,0.98575
0.0,0.73,0.9955000000000002
0.0,0.74,0.95625
0.0,0.75,0.9352499999999999
0.0,0.76,0.9465
0.0,0.77,0.89125
0.0,0.78,0.88575
0.0,0.79,0.8909999999999998
0.0,0.8,0.8655000000000002
0.0,0.81,0.83625
0.0,0.8200000000000001,0.82875
0.0,0.8300000000000001,0.78075
0.0,0.84,0.76
0.0,0.85,0.76475
0.0,0.86,0.7324999999999999
0.0,0.87,0.693
0.0,0.88,0.6932499999999999
0.0,0.89,0.6655
0.0,0.9,0.629
0.0,0.91,0.6224999999999999
0.0,0.92,0.5937499999999999
0.0,0.93,0.5725
0.0,0.9400000000000001,0.537
0.0,0.9500000000000001,0.5032500000000001
0.0,0.96,0.46575000000000005
0.0,0.97,0.44299999999999995
0.0,0.98,0.40424999999999994
0.0,0.99,0.388
0.0,1.0,0.3449999999999999
0.01,0.0,3.0
0.01,0.01,2.7325000000000004
0.01,0.02,2.640499999999999
0.01,0.03,2.5709999999999997
0.01,0.04,2.56925
0.01,0.05,2.55075
0.01,0.06,2.46
0.01,0.07,2.3522500000000006
0.01,0.08,2.3139999999999996
0.01,0.09,2.2872500000000002
0.01,0.1,2.2385
0.01,0.11,2.18225
0.01,0.12,2.2224999999999997
0.01,0.13,2.18075
0.01,0.14,2.1105
0.01,0.15,2.09675
0.01,0.16,2.00175
0.01,0.17,2.03475
0.01,0.18,1.9839999999999995
0.01,0.19,1.9509999999999998
0.01,0.2,1.9265
0.01,0.21,1.9407500000000002
0.01,0.22,1.8939999999999997
0.01,0.23,1.9027500000000004
0.01,0.24,1.87525
0.01,0.25,1.7982500000000001
0.01,0.26,1.848
0.01,0.27,1.78225
0.01,0.28,1.73825
0.01,0.29,1.75225
0.01,0.3,1.7237500000000001
0.01,0.31,1.6760000000000002
0.01,0.32,1.6942499999999996
0.01,0.33,1.6529999999999998
0.01,0.34,1.6445
0.01,0.35000000000000003,1.60975
0.01,0.36,1.5959999999999999
0.01,0.37,1.5097499999999997
0.01,0.38,1.5685000000000002
0.01,0.39,1.5304999999999997
0.01,0.4,1.5154999999999998
0.01,0.41000000000000003,1.5037499999999997
0.01,0.42,1.54475
0.01,0.43,1.4892499999999997
0.01,0.44,1.4415
0.01,0.45,1.4492500000000001
0.01,0.46,1.3915
0.01,0.47000000000000003,1.3835
0.01,0.48,1.39375
0.01,0.49,1.4060000000000001
0.01,0.5,1.3457500000000004
0.01,0.51,1.33975
0.01,0.52,1.3105
0.01,0.53,1.30275
0.01,0.54,1.3119999999999998
0.01,0.55,1.2952499999999998
0.01,0.56,1.27525
0.01,0.5700000000000001,1.2532499999999998
0.01,0.58,1.19925
0.01,0.59,1.2582499999999999
0.01,0.6,1.21275
0.01,0.61,1.1802499999999996
0.01,0.62,1.1645
0.01,0.63,1.1644999999999999
0.01,0.64,1.1480000000000001
0.01,0.65,1.11725
0.01,0.66,1.1135000000000002
0.01,0.67,1.0924999999999998
0.01,0.68,1.092
0.01,0.6900000000000001,1.06925
0.01,0.7000000000000001,1.0125000000000002
0.01,0.71,1.0470000000000002
0.01,0.72,1.02325
0.01,0.73,0.99725
0.01,0.74,0.9577500000000001
0.01,0.75,0.9637499999999999
0.01,0.76,0.93775
0.01,0.77,0.92225
0.01,0.78,0.9265000000000001
0.01,0.79,0.88375
0.01,0.8,0.8715000000000002
0.01,0.81,0.82
0.01,0.8200000000000001,0.8252499999999999
0.01,0.8300000000000001,0.8089999999999999
0.01,0.84,0.7735000000000001
0.01,0.85,0.7872499999999999
0.01,0.86,0.7657499999999999
0.01,0.87,0.7422500000000001
0.01,0.88,0.6835000000000001
0.01,0.89,0.6769999999999999
0.01,0.9,0.663
0.01,0.91,0.63075
0.01,0.92,0.6165
0.01,0.93,0.5619999999999999
0.01,0.9400000000000001,0.55225
0.01,0.9500000000000001,0.521
0.01,0.96,0.49325
0.01,0.97,0.44300000000000006
0.01,0.98,0.437
0.01,0.99,0.37575
0.01,1.0,0.3555
0.02,0.0,3.0
0.02,0.01,2.7997500000000004
0.02,0.02,2.663
0.02,0.03,2.6612500000000003
0.02,0.04,2.5175
0.02,0.05,2.495
0.02,0.06,2.4357499999999996
0.02,0.07,2.3600000000000003
0.02,0.08,2.3475
0.02,0.09,2.2824999999999998
0.02,0.1,2.27425
0.02,0.11,2.2584999999999997
0.02,0.12,2.1460000000000004
0.02,0.13,2.10575
0.02,0.14,2.12925
0.02,0.15,2.02525
0.02,0.16,2.1035
0.02,0.17,2.0929999999999995
0.02,0.18,2.039
0.02,0.19,2.01325
0.02,0.2,1.93625
0.02,0.21,1.9007500000000004
0.02,0.22,1.864
0.02,0.23,1.91875
0.02,0.24,1.8765
0.02,0.25,1.8672499999999999
0.02,0.26,1.8387500000000003
0.02,0.27,1.8367499999999999
0.02,0.28,1.7155
0.02,0.29,1.71875
0.02,0.3,1.6620000000000001
0.02,0.31,1.6802499999999998
0.02,0.32,1.7135000000000002
0.02,0.33,1.6724999999999999
0.02,0.34,1.6895
0.02,0.35000000000000003,1.656
0.02,0.36,1.59475
0.02,0.37,1.58525
0.02,0.38,1.5735000000000001
0.02,0.39,1.556
0.02,0.4,1.53525
0.02,0.41000000000000003,1.5485
0.02,0.42,1.4772500000000002
0.02,0.43,1.5042499999999999
0.02,0.44,1.4427499999999998
0.02,0.45,1.467
0.02,0.46,1.4612500000000002
0.02,0.47000000000000003,1.42625
0.02,0.48,1.3582500000000002
0.02,0.49,1.366
0.02,0.5,1.3479999999999999
0.02,0.51,1.3612499999999998
0.02,0.52,1.3432499999999998
0.02,0.53,1.32725
0.02,0.54,1.31125
0.02,0.55,1.3002500000000001
0.02,0.56,1.27175
0.02,0.5700000000000001,1.27475
0.02,0.58,1.26425
0.02,0.59,1.2429999999999999
0.02,0.6,1.24725
0.02,0.61,1.20725
0.02,0.62,1.2117499999999999
0.02,0.63,1.1797499999999999
0.02,0.64,1.1595
0.02,0.65,1.14625
0.02,0.66,1.1452499999999999
0.02,0.67,1.1072499999999998
0.02,0.68,1.0725000000000002
0.02,0.6900000000000001,1.1155
0.02,0.7000000000000001,1.0515
0.02,0.71,1.0584999999999998
0.02,0.72,1.0334999999999999
0.02,0.73,1.02625
0.02,0.74,1.0167499999999998
