x,y,score
0.46,0.76,2.3849
0.54,0.86,2.6632
0.16,0.19,2.1978
0.61,0.18,2.9902
0.82,0.41,3.99735
0.72,0.66,3.4242
0.63,0.37,3.09175
0.41,0.28,2.4572
0.16,0.44,1.7081
0.8,0.33,3.8436
0.84,0.23,4.0001
0.25,0.48,1.8931
0.62,0.7,3.0002
0.78,0.28,3.7165
0.03,0.68,1.12675
0.57,0.0,3.0
0.69,0.37,3.34285
0.46,0.05,2.85425
0.65,0.03,2.9556
0.56,0.8,2.72795
0.28,0.44,2.02645
0.65,0.0,3.0
0.57,0.1,2.87685
0.44,0.29,2.50475
0.63,0.49,3.07045
0.26,0.03,2.8799
0.92,0.27,4.4016
0.69,0.35,3.33215
0.79,0.78,3.85
0.3,0.26,2.26235
0.98,0.54,4.8434
0.25,0.62,1.8029
0.55,0.43,2.8337
0.19,0.06,2.76265
0.14,0.65,1.46705
0.09,0.65,1.32065
0.92,1.0,4.5473
0.51,0.43,2.6966
0.36,0.66,2.10045
0.33,0.92,1.87225
0.01,0.93,1.01475
0.25,0.81,1.694
0.9,0.46,4.42285
0.3,0.12,2.561
0.87,0.59,4.2953
0.8,0.75,3.83145
0.93,0.2,4.43455
0.34,0.41,2.2081
0.05,0.48,1.32085
0.9,0.12,4.03305
0.59,0.65,2.9235
0.72,0.62,3.48965
0.29,0.87,1.75785
0.02,0.72,1.073
0.8,0.35,3.84905
0.09,0.22,1.9883
0.05,0.61,1.22095
0.49,0.38,2.6092
0.62,0.21,3.0434
0.79,0.55,3.8625
0.64,0.52,3.14385
0.17,0.15,2.31885
0.45,0.81,2.32825
0.48,0.8,2.4373
0.51,0.39,2.7114
0.62,0.39,3.06585
0.58,0.64,2.8769
0.8,0.62,3.90495
0.6,0.07,2.89665
0.35,0.87,1.9656
0.85,0.83,4.1641
0.96,0.89,4.7597
0.68,0.4,3.2929
0.13,0.15,2.32365
0.14,0.31,1.87115
0.15,0.88,1.3852
0.72,0.97,3.39175
0.56,0.33,2.84725
0.52,0.26,2.73105
0.99,0.97,4.87825
0.9,0.63,4.45155
0.31,0.47,2.0654
0.98,0.8,4.8485
0.31,0.34,2.17555
0.22,0.4,1.86385
0.87,0.37,4.2203
