x,y,score
0.46,0.76,2.1597
0.54,0.86,2.21635
0.16,0.19,1.9618
0.61,0.18,2.94905
0.82,0.41,2.91725
0.72,0.66,2.5693
0.63,0.37,2.73575
0.41,0.28,2.5017
0.16,0.44,1.72365
0.8,0.33,2.9642
0.84,0.23,3.12235
0.25,0.48,1.93785
0.62,0.7,2.43175
0.78,0.28,2.9877
0.03,0.68,1.1309
0.57,0.0,3.17975
0.69,0.37,2.8097
0.46,0.05,2.9669
0.65,0.03,3.20975
0.56,0.8,2.269
0.28,0.44,2.0421
0.65,0.0,3.25855
0.57,0.1,3.006
0.44,0.29,2.5668
0.63,0.49,2.61915
0.26,0.03,2.5852
0.92,0.27,3.12535
0.69,0.35,2.84265
0.79,0.78,2.57585
0.3,0.26,2.3126
0.98,0.54,2.9195
0.25,0.62,1.83785
0.55,0.43,2.5596
0.19,0.06,2.31715
0.14,0.65,1.50545
0.09,0.65,1.3597
0.92,1.0,2.55505
0.51,0.43,2.5378
0.36,0.66,2.0473
0.33,0.92,1.83935
0.01,0.93,1.03045
0.25,0.81,1.7428
0.9,0.46,2.93605
0.3,0.12,2.534
0.87,0.59,2.80095
0.8,0.75,2.6119
0.93,0.2,3.2327
0.34,0.41,2.2458
0.05,0.48,1.2584
0.9,0.12,3.29485
0.59,0.65,2.42495
0.72,0.62,2.6275
0.29,0.87,1.77985
0.02,0.72,1.0781
0.8,0.35,2.94105
0.09,0.22,1.6406
0.05,0.61,1.21375
0.49,0.38,2.5378
0.62,0.21,2.92445
0.79,0.55,2.75535
0.64,0.52,2.60905
0.17,0.15,2.10575
0.45,0.81,2.11795
0.48,0.8,2.1806
0.51,0.39,2.5784
0.62,0.39,2.71105
0.58,0.64,2.4321
0.8,0.62,2.71555
0.6,0.07,3.09005
0.35,0.87,1.8985
0.85,0.83,2.6016
0.96,0.89,2.6652
0.68,0.4,2.7978
0.13,0.15,1.91705
0.14,0.31,1.7594
0.15,0.88,1.45575
0.72,0.97,2.36555
0.56,0.33,2.7004
0.52,0.26,2.70835
0.99,0.97,2.6406
0.9,0.63,2.794
0.31,0.47,2.10245
0.98,0.8,2.74235
0.31,0.34,2.23605
0.22,0.4,1.898
0.87,0.37,2.99695
0.76,0.43,2.8398
0.79,0.76,2.59025
0.83,0.38,2.9661
0.74,0.12,3.16595
0.68,0.51,2.66035
0.56,0.43,2.58975
0.63,0.01,3.22765
0.45,0.24,2.6505
0.52,0.13,2.9071
0.64,0.47,2.65985
0.51,0.91,2.15215
0.78,0.92,2.46795
0.92,0.54,2.87435
0.75,0.83,2.5014
0.72,0.5,2.72185
0.53,0.74,2.28605
0.82,0.88,2.54655
0.63,0.35,2.75445
0.8,0.56,2.74995
0.99,0.8,2.7504
0.69,0.67,2.5438
0.44,0.43,2.4016
0.71,0.62,2.6018
0.63,0.08,3.11485
0.48,0.4,2.50695
0.93,0.51,2.90545
0.65,0.12,3.07435
0.78,0.34,2.9625
0.17,0.41,1.7748
0.59,0.93,2.24935
0.98,0.65,2.83405
0.89,0.49,2.88635
0.09,0.48,1.4282
0.98,0.94,2.64105
0.6,0.72,2.3987
0.74,0.48,2.76785
0.48,0.19,2.77105
0.15,0.11,2.09105
0.86,0.55,2.8296
0.97,0.56,2.9064
1.0,0.64,2.87545
0.43,0.66,2.1985
0.85,0.2,3.16815
0.02,0.64,1.1005
0.26,0.02,2.6433
0.12,0.68,1.44235
0.66,0.15,3.04825
0.75,0.58,2.6793
0.04,0.92,1.1203
0.15,0.58,1.5921
0.4,0.84,2.01815
0.94,0.97,2.5985
0.64,0.08,3.12995
0.08,0.63,1.32465
0.81,0.9,2.5165
0.21,0.79,1.64905
0.21,0.13,2.25535
0.82,0.12,3.2315
0.77,0.84,2.5071
0.76,0.89,2.46305
0.06,0.34,1.3907
0.92,0.45,2.9573
0.41,0.87,2.01545
0.11,0.48,1.52285
0.67,0.53,2.6443
0.36,0.88,1.92175
0.47,0.6,2.28775
0.34,0.03,2.80165
0.79,0.95,2.45035
0.24,0.56,1.8481
0.17,0.32,1.87
0.59,0.26,2.8199
0.59,0.68,2.40115
1.0,0.57,2.91235
0.63,0.84,2.36075
0.72,0.58,2.66065
0.84,0.68,2.70095
0.07,0.87,1.23335
0.71,0.48,2.7372
0.27,0.76,1.8151
0.2,0.43,1.8426
0.25,0.83,1.7147
0.74,0.97,2.388
0.56,0.06,3.0697
0.77,0.18,3.11325
0.61,0.23,2.8917
0.73,0.56,2.6812
0.4,0.67,2.1158
0.93,0.15,3.29025
0.37,0.3,2.4096
0.89,0.6,2.8072
0.32,0.92,1.8314
0.97,0.95,2.6281
0.96,0.12,3.3234
0.74,0.25,3.0153
0.47,0.92,2.0944
0.13,0.43,1.61805
0.8,0.68,2.66225
0.01,0.53,1.06435
0.69,0.03,3.25165
0.73,0.82,2.48355
0.97,0.94,2.63055
0.9,1.0,2.5409
0.08,0.23,1.55245
0.82,0.79,2.58755
0.42,0.46,2.3203
0.62,0.93,2.28995
0.71,0.43,2.77885
0.77,0.04,3.30425
0.97,0.53,2.9237
0.73,0.22,3.02605
0.59,0.14,2.9872
0.5,0.81,2.1783
0.4,1.0,1.917
0.89,0.12,3.28975
0.05,0.83,1.1776
