x,y,score
0.46,0.76,1.59175
0.54,0.86,1.5119
0.16,0.19,2.34125
0.61,0.18,2.70015
0.82,0.41,2.4129
0.72,0.66,1.95285
0.63,0.37,2.36755
0.41,0.28,2.3905
0.16,0.44,1.80575
0.8,0.33,2.5223
0.84,0.23,2.6794
0.25,0.48,1.86005
0.62,0.7,1.8407
0.78,0.28,2.5801
0.03,0.68,1.16835
0.57,0.0,3.0
0.69,0.37,2.39515
0.46,0.05,2.89015
0.65,0.03,2.9492
0.56,0.8,1.61475
0.28,0.44,1.9707
0.65,0.0,3.0
0.57,0.1,2.82405
0.44,0.29,2.40025
0.63,0.49,2.16515
0.26,0.03,2.88955
0.92,0.27,2.647
0.69,0.35,2.43015
0.79,0.78,1.82995
0.3,0.26,2.33935
0.98,0.54,2.30045
0.25,0.62,1.5905
0.55,0.43,2.209
0.19,0.06,2.7623
0.14,0.65,1.37925
0.09,0.65,1.3412
0.92,1.0,1.64215
0.51,0.43,2.1965
0.36,0.66,1.64275
0.33,0.92,1.19355
0.01,0.93,0.7181
0.25,0.81,1.2723
0.9,0.46,2.36095
0.3,0.12,2.6554
0.87,0.59,2.17275
0.8,0.75,1.90205
0.93,0.2,2.7408
0.34,0.41,2.0921
0.05,0.48,1.57955
0.9,0.12,2.85385
0.59,0.65,1.8779
0.72,0.62,2.03125
0.29,0.87,1.23045
0.02,0.72,1.0964
0.8,0.35,2.4934
0.09,0.22,2.19265
0.05,0.61,1.33275
0.49,0.38,2.2649
0.62,0.21,2.6351
0.79,0.55,2.17845
0.64,0.52,2.1569
0.17,0.15,2.48505
0.45,0.81,1.49795
0.48,0.8,1.55445
0.51,0.39,2.2511
0.62,0.39,2.3353
0.58,0.64,1.89575
0.8,0.62,2.0825
0.6,0.07,2.87805
0.35,0.87,1.29745
0.85,0.83,1.8183
0.96,0.89,1.81835
0.68,0.4,2.35585
0.13,0.15,2.4258
0.14,0.31,2.0577
0.15,0.88,1.03685
0.72,0.97,1.52205
0.56,0.33,2.405
0.52,0.26,2.4949
0.99,0.97,1.7371
0.9,0.63,2.1227
0.31,0.47,1.9584
0.98,0.8,1.9474
0.31,0.34,2.1934
0.22,0.4,1.9826
0.87,0.37,2.4795
0.76,0.43,2.3376
0.79,0.76,1.8664
0.83,0.38,2.453
0.74,0.12,2.82745
0.68,0.51,2.16565
0.56,0.43,2.2342
0.63,0.01,2.9835
0.45,0.24,2.4999
0.52,0.13,2.7481
0.64,0.47,2.21895
0.51,0.91,1.4017
0.78,0.92,1.65155
0.92,0.54,2.2585
0.75,0.83,1.73605
0.72,0.5,2.2084
0.53,0.74,1.67955
0.82,0.88,1.71535
0.63,0.35,2.4055
0.8,0.56,2.15915
0.99,0.8,1.9375
0.69,0.67,1.93545
0.44,0.43,2.132
0.71,0.62,2.0238
0.63,0.08,2.8711
0.48,0.4,2.20735
0.93,0.51,2.30865
0.65,0.12,2.80065
0.78,0.34,2.48665
0.17,0.41,1.8774
0.59,0.93,1.4509
0.98,0.65,2.1442
0.89,0.49,2.32415
0.09,0.48,1.6332
0.98,0.94,1.76475
0.6,0.72,1.7865
0.74,0.48,2.25495
0.48,0.19,2.61305
0.15,0.11,2.561
0.86,0.55,2.2153
0.97,0.56,2.26515
1.0,0.64,2.18315
0.43,0.66,1.7169
0.85,0.2,2.7413
0.02,0.64,1.2145
0.26,0.02,2.92725
0.12,0.68,1.29875
0.66,0.15,2.75995
0.75,0.58,2.1008
0.04,0.92,0.78285
0.15,0.58,1.54095
0.4,0.84,1.4109
0.94,0.97,1.68465
0.64,0.08,2.8693
0.08,0.63,1.3438
0.81,0.9,1.68485
0.21,0.79,1.2604
0.21,0.13,2.5699
0.82,0.12,2.8401
0.77,0.84,1.7503
0.76,0.89,1.6672
0.06,0.34,1.85745
0.92,0.45,2.39975
0.41,0.87,1.3693
0.11,0.48,1.68005
0.67,0.53,2.12315
0.36,0.88,1.2899
0.47,0.6,1.86175
0.34,0.03,2.92055
0.79,0.95,1.60155
0.24,0.56,1.68575
