x,y,score
0.0,0.0,3.0
0.0,0.01,2.2459999999999996
0.0,0.02,1.77875
0.0,0.03,1.6997500000000003
0.0,0.04,1.4514999999999998
0.0,0.05,1.388
0.0,0.06,1.3344999999999998
0.0,0.07,1.2659999999999998
0.0,0.08,1.1910000000000003
0.0,0.09,1.1695
0.0,0.1,1.2105000000000001
0.0,0.11,1.1675
0.0,0.12,1.1385
0.0,0.13,1.1165
0.0,0.14,1.1285
0.0,0.15,1.112
0.0,0.16,1.0930000000000002
0.0,0.17,1.108
0.0,0.18,1.0805000000000002
0.0,0.19,1.0890000000000002
0.0,0.2,1.0710000000000002
0.0,0.21,1.0885000000000002
0.0,0.22,1.0910000000000002
0.0,0.23,1.09
0.0,0.24,1.073
0.0,0.25,1.0755000000000003
0.0,0.26,1.071
0.0,0.27,1.045
0.0,0.28,1.0445000000000004
0.0,0.29,1.048
0.0,0.3,1.0605
0.0,0.31,1.036
0.0,0.32,1.0450000000000004
0.0,0.33,1.0434999999999999
0.0,0.34,1.0425
0.0,0.35000000000000003,1.042
0.0,0.36,1.0545000000000002
0.0,0.37,1.0435
0.0,0.38,1.036
0.0,0.39,1.0390000000000001
0.0,0.4,1.0325000000000002
0.0,0.41000000000000003,1.0370000000000001
0.0,0.42,1.0185
0.0,0.43,1.0270000000000004
0.0,0.44,1.02
0.0,0.45,1.0240000000000005
0.0,0.46,1.0195000000000003
0.0,0.47000000000000003,1.0305000000000002
0.0,0.48,1.0220000000000002
0.0,0.49,1.0175000000000003
0.0,0.5,1.0195
0.0,0.51,1.0165000000000002
0.0,0.52,1.0135
0.0,0.53,1.014
0.0,0.54,1.0220000000000002
0.0,0.55,1.0175
0.0,0.56,1.0105
0.0,0.5700000000000001,1.0145
0.0,0.58,1.0095000000000003
0.0,0.59,1.0135
0.0,0.6,1.0085000000000002
0.0,0.61,1.0075
0.0,0.62,1.007
0.0,0.63,1.0080000000000002
0.0,0.64,1.0070000000000001
0.0,0.65,1.009
0.0,0.66,1.001
0.0,0.67,1.0050000000000001
0.0,0.68,1.008
0.0,0.6900000000000001,1.0070000000000001
0.0,0.7000000000000001,1.0055
0.0,0.71,1.002
0.0,0.72,0.9999999999999998
0.0,0.73,0.9979999999999999
0.0,0.74,0.9979999999999999
