x,y,score
0.46,0.76,2.5169
0.54,0.86,2.76545
0.16,0.19,1.9199
0.61,0.18,3.03525
0.82,0.41,3.65285
0.72,0.66,3.3672
0.63,0.37,3.10385
0.41,0.28,2.5127
0.16,0.44,1.6772
0.8,0.33,3.5354
0.84,0.23,3.6123
0.25,0.48,1.93965
0.62,0.7,3.07195
0.78,0.28,3.4964
0.03,0.68,1.12345
0.57,0.0,3.0
0.69,0.37,3.25985
0.46,0.05,2.8689
0.65,0.03,2.9976
0.56,0.8,2.8431
0.28,0.44,2.02935
0.65,0.0,3.0
0.57,0.1,2.96225
0.44,0.29,2.612
0.63,0.49,3.0688
0.26,0.03,2.82005
0.92,0.27,3.83245
0.69,0.35,3.2741
0.79,0.78,3.5827
0.3,0.26,2.21655
0.98,0.54,4.10195
0.25,0.62,1.87715
0.55,0.43,2.8661
0.19,0.06,2.5206
0.14,0.65,1.4884
0.09,0.65,1.33895
0.92,1.0,3.9542
0.51,0.43,2.76245
0.36,0.66,2.22115
0.33,0.92,2.03645
0.01,0.93,0.95295
0.25,0.81,1.81725
0.9,0.46,3.89815
0.3,0.12,2.4493
0.87,0.59,3.81195
0.8,0.75,3.572
0.93,0.2,3.7113
0.34,0.41,2.24045
0.05,0.48,1.2764
0.9,0.12,3.5453
0.59,0.65,2.94945
0.72,0.62,3.35325
0.29,0.87,1.90245
0.02,0.72,1.0638
0.8,0.35,3.5896
0.09,0.22,1.6945
0.05,0.61,1.2128
0.49,0.38,2.6781
0.62,0.21,3.0574
0.79,0.55,3.5833
0.64,0.52,3.146
0.17,0.15,2.03415
0.45,0.81,2.4801
0.48,0.8,2.5798
0.51,0.39,2.77845
0.62,0.39,3.06705
0.58,0.64,2.94475
0.8,0.62,3.5931
0.6,0.07,2.99675
0.35,0.87,2.12545
0.85,0.83,3.7419
0.96,0.89,4.1146
0.68,0.4,3.2531
0.13,0.15,1.958
0.14,0.31,1.72455
0.15,0.88,1.4612
0.72,0.97,3.3155
0.56,0.33,2.9038
0.52,0.26,2.80955
0.99,0.97,4.19775
0.9,0.63,3.9525
0.31,0.47,2.1431
0.98,0.8,4.17985
0.31,0.34,2.22455
0.22,0.4,1.87485
0.87,0.37,3.71105
0.76,0.43,3.49385
0.79,0.76,3.58645
0.83,0.38,3.6793
0.74,0.12,3.27835
0.68,0.51,3.21665
0.56,0.43,2.91425
0.63,0.01,2.9867
0.45,0.24,2.6366
0.52,0.13,2.85865
0.64,0.47,3.13745
0.51,0.91,2.67415
0.78,0.92,3.5042
0.92,0.54,3.97185
0.75,0.83,3.43745
0.72,0.5,3.37245
0.53,0.74,2.75215
0.82,0.88,3.64355
0.63,0.35,3.111
0.8,0.56,3.587
0.99,0.8,4.1798
0.69,0.67,3.2259
0.44,0.43,2.51685
0.71,0.62,3.3536
0.63,0.08,3.02775
0.48,0.4,2.67475
0.93,0.51,3.96275
0.65,0.12,3.1022
0.78,0.34,3.5478
0.17,0.41,1.7228
0.59,0.93,2.9129
0.98,0.65,4.16755
0.89,0.49,3.8787
0.09,0.48,1.4178
0.98,0.94,4.15485
0.6,0.72,2.9806
0.74,0.48,3.4193
0.48,0.19,2.7529
0.15,0.11,2.17545
0.86,0.55,3.7877
0.97,0.56,4.13975
1.0,0.64,4.18855
0.43,0.66,2.42325
0.85,0.2,3.5839
0.02,0.64,1.10285
0.26,0.02,2.8878
0.12,0.68,1.4185
0.66,0.15,3.1614
0.75,0.58,3.44395
0.04,0.92,1.05355
0.15,0.58,1.56985
0.4,0.84,2.29095
0.94,0.97,4.03715
0.64,0.08,3.0499
0.08,0.63,1.29945
0.81,0.9,3.62505
0.21,0.79,1.6915
0.21,0.13,2.19635
0.82,0.12,3.414
0.77,0.84,3.4826
0.76,0.89,3.4354
0.06,0.34,1.4318
0.92,0.45,3.9138
0.41,0.87,2.29545
0.11,0.48,1.4869
0.67,0.53,3.22345
0.36,0.88,2.17535
0.47,0.6,2.58445
0.34,0.03,2.835
0.79,0.95,3.5371
0.24,0.56,1.8579
0.17,0.32,1.77515
0.59,0.26,3.0246
0.59,0.68,2.9345
1.0,0.57,4.2191
0.63,0.84,3.02405
0.72,0.58,3.3725
0.84,0.68,3.748
0.07,0.87,1.1886
0.71,0.48,3.37405
0.27,0.76,1.89465
0.2,0.43,1.81035
0.25,0.83,1.8018
0.74,0.97,3.3976
0.56,0.06,2.94265
0.77,0.18,3.4054
0.61,0.23,3.04055
0.73,0.56,3.3973
0.4,0.67,2.31985
0.93,0.15,3.641
0.37,0.3,2.39325
0.89,0.6,3.86725
0.32,0.92,2.01625
0.97,0.95,4.1245
0.96,0.12,3.61005
0.74,0.25,3.4224
0.47,0.92,2.4903
0.13,0.43,1.59215
0.8,0.68,3.57545
0.01,0.53,1.11775
0.69,0.03,2.99625
0.73,0.82,3.36835
0.97,0.94,4.15
0.9,1.0,3.8939
0.08,0.23,1.65045
0.82,0.79,3.6667
0.42,0.46,2.48225
0.62,0.93,2.98255
0.71,0.43,3.33465
0.77,0.04,3.09405
0.97,0.53,4.09525
0.73,0.22,3.31405
0.59,0.14,3.0132
0.5,0.81,2.6376
0.4,1.0,2.2616
0.89,0.12,3.5435
0.05,0.83,1.13085
0.19,0.67,1.66365
0.97,0.93,4.10915
0.69,0.2,3.2348
0.72,0.64,3.3497
0.94,0.47,4.00105
0.81,0.73,3.65225
0.5,0.86,2.6048
0.15,0.5,1.61225
0.45,0.28,2.6017
0.48,0.93,2.5164
0.15,0.25,1.80575
0.32,0.14,2.4087
0.62,0.38,3.05735
0.48,0.51,2.6314
0.61,0.92,2.926
0.34,0.82,2.10305
0.39,0.43,2.36595
0.89,0.11,3.46975
0.67,0.3,3.21615
0.15,0.26,1.8005
0.72,0.21,3.30095
0.57,0.41,2.91495
0.01,0.09,2.00365
0.55,0.84,2.7788
0.85,0.24,3.61605
0.53,0.07,2.9064
0.81,0.85,3.62705
0.65,0.79,3.1162
0.08,0.01,2.9395
0.62,0.24,3.0665
0.28,0.85,1.91175
0.12,0.31,1.6577
0.04,0.88,1.06025
0.25,0.42,1.97645
0.29,0.34,2.1276
0.12,0.75,1.3839
0.16,0.7,1.54895
0.9,0.47,3.8765
0.65,0.01,2.9821
0.44,0.94,2.4177
0.38,0.39,2.3659
0.95,0.84,4.06855
0.31,0.48,2.12985
0.45,0.92,2.44705
0.08,0.35,1.4741
0.68,0.89,3.21725
0.99,1.0,4.1399
0.61,0.37,3.06975
0.02,0.96,0.975
0.94,0.0,3.0
0.71,0.78,3.3062
0.09,0.02,2.82465
0.46,0.16,2.72135
0.3,0.07,2.5954
0.94,0.83,4.06715
0.25,0.01,2.95855
0.78,0.53,3.575
0.24,0.45,1.9194
0.1,0.82,1.30845
0.27,0.33,2.07785
0.89,0.17,3.6255
0.5,0.19,2.7686
0.12,0.89,1.34215
0.57,0.07,2.95325
0.85,0.58,3.781
0.03,0.67,1.11385
0.79,0.05,3.13295
0.18,0.3,1.8402
0.66,0.43,3.17515
0.41,0.6,2.41485
0.52,0.47,2.7535
0.53,0.05,2.9154
0.51,0.93,2.6298
0.8,0.32,3.592
0.91,0.77,3.97995
0.57,0.84,2.8521
0.65,0.7,3.1234
0.6,0.23,3.0212
0.11,0.82,1.3344
0.46,1.0,2.44655
0.71,0.57,3.3216
0.28,0.08,2.49375
0.2,0.19,2.0418
0.82,0.03,3.0637
0.9,0.83,3.9239
0.68,0.02,2.9925
0.1,0.34,1.53495
0.97,0.02,3.07065
0.27,0.01,2.95045
0.84,0.82,3.76255
0.99,0.61,4.14515
0.18,0.48,1.704
0.18,0.73,1.5994
0.79,0.15,3.38165
0.77,0.93,3.51835
0.58,0.8,2.8973
0.18,0.95,1.52935
0.21,0.71,1.71175
0.98,0.62,4.15845
0.23,0.97,1.6921
0.06,0.16,1.79375
0.53,0.36,2.85855
0.97,0.86,4.12935
0.26,0.42,1.99635
0.81,0.43,3.6098
0.2,0.12,2.22925
0.1,0.57,1.40045
0.15,0.35,1.70335
0.89,0.02,3.0417
0.51,0.7,2.68965
0.57,0.27,2.96405
0.11,0.19,1.82535
0.69,0.41,3.2936
0.68,0.83,3.1892
0.97,0.34,3.9945
0.36,0.11,2.5971
0.53,0.1,2.8951
0.19,0.47,1.7495
0.81,0.31,3.56885
