x,y,score
0.0,0.0,3.0
0.0,0.01,1.7349999999999999
0.0,0.02,1.4060000000000001
0.0,0.03,1.3475
0.0,0.04,1.2674999999999998
0.0,0.05,1.2295
0.0,0.06,1.163
0.0,0.07,1.1345
0.0,0.08,1.107
0.0,0.09,1.0825
0.0,0.1,1.119
0.0,0.11,1.0935
0.0,0.12,1.0865
0.0,0.13,1.0715000000000001
0.0,0.14,1.0764999999999998
0.0,0.15,1.0530000000000002
0.0,0.16,1.0474999999999999
0.0,0.17,1.0605000000000002
0.0,0.18,1.0539999999999998
0.0,0.19,1.045
0.0,0.2,1.0450000000000002
0.0,0.21,1.0545000000000002
0.0,0.22,1.041
0.0,0.23,1.057
0.0,0.24,1.0425
0.0,0.25,1.0384999999999998
0.0,0.26,1.0459999999999998
0.0,0.27,1.0294999999999999
0.0,0.28,1.041
0.0,0.29,1.0315
0.0,0.3,1.024
0.0,0.31,1.0265
0.0,0.32,1.0314999999999999
0.0,0.33,1.0245000000000002
0.0,0.34,1.0219999999999998
0.0,0.35000000000000003,1.0305
0.0,0.36,1.0230000000000001
0.0,0.37,1.0289999999999997
0.0,0.38,1.0199999999999998
0.0,0.39,1.03
0.0,0.4,1.025
0.0,0.41000000000000003,1.0154999999999998
0.0,0.42,1.0190000000000003
0.0,0.43,1.022
0.0,0.44,1.011
0.0,0.45,1.02
0.0,0.46,1.016
0.0,0.47000000000000003,1.0135
0.0,0.48,1.0225
0.0,0.49,1.0165000000000002
0.0,0.5,1.0105
0.0,0.51,1.0179999999999998
0.0,0.52,1.0110000000000001
0.0,0.53,1.01
0.0,0.54,1.01
0.0,0.55,1.0079999999999998
0.0,0.56,1.0154999999999998
0.0,0.5700000000000001,1.0139999999999998
0.0,0.58,1.0095
0.0,0.59,1.0085
0.0,0.6,1.0070000000000001
0.0,0.61,1.0134999999999998
0.0,0.62,1.0065
0.0,0.63,1.0065000000000002
0.0,0.64,1.0025000000000002
0.0,0.65,1.0055
0.0,0.66,1.0085000000000002
0.0,0.67,1.0015
0.0,0.68,1.0070000000000001
0.0,0.6900000000000001,1.0035000000000003
0.0,0.7000000000000001,1.005
0.0,0.71,1.0045
0.0,0.72,1.0014999999999998
0.0,0.73,1.0054999999999998
0.0,0.74,1.0
0.0,0.75,1.0045000000000002
0.0,0.76,1.004
0.0,0.77,1.003
0.0,0.78,1.001
0.0,0.79,1.0010000000000001
0.0,0.8,1.002
0.0,0.81,1.0035000000000003
0.0,0.8200000000000001,0.9980000000000002
0.0,0.8300000000000001,1.0005000000000002
0.0,0.84,0.9985000000000002
0.0,0.85,1.0035000000000003
0.0,0.86,1.0000000000000002
0.0,0.87,0.9965000000000002
0.0,0.88,0.9955000000000002
0.0,0.89,0.9985000000000002
0.0,0.9,1.0015
0.0,0.91,0.9990000000000002
0.0,0.92,0.9970000000000002
0.0,0.93,0.9965000000000002
0.0,0.9400000000000001,0.9965000000000002
0.0,0.9500000000000001,0.9990000000000002
0.0,0.96,0.9975000000000002
0.0,0.97,0.9950000000000001
0.0,0.98,0.9955000000000002
0.0,0.99,0.9950000000000001
0.0,1.0,0.9950000000000001
0.01,0.0,3.0
0.01,0.01,1.9737499999999997
0.01,0.02,1.5427500000000003
0.01,0.03,1.47225
0.01,0.04,1.2447500000000002
0.01,0.05,1.2555
0.01,0.06,1.218
0.01,0.07,1.1397499999999998
0.01,0.08,1.1542500000000002
0.01,0.09,1.165
0.01,0.1,1.1395
0.01,0.11,1.129
0.01,0.12,1.14175
0.01,0.13,1.09825
0.01,0.14,1.1207499999999997
0.01,0.15,1.1065
0.01,0.16,1.0944999999999998
0.01,0.17,1.08175
0.01,0.18,1.1019999999999999
0.01,0.19,1.084
0.01,0.2,1.1037500000000002
0.01,0.21,1.0975
0.01,0.22,1.09775
0.01,0.23,1.08625
0.01,0.24,1.086
0.01,0.25,1.0755
0.01,0.26,1.0752499999999998
0.01,0.27,1.0819999999999999
0.01,0.28,1.09225
0.01,0.29,1.07375
0.01,0.3,1.072
0.01,0.31,1.0727499999999996
0.01,0.32,1.06925
0.01,0.33,1.0579999999999998
0.01,0.34,1.06425
0.01,0.35000000000000003,1.0684999999999998
0.01,0.36,1.06225
0.01,0.37,1.0659999999999998
0.01,0.38,1.06575
0.01,0.39,1.06575
0.01,0.4,1.07625
0.01,0.41000000000000003,1.06275
0.01,0.42,1.069
0.01,0.43,1.05275
0.01,0.44,1.0470000000000002
0.01,0.45,1.0655
0.01,0.46,1.05475
0.01,0.47000000000000003,1.06
0.01,0.48,1.04975
0.01,0.49,1.05375
0.01,0.5,1.048
0.01,0.51,1.06525
0.01,0.52,1.05
0.01,0.53,1.0495
0.01,0.54,1.049
0.01,0.55,1.0542500000000001
0.01,0.56,1.047
