x,y,score
0.46,0.76,1.97285
0.54,0.86,2.0105
0.16,0.19,2.17895
0.61,0.18,2.70985
0.82,0.41,2.5539
0.72,0.66,2.2884
0.63,0.37,2.48195
0.41,0.28,2.43515
0.16,0.44,1.74445
0.8,0.33,2.6203
0.84,0.23,2.73025
0.25,0.48,1.90005
0.62,0.7,2.18485
0.78,0.28,2.66475
0.03,0.68,1.1342
0.57,0.0,3.0
0.69,0.37,2.5192
0.46,0.05,2.86405
0.65,0.03,2.91275
0.56,0.8,2.0589
0.28,0.44,2.0204
0.65,0.0,3.0
0.57,0.1,2.78795
0.44,0.29,2.4284
0.63,0.49,2.3601
0.26,0.03,2.9081
0.92,0.27,2.71575
0.69,0.35,2.5386
0.79,0.78,2.24245
0.3,0.26,2.30645
0.98,0.54,2.52105
0.25,0.62,1.76595
0.55,0.43,2.36575
0.19,0.06,2.76415
0.14,0.65,1.48065
0.09,0.65,1.3643
0.92,1.0,2.20035
0.51,0.43,2.3166
0.36,0.66,1.93265
0.33,0.92,1.7197
0.01,0.93,1.0278
0.25,0.81,1.64015
0.9,0.46,2.54135
0.3,0.12,2.62955
0.87,0.59,2.42925
0.8,0.75,2.2716
0.93,0.2,2.78955
0.34,0.41,2.15655
0.05,0.48,1.27975
0.9,0.12,2.8309
0.59,0.65,2.19345
0.72,0.62,2.3181
0.29,0.87,1.6766
0.02,0.72,1.0839
0.8,0.35,2.60005
0.09,0.22,1.8258
0.05,0.61,1.2378
0.49,0.38,2.36835
0.62,0.21,2.68895
0.79,0.55,2.4057
0.64,0.52,2.3516
0.17,0.15,2.3594
0.45,0.81,1.9327
0.48,0.8,1.9679
0.51,0.39,2.36925
0.62,0.39,2.44375
0.58,0.64,2.19295
0.8,0.62,2.36255
0.6,0.07,2.8272
0.35,0.87,1.77095
0.85,0.83,2.25225
0.96,0.89,2.2786
0.68,0.4,2.49075
0.13,0.15,2.1988
0.14,0.31,1.84765
0.15,0.88,1.4131
0.72,0.97,2.08665
0.56,0.33,2.4852
0.52,0.26,2.54955
0.99,0.97,2.25315
0.9,0.63,2.4107
0.31,0.47,2.0245
0.98,0.8,2.34045
0.31,0.34,2.2155
0.22,0.4,1.94
0.87,0.37,2.6064
0.76,0.43,2.50245
0.79,0.76,2.2591
0.83,0.38,2.5885
0.74,0.12,2.8098
0.68,0.51,2.38605
0.56,0.43,2.37105
0.63,0.01,2.97175
0.45,0.24,2.5232
0.52,0.13,2.7491
0.64,0.47,2.38775
0.51,0.91,1.94265
0.78,0.92,2.15705
0.92,0.54,2.48835
0.75,0.83,2.1885
0.72,0.5,2.41135
0.53,0.74,2.0765
0.82,0.88,2.2107
0.63,0.35,2.51185
0.8,0.56,2.42095
0.99,0.8,2.34585
0.69,0.67,2.26435
0.44,0.43,2.26055
0.71,0.62,2.3153
0.63,0.08,2.8239
0.48,0.4,2.32445
0.93,0.51,2.51235
0.65,0.12,2.80175
0.78,0.34,2.59875
0.17,0.41,1.79355
0.59,0.93,2.0099
0.98,0.65,2.4323
0.89,0.49,2.51025
0.09,0.48,1.47405
0.98,0.94,2.26345
0.6,0.72,2.15225
0.74,0.48,2.446
0.48,0.19,2.6234
0.15,0.11,2.44905
0.86,0.55,2.4518
0.97,0.56,2.49215
1.0,0.64,2.4539
0.43,0.66,2.0193
0.85,0.2,2.7714
0.02,0.64,1.09965
0.26,0.02,2.9366
0.12,0.68,1.4305
0.66,0.15,2.77535
0.75,0.58,2.3648
0.04,0.92,1.11835
0.15,0.58,1.5664
0.4,0.84,1.8508
0.94,0.97,2.2272
0.64,0.08,2.81675
0.08,0.63,1.3202
0.81,0.9,2.1912
0.21,0.79,1.59105
0.21,0.13,2.5106
0.82,0.12,2.82195
0.77,0.84,2.1954
0.76,0.89,2.1632
0.06,0.34,1.44965
0.92,0.45,2.5599
0.41,0.87,1.85435
0.11,0.48,1.51935
0.67,0.53,2.367
0.36,0.88,1.77635
0.47,0.6,2.1261
0.34,0.03,2.9146
0.79,0.95,2.1454
0.24,0.56,1.8139
0.17,0.32,1.92635
0.59,0.26,2.59485
0.59,0.68,2.18115
1.0,0.57,2.50555
0.63,0.84,2.09295
0.72,0.58,2.354
0.84,0.68,2.34345
0.07,0.87,1.21765
0.71,0.48,2.42685
0.27,0.76,1.70325
0.2,0.43,1.8357
0.25,0.83,1.6358
0.74,0.97,2.104
0.56,0.06,2.8457
0.77,0.18,2.76695
0.61,0.23,2.6411
0.73,0.56,2.37165
0.4,0.67,1.9743
0.93,0.15,2.8282
0.37,0.3,2.34745
0.89,0.6,2.4337
0.32,0.92,1.6926
0.97,0.95,2.25095
0.96,0.12,2.82615
0.74,0.25,2.69065
0.47,0.92,1.8932
0.13,0.43,1.64125
0.8,0.68,2.32375
0.01,0.53,1.07
0.69,0.03,2.9128
0.73,0.82,2.1771
0.97,0.94,2.2593
0.9,1.0,2.18885
0.08,0.23,1.7219
0.82,0.79,2.25815
0.42,0.46,2.1923
0.62,0.93,2.0329
0.71,0.43,2.4706
0.77,0.04,2.88865
0.97,0.53,2.5124
0.73,0.22,2.71155
0.59,0.14,2.7682
0.5,0.81,1.9825
0.4,1.0,1.76245
0.89,0.12,2.82005
0.05,0.83,1.1687
0.19,0.67,1.60115
0.97,0.93,2.26495
0.69,0.2,2.7185
0.72,0.64,2.29845
0.94,0.47,2.5476
0.81,0.73,2.2944
0.5,0.86,1.9604
0.15,0.5,1.6328
0.45,0.28,2.46855
0.48,0.93,1.8886
0.15,0.25,1.99585
0.32,0.14,2.60485
0.62,0.38,2.4625
0.48,0.51,2.21695
0.61,0.92,2.0258
0.34,0.82,1.7762
0.39,0.43,2.209
0.89,0.11,2.82205
0.67,0.3,2.58245
0.15,0.26,1.9632
0.72,0.21,2.7071
0.57,0.41,2.397
0.01,0.09,1.6832
0.55,0.84,2.0239
0.85,0.24,2.72685
0.53,0.07,2.8271
0.81,0.85,2.22045
0.65,0.79,2.1434
0.08,0.01,2.9573
0.62,0.24,2.64885
0.28,0.85,1.67545
0.12,0.31,1.7648
0.04,0.88,1.12385
0.25,0.42,2.00825
0.29,0.34,2.16965
0.12,0.75,1.39595
0.16,0.7,1.5258
0.9,0.47,2.53605
0.65,0.01,2.97335
0.44,0.94,1.84175
0.38,0.39,2.2299
0.95,0.84,2.29915
0.31,0.48,2.0227
0.45,0.92,1.8658
0.08,0.35,1.54685
0.68,0.89,2.103
0.99,1.0,2.24025
0.61,0.37,2.4922
0.02,0.96,1.0521
0.94,0.0,3.0
0.71,0.78,2.19965
0.09,0.02,2.90255
0.46,0.16,2.6656
0.3,0.07,2.78505
0.94,0.83,2.2984
0.25,0.01,2.9704
0.78,0.53,2.4236
0.24,0.45,1.92905
0.1,0.82,1.3232
0.27,0.33,2.158
0.89,0.17,2.80255
0.5,0.19,2.64355
0.12,0.89,1.3359
0.57,0.07,2.8249
0.85,0.58,2.4243
0.03,0.67,1.13755
0.79,0.05,2.8641
0.18,0.3,1.98945
0.66,0.43,2.44835
0.41,0.6,2.05705
0.52,0.47,2.28525
0.53,0.05,2.85735
0.51,0.93,1.93215
0.8,0.32,2.63155
0.91,0.77,2.3201
0.57,0.84,2.0543
0.65,0.7,2.21275
0.6,0.23,2.63065
0.11,0.82,1.33385
0.46,1.0,1.83455
0.71,0.57,2.3573
0.28,0.08,2.75025
0.2,0.19,2.3078
0.82,0.03,2.91705
0.9,0.83,2.2817
0.68,0.02,2.9426
0.1,0.34,1.6199
0.97,0.02,2.94525
0.27,0.01,2.96785
0.84,0.82,2.252
0.99,0.61,2.4696
0.18,0.48,1.74655
0.18,0.73,1.5501
0.79,0.15,2.794
0.77,0.93,2.15225
0.58,0.8,2.0788
0.18,0.95,1.4412
0.21,0.71,1.628
0.98,0.62,2.4638
0.23,0.97,1.5281
0.06,0.16,1.80745
0.53,0.36,2.426
0.97,0.86,2.30325
0.26,0.42,1.9896
0.81,0.43,2.52965
0.2,0.12,2.5088
0.1,0.57,1.4236
0.15,0.35,1.82095
0.89,0.02,2.9419
0.51,0.7,2.08295
0.57,0.27,2.5733
0.11,0.19,1.98885
0.69,0.41,2.47995
0.68,0.83,2.1325
0.97,0.34,2.66695
0.36,0.11,2.69555
0.53,0.1,2.79545
0.19,0.47,1.77685
0.81,0.31,2.64415
0.66,0.86,2.10755
0.93,0.77,2.33535
0.82,0.05,2.86455
0.88,0.94,2.2075
0.33,0.39,2.18625
0.1,0.68,1.36385
0.84,0.95,2.17985
0.29,0.54,1.9353
0.96,0.41,2.6062
0.89,0.67,2.377
0.91,0.12,2.8206
