x,y,score
0.46,0.76,2.5466
0.54,0.86,2.8923
0.16,0.19,1.93535
0.61,0.18,3.32875
0.82,0.41,4.25465
0.72,0.66,3.7563
0.63,0.37,3.4025
0.41,0.28,2.5876
0.16,0.44,1.70975
0.8,0.33,4.1554
0.84,0.23,4.3083
0.25,0.48,1.94825
0.62,0.7,3.31325
0.78,0.28,4.04975
0.03,0.68,1.15885
0.57,0.0,3.0393
0.69,0.37,3.64615
0.46,0.05,2.8723
0.65,0.03,3.3695
0.56,0.8,2.94915
0.28,0.44,2.10165
0.65,0.0,3.1467
0.57,0.1,3.15775
0.44,0.29,2.67145
0.63,0.49,3.3751
0.26,0.03,2.5741
0.92,0.27,4.6823
0.69,0.35,3.6925
0.79,0.78,4.10045
0.3,0.26,2.2747
0.98,0.54,4.9038
0.25,0.62,1.83595
0.55,0.43,3.0454
0.19,0.06,2.25805
0.14,0.65,1.4819
0.09,0.65,1.34335
0.92,1.0,4.6463
0.51,0.43,2.8689
0.36,0.66,2.1994
0.33,0.92,1.9331
0.01,0.93,0.85005
0.25,0.81,1.70605
0.9,0.46,4.5758
0.3,0.12,2.40485
0.87,0.59,4.44305
0.8,0.75,4.1309
0.93,0.2,4.70265
0.34,0.41,2.27925
0.05,0.48,1.3756
0.9,0.12,4.58045
0.59,0.65,3.1705
0.72,0.62,3.76785
0.29,0.87,1.8227
0.02,0.72,1.09485
0.8,0.35,4.15175
0.09,0.22,1.72495
0.05,0.61,1.2675
0.49,0.38,2.8209
0.62,0.21,3.35505
0.79,0.55,4.10745
0.64,0.52,3.40965
0.17,0.15,2.02995
0.45,0.81,2.47165
0.48,0.8,2.6225
0.51,0.39,2.906
0.62,0.39,3.3472
0.58,0.64,3.1322
0.8,0.62,4.1344
0.6,0.07,3.2773
0.35,0.87,2.05665
0.85,0.83,4.35475
0.96,0.89,4.8334
0.68,0.4,3.59325
0.13,0.15,1.94625
0.14,0.31,1.76645
0.15,0.88,1.36025
0.72,0.97,3.7435
0.56,0.33,3.08245
0.52,0.26,2.931
0.99,0.97,4.938
0.9,0.63,4.5715
0.31,0.47,2.13515
0.98,0.8,4.8986
0.31,0.34,2.22085
0.22,0.4,1.926
0.87,0.37,4.4434
0.76,0.43,3.94735
0.79,0.76,4.0907
0.83,0.38,4.26825
0.74,0.12,3.873
0.68,0.51,3.6
0.56,0.43,3.0965
0.63,0.01,3.20625
0.45,0.24,2.7362
0.52,0.13,3.0108
0.64,0.47,3.4129
0.51,0.91,2.74095
0.78,0.92,4.026
0.92,0.54,4.6786
0.75,0.83,3.90785
0.72,0.5,3.77365
0.53,0.74,2.8762
0.82,0.88,4.2158
0.63,0.35,3.3816
0.8,0.56,4.13715
0.99,0.8,4.9458
0.69,0.67,3.67215
0.44,0.43,2.61105
0.71,0.62,3.70125
0.63,0.08,3.37065
0.48,0.4,2.73645
0.93,0.51,4.70255
0.65,0.12,3.4422
0.78,0.34,4.0644
0.17,0.41,1.7685
0.59,0.93,3.0846
0.98,0.65,4.8996
0.89,0.49,4.53745
0.09,0.48,1.4944
0.98,0.94,4.9016
0.6,0.72,3.20715
0.74,0.48,3.85585
0.48,0.19,2.8296
0.15,0.11,2.04835
0.86,0.55,4.3988
0.97,0.56,4.86705
1.0,0.64,4.9878
0.43,0.66,2.50055
0.85,0.2,4.34765
0.02,0.64,1.1552
0.26,0.02,2.62675
0.12,0.68,1.4127
0.66,0.15,3.49315
0.75,0.58,3.90115
0.04,0.92,0.9538
0.15,0.58,1.5911
0.4,0.84,2.2903
0.94,0.97,4.747
