x,y,score
0.46,0.76,1.6221
0.54,0.86,1.5594
0.16,0.19,2.35335
0.61,0.18,2.62905
0.82,0.41,2.32255
0.72,0.66,1.9244
0.63,0.37,2.29085
0.41,0.28,2.3461
0.16,0.44,1.7576
0.8,0.33,2.4413
0.84,0.23,2.6013
0.25,0.48,1.7889
0.62,0.7,1.81975
0.78,0.28,2.5057
0.03,0.68,1.11955
0.57,0.0,3.0
0.69,0.37,2.3213
0.46,0.05,2.8768
0.65,0.03,2.93535
0.56,0.8,1.64475
0.28,0.44,1.90535
0.65,0.0,3.0
0.57,0.1,2.7711
0.44,0.29,2.32505
0.63,0.49,2.11125
0.26,0.03,2.90555
0.92,0.27,2.5611
0.69,0.35,2.35455
0.79,0.78,1.826
0.3,0.26,2.2963
0.98,0.54,2.2165
0.25,0.62,1.556
0.55,0.43,2.1324
0.19,0.06,2.79425
0.14,0.65,1.3538
0.09,0.65,1.2894
0.92,1.0,1.70415
0.51,0.43,2.1274
0.36,0.66,1.61165
0.33,0.92,1.2584
0.01,0.93,0.75715
0.25,0.81,1.29595
0.9,0.46,2.28215
0.3,0.12,2.6548
0.87,0.59,2.1068
0.8,0.75,1.8815
0.93,0.2,2.67155
0.34,0.41,2.0264
0.05,0.48,1.506
0.9,0.12,2.79015
0.59,0.65,1.8378
0.72,0.62,1.97785
0.29,0.87,1.28135
0.02,0.72,1.04855
0.8,0.35,2.4018
0.09,0.22,2.22345
0.05,0.61,1.2692
0.49,0.38,2.19265
0.62,0.21,2.56005
0.79,0.55,2.10215
0.64,0.52,2.0714
0.17,0.15,2.5104
0.45,0.81,1.51905
0.48,0.8,1.55725
0.51,0.39,2.17965
0.62,0.39,2.2528
0.58,0.64,1.86635
0.8,0.62,2.0485
0.6,0.07,2.8368
0.35,0.87,1.3386
0.85,0.83,1.8258
0.96,0.89,1.8508
0.68,0.4,2.2671
0.13,0.15,2.45855
0.14,0.31,2.0197
0.15,0.88,1.06745
0.72,0.97,1.5992
0.56,0.33,2.31725
0.52,0.26,2.4248
0.99,0.97,1.77865
0.9,0.63,2.0683
0.31,0.47,1.88815
0.98,0.8,1.9305
0.31,0.34,2.151
0.22,0.4,1.9038
0.87,0.37,2.3928
0.76,0.43,2.25035
0.79,0.76,1.86925
0.83,0.38,2.3679
0.74,0.12,2.7648
0.68,0.51,2.0993
0.56,0.43,2.15305
0.63,0.01,2.9753
0.45,0.24,2.42635
0.52,0.13,2.6954
0.64,0.47,2.12835
0.51,0.91,1.4771
0.78,0.92,1.6833
0.92,0.54,2.1993
0.75,0.83,1.75885
0.72,0.5,2.1308
0.53,0.74,1.68695
0.82,0.88,1.74465
0.63,0.35,2.3244
0.8,0.56,2.1086
0.99,0.8,1.93575
0.69,0.67,1.9085
0.44,0.43,2.06445
0.71,0.62,1.977
0.63,0.08,2.83495
0.48,0.4,2.14765
0.93,0.51,2.23655
0.65,0.12,2.7523
0.78,0.34,2.4108
0.17,0.41,1.8353
0.59,0.93,1.50395
0.98,0.65,2.10135
0.89,0.49,2.25005
0.09,0.48,1.586
0.98,0.94,1.7995
0.6,0.72,1.7707
0.74,0.48,2.1917
