x,y,score
0.46,0.76,2.02375
0.54,0.86,2.14075
0.16,0.19,2.1924
0.61,0.18,2.85445
0.82,0.41,3.08215
0.72,0.66,2.6917
0.63,0.37,2.732
0.41,0.28,2.414
0.16,0.44,1.72555
0.8,0.33,3.0825
0.84,0.23,3.16365
0.25,0.48,1.85325
0.62,0.7,2.44325
0.78,0.28,3.0749
0.03,0.68,1.1098
0.57,0.0,3.0
0.69,0.37,2.84555
0.46,0.05,2.8741
0.65,0.03,2.98945
0.56,0.8,2.23765
0.28,0.44,1.9681
0.65,0.0,3.0
0.57,0.1,2.8708
0.44,0.29,2.4679
0.63,0.49,2.63155
0.26,0.03,2.83515
0.92,0.27,3.30575
0.69,0.35,2.86065
0.79,0.78,2.79125
0.3,0.26,2.2658
0.98,0.54,3.36325
0.25,0.62,1.6893
0.55,0.43,2.51875
0.19,0.06,2.65725
0.14,0.65,1.3874
0.09,0.65,1.27525
0.92,1.0,2.94425
0.51,0.43,2.4234
0.36,0.66,1.8874
0.33,0.92,1.5564
0.01,0.93,0.76725
0.25,0.81,1.4729
0.9,0.46,3.2149
0.3,0.12,2.5719
0.87,0.59,3.0956
0.8,0.75,2.83745
0.93,0.2,3.3102
0.34,0.41,2.1187
0.05,0.48,1.41505
0.9,0.12,3.225
0.59,0.65,2.4019
0.72,0.62,2.7274
0.29,0.87,1.49375
0.02,0.72,1.03325
0.8,0.35,3.0593
0.09,0.22,2.00455
0.05,0.61,1.2384
0.49,0.38,2.4466
0.62,0.21,2.83115
0.79,0.55,2.9342
0.64,0.52,2.64495
0.17,0.15,2.30875
0.45,0.81,1.96775
0.48,0.8,2.06555
0.51,0.39,2.4658
0.62,0.39,2.70665
0.58,0.64,2.4295
0.8,0.62,2.91685
0.6,0.07,2.9342
0.35,0.87,1.66355
0.85,0.83,2.9096
0.96,0.89,3.125
0.68,0.4,2.8057
0.13,0.15,2.2557
0.14,0.31,1.9012
0.15,0.88,1.17055
0.72,0.97,2.47775
0.56,0.33,2.6418
0.52,0.26,2.62675
0.99,0.97,3.15145
0.9,0.63,3.1422
0.31,0.47,1.97425
0.98,0.8,3.21735
0.31,0.34,2.14055
0.22,0.4,1.8929
0.87,0.37,3.2081
0.76,0.43,2.95675
0.79,0.76,2.8047
0.83,0.38,3.1198
0.74,0.12,3.0487
0.68,0.51,2.7208
0.56,0.43,2.52575
0.63,0.01,2.99465
0.45,0.24,2.54755
0.52,0.13,2.7959
0.64,0.47,2.66995
0.51,0.91,2.03795
0.78,0.92,2.66375
0.92,0.54,3.2253
0.75,0.83,2.66565
0.72,0.5,2.82085
0.53,0.74,2.20725
0.82,0.88,2.78035
0.63,0.35,2.7542
0.8,0.56,2.9574
0.99,0.8,3.2575
0.69,0.67,2.63415
0.44,0.43,2.3162
0.71,0.62,2.7254
0.63,0.08,2.96445
0.48,0.4,2.4168
0.93,0.51,3.2666
0.65,0.12,2.9307
0.78,0.34,3.0671
0.17,0.41,1.7946
0.59,0.93,2.1974
0.98,0.65,3.30475
0.89,0.49,3.191
0.09,0.48,1.5111
0.98,0.94,3.13975
0.6,0.72,2.37445
0.74,0.48,2.8838
0.48,0.19,2.64215
0.15,0.11,2.4242
0.86,0.55,3.08735
0.97,0.56,3.3381
1.0,0.64,3.36475
0.43,0.66,2.0361
0.85,0.2,3.19455
0.02,0.64,1.14435
0.26,0.02,2.88895
0.12,0.68,1.3155
0.66,0.15,2.9425
0.75,0.58,2.82555
0.04,0.92,0.8423
0.15,0.58,1.51645
0.4,0.84,1.81765
0.94,0.97,3.0248
0.64,0.08,2.95845
0.08,0.63,1.27155
0.81,0.9,2.7495
0.21,0.79,1.3872
0.21,0.13,2.4124
0.82,0.12,3.1323
