x,y,score
0.46,0.76,2.71825
0.54,0.86,2.7707
0.16,0.19,2.3178
0.61,0.18,2.45565
0.82,0.41,1.83065
0.72,0.66,2.1811
0.63,0.37,1.92975
0.41,0.28,2.21
0.16,0.44,1.6617
0.8,0.33,2.0322
0.84,0.23,2.3273
0.25,0.48,1.8975
0.62,0.7,2.45895
0.78,0.28,2.17025
0.03,0.68,1.12945
0.57,0.0,3.0
0.69,0.37,1.91505
0.46,0.05,2.84935
0.65,0.03,2.911
0.56,0.8,2.7049
0.28,0.44,1.9353
0.65,0.0,3.0
0.57,0.1,2.69855
0.44,0.29,2.19475
0.63,0.49,1.8402
0.26,0.03,2.8947
0.92,0.27,2.20185
0.69,0.35,1.9715
0.79,0.78,2.30335
0.3,0.26,2.2405
0.98,0.54,1.6974
0.25,0.62,1.96605
0.55,0.43,1.8947
0.19,0.06,2.79815
0.14,0.65,1.535
0.09,0.65,1.37405
0.92,1.0,2.3912
0.51,0.43,2.02325
0.36,0.66,2.3984
0.33,0.92,2.2976
0.01,0.93,1.035
0.25,0.81,2.01085
0.9,0.46,1.6946
0.3,0.12,2.60135
0.87,0.59,1.85905
0.8,0.75,2.23125
0.93,0.2,2.3876
0.34,0.41,2.02965
0.05,0.48,1.276
0.9,0.12,2.6455
0.59,0.65,2.4319
0.72,0.62,2.09025
0.29,0.87,2.1551
0.02,0.72,1.08375
0.8,0.35,1.96955
0.09,0.22,2.13795
0.05,0.61,1.19735
0.49,0.38,2.0101
0.62,0.21,2.3822
0.79,0.55,1.837
0.64,0.52,1.9102
0.17,0.15,2.51725
0.45,0.81,2.7049
0.48,0.8,2.76905
0.51,0.39,2.032
0.62,0.39,1.8846
0.58,0.64,2.4474
0.8,0.62,1.9855
0.6,0.07,2.7868
0.35,0.87,2.3837
0.85,0.83,2.29995
0.96,0.89,2.2605
0.68,0.4,1.8535
0.13,0.15,2.44775
0.14,0.31,1.87395
0.15,0.88,1.60145
0.72,0.97,2.57335
0.56,0.33,2.0205
0.52,0.26,2.2384
0.99,0.97,2.31665
0.9,0.63,1.94575
0.31,0.47,2.1256
0.98,0.8,2.1489
0.31,0.34,2.058
0.22,0.4,1.86495
0.87,0.37,1.90915
0.76,0.43,1.7785
0.79,0.76,2.2708
0.83,0.38,1.8844
0.74,0.12,2.63995
0.68,0.51,1.80635
0.56,0.43,1.8669
0.63,0.01,2.96965
0.45,0.24,2.294
0.52,0.13,2.6131
0.64,0.47,1.7845
0.51,0.91,2.8117
0.78,0.92,2.4679
0.92,0.54,1.73295
0.75,0.83,2.4027
0.72,0.5,1.74345
0.53,0.74,2.71035
0.82,0.88,2.392
0.63,0.35,1.9968
0.8,0.56,1.84815
0.99,0.8,2.1487
0.69,0.67,2.2516
0.44,0.43,2.0402
0.71,0.62,2.06895
0.63,0.08,2.76255
0.48,0.4,2.0587
0.93,0.51,1.7083
0.65,0.12,2.6453
0.78,0.34,1.9964
0.17,0.41,1.7242
0.59,0.93,2.7375
0.98,0.65,1.92925
0.89,0.49,1.6965
0.09,0.48,1.42075
0.98,0.94,2.2933
0.6,0.72,2.53045
0.74,0.48,1.7457
0.48,0.19,2.4316
0.15,0.11,2.6088
0.86,0.55,1.76975
0.97,0.56,1.75055
1.0,0.64,1.89545
0.43,0.66,2.61925
0.85,0.2,2.40645
0.02,0.64,1.0863
0.26,0.02,2.93665
0.12,0.68,1.471
0.66,0.15,2.55175
0.75,0.58,1.9413
0.04,0.92,1.1539
0.15,0.58,1.6072
0.4,0.84,2.54345
0.94,0.97,2.3541
0.64,0.08,2.76415
0.08,0.63,1.3143
0.81,0.9,2.40245
0.21,0.79,1.83965
0.21,0.13,2.5533
0.82,0.12,2.65025
0.77,0.84,2.41075
0.76,0.89,2.45705
0.06,0.34,1.6001
0.92,0.45,1.71645
0.41,0.87,2.62005
0.11,0.48,1.47095
0.67,0.53,1.84875
0.36,0.88,2.4082
0.47,0.6,2.6074
0.34,0.03,2.9114
0.79,0.95,2.47845
0.24,0.56,1.92785
0.17,0.32,1.9229
0.59,0.26,2.22165
0.59,0.68,2.4932
1.0,0.57,1.76475
0.63,0.84,2.6116
0.72,0.58,1.95755
0.84,0.68,2.07975
0.07,0.87,1.27875
0.71,0.48,1.74625
0.27,0.76,2.05145
0.2,0.43,1.74355
0.25,0.83,2.01125
0.74,0.97,2.544
0.56,0.06,2.82605
0.77,0.18,2.4671
0.61,0.23,2.32395
0.73,0.56,1.9053
0.4,0.67,2.54195
0.93,0.15,2.5507
0.37,0.3,2.1761
0.89,0.6,1.86525
0.32,0.92,2.2358
0.97,0.95,2.3126
0.96,0.12,2.64795
0.74,0.25,2.2591
0.47,0.92,2.78215
0.13,0.43,1.58475
0.8,0.68,2.13865
0.01,0.53,1.0789
0.69,0.03,2.9111
0.73,0.82,2.4425
0.97,0.94,2.30505
0.9,1.0,2.4042
0.08,0.23,2.1438
0.82,0.79,2.28195
0.42,0.46,2.1991
0.62,0.93,2.70095
0.71,0.43,1.7833
0.77,0.04,2.8845
0.97,0.53,1.7059
0.73,0.22,2.3481
0.59,0.14,2.58385
0.5,0.81,2.7788
0.4,1.0,2.5377
0.89,0.12,2.6344
0.05,0.83,1.2027
0.19,0.67,1.7619
