x,y,score
0.46,0.76,2.84
0.54,0.86,2.74
0.16,0.19,2.535
0.61,0.18,2.49
0.82,0.41,1.8
0.72,0.66,2.22
0.63,0.37,1.99
0.41,0.28,2.575
0.16,0.44,1.615
0.8,0.33,2.035
0.84,0.23,2.215
0.25,0.48,1.855
0.62,0.7,2.245
0.78,0.28,1.98
0.03,0.68,1.185
0.57,0.0,3.0
0.69,0.37,1.9
0.46,0.05,2.79
0.65,0.03,2.895
0.56,0.8,2.67
0.28,0.44,1.665
0.65,0.0,3.0
0.57,0.1,2.775
0.44,0.29,2.26
0.63,0.49,1.985
0.26,0.03,2.925
0.92,0.27,2.235
0.69,0.35,1.96
0.79,0.78,2.275
0.3,0.26,2.085
0.98,0.54,1.59
0.25,0.62,2.055
0.55,0.43,2.24
0.19,0.06,2.805
0.14,0.65,1.44
0.09,0.65,1.395
0.92,1.0,2.4
0.51,0.43,1.86
0.36,0.66,2.515
0.33,0.92,2.39
0.01,0.93,1.035
0.25,0.81,2.155
0.9,0.46,1.675
0.3,0.12,2.7
0.87,0.59,1.855
0.8,0.75,2.38
0.93,0.2,2.49
0.34,0.41,1.77
0.05,0.48,1.32
0.9,0.12,2.595
0.59,0.65,2.63
0.72,0.62,2.15
0.29,0.87,2.32
0.02,0.72,1.115
0.8,0.35,1.95
0.09,0.22,2.295
0.05,0.61,1.26
0.49,0.38,1.905
0.62,0.21,2.295
0.79,0.55,1.915
0.64,0.52,1.785
0.17,0.15,2.595
0.45,0.81,2.71
0.48,0.8,2.705
0.51,0.39,1.98
0.62,0.39,1.94
0.58,0.64,2.835
0.8,0.62,2.145
0.6,0.07,2.7
0.35,0.87,2.38
0.85,0.83,2.315
0.96,0.89,2.285
0.68,0.4,1.985
0.13,0.15,2.565
0.14,0.31,2.16
0.15,0.88,1.535
0.72,0.97,2.6
0.56,0.33,1.935
0.52,0.26,2.07
0.99,0.97,2.325
0.9,0.63,1.905
0.31,0.47,1.72
0.98,0.8,2.11
0.31,0.34,1.95
0.22,0.4,1.65
0.87,0.37,2.05
0.76,0.43,1.83
0.79,0.76,2.3
0.83,0.38,1.91
0.74,0.12,2.745
0.68,0.51,1.73
0.56,0.43,1.825
0.63,0.01,2.97
0.45,0.24,2.325
0.52,0.13,2.56
0.64,0.47,1.74
0.51,0.91,2.85
0.78,0.92,2.615
0.92,0.54,1.695
0.75,0.83,2.445
0.72,0.5,1.88
0.53,0.74,2.87
0.82,0.88,2.435
0.63,0.35,2.03
0.8,0.56,1.83
0.99,0.8,2.25
0.69,0.67,2.26
0.44,0.43,1.86
0.71,0.62,2.055
0.63,0.08,2.79
0.48,0.4,1.83
0.93,0.51,1.5
0.65,0.12,2.745
0.78,0.34,2.025
0.17,0.41,1.655
0.59,0.93,2.915
0.98,0.65,1.875
0.89,0.49,1.605
0.09,0.48,1.28
0.98,0.94,2.295
0.6,0.72,2.705
0.74,0.48,1.915
0.48,0.19,2.49
0.15,0.11,2.7
0.86,0.55,1.65
0.97,0.56,1.725
1.0,0.64,1.735
0.43,0.66,2.635
0.85,0.2,2.61
0.02,0.64,1.115
0.26,0.02,2.88
0.12,0.68,1.465
0.66,0.15,2.565
0.75,0.58,1.85
0.04,0.92,1.075
0.15,0.58,1.58
0.4,0.84,2.455
0.94,0.97,2.38
0.64,0.08,2.67
0.08,0.63,1.195
0.81,0.9,2.375
0.21,0.79,1.68
0.21,0.13,2.715
0.82,0.12,2.65
0.77,0.84,2.475
0.76,0.89,2.495
0.06,0.34,2.01
0.92,0.45,1.785
0.41,0.87,2.555
0.11,0.48,1.47
0.67,0.53,1.88
0.36,0.88,2.335
0.47,0.6,2.615
0.34,0.03,2.82
0.79,0.95,2.495
0.24,0.56,1.715
0.17,0.32,2.1
0.59,0.26,2.335
0.59,0.68,2.495
1.0,0.57,1.84
0.63,0.84,2.495
0.72,0.58,1.86
0.84,0.68,2.035
0.07,0.87,1.395
0.71,0.48,1.56
0.27,0.76,2.075
0.2,0.43,1.81
0.25,0.83,2.075
0.74,0.97,2.54
0.56,0.06,2.775
0.77,0.18,2.55
0.61,0.23,2.435
0.73,0.56,1.715
0.4,0.67,2.4
0.93,0.15,2.385
0.37,0.3,2.04
0.89,0.6,1.85
0.32,0.92,2.11
0.97,0.95,2.3
0.96,0.12,2.715
0.74,0.25,2.305
0.47,0.92,2.745
0.13,0.43,1.55
0.8,0.68,2.085
0.01,0.53,1.44
0.69,0.03,2.88
0.73,0.82,2.285
0.97,0.94,2.305
0.9,1.0,2.435
0.08,0.23,2.325
0.82,0.79,2.235
0.42,0.46,2.11
0.62,0.93,2.78
0.71,0.43,1.86
0.77,0.04,2.85
0.97,0.53,1.71
0.73,0.22,2.325
0.59,0.14,2.625
0.5,0.81,2.82
0.4,1.0,2.64
0.89,0.12,2.67
0.05,0.83,1.195
0.19,0.67,1.9
0.97,0.93,2.305
0.69,0.2,2.31
0.72,0.64,2.01
0.94,0.47,1.755
0.81,0.73,2.16
0.5,0.86,2.82
0.15,0.5,1.515
0.45,0.28,2.205
0.48,0.93,2.695
0.15,0.25,2.145
0.32,0.14,2.355
0.62,0.38,2.055
0.48,0.51,2.89
0.61,0.92,2.7
0.34,0.82,2.37
0.39,0.43,1.715
0.89,0.11,2.685
0.67,0.3,2.16
0.15,0.26,2.215
0.72,0.21,2.37
0.57,0.41,2.15
0.01,0.09,2.64
0.55,0.84,2.815
0.85,0.24,2.365
0.53,0.07,2.715
0.81,0.85,2.38
0.65,0.79,2.44
0.08,0.01,2.97
0.62,0.24,2.13
0.28,0.85,2.25
0.12,0.31,1.965
0.04,0.88,1.215
0.25,0.42,2.12
0.29,0.34,2.215
0.12,0.75,1.465
0.16,0.7,1.72
0.9,0.47,1.745
0.65,0.01,3.0
0.44,0.94,2.935
0.38,0.39,1.895
0.95,0.84,2.2
0.31,0.48,2.145
0.45,0.92,2.645
0.08,0.35,2.04
0.68,0.89,2.62
0.99,1.0,2.34
0.61,0.37,1.765
0.02,0.96,1.155
0.94,0.0,3.0
0.71,0.78,2.35
0.09,0.02,2.91
0.46,0.16,2.46
0.3,0.07,2.865
0.94,0.83,2.22
0.25,0.01,2.985
0.78,0.53,2.07
0.24,0.45,1.96
0.1,0.82,1.33
0.27,0.33,1.86
0.89,0.17,2.46
0.5,0.19,2.475
0.12,0.89,1.535
0.57,0.07,2.775
0.85,0.58,1.96
0.03,0.67,1.19
0.79,0.05,2.835
0.18,0.3,1.5
0.66,0.43,1.705
0.41,0.6,2.805
0.52,0.47,1.805
0.53,0.05,2.805
0.51,0.93,2.735
0.8,0.32,2.16
0.91,0.77,2.16
0.57,0.84,2.845
0.65,0.7,2.225
0.6,0.23,2.415
0.11,0.82,1.375
0.46,1.0,2.745
0.71,0.57,1.985
0.28,0.08,2.85
0.2,0.19,1.81
0.82,0.03,2.925
0.9,0.83,2.265
0.68,0.02,2.94
0.1,0.34,1.49
0.97,0.02,2.91
0.27,0.01,2.97
0.84,0.82,2.35
0.99,0.61,1.915
0.18,0.48,1.535
0.18,0.73,1.57
0.79,0.15,2.64
0.77,0.93,2.48
0.58,0.8,2.675
0.18,0.95,1.955
0.21,0.71,1.76
0.98,0.62,1.735
0.23,0.97,1.735
0.06,0.16,2.515
0.53,0.36,1.83
0.97,0.86,2.265
0.26,0.42,1.885
0.81,0.43,1.825
0.2,0.12,2.625
0.1,0.57,1.55
0.15,0.35,1.615
0.89,0.02,2.985
0.51,0.7,2.635
0.57,0.27,2.105
0.11,0.19,2.325
0.69,0.41,2.115
0.68,0.83,2.445
0.97,0.34,1.925
0.36,0.11,2.745
0.53,0.1,2.655
0.19,0.47,1.715
0.81,0.31,2.03
0.66,0.86,2.395
0.93,0.77,2.225
0.82,0.05,2.88
0.88,0.94,2.415
0.33,0.39,1.835
0.1,0.68,1.485
0.84,0.95,2.415
0.29,0.54,2.395
0.96,0.41,1.705
0.89,0.67,2.015
0.91,0.12,2.67
0.31,0.86,2.235
0.11,0.2,2.505
0.06,0.77,1.29
0.89,0.59,1.86
0.01,0.38,1.05
0.18,0.09,2.745
0.2,0.72,1.81
0.56,0.89,2.795
0.19,0.48,1.72
0.33,0.63,2.335
0.86,0.41,1.81
0.51,0.19,2.455
0.35,0.08,2.805
0.51,0.69,2.865
0.68,0.91,2.545
0.78,0.73,2.195
0.65,0.68,2.48
0.4,0.44,2.42
0.02,0.27,1.225
0.3,0.89,2.16
0.87,0.99,2.45
0.95,0.8,2.145
0.58,0.76,2.82
0.71,0.86,2.535
0.44,0.13,2.565
0.48,0.0,3.0
0.57,0.63,2.675
0.59,0.25,2.16
0.95,0.45,1.62
0.12,0.04,2.91
0.21,0.3,2.055
0.57,0.31,2.335
0.26,0.94,1.815
0.55,0.82,2.625
0.73,0.83,2.51
0.94,0.28,2.025
0.74,0.14,2.655
0.03,0.55,1.175
0.28,0.81,1.895
0.22,0.76,1.755
0.26,0.45,1.9
0.15,0.41,1.825
0.85,0.02,2.94
0.18,0.19,2.505
0.11,0.09,2.82
0.34,0.74,2.28
0.99,0.67,1.88
0.74,0.85,2.515
0.91,0.29,2.13
0.12,0.41,1.43
0.17,0.03,2.88
0.06,0.47,1.24
0.88,0.68,2.13
0.68,0.19,2.31
0.44,0.59,1.91
0.64,0.56,1.87
0.17,0.24,2.22
0.56,0.65,2.565
0.63,0.48,1.77
0.08,0.2,1.27
0.24,0.82,1.995
0.99,0.37,1.815
0.89,0.42,1.755
0.38,0.47,2.475
0.68,0.22,2.43
0.2,0.25,2.295
0.27,0.27,1.955
0.1,0.01,2.97
0.41,0.8,2.715
0.38,0.04,2.925
0.69,0.98,2.555
0.59,0.96,2.8
0.18,0.21,2.37
0.11,0.97,1.575
0.03,0.82,1.23
0.52,0.89,2.83
0.75,0.97,2.535
0.17,0.87,1.655
0.87,0.48,1.64
0.03,0.44,1.83
0.33,0.44,1.59
0.76,0.32,2.16
0.73,0.5,1.75
0.26,0.28,1.905
0.36,0.29,2.17
0.28,0.11,2.715
0.0,0.23,2.355
0.87,0.0,3.0
0.26,0.61,1.95
1.0,0.5,1.75
0.35,0.61,2.275
0.02,0.33,2.13
0.52,0.76,2.64
0.06,0.97,1.235
0.98,0.06,2.835
0.13,0.17,2.34
0.24,0.64,2.01
0.35,0.14,2.56
0.11,0.94,1.395
0.76,0.77,2.35
0.67,0.45,1.65
0.09,0.51,1.42
0.99,0.31,2.145
0.07,0.89,1.315
0.65,0.43,1.875
0.85,0.19,2.55
0.91,0.58,1.85
0.48,0.56,2.01
0.66,0.06,2.805
0.18,0.38,1.585
0.56,0.64,2.665
0.72,0.43,1.83
0.64,0.11,2.67
0.38,0.45,1.685
0.42,0.25,2.265
1.0,0.63,1.92
0.35,0.26,1.965
0.03,0.18,1.225
0.27,0.91,2.055
0.8,0.26,2.1
0.15,0.31,1.965
0.89,0.44,1.635
0.61,0.87,2.705
0.31,0.61,2.375
0.72,0.45,1.785
0.0,0.6,1.01
0.98,0.82,2.075
0.25,0.27,1.995
0.4,0.57,2.195
0.15,0.38,1.95
0.6,0.2,2.295
0.77,0.12,2.685
0.52,0.15,2.645
0.65,0.41,1.89
0.35,0.6,2.215
0.93,0.29,2.02
0.61,0.43,2.695
0.45,0.63,2.83
0.08,0.68,1.295
0.89,0.37,1.995
0.59,0.08,2.73
0.1,0.38,1.42
0.83,0.8,2.27
0.02,0.69,1.115
0.68,0.41,1.72
0.22,0.48,1.915
0.92,0.65,2.045
0.77,1.0,2.52
0.68,0.81,2.62
0.11,0.26,1.4
0.21,0.21,2.445
0.84,0.37,1.875
0.37,0.63,2.33
0.61,0.85,2.485
0.23,0.77,1.995
0.65,0.66,2.31
0.71,0.07,2.775
0.33,0.68,2.37
0.74,0.0,3.0
0.01,0.48,1.035
0.71,0.35,2.055
0.96,0.32,2.005
0.51,0.1,2.7
0.75,0.73,2.18
0.48,0.85,2.925
0.98,0.42,1.725
0.19,0.88,1.575
0.11,0.77,1.535
0.9,0.32,1.945
0.87,1.0,2.415
0.56,0.7,2.535
0.11,0.27,2.05
0.02,0.88,1.095
0.77,0.66,2.205
0.8,0.8,2.295
0.98,0.11,2.595
0.75,0.33,2.01
0.71,0.74,2.27
0.3,0.3,1.995
0.74,0.01,2.97
0.38,0.86,2.455
0.18,0.75,1.535
0.91,0.55,1.955
0.33,0.87,2.295
0.18,0.61,1.775
0.34,0.01,2.985
0.09,0.94,1.27
0.63,0.97,2.68
0.04,0.07,2.775
0.86,0.22,2.44
0.0,0.89,0.995
0.72,0.11,2.655
0.82,0.64,1.96
0.9,0.41,1.84
0.42,0.72,2.445
0.63,0.7,2.44
1.0,0.58,1.845
0.77,0.56,2.155
0.15,0.79,1.535
0.69,0.57,2.0
0.65,0.67,2.295
0.62,0.73,2.265
0.53,0.63,2.315
0.1,0.96,1.375
0.52,0.86,2.83
0.29,0.51,1.98
0.73,0.85,2.485
0.84,0.28,2.31
0.21,0.76,1.93
0.33,0.61,2.21
0.62,0.04,2.88
0.98,0.59,1.88
0.23,0.23,2.35
0.14,0.78,1.56
0.88,0.61,1.93
0.23,0.41,1.9
0.78,0.15,2.37
0.55,0.33,1.995
0.79,0.01,2.985
0.89,0.3,2.25
0.69,0.16,2.37
0.87,0.17,2.635
0.66,0.16,2.55
0.98,0.18,2.46
0.54,0.36,1.755
0.54,0.37,1.825
0.83,0.07,2.73
0.07,0.62,1.335
0.01,0.77,1.055
0.48,0.12,2.67
0.52,0.35,1.98
0.36,0.13,2.7
0.23,0.73,1.81
0.32,0.02,2.925
0.94,0.4,1.73
0.13,0.19,2.46
0.05,0.14,2.625
0.67,0.87,2.61
0.79,0.74,2.28
0.12,0.23,1.565
0.22,0.8,1.76
0.36,0.96,2.43
0.38,0.91,2.535
0.19,0.03,2.88
0.12,0.91,1.49
0.85,0.78,2.33
0.29,0.57,1.915
0.12,0.84,1.355
0.75,0.08,2.67
0.77,0.9,2.49
0.25,0.39,1.98
0.58,0.19,2.445
0.53,0.54,2.065
0.4,0.98,2.695
0.12,0.74,1.415
0.33,0.7,2.355
0.4,0.45,1.605
0.76,0.2,2.49
0.34,0.47,1.49
0.2,0.29,2.145
