x,y,score
0.46,0.76,1.44905
0.54,0.86,1.2959
0.16,0.19,2.3194
0.61,0.18,2.7242
0.82,0.41,2.59745
0.72,0.66,1.9758
0.63,0.37,2.42885
0.41,0.28,2.36365
0.16,0.44,1.77635
0.8,0.33,2.6727
0.84,0.23,2.8471
0.25,0.48,1.7986
0.62,0.7,1.7384
0.78,0.28,2.72915
0.03,0.68,1.1229
0.57,0.0,3.0
0.69,0.37,2.48015
0.46,0.05,2.8586
0.65,0.03,2.9599
0.56,0.8,1.43765
0.28,0.44,1.92345
0.65,0.0,3.0
0.57,0.1,2.8202
0.44,0.29,2.36995
0.63,0.49,2.2077
0.26,0.03,2.874
0.92,0.27,2.8995
0.69,0.35,2.513
0.79,0.78,1.71955
0.3,0.26,2.3051
0.98,0.54,2.6277
0.25,0.62,1.5309
0.55,0.43,2.20675
0.19,0.06,2.7298
0.14,0.65,1.32185
0.09,0.65,1.28085
0.92,1.0,1.15025
0.51,0.43,2.2049
0.36,0.66,1.5583
0.33,0.92,0.9526
0.01,0.93,0.58785
0.25,0.81,1.10065
0.9,0.46,2.60695
0.3,0.12,2.62395
0.87,0.59,2.3096
0.8,0.75,1.84015
0.93,0.2,2.9796
0.34,0.41,2.04465
0.05,0.48,1.55435
0.9,0.12,3.0279
0.59,0.65,1.84085
0.72,0.62,2.04165
0.29,0.87,1.02175
0.02,0.72,1.0407
0.8,0.35,2.61055
0.09,0.22,2.15155
0.05,0.61,1.2964
0.49,0.38,2.249
0.62,0.21,2.68135
0.79,0.55,2.2582
0.64,0.52,2.1353
0.17,0.15,2.44385
0.45,0.81,1.32245
0.48,0.8,1.36735
0.51,0.39,2.27175
0.62,0.39,2.3795
0.58,0.64,1.84865
0.8,0.62,2.1362
0.6,0.07,2.8893
0.35,0.87,1.08065
0.85,0.83,1.6798
0.96,0.89,1.59425
0.68,0.4,2.42845
0.13,0.15,2.4034
0.14,0.31,2.0211
0.15,0.88,0.85645
0.72,0.97,1.14775
0.56,0.33,2.39975
0.52,0.26,2.49715
0.99,0.97,1.32945
0.9,0.63,2.2142
0.31,0.47,1.8926
0.98,0.8,1.92745
0.31,0.34,2.15495
0.22,0.4,1.9227
0.87,0.37,2.65875
0.76,0.43,2.46525
0.79,0.76,1.7747
0.83,0.38,2.6032
0.74,0.12,2.8894
0.68,0.51,2.1951
0.56,0.43,2.22015
0.63,0.01,2.9875
0.45,0.24,2.4727
0.52,0.13,2.7505
0.64,0.47,2.23425
0.51,0.91,1.1329
0.78,0.92,1.32855
0.92,0.54,2.4126
0.75,0.83,1.56305
0.72,0.5,2.26265
0.53,0.74,1.54125
0.82,0.88,1.5037
0.63,0.35,2.4708
0.8,0.56,2.27315
0.99,0.8,1.93955
0.69,0.67,1.8946
0.44,0.43,2.12465
0.71,0.62,2.0155
0.63,0.08,2.87945
0.48,0.4,2.19705
0.93,0.51,2.54715
0.65,0.12,2.82735
0.78,0.34,2.62905
0.17,0.41,1.86145
0.59,0.93,1.1464
0.98,0.65,2.3584
0.89,0.49,2.49345
0.09,0.48,1.6249
0.98,0.94,1.4323
0.6,0.72,1.6732
0.74,0.48,2.3438
0.48,0.19,2.61605
0.15,0.11,2.5155
0.86,0.55,2.3844
0.97,0.56,2.5245
1.0,0.64,2.39995
0.43,0.66,1.64715
0.85,0.2,2.8802
0.02,0.64,1.1984
0.26,0.02,2.92015
0.12,0.68,1.2385
0.66,0.15,2.78125
0.75,0.58,2.1651
0.04,0.92,0.64995
0.15,0.58,1.5004
0.4,0.84,1.20835
0.94,0.97,1.29665
0.64,0.08,2.8904
0.08,0.63,1.29435
0.81,0.9,1.41445
0.21,0.79,1.1103
0.21,0.13,2.5238
0.82,0.12,2.94315
0.77,0.84,1.57185
0.76,0.89,1.4076
0.06,0.34,1.8512
0.92,0.45,2.60615
0.41,0.87,1.14645
0.11,0.48,1.625
0.67,0.53,2.16745
0.36,0.88,1.06525
0.47,0.6,1.79965
0.34,0.03,2.89435
0.79,0.95,1.2542
0.24,0.56,1.63475
0.17,0.32,2.0378
0.59,0.26,2.56615
0.59,0.68,1.7589
1.0,0.57,2.59945
0.63,0.84,1.4045
0.72,0.58,2.1101
0.84,0.68,2.0915
0.07,0.87,0.79465
0.71,0.48,2.29295
0.27,0.76,1.25495
0.2,0.43,1.8196
0.25,0.83,1.0541
0.74,0.97,1.14895
0.56,0.06,2.87875
0.77,0.18,2.85485
0.61,0.23,2.64675
0.73,0.56,2.19505
0.4,0.67,1.5715
0.93,0.15,3.0055
0.37,0.3,2.29625
0.89,0.6,2.3164
0.32,0.92,0.9275
0.97,0.95,1.39845
0.96,0.12,3.04535
0.74,0.25,2.72735
0.47,0.92,1.05345
0.13,0.43,1.7617
0.8,0.68,1.9649
0.01,0.53,1.3985
0.69,0.03,2.97205
0.73,0.82,1.5711
0.97,0.94,1.45255
0.9,1.0,1.14
0.08,0.23,2.13285
0.82,0.79,1.7364
0.42,0.46,2.01895
0.62,0.93,1.1624
0.71,0.43,2.419
0.77,0.04,2.98425
0.97,0.53,2.54545
0.73,0.22,2.7478
0.59,0.14,2.76375
0.5,0.81,1.38275
0.4,1.0,0.8016
0.89,0.12,3.0013
0.05,0.83,0.8433
0.19,0.67,1.359
0.97,0.93,1.4573
0.69,0.2,2.7477
0.72,0.64,2.01385
0.94,0.47,2.62935
0.81,0.73,1.8836
0.5,0.86,1.267
0.15,0.5,1.64905
0.45,0.28,2.3832
0.48,0.93,1.0521
0.15,0.25,2.15665
0.32,0.14,2.57965
0.62,0.38,2.4077
0.48,0.51,1.99115
0.61,0.92,1.17005
0.34,0.82,1.185
0.39,0.43,2.0465
0.89,0.11,2.98945
0.67,0.3,2.56965
0.15,0.26,2.14465
0.72,0.21,2.7581
0.57,0.41,2.28455
0.01,0.09,2.4987
0.55,0.84,1.3427
0.85,0.24,2.8533
0.53,0.07,2.854
0.81,0.85,1.53965
0.65,0.79,1.5595
0.08,0.01,2.9333
0.62,0.24,2.633
0.28,0.85,1.0753
0.12,0.31,1.9904
0.04,0.88,0.7332
0.25,0.42,1.92465
0.29,0.34,2.11125
0.12,0.75,1.09465
0.16,0.7,1.23735
0.9,0.47,2.60735
0.65,0.01,2.98645
0.44,0.94,0.99625
0.38,0.39,2.12675
0.95,0.84,1.76655
0.31,0.48,1.8633
0.45,0.92,1.066
0.08,0.35,1.8566
0.68,0.89,1.3245
0.99,1.0,1.1892
0.61,0.37,2.39235
0.02,0.96,0.54865
0.94,0.0,3.0
0.71,0.78,1.62495
0.09,0.02,2.8695
0.46,0.16,2.64195
0.3,0.07,2.7507
0.94,0.83,1.7758
0.25,0.01,2.9565
0.78,0.53,2.3163
0.24,0.45,1.8543
0.1,0.82,0.93305
0.27,0.33,2.1079
0.89,0.17,2.9443
0.5,0.19,2.6249
0.12,0.89,0.79675
0.57,0.07,2.8748
0.85,0.58,2.30135
0.03,0.67,1.1451
0.79,0.05,2.9814
0.18,0.3,2.0847
0.66,0.43,2.3373
0.41,0.6,1.74915
0.52,0.47,2.1321
0.53,0.05,2.89075
0.51,0.93,1.0821
0.8,0.32,2.68215
0.91,0.77,1.9266
0.57,0.84,1.38445
0.65,0.7,1.7762
0.6,0.23,2.6156
0.11,0.82,0.94825
0.46,1.0,0.85455
0.71,0.57,2.1289
0.28,0.08,2.7066
0.2,0.19,2.36105
0.82,0.03,2.9929
0.9,0.83,1.69345
0.68,0.02,2.9777
0.1,0.34,1.9024
0.97,0.02,3.0151
0.27,0.01,2.95385
0.84,0.82,1.7039
0.99,0.61,2.4509
0.18,0.48,1.7233
0.18,0.73,1.1962
0.79,0.15,2.86995
0.77,0.93,1.2887
0.58,0.8,1.49945
0.18,0.95,0.73935
0.21,0.71,1.2936
0.98,0.62,2.4256
0.23,0.97,0.737
0.06,0.16,2.31225
0.53,0.36,2.33945
0.97,0.86,1.7164
0.26,0.42,1.93785
0.81,0.43,2.5018
0.2,0.12,2.5584
0.1,0.57,1.43265
0.15,0.35,1.9438
0.89,0.02,3.01465
0.51,0.7,1.6261
0.57,0.27,2.5508
0.11,0.19,2.2654
0.69,0.41,2.4204
0.68,0.83,1.49065
0.97,0.34,2.8932
0.36,0.11,2.6772
0.53,0.1,2.7948
0.19,0.47,1.75745
