x,y,score
0.0,0.0,3.0
0.0,0.01,1.7349999999999999
0.0,0.02,1.4060000000000001
0.0,0.03,1.3475
0.0,0.04,1.2674999999999998
0.0,0.05,1.186
0.0,0.06,1.1695
0.0,0.07,1.1544999999999999
0.0,0.08,1.193
0.0,0.09,1.0950000000000002
0.0,0.1,1.0950000000000002
0.0,0.11,1.0705000000000002
0.0,0.12,1.1299999999999997
0.0,0.13,1.0749999999999997
0.0,0.14,1.0805
0.0,0.15,1.0695000000000001
0.0,0.16,1.0625000000000002
0.0,0.17,1.0829999999999997
0.0,0.18,1.0655
0.0,0.19,1.057
0.0,0.2,1.0479999999999998
0.0,0.21,1.035
0.0,0.22,1.054
0.0,0.23,1.0379999999999998
0.0,0.24,1.0385
0.0,0.25,1.0324999999999998
0.0,0.26,1.0334999999999999
0.0,0.27,1.0459999999999998
0.0,0.28,1.039
0.0,0.29,1.0465
0.0,0.3,1.0385
0.0,0.31,1.036
0.0,0.32,1.0269999999999997
0.0,0.33,1.0345
0.0,0.34,1.0314999999999999
0.0,0.35000000000000003,1.026
0.0,0.36,1.0289999999999997
0.0,0.37,1.02
0.0,0.38,1.0155
0.0,0.39,1.0230000000000001
0.0,0.4,1.0114999999999998
0.0,0.41000000000000003,1.0154999999999998
0.0,0.42,1.02
0.0,0.43,1.0199999999999998
0.0,0.44,1.02
0.0,0.45,1.0135
0.0,0.46,1.0174999999999998
0.0,0.47000000000000003,1.0125
0.0,0.48,1.0209999999999997
0.0,0.49,1.0165000000000002
0.0,0.5,1.0114999999999998
0.0,0.51,1.0105
0.0,0.52,1.0154999999999998
0.0,0.53,1.0165
0.0,0.54,1.0174999999999998
0.0,0.55,1.0165
0.0,0.56,1.0070000000000001
0.0,0.5700000000000001,1.0095
0.0,0.58,1.0139999999999998
0.0,0.59,1.0085000000000002
0.0,0.6,1.0105
0.0,0.61,1.0065
0.0,0.62,1.0065
0.0,0.63,1.0055
0.0,0.64,1.004
0.0,0.65,1.0045
0.0,0.66,1.0055
0.0,0.67,1.0085000000000002
0.0,0.68,1.0025
0.0,0.6900000000000001,1.0045
0.0,0.7000000000000001,1.0035000000000003
0.0,0.71,1.0079999999999998
0.0,0.72,1.0005000000000002
0.0,0.73,1.0050000000000001
0.0,0.74,1.0085000000000002
0.0,0.75,1.004
0.0,0.76,1.0005
0.0,0.77,0.9995
0.0,0.78,1.0005000000000002
0.0,0.79,1.004
0.0,0.8,0.9995
0.0,0.81,1.0005000000000002
0.0,0.8200000000000001,0.9980000000000002
0.0,0.8300000000000001,1.0015
0.0,0.84,1.0030000000000001
0.0,0.85,0.9970000000000002
0.0,0.86,1.0005000000000002
0.0,0.87,0.9990000000000002
0.0,0.88,1.0005000000000002
0.0,0.89,0.9965000000000002
0.0,0.9,0.9970000000000002
0.0,0.91,0.9985000000000002
0.0,0.92,0.9975000000000002
0.0,0.93,0.9975000000000002
0.0,0.9400000000000001,0.9970000000000002
0.0,0.9500000000000001,0.9950000000000001
0.0,0.96,0.9950000000000001
0.0,0.97,0.9950000000000001
0.0,0.98,0.9950000000000001
0.0,0.99,0.9950000000000001
0.0,1.0,0.9950000000000001
0.01,0.0,3.0
0.01,0.01,1.7672500000000002
0.01,0.02,1.6957500000000003
0.01,0.03,1.3495
0.01,0.04,1.3055
0.01,0.05,1.2265000000000001
0.01,0.06,1.2385
0.01,0.07,1.196
0.01,0.08,1.1889999999999998
0.01,0.09,1.157
0.01,0.1,1.1215
0.01,0.11,1.1305
0.01,0.12,1.1055000000000001
0.01,0.13,1.104
0.01,0.14,1.1125
0.01,0.15,1.1035
0.01,0.16,1.1039999999999999
0.01,0.17,1.092
0.01,0.18,1.0804999999999996
0.01,0.19,1.0999999999999999
0.01,0.2,1.0865000000000002
0.01,0.21,1.0975000000000001
0.01,0.22,1.079
0.01,0.23,1.084
0.01,0.24,1.0805
0.01,0.25,1.0755000000000003
0.01,0.26,1.0859999999999999
0.01,0.27,1.073
0.01,0.28,1.0795
0.01,0.29,1.0719999999999998
0.01,0.3,1.0705
0.01,0.31,1.0734999999999997
0.01,0.32,1.066
0.01,0.33,1.0509999999999997
0.01,0.34,1.063
0.01,0.35000000000000003,1.0659999999999998
0.01,0.36,1.071
0.01,0.37,1.0655
0.01,0.38,1.0735
0.01,0.39,1.069
0.01,0.4,1.0554999999999999
0.01,0.41000000000000003,1.053
0.01,0.42,1.0509999999999997
0.01,0.43,1.0695
0.01,0.44,1.063
0.01,0.45,1.0550000000000002
0.01,0.46,1.0500000000000003
0.01,0.47000000000000003,1.0539999999999998
0.01,0.48,1.0514999999999999
0.01,0.49,1.0515000000000003
0.01,0.5,1.068
0.01,0.51,1.0655
0.01,0.52,1.0390000000000001
0.01,0.53,1.0524999999999998
