x,y,score
0.46,0.76,1.6694
0.54,0.86,1.58515
0.16,0.19,2.36975
0.61,0.18,3.05015
0.82,0.41,2.87855
0.72,0.66,2.25165
0.63,0.37,2.69795
0.41,0.28,2.5577
0.16,0.44,1.8794
0.8,0.33,3.03135
0.84,0.23,3.288
0.25,0.48,1.92585
0.62,0.7,2.04095
0.78,0.28,3.0978
0.03,0.68,1.1975
0.57,0.0,3.0
0.69,0.37,2.7867
0.46,0.05,3.07235
0.65,0.03,3.3608
0.56,0.8,1.7385
0.28,0.44,2.0549
0.65,0.0,3.0
0.57,0.1,3.1204
0.44,0.29,2.5912
0.63,0.49,2.45105
0.26,0.03,2.85345
0.92,0.27,3.3078
0.69,0.35,2.8283
0.79,0.78,2.1089
0.3,0.26,2.4371
0.98,0.54,2.87575
0.25,0.62,1.6365
0.55,0.43,2.44595
0.19,0.06,2.68775
0.14,0.65,1.41455
0.09,0.65,1.3455
0.92,1.0,1.86845
0.51,0.43,2.42615
0.36,0.66,1.7276
0.33,0.92,1.14605
0.01,0.93,0.66085
0.25,0.81,1.25605
0.9,0.46,2.933
0.3,0.12,2.7073
0.87,0.59,2.60515
0.8,0.75,2.1804
0.93,0.2,3.479
0.34,0.41,2.18575
0.05,0.48,1.60535
0.9,0.12,3.57415
0.59,0.65,2.0644
0.72,0.62,2.35405
0.29,0.87,1.18715
0.02,0.72,1.0933
0.8,0.35,2.99555
0.09,0.22,2.20275
0.05,0.61,1.34505
0.49,0.38,2.48635
0.62,0.21,3.0004
0.79,0.55,2.5674
0.64,0.52,2.4183
0.17,0.15,2.43945
0.45,0.81,1.556
0.48,0.8,1.63545
0.51,0.39,2.47305
0.62,0.39,2.64
0.58,0.64,2.0892
0.8,0.62,2.4558
0.6,0.07,3.2322
0.35,0.87,1.26975
0.85,0.83,2.1011
0.96,0.89,2.1513
0.68,0.4,2.69735
0.13,0.15,2.38715
0.14,0.31,2.0934
0.15,0.88,0.966
0.72,0.97,1.61845
0.56,0.33,2.6649
0.52,0.26,2.7649
0.99,0.97,2.0285
0.9,0.63,2.5709
0.31,0.47,2.02665
0.98,0.8,2.3491
0.31,0.34,2.27545
0.22,0.4,2.00645
0.87,0.37,3.0418
0.76,0.43,2.76425
0.79,0.76,2.1536
0.83,0.38,2.9704
0.74,0.12,3.3382
0.68,0.51,2.4842
0.56,0.43,2.4834
0.63,0.01,3.2322
0.45,0.24,2.6955
0.52,0.13,3.0123
0.64,0.47,2.51855
0.51,0.91,1.442
0.78,0.92,1.8151
0.92,0.54,2.7904
0.75,0.83,1.9508
0.72,0.5,2.5891
0.53,0.74,1.81945
0.82,0.88,1.9571
0.63,0.35,2.72455
0.8,0.56,2.5727
0.99,0.8,2.36845
0.69,0.67,2.2047
0.44,0.43,2.3047
0.71,0.62,2.3216
0.63,0.08,3.2712
0.48,0.4,2.4113
0.93,0.51,2.85965
0.65,0.12,3.2205
0.78,0.34,2.9685
0.17,0.41,1.89985
0.59,0.93,1.51455
0.98,0.65,2.666
0.89,0.49,2.8704
0.09,0.48,1.67735
0.98,0.94,2.06355
0.6,0.72,1.9415
0.74,0.48,2.6381
0.48,0.19,2.84755
0.15,0.11,2.52645
0.86,0.55,2.69355
0.97,0.56,2.81315
1.0,0.64,2.7115
0.43,0.66,1.8231
0.85,0.2,3.3568
0.02,0.64,1.26265
0.26,0.02,2.86755
0.12,0.68,1.31875
0.66,0.15,3.1635
0.75,0.58,2.4583
0.04,0.92,0.71595
0.15,0.58,1.5935
0.4,0.84,1.4082
0.94,0.97,1.95755
0.64,0.08,3.277
0.08,0.63,1.3325
0.81,0.9,1.8928
0.21,0.79,1.2463
0.21,0.13,2.55465
0.82,0.12,3.45225
0.77,0.84,1.97995
0.76,0.89,1.84495
0.06,0.34,1.9066
0.92,0.45,2.95715
0.41,0.87,1.38
0.11,0.48,1.71135
0.67,0.53,2.42495
0.36,0.88,1.27725
0.47,0.6,1.9981
0.34,0.03,2.9552
0.79,0.95,1.77075
0.24,0.56,1.73445
0.17,0.32,2.12775
0.59,0.26,2.86845
0.59,0.68,2.0045
1.0,0.57,2.8465
0.63,0.84,1.74485
0.72,0.58,2.44425
0.84,0.68,2.39065
0.07,0.87,0.86565
0.71,0.48,2.61075
0.27,0.76,1.4031
0.2,0.43,1.92445
0.25,0.83,1.2182
0.74,0.97,1.66725
0.56,0.06,3.192
0.77,0.18,3.2721
0.61,0.23,2.94855
0.73,0.56,2.45285
0.4,0.67,1.763
0.93,0.15,3.5682
0.37,0.3,2.43825
0.89,0.6,2.62985
0.32,0.92,1.1427
0.97,0.95,2.0381
0.96,0.12,3.64805
0.74,0.25,3.0851
0.47,0.92,1.3568
0.13,0.43,1.84755
0.8,0.68,2.3331
0.01,0.53,1.4621
0.69,0.03,3.39255
0.73,0.82,1.94705
0.97,0.94,2.06415
0.9,1.0,1.83575
0.08,0.23,2.16765
0.82,0.79,2.15385
0.42,0.46,2.18055
0.62,0.93,1.5681
0.71,0.43,2.7043
0.77,0.04,3.5137
0.97,0.53,2.883
0.73,0.22,3.12255
0.59,0.14,3.09265
0.5,0.81,1.6483
0.4,1.0,1.1012
0.89,0.12,3.56385
0.05,0.83,0.912
0.19,0.67,1.4538
0.97,0.93,2.08345
0.69,0.2,3.12855
0.72,0.64,2.26415
0.94,0.47,2.957
0.81,0.73,2.2383
0.5,0.86,1.5354
0.15,0.5,1.7391
0.45,0.28,2.62955
0.48,0.93,1.35475
0.15,0.25,2.23265
0.32,0.14,2.7098
0.62,0.38,2.65275
0.48,0.51,2.1937
0.61,0.92,1.56555
0.34,0.82,1.36145
0.39,0.43,2.2275
0.89,0.11,3.58055
0.67,0.3,2.88365
0.15,0.26,2.2148
0.72,0.21,3.1244
0.57,0.41,2.52975
0.01,0.09,2.3669
0.55,0.84,1.6398
0.85,0.24,3.28425
0.53,0.07,3.1252
0.81,0.85,2.01565
0.65,0.79,1.87445
0.08,0.01,2.75165
0.62,0.24,2.9346
0.28,0.85,1.20885
0.12,0.31,2.0675
0.04,0.88,0.7942
0.25,0.42,2.04875
0.29,0.34,2.25135
0.12,0.75,1.1796
0.16,0.7,1.346
0.9,0.47,2.897
0.65,0.01,3.2612
0.44,0.94,1.2708
0.38,0.39,2.30505
0.95,0.84,2.22665
0.31,0.48,2.007
0.45,0.92,1.3344
0.08,0.35,1.92185
0.68,0.89,1.7498
0.99,1.0,1.97075
0.61,0.37,2.682
0.02,0.96,0.6088
0.94,0.0,3.0
0.71,0.78,1.99955
0.09,0.02,2.6834
0.46,0.16,2.88185
0.3,0.07,2.81105
0.94,0.83,2.2334
0.25,0.01,2.91495
0.78,0.53,2.63265
0.24,0.45,1.9569
0.1,0.82,1.0036
0.27,0.33,2.2421
0.89,0.17,3.4788
0.5,0.19,2.8629
0.12,0.89,0.8923
0.57,0.07,3.18875
0.85,0.58,2.6057
0.03,0.67,1.21675
0.79,0.05,3.5129
0.18,0.3,2.1762
0.66,0.43,2.62595
0.41,0.6,1.9307
0.52,0.47,2.32405
0.53,0.05,3.15545
0.51,0.93,1.41105
0.8,0.32,3.0471
