x,y,score
0.46,0.76,2.6202
0.54,0.86,2.80215
0.16,0.19,2.43525
0.61,0.18,2.4594
0.82,0.41,1.8015
0.72,0.66,2.22105
0.63,0.37,1.8855
0.41,0.28,2.15895
0.16,0.44,1.6662
0.8,0.33,2.0172
0.84,0.23,2.32275
0.25,0.48,1.62245
0.62,0.7,2.48785
0.78,0.28,2.1486
0.03,0.68,1.1072
0.57,0.0,3.0
0.69,0.37,1.8941
0.46,0.05,2.84835
0.65,0.03,2.9082
0.56,0.8,2.74755
0.28,0.44,1.6986
0.65,0.0,3.0
0.57,0.1,2.70435
0.44,0.29,2.13555
0.63,0.49,1.79235
0.26,0.03,2.9061
0.92,0.27,2.19165
0.69,0.35,1.9515
0.79,0.78,2.3718
0.3,0.26,2.22795
0.98,0.54,1.7476
0.25,0.62,1.80335
0.55,0.43,1.7434
0.19,0.06,2.80815
0.14,0.65,1.4845
0.09,0.65,1.3092
0.92,1.0,2.60695
0.51,0.43,1.73365
0.36,0.66,2.183
0.33,0.92,2.1649
0.01,0.93,0.9839
0.25,0.81,1.86405
0.9,0.46,1.6649
0.3,0.12,2.64465
0.87,0.59,1.9025
0.8,0.75,2.2914
0.93,0.2,2.40015
0.34,0.41,1.7766
0.05,0.48,1.50015
0.9,0.12,2.6403
0.59,0.65,2.44875
0.72,0.62,2.094
0.29,0.87,2.0237
0.02,0.72,1.05595
0.8,0.35,1.96245
0.09,0.22,2.3244
0.05,0.61,1.19135
0.49,0.38,1.878
0.62,0.21,2.39085
0.79,0.55,1.8666
0.64,0.52,1.889
0.17,0.15,2.5575
0.45,0.81,2.58305
0.48,0.8,2.6754
0.51,0.39,1.85545
0.62,0.39,1.83495
0.58,0.64,2.48445
0.8,0.62,2.09085
0.6,0.07,2.78535
0.35,0.87,2.24345
0.85,0.83,2.4126
0.96,0.89,2.4108
0.68,0.4,1.7999
0.13,0.15,2.54805
0.14,0.31,2.0799
0.15,0.88,1.5133
0.72,0.97,2.66955
0.56,0.33,2.0247
0.52,0.26,2.2461
0.99,0.97,2.4448
0.9,0.63,1.99265
0.31,0.47,1.65545
0.98,0.8,2.209
0.31,0.34,1.9686
0.22,0.4,1.80315
0.87,0.37,1.8834
0.76,0.43,1.72395
0.79,0.76,2.31775
0.83,0.38,1.8567
0.74,0.12,2.62785
0.68,0.51,1.82465
0.56,0.43,1.7626
0.63,0.01,2.96955
