x,y,score
0.46,0.76,2.875
0.54,0.86,3.255
0.16,0.19,1.63
0.61,0.18,3.55
0.82,0.41,4.39
0.72,0.66,1.1
0.63,0.37,3.39
0.41,0.28,2.61
0.16,0.44,1.59
0.8,0.33,4.295
0.84,0.23,4.21
0.25,0.48,1.91
0.62,0.7,3.415
0.78,0.28,2.135
0.03,0.68,1.115
0.57,0.0,3.11
0.69,0.37,1.865
0.46,0.05,3.09
0.65,0.03,3.61
0.56,0.8,3.235
0.28,0.44,1.715
0.65,0.0,3.67
0.57,0.1,3.35
0.44,0.29,2.87
0.63,0.49,3.435
0.26,0.03,1.85
0.92,0.27,2.24
0.69,0.35,1.775
0.79,0.78,4.195
0.3,0.26,2.39
0.98,0.54,1.445
0.25,0.62,1.13
0.55,0.43,2.995
0.19,0.06,1.81
0.14,0.65,1.1
0.09,0.65,1.335
0.92,1.0,4.535
0.51,0.43,3.035
0.36,0.66,0.935
0.33,0.92,2.375
0.01,0.93,1.055
0.25,0.81,2.075
0.9,0.46,4.575
0.3,0.12,2.13
0.87,0.59,4.355
0.8,0.75,0.635
0.93,0.2,4.695
0.34,0.41,1.745
0.05,0.48,1.215
0.9,0.12,4.59
0.59,0.65,3.095
0.72,0.62,3.935
0.29,0.87,2.155
0.02,0.72,1.055
0.8,0.35,4.155
0.09,0.22,1.41
0.05,0.61,1.04
0.49,0.38,1.88
0.62,0.21,3.335
0.79,0.55,4.13
0.64,0.52,3.835
0.17,0.15,1.79
0.45,0.81,2.715
0.48,0.8,2.775
0.51,0.39,3.13
0.62,0.39,3.45
0.58,0.64,3.235
0.8,0.62,4.255
0.6,0.07,3.235
0.35,0.87,2.43
0.85,0.83,4.435
0.96,0.89,0.32
0.68,0.4,3.83
0.13,0.15,1.47
0.14,0.31,1.595
0.15,0.88,1.475
0.72,0.97,3.935
0.56,0.33,2.91
0.52,0.26,3.01
0.99,0.97,4.935
0.9,0.63,4.555
0.31,0.47,2.335
0.98,0.8,4.835
0.31,0.34,2.255
0.22,0.4,2.015
0.87,0.37,4.515
0.76,0.43,4.15
0.79,0.76,4.235
0.83,0.38,4.41
0.74,0.12,3.855
0.68,0.51,3.755
0.56,0.43,3.39
0.63,0.01,3.53
0.45,0.24,2.81
0.52,0.13,3.13
0.64,0.47,3.59
0.51,0.91,3.215
0.78,0.92,4.115
0.92,0.54,1.295
0.75,0.83,3.995
0.72,0.5,3.695
0.53,0.74,3.075
0.82,0.88,4.375
0.63,0.35,3.515
0.8,0.56,4.115
0.99,0.8,4.935
0.69,0.67,3.835
0.44,0.43,2.755
0.71,0.62,4.095
0.63,0.08,3.39
0.48,0.4,2.91
0.93,0.51,4.715
0.65,0.12,3.53
0.78,0.34,4.19
0.17,0.41,1.69
0.59,0.93,3.375
0.98,0.65,4.91
0.89,0.49,4.515
0.09,0.48,1.43
0.98,0.94,4.955
0.6,0.72,3.395
0.74,0.48,4.05
0.48,0.19,2.93
0.15,0.11,2.645
0.86,0.55,4.215
0.97,0.56,1.415
1.0,0.64,4.955
0.43,0.66,2.515
0.85,0.2,4.51
0.02,0.64,1.055
0.26,0.02,2.05
0.12,0.68,1.615
0.66,0.15,3.69
0.75,0.58,3.895
0.04,0.92,1.115
0.15,0.58,1.67
0.4,0.84,2.735
0.94,0.97,4.755
0.64,0.08,3.73
0.08,0.63,1.39
0.81,0.9,4.255
0.21,0.79,1.915
0.21,0.13,2.03
0.82,0.12,4.39
0.77,0.84,4.015
0.76,0.89,4.095
0.06,0.34,2.0
0.92,0.45,4.615
0.41,0.87,2.595
0.11,0.48,1.415
0.67,0.53,1.385
0.36,0.88,2.355
0.47,0.6,1.22
0.34,0.03,2.25
0.79,0.95,3.955
0.24,0.56,1.83
0.17,0.32,1.85
0.59,0.26,3.15
0.59,0.68,3.415
1.0,0.57,1.13
0.63,0.84,0.545
0.72,0.58,3.995
0.84,0.68,4.255
0.07,0.87,1.375
0.71,0.48,3.85
0.27,0.76,2.115
0.2,0.43,1.83
0.25,0.83,1.89
0.74,0.97,4.095
0.56,0.06,3.01
0.77,0.18,4.035
0.61,0.23,3.37
0.73,0.56,3.895
0.4,0.67,2.755
0.93,0.15,4.77
0.37,0.3,2.67
0.89,0.6,4.535
0.32,0.92,0.275
0.97,0.95,4.935
0.96,0.12,4.91
0.74,0.25,3.97
0.47,0.92,2.975
0.13,0.43,1.57
0.8,0.68,4.15
0.01,0.53,1.46
0.69,0.03,3.95
0.73,0.82,0.68
0.97,0.94,4.735
0.9,1.0,4.555
0.08,0.23,1.37
0.82,0.79,4.135
0.42,0.46,2.815
0.62,0.93,3.575
0.71,0.43,3.91
0.77,0.04,3.97
0.97,0.53,4.935
0.73,0.22,3.81
0.59,0.14,3.57
0.5,0.81,0.515
0.4,1.0,2.575
0.89,0.12,4.61
0.05,0.83,1.21
0.19,0.67,1.715
0.97,0.93,4.955
0.69,0.2,3.73
0.72,0.64,3.895
0.94,0.47,1.67
0.81,0.73,4.195
0.5,0.86,2.935
0.15,0.5,1.575
0.45,0.28,2.89
0.48,0.93,2.835
0.15,0.25,2.165
0.32,0.14,2.335
0.62,0.38,1.985
0.48,0.51,2.735
0.61,0.92,3.395
0.34,0.82,2.415
0.39,0.43,2.55
0.89,0.11,4.47
0.67,0.3,3.79
0.15,0.26,1.67
0.72,0.21,3.795
0.57,0.41,3.29
0.01,0.09,1.05
0.55,0.84,3.255
0.85,0.24,4.45
0.53,0.07,3.19
0.81,0.85,4.235
0.65,0.79,3.495
0.08,0.01,1.35
0.62,0.24,3.375
0.28,0.85,2.035
0.12,0.31,1.45
0.04,0.88,0.335
0.25,0.42,1.95
0.29,0.34,2.11
0.12,0.75,1.515
0.16,0.7,1.555
0.9,0.47,4.55
0.65,0.01,3.79
0.44,0.94,2.735
0.38,0.39,2.41
0.95,0.84,0.38
0.31,0.48,2.21
0.45,0.92,2.675
0.08,0.35,1.39
0.68,0.89,3.695
0.99,1.0,4.935
0.61,0.37,3.59
0.02,0.96,1.055
0.94,0.0,4.83
0.71,0.78,3.855
0.09,0.02,1.375
0.46,0.16,2.85
0.3,0.07,2.23
0.94,0.83,4.67
0.25,0.01,1.91
0.78,0.53,4.115
0.24,0.45,1.625
0.1,0.82,1.475
0.27,0.33,2.29
0.89,0.17,4.41
0.5,0.19,2.915
0.12,0.89,1.675
0.57,0.07,3.43
0.85,0.58,4.475
0.03,0.67,1.13
0.79,0.05,4.11
0.18,0.3,1.79
0.66,0.43,3.95
0.41,0.6,2.595
0.52,0.47,3.11
0.53,0.05,3.17
0.51,0.93,2.975
0.8,0.32,1.955
0.91,0.77,4.635
0.57,0.84,3.435
0.65,0.7,3.455
0.6,0.23,3.47
0.11,0.82,0.68
0.46,1.0,2.595
0.71,0.57,3.815
0.28,0.08,2.15
0.2,0.19,1.85
0.82,0.03,4.17
0.9,0.83,4.535
0.68,0.02,3.81
0.1,0.34,1.335
0.97,0.02,4.83
0.27,0.01,2.31
0.84,0.82,4.335
0.99,0.61,4.915
0.18,0.48,1.83
0.18,0.73,1.795
0.79,0.15,2.6
0.77,0.93,3.915
0.58,0.8,3.195
0.18,0.95,1.635
0.21,0.71,1.935
0.98,0.62,4.875
0.23,0.97,1.875
0.06,0.16,1.255
0.53,0.36,3.115
0.97,0.86,4.755
0.26,0.42,2.23
0.81,0.43,1.97
0.2,0.12,1.81
0.1,0.57,1.415
0.15,0.35,1.67
0.89,0.02,4.51
0.51,0.7,3.015
0.57,0.27,3.135
0.11,0.19,1.45
0.69,0.41,3.85
0.68,0.83,3.735
0.97,0.34,4.795
0.36,0.11,2.33
0.53,0.1,3.015
0.19,0.47,1.615
0.81,0.31,4.25
0.66,0.86,3.655
0.93,0.77,4.615
0.82,0.05,4.39
0.88,0.94,4.395
0.33,0.39,2.45
0.1,0.68,1.415
0.84,0.95,4.435
0.29,0.54,2.23
0.96,0.41,1.595
0.89,0.67,4.415
0.91,0.12,4.57
0.31,0.86,2.19
0.11,0.2,2.36
0.06,0.77,0.56
0.89,0.59,4.495
0.01,0.38,1.075
0.18,0.09,2.75
0.2,0.72,1.89
0.56,0.89,3.415
0.19,0.48,1.4
0.33,0.63,2.495
0.86,0.41,1.61
0.51,0.19,3.03
0.35,0.08,2.35
0.51,0.69,3.235
0.68,0.91,3.595
0.78,0.73,3.855
0.65,0.68,3.595
0.4,0.44,2.45
0.02,0.27,2.12
0.3,0.89,2.175
0.87,0.99,4.375
0.95,0.8,0.695
0.58,0.76,3.515
0.71,0.86,3.835
0.44,0.13,2.71
0.48,0.0,2.89
0.57,0.63,3.31
0.59,0.25,3.41
0.95,0.45,1.46
0.12,0.04,1.53
0.21,0.3,1.97
0.57,0.31,3.29
0.26,0.94,1.995
0.55,0.82,3.215
0.73,0.83,3.935
0.94,0.28,4.85
0.74,0.14,4.03
0.03,0.55,1.115
0.28,0.81,2.075
0.22,0.76,2.155
0.26,0.45,2.23
0.15,0.41,1.575
0.85,0.02,4.43
0.18,0.19,1.695
0.11,0.09,2.585
0.34,0.74,2.355
0.99,0.67,4.895
0.74,0.85,0.35
0.91,0.29,2.27
0.12,0.41,1.73
0.17,0.03,1.79
0.06,0.47,1.67
0.88,0.68,1.1
0.68,0.19,3.67
0.44,0.59,2.755
0.64,0.56,3.555
0.17,0.24,1.65
0.56,0.65,3.355
0.63,0.48,3.65
0.08,0.2,1.35
0.24,0.82,2.135
0.99,0.37,4.99
0.89,0.42,1.715
0.38,0.47,1.76
0.68,0.22,3.91
0.2,0.25,1.73
0.27,0.27,2.29
0.1,0.01,1.43
0.41,0.8,2.575
0.38,0.04,2.41
0.69,0.98,3.715
0.59,0.96,3.355
0.18,0.21,1.675
0.11,0.97,1.455
0.03,0.82,1.075
0.52,0.89,2.895
0.75,0.97,4.035
0.17,0.87,1.835
