x,y,score
0.46,0.76,2.7412
0.54,0.86,2.7988
0.16,0.19,1.9536
0.61,0.18,2.4716
0.82,0.41,1.8568
0.72,0.66,2.19375
0.63,0.37,1.9685
0.41,0.28,2.3286
0.16,0.44,1.6603
0.8,0.33,2.0485
0.84,0.23,2.31885
0.25,0.48,1.9631
0.62,0.7,2.4789
0.78,0.28,2.19605
0.03,0.68,1.13065
0.57,0.0,3.00685
0.69,0.37,1.94915
0.46,0.05,2.85705
0.65,0.03,2.9168
0.56,0.8,2.73665
0.28,0.44,2.0586
0.65,0.0,3.0073
0.57,0.1,2.72675
0.44,0.29,2.34125
0.63,0.49,1.85315
0.26,0.03,2.80385
0.92,0.27,2.2176
0.69,0.35,1.99945
0.79,0.78,2.29975
0.3,0.26,2.2276
0.98,0.54,1.72675
0.25,0.62,1.97815
0.55,0.43,1.99145
0.19,0.06,2.5545
0.14,0.65,1.55985
0.09,0.65,1.3737
0.92,1.0,2.40585
0.51,0.43,2.0228
0.36,0.66,2.41745
0.33,0.92,2.31505
0.01,0.93,1.03825
0.25,0.81,1.98675
0.9,0.46,1.74205
0.3,0.12,2.5311
0.87,0.59,1.88225
0.8,0.75,2.25505
0.93,0.2,2.406
0.34,0.41,2.1818
0.05,0.48,1.216
0.9,0.12,2.6553
0.59,0.65,2.45815
0.72,0.62,2.1159
0.29,0.87,2.1463
0.02,0.72,1.08655
0.8,0.35,1.9967
0.09,0.22,1.632
0.05,0.61,1.2067
0.49,0.38,2.1483
0.62,0.21,2.41705
0.79,0.55,1.8408
0.64,0.52,1.90575
0.17,0.15,2.1394
0.45,0.81,2.7165
0.48,0.8,2.7717
0.51,0.39,2.0738
0.62,0.39,1.90965
0.58,0.64,2.48375
0.8,0.62,2.011
0.6,0.07,2.7969
0.35,0.87,2.4046
0.85,0.83,2.3073
0.96,0.89,2.27925
0.68,0.4,1.8746
0.13,0.15,2.04035
0.14,0.31,1.6954
0.15,0.88,1.6031
0.72,0.97,2.58775
0.56,0.33,2.12195
0.52,0.26,2.3277
0.99,0.97,2.32815
0.9,0.63,1.94685
0.31,0.47,2.1506
0.98,0.8,2.1677
0.31,0.34,2.1473
0.22,0.4,1.87015
0.87,0.37,1.9471
0.76,0.43,1.79245
0.79,0.76,2.28675
0.83,0.38,1.9063
0.74,0.12,2.6568
0.68,0.51,1.79125
0.56,0.43,1.9027
0.63,0.01,2.9769
0.45,0.24,2.35705
0.52,0.13,2.64175
0.64,0.47,1.8172
0.51,0.91,2.8318
0.78,0.92,2.4787
0.92,0.54,1.753
0.75,0.83,2.42955
0.72,0.5,1.7839
0.53,0.74,2.7388
0.82,0.88,2.38525
0.63,0.35,2.0031
0.8,0.56,1.8662
0.99,0.8,2.15295
0.69,0.67,2.255
0.44,0.43,2.3505
0.71,0.62,2.14845
0.63,0.08,2.76625
0.48,0.4,2.11535
0.93,0.51,1.7093
0.65,0.12,2.6608
0.78,0.34,2.03375
0.17,0.41,1.69805
0.59,0.93,2.7741
0.98,0.65,1.94205
0.89,0.49,1.7031
0.09,0.48,1.3747
0.98,0.94,2.3083
0.6,0.72,2.5506
0.74,0.48,1.767
0.48,0.19,2.46775
0.15,0.11,2.20635
0.86,0.55,1.79305
0.97,0.56,1.7693
1.0,0.64,1.90145
0.43,0.66,2.65045
0.85,0.2,2.4077
0.02,0.64,1.0937
0.26,0.02,2.8629
0.12,0.68,1.4868
0.66,0.15,2.56275
0.75,0.58,1.9497
0.04,0.92,1.16155
0.15,0.58,1.59265
0.4,0.84,2.57165
0.94,0.97,2.3651
0.64,0.08,2.77515
0.08,0.63,1.32895
0.81,0.9,2.4247
0.21,0.79,1.8407
0.21,0.13,2.2815
0.82,0.12,2.6559
0.77,0.84,2.4171
0.76,0.89,2.47305
0.06,0.34,1.3095
0.92,0.45,1.74355
0.41,0.87,2.5958
0.11,0.48,1.45415
0.67,0.53,1.89945
0.36,0.88,2.41635
0.47,0.6,2.62905
0.34,0.03,2.87605
0.79,0.95,2.4872
0.24,0.56,1.95765
0.17,0.32,1.78775
0.59,0.26,2.26675
0.59,0.68,2.5697
1.0,0.57,1.76745
0.63,0.84,2.621
0.72,0.58,1.99715
0.84,0.68,2.09365
0.07,0.87,1.27075
0.71,0.48,1.7706
0.27,0.76,2.07225
0.2,0.43,1.81265
0.25,0.83,1.99995
0.74,0.97,2.56555
0.56,0.06,2.83305
0.77,0.18,2.4756
0.61,0.23,2.34425
0.73,0.56,1.91745
0.4,0.67,2.5435
0.93,0.15,2.5706
0.37,0.3,2.2814
0.89,0.6,1.8994
0.32,0.92,2.2805
0.97,0.95,2.32475
0.96,0.12,2.6537
0.74,0.25,2.2747
0.47,0.92,2.76445
0.13,0.43,1.5553
0.8,0.68,2.13455
0.01,0.53,1.05435
0.69,0.03,2.9223
0.73,0.82,2.4463
0.97,0.94,2.31655
0.9,1.0,2.41545
0.08,0.23,1.5763
0.82,0.79,2.2903
0.42,0.46,2.35705
0.62,0.93,2.702
0.71,0.43,1.828
0.77,0.04,2.88405
0.97,0.53,1.7173
0.73,0.22,2.3642
0.59,0.14,2.60365
0.5,0.81,2.79005
0.4,1.0,2.55995
0.89,0.12,2.6629
0.05,0.83,1.1928
0.19,0.67,1.7591
0.97,0.93,2.30745
0.69,0.2,2.4117
0.72,0.64,2.16275
0.94,0.47,1.7166
0.81,0.73,2.21195
0.5,0.86,2.8106
0.15,0.5,1.61375
0.45,0.28,2.30515
0.48,0.93,2.79465
0.15,0.25,1.8159
0.32,0.14,2.48675
0.62,0.38,1.9363
0.48,0.51,2.48405
0.61,0.92,2.7115
0.34,0.82,2.32685
0.39,0.43,2.2607
0.89,0.11,2.68255
0.67,0.3,2.152
0.15,0.26,1.7812
0.72,0.21,2.3954
0.57,0.41,1.93975
0.01,0.09,1.36885
0.55,0.84,2.77255
0.85,0.24,2.29685
0.53,0.07,2.80035
0.81,0.85,2.37735
0.65,0.79,2.55085
0.08,0.01,2.80535
0.62,0.24,2.3099
0.28,0.85,2.1006
0.12,0.31,1.57
0.04,0.88,1.1659
0.25,0.42,1.9444
0.29,0.34,2.09625
0.12,0.75,1.4924
0.16,0.7,1.6377
0.9,0.47,1.7267
0.65,0.01,2.9766
0.44,0.94,2.69955
0.38,0.39,2.1982
0.95,0.84,2.2323
0.31,0.48,2.16195
0.45,0.92,2.7382
0.08,0.35,1.4108
0.68,0.89,2.58475
0.99,1.0,2.3495
0.61,0.37,1.98355
0.02,0.96,1.0781
0.94,0.0,3.0097
0.71,0.78,2.41925
0.09,0.02,2.71515
0.46,0.16,2.6025
0.3,0.07,2.70905
0.94,0.83,2.23315
0.25,0.01,2.91025
0.78,0.53,1.80415
0.24,0.45,1.93175
0.1,0.82,1.3929
0.27,0.33,2.06495
0.89,0.17,2.50745
0.5,0.19,2.47175
0.12,0.89,1.47925
0.57,0.07,2.80635
0.85,0.58,1.8724
0.03,0.67,1.13455
0.79,0.05,2.85785
0.18,0.3,1.84075
0.66,0.43,1.84075
0.41,0.6,2.596
0.52,0.47,2.0768
0.53,0.05,2.8573
0.51,0.93,2.8187
0.8,0.32,2.0782
0.91,0.77,2.17295
0.57,0.84,2.73535
0.65,0.7,2.41095
0.6,0.23,2.34175
