x,y,score
0.46,0.76,2.175
0.54,0.86,2.22
0.16,0.19,1.625
0.61,0.18,2.525
0.82,0.41,2.39
0.72,0.66,2.25
0.63,0.37,2.38
0.41,0.28,2.405
0.16,0.44,1.675
0.8,0.33,2.425
0.84,0.23,2.52
0.25,0.48,1.94
0.62,0.7,2.32
0.78,0.28,2.445
0.03,0.68,1.175
0.57,0.0,3.01
0.69,0.37,2.3
0.46,0.05,2.89
0.65,0.03,2.885
0.56,0.8,2.255
0.28,0.44,2.045
0.65,0.0,3.005
0.57,0.1,2.72
0.44,0.29,2.36
0.63,0.49,2.285
0.26,0.03,2.85
0.92,0.27,2.285
0.69,0.35,2.425
0.79,0.78,2.305
0.3,0.26,2.12
0.98,0.54,2.295
0.25,0.62,1.745
0.55,0.43,2.25
0.19,0.06,2.785
0.14,0.65,1.475
0.09,0.65,1.36
0.92,1.0,2.35
0.51,0.43,2.31
0.36,0.66,2.155
0.33,0.92,1.99
0.01,0.93,1.02
0.25,0.81,1.705
0.9,0.46,2.34
0.3,0.12,2.505
0.87,0.59,2.27
0.8,0.75,2.33
0.93,0.2,2.58
0.34,0.41,2.095
0.05,0.48,1.24
0.9,0.12,2.67
0.59,0.65,2.27
0.72,0.62,2.3
0.29,0.87,1.73
0.02,0.72,1.14
0.8,0.35,2.405
0.09,0.22,1.54
0.05,0.61,1.16
0.49,0.38,2.29
0.62,0.21,2.51
0.79,0.55,2.39
0.64,0.52,2.305
0.17,0.15,2.26
0.45,0.81,2.175
0.48,0.8,2.26
0.51,0.39,2.235
0.62,0.39,2.305
0.58,0.64,2.265
0.8,0.62,2.35
0.6,0.07,2.86
0.35,0.87,1.945
0.85,0.83,2.375
0.96,0.89,2.335
0.68,0.4,2.29
0.13,0.15,2.05
0.14,0.31,1.605
0.15,0.88,1.525
0.72,0.97,2.265
0.56,0.33,2.305
0.52,0.26,2.385
0.99,0.97,2.385
0.9,0.63,2.355
0.31,0.47,2.12
0.98,0.8,2.39
0.31,0.34,2.11
0.22,0.4,2.02
0.87,0.37,2.29
0.76,0.43,2.335
0.79,0.76,2.27
0.83,0.38,2.365
0.74,0.12,2.71
0.68,0.51,2.285
0.56,0.43,2.305
0.63,0.01,2.985
0.45,0.24,2.28
0.52,0.13,2.675
0.64,0.47,2.335
0.51,0.91,2.215
0.78,0.92,2.285
0.92,0.54,2.32
0.75,0.83,2.35
0.72,0.5,2.415
0.53,0.74,2.28
0.82,0.88,2.305
0.63,0.35,2.34
0.8,0.56,2.33
0.99,0.8,2.38
0.69,0.67,2.275
0.44,0.43,2.29
0.71,0.62,2.29
0.63,0.08,2.8
0.48,0.4,2.265
0.93,0.51,2.345
0.65,0.12,2.68
0.78,0.34,2.34
0.17,0.41,1.77
0.59,0.93,2.27
0.98,0.65,2.405
0.89,0.49,2.32
0.09,0.48,1.315
0.98,0.94,2.36
0.6,0.72,2.27
0.74,0.48,2.32
0.48,0.19,2.495
0.15,0.11,2.135
0.86,0.55,2.37
0.97,0.56,2.395
1.0,0.64,2.35
0.43,0.66,2.095
0.85,0.2,2.43
0.02,0.64,1.06
0.26,0.02,2.855
0.12,0.68,1.42
0.66,0.15,2.63
0.75,0.58,2.36
0.04,0.92,1.18
0.15,0.58,1.485
0.4,0.84,2.06
0.94,0.97,2.355
0.64,0.08,2.72
0.08,0.63,1.28
0.81,0.9,2.335
0.21,0.79,1.805
0.21,0.13,2.15
0.82,0.12,2.63
0.77,0.84,2.32
0.76,0.89,2.34
0.06,0.34,1.365
0.92,0.45,2.365
0.41,0.87,2.18
0.11,0.48,1.52
0.67,0.53,2.3
0.36,0.88,2.09
0.47,0.6,2.255
0.34,0.03,2.695
0.79,0.95,2.28
0.24,0.56,1.965
0.17,0.32,1.75
0.59,0.26,2.335
0.59,0.68,2.265
1.0,0.57,2.42
0.63,0.84,2.23
0.72,0.58,2.35
0.84,0.68,2.325
0.07,0.87,1.2
0.71,0.48,2.28
0.27,0.76,1.965
0.2,0.43,1.72
0.25,0.83,1.94
0.74,0.97,2.315
0.56,0.06,2.785
0.77,0.18,2.57
0.61,0.23,2.375
0.73,0.56,2.39
0.4,0.67,2.13
0.93,0.15,2.645
0.37,0.3,2.16
0.89,0.6,2.33
0.32,0.92,1.86
0.97,0.95,2.385
0.96,0.12,2.665
0.74,0.25,2.335
0.47,0.92,2.15
0.13,0.43,1.585
0.8,0.68,2.36
0.01,0.53,1.05
0.69,0.03,2.92
0.73,0.82,2.29
0.97,0.94,2.32
0.9,1.0,2.335
0.08,0.23,1.26
0.82,0.79,2.325
0.42,0.46,2.175
0.62,0.93,2.255
0.71,0.43,2.29
0.77,0.04,2.85
0.97,0.53,2.335
0.73,0.22,2.535
0.59,0.14,2.555
0.5,0.81,2.22
0.4,1.0,2.175
0.89,0.12,2.745
0.05,0.83,1.12
0.19,0.67,1.73
0.97,0.93,2.365
0.69,0.2,2.5
0.72,0.64,2.26
0.94,0.47,2.34
0.81,0.73,2.325
0.5,0.86,2.235
0.15,0.5,1.535
0.45,0.28,2.435
0.48,0.93,2.21
0.15,0.25,1.615
0.32,0.14,2.295
0.62,0.38,2.29
0.48,0.51,2.29
0.61,0.92,2.205
0.34,0.82,2.02
0.39,0.43,2.155
0.89,0.11,2.72
0.67,0.3,2.36
0.15,0.26,1.73
0.72,0.21,2.58
0.57,0.41,2.21
0.01,0.09,1.065
0.55,0.84,2.265
0.85,0.24,2.54
0.53,0.07,2.74
0.81,0.85,2.305
0.65,0.79,2.34
0.08,0.01,2.98
0.62,0.24,2.415
0.28,0.85,1.735
0.12,0.31,1.4
0.04,0.88,1.26
0.25,0.42,2.12
0.29,0.34,2.045
0.12,0.75,1.5
0.16,0.7,1.53
0.9,0.47,2.35
0.65,0.01,2.995
0.44,0.94,2.1
0.38,0.39,2.165
0.95,0.84,2.385
0.31,0.48,2.235
0.45,0.92,2.155
0.08,0.35,1.215
0.68,0.89,2.33
0.99,1.0,2.355
0.61,0.37,2.37
0.02,0.96,1.08
0.94,0.0,3.01
0.71,0.78,2.38
0.09,0.02,2.86
0.46,0.16,2.4
0.3,0.07,2.83
0.94,0.83,2.365
0.25,0.01,2.99
0.78,0.53,2.36
0.24,0.45,1.97
0.1,0.82,1.38
0.27,0.33,2.055
0.89,0.17,2.435
0.5,0.19,2.385
0.12,0.89,1.615
0.57,0.07,2.82
0.85,0.58,2.285
0.03,0.67,1.16
0.79,0.05,2.89
0.18,0.3,1.95
0.66,0.43,2.3
0.41,0.6,2.055
0.52,0.47,2.3
0.53,0.05,2.86
0.51,0.93,2.235
0.8,0.32,2.355
0.91,0.77,2.39
0.57,0.84,2.26
0.65,0.7,2.3
0.6,0.23,2.445
0.11,0.82,1.46
0.46,1.0,2.285
0.71,0.57,2.345
0.28,0.08,2.645
0.2,0.19,2.09
0.82,0.03,2.965
0.9,0.83,2.35
0.68,0.02,2.935
0.1,0.34,1.335
0.97,0.02,2.965
0.27,0.01,2.95
0.84,0.82,2.32
0.99,0.61,2.385
0.18,0.48,1.66
0.18,0.73,1.515
0.79,0.15,2.6
0.77,0.93,2.28
0.58,0.8,2.255
0.18,0.95,1.655
0.21,0.71,1.87
0.98,0.62,2.38
0.23,0.97,1.635
0.06,0.16,1.4
0.53,0.36,2.455
0.97,0.86,2.35
0.26,0.42,1.725
0.81,0.43,2.37
0.2,0.12,2.635
0.1,0.57,1.475
0.15,0.35,1.74
0.89,0.02,2.935
0.51,0.7,2.315
0.57,0.27,2.425
0.11,0.19,1.575
0.69,0.41,2.375
0.68,0.83,2.31
0.97,0.34,2.425
0.36,0.11,2.69
0.53,0.1,2.76
0.19,0.47,1.73
0.81,0.31,2.39
0.66,0.86,2.285
0.93,0.77,2.37
0.82,0.05,2.815
0.88,0.94,2.33
0.33,0.39,2.21
0.1,0.68,1.47
0.84,0.95,2.27
0.29,0.54,2.015
0.96,0.41,2.375
0.89,0.67,2.31
0.91,0.12,2.6
0.31,0.86,1.77
0.11,0.2,1.435
0.06,0.77,1.435
0.89,0.59,2.38
0.01,0.38,1.065
0.18,0.09,2.785
0.2,0.72,1.645
0.56,0.89,2.29
0.19,0.48,1.81
0.33,0.63,2.05
0.86,0.41,2.37
0.51,0.19,2.565
0.35,0.08,2.76
0.51,0.69,2.195
0.68,0.91,2.355
0.78,0.73,2.33
0.65,0.68,2.295
0.4,0.44,2.115
0.02,0.27,1.075
0.3,0.89,1.99
0.87,0.99,2.34
0.95,0.8,2.39
0.58,0.76,2.32
0.71,0.86,2.33
0.44,0.13,2.66
0.48,0.0,3.005
0.57,0.63,2.21
0.59,0.25,2.47
0.95,0.45,2.4
0.12,0.04,2.925
0.21,0.3,1.86
0.57,0.31,2.31
0.26,0.94,2.06
0.55,0.82,2.28
0.73,0.83,2.3
0.94,0.28,2.44
0.74,0.14,2.555
0.03,0.55,1.095
0.28,0.81,1.865
0.22,0.76,1.765
0.26,0.45,2.005
0.15,0.41,1.705
0.85,0.02,2.935
0.18,0.19,1.845
0.11,0.09,1.895
0.34,0.74,2.035
0.99,0.67,2.415
0.74,0.85,2.325
0.91,0.29,2.39
0.12,0.41,1.415
0.17,0.03,2.715
0.06,0.47,1.195
0.88,0.68,2.325
0.68,0.19,2.5
0.44,0.59,2.15
0.64,0.56,2.265
0.17,0.24,2.165
0.56,0.65,2.26
0.63,0.48,2.345
0.08,0.2,1.58
0.24,0.82,1.99
0.99,0.37,2.38
0.89,0.42,2.335
0.38,0.47,2.12
0.68,0.22,2.505
0.2,0.25,2.125
0.27,0.27,2.365
0.1,0.01,2.94
0.41,0.8,2.165
0.38,0.04,2.965
0.69,0.98,2.31
0.59,0.96,2.215
0.18,0.21,2.075
0.11,0.97,1.4
0.03,0.82,1.12
0.52,0.89,2.235
0.75,0.97,2.335
0.17,0.87,1.61
0.87,0.48,2.34
0.03,0.44,1.18
0.33,0.44,2.175
0.76,0.32,2.36
0.73,0.5,2.295
0.26,0.28,2.14
0.36,0.29,2.27
0.28,0.11,2.6
0.0,0.23,1.045
0.87,0.0,3.0
0.26,0.61,1.85
1.0,0.5,2.35
0.35,0.61,2.05
0.02,0.33,1.08
0.52,0.76,2.2
0.06,0.97,1.16
0.98,0.06,2.78
0.13,0.17,2.035
0.24,0.64,1.84
0.35,0.14,2.565
0.11,0.94,1.395
0.76,0.77,2.33
0.67,0.45,2.3
0.09,0.51,1.33
0.99,0.31,2.425
0.07,0.89,1.22
0.65,0.43,2.31
0.85,0.19,2.63
0.91,0.58,2.34
0.48,0.56,2.31
0.66,0.06,2.875
0.18,0.38,1.825
0.56,0.64,2.35
0.72,0.43,2.33
0.64,0.11,2.74
0.38,0.45,2.11
0.42,0.25,2.375
1.0,0.63,2.325
0.35,0.26,2.36
0.03,0.18,1.24
0.27,0.91,1.93
0.8,0.26,2.365
0.15,0.31,1.575
0.89,0.44,2.31
0.61,0.87,2.22
0.31,0.61,2.01
0.72,0.45,2.34
0.0,0.6,1.0
0.98,0.82,2.36
0.25,0.27,2.135
0.4,0.57,2.16
0.15,0.38,1.76
0.6,0.2,2.495
0.77,0.12,2.74
0.52,0.15,2.625
0.65,0.41,2.4
0.35,0.6,1.93
0.93,0.29,2.38
0.61,0.43,2.365
0.45,0.63,2.19
0.08,0.68,1.2
0.89,0.37,2.425
0.59,0.08,2.89
0.1,0.38,1.28
0.83,0.8,2.315
0.02,0.69,1.16
0.68,0.41,2.315
0.22,0.48,1.95
0.92,0.65,2.325
0.77,1.0,2.325
0.68,0.81,2.335
0.11,0.26,1.515
0.21,0.21,2.335
0.84,0.37,2.415
0.37,0.63,2.1
0.61,0.85,2.255
0.23,0.77,1.855
0.65,0.66,2.24
0.71,0.07,2.8
0.33,0.68,2.17
0.74,0.0,3.01
0.01,0.48,1.07
0.71,0.35,2.4
0.96,0.32,2.41
0.51,0.1,2.54
0.75,0.73,2.395
0.48,0.85,2.225
0.98,0.42,2.435
0.19,0.88,1.79
0.11,0.77,1.46
0.9,0.32,2.42
0.87,1.0,2.34
0.56,0.7,2.245
0.11,0.27,1.495
0.02,0.88,1.06
0.77,0.66,2.35
0.8,0.8,2.305
0.98,0.11,2.75
0.75,0.33,2.455
0.71,0.74,2.345
0.3,0.3,2.365
0.74,0.01,2.96
0.38,0.86,2.045
0.18,0.75,1.72
0.91,0.55,2.375
0.33,0.87,2.065
0.18,0.61,1.64
0.34,0.01,2.99
0.09,0.94,1.45
0.63,0.97,2.265
0.04,0.07,1.885
0.86,0.22,2.55
0.0,0.89,1.0
0.72,0.11,2.74
0.82,0.64,2.335
0.9,0.41,2.345
0.42,0.72,2.12
0.63,0.7,2.355
1.0,0.58,2.395
0.77,0.56,2.37
0.15,0.79,1.57
0.69,0.57,2.29
0.65,0.67,2.375
0.62,0.73,2.29
0.53,0.63,2.205
0.1,0.96,1.375
0.52,0.86,2.155
0.29,0.51,2.125
0.73,0.85,2.295
0.84,0.28,2.47
0.21,0.76,1.88
0.33,0.61,2.03
0.62,0.04,2.845
0.98,0.59,2.28
0.23,0.23,2.37
0.14,0.78,1.52
0.88,0.61,2.315
0.23,0.41,1.91
0.78,0.15,2.605
0.55,0.33,2.33
0.79,0.01,2.995
0.89,0.3,2.45
0.69,0.16,2.6
0.87,0.17,2.655
0.66,0.16,2.56
0.98,0.18,2.54
0.54,0.36,2.28
0.54,0.37,2.275
0.83,0.07,2.72
0.07,0.62,1.32
0.01,0.77,1.1
0.48,0.12,2.64
0.52,0.35,2.41
0.36,0.13,2.62
0.23,0.73,1.69
0.32,0.02,2.98
0.94,0.4,2.38
0.13,0.19,1.75
0.05,0.14,1.335
0.67,0.87,2.25
0.79,0.74,2.37
0.12,0.23,1.635
0.22,0.8,1.92
0.36,0.96,1.88
0.38,0.91,2.055
0.19,0.03,2.89
0.12,0.91,1.535
0.85,0.78,2.31
0.29,0.57,1.935
0.12,0.84,1.4
0.75,0.08,2.825
0.77,0.9,2.345
0.25,0.39,2.12
0.58,0.19,2.475
0.53,0.54,2.305
0.4,0.98,2.11
0.12,0.74,1.43
0.33,0.7,2.16
0.4,0.45,2.19
0.76,0.2,2.545
0.34,0.47,2.155
0.2,0.29,1.97
0.3,0.99,1.935
0.54,0.42,2.34
0.11,0.72,1.555
0.86,0.56,2.37
0.48,0.52,2.175
0.27,0.31,2.01
0.59,0.02,2.98
0.43,0.45,2.33
0.36,0.48,2.27
0.19,0.37,1.805
0.19,0.5,1.9
0.04,0.76,1.12
0.5,0.23,2.465
0.92,0.28,2.45
0.93,0.11,2.555
0.24,0.66,1.865
0.33,0.69,2.045
0.17,0.52,1.59
0.1,0.16,1.8
0.55,0.24,2.52
0.64,0.55,2.285
0.38,0.15,2.52
0.66,0.94,2.265
0.16,0.31,1.695
0.49,0.66,2.285
0.84,0.27,2.475
0.68,0.47,2.285
0.74,0.34,2.34
0.15,0.1,1.825
0.85,0.96,2.34
0.64,0.31,2.32
0.76,0.01,2.945
0.74,0.83,2.305
0.21,0.51,1.955
0.84,0.9,2.3
0.97,0.11,2.69
0.83,0.6,2.355
0.7,0.9,2.305
0.97,0.69,2.39
0.41,0.2,2.42
0.02,0.09,2.775
0.95,0.36,2.48
0.17,1.0,1.67
0.43,0.86,2.2
0.61,0.13,2.645
0.08,0.53,1.415
0.3,0.34,2.11
0.76,0.02,2.92
0.57,0.91,2.22
0.14,0.56,1.585
0.31,0.7,1.975
0.22,0.2,2.075
0.26,0.36,2.175
0.54,0.97,2.26
0.34,0.57,2.05
0.17,0.89,1.75
0.7,0.55,2.31
0.07,0.14,1.675
0.32,0.9,2.04
0.23,0.08,2.72
0.45,0.16,2.47
0.08,0.32,1.52
0.5,0.97,2.145
0.37,1.0,2.08
0.34,0.0,3.01
0.47,0.88,2.18
0.9,0.82,2.355
0.83,0.67,2.325
0.01,0.87,1.02
0.49,0.31,2.16
0.69,0.89,2.28
0.5,0.1,2.725
0.98,0.83,2.36
0.71,0.91,2.33
0.95,0.18,2.59
0.25,0.33,2.035
0.29,0.16,2.42
0.27,0.66,1.965
0.77,0.21,2.47
0.13,0.46,1.38
0.42,0.82,2.135
0.39,0.19,2.495
0.95,0.76,2.315
0.75,0.8,2.315
0.05,0.67,1.22
0.24,0.53,1.855
0.79,0.25,2.425
0.62,0.88,2.31
0.19,0.54,1.635
0.25,0.72,2.02
0.85,0.85,2.36
0.58,0.15,2.6
0.18,0.37,1.605
0.18,0.32,1.765
0.44,0.77,2.245
0.0,0.26,1.27
0.79,0.81,2.335
0.25,0.28,2.105
0.72,0.63,2.39
0.86,0.52,2.395
0.33,0.46,2.03
0.46,0.74,2.225
0.78,0.22,2.5
0.0,0.22,1.0
0.36,0.1,2.63
0.61,0.94,2.275
0.97,0.87,2.4
0.07,0.24,1.32
0.64,0.94,2.255
0.64,0.07,2.86
0.43,0.56,2.285
0.56,0.83,2.29
0.33,0.86,2.125
1.0,0.87,2.32
0.45,0.44,2.19
0.38,0.84,2.075
0.83,0.45,2.39
0.71,0.14,2.66
0.57,0.61,2.25
0.63,0.16,2.595
0.02,0.15,1.08
0.89,0.26,2.435
0.69,0.58,2.295
0.88,0.07,2.81
0.36,0.05,2.81
0.49,0.21,2.545
0.06,0.81,1.3
0.83,0.06,2.87
0.37,0.56,2.06
0.73,0.11,2.7
0.66,0.42,2.335
0.65,0.54,2.305
0.81,0.51,2.33
0.39,0.68,2.185
0.66,0.69,2.305
0.74,0.41,2.315
0.09,0.67,1.32
0.65,0.16,2.57
0.84,0.99,2.36
0.95,0.99,2.39
0.82,0.13,2.665
0.85,0.87,2.38
0.53,0.7,2.225
0.88,0.39,2.365
0.15,0.13,2.27
0.42,0.43,2.26
0.86,0.9,2.33
0.41,0.42,2.155
0.2,0.02,2.93
0.33,0.41,2.06
0.64,0.86,2.33
0.45,0.75,2.23
0.14,0.3,1.925
0.0,0.62,1.015
0.26,0.6,1.73
0.3,0.38,2.135
0.64,0.37,2.28
0.18,0.17,2.245
0.0,0.08,1.315
0.46,0.06,2.755
0.78,0.42,2.29
0.15,0.64,1.625
0.81,0.72,2.3
0.41,0.39,2.155
0.86,0.91,2.28
0.28,0.02,2.915
0.73,0.92,2.31
0.12,0.64,1.355
0.94,0.52,2.33
0.3,0.04,2.87
0.06,0.2,1.52
0.49,0.02,2.93
0.86,0.61,2.35
0.75,0.26,2.36
0.01,0.95,1.02
0.91,0.35,2.39
0.56,0.38,2.27
0.73,0.7,2.315
0.67,0.12,2.68
0.19,0.64,1.775
0.22,0.95,1.825
0.77,0.08,2.625
0.73,0.75,2.235
