x,y,score
0.46,0.76,2.15275
0.54,0.86,2.30945
0.16,0.19,2.14345
0.61,0.18,3.02585
0.82,0.41,3.693
0.72,0.66,3.1284
0.63,0.37,2.8467
0.41,0.28,2.47175
0.16,0.44,1.72125
0.8,0.33,3.68445
0.84,0.23,4.01765
0.25,0.48,1.92635
0.62,0.7,2.5766
0.78,0.28,3.5705
0.03,0.68,1.1325
0.57,0.0,3.0876
0.69,0.37,3.1058
0.46,0.05,2.88315
0.65,0.03,3.2404
0.56,0.8,2.4342
0.28,0.44,2.03605
0.65,0.0,3.23345
0.57,0.1,3.03105
0.44,0.29,2.5165
0.63,0.49,2.77575
0.26,0.03,2.84645
0.92,0.27,4.43395
0.69,0.35,3.08735
0.79,0.78,3.26415
0.3,0.26,2.3181
0.98,0.54,4.8413
0.25,0.62,1.7723
0.55,0.43,2.5787
0.19,0.06,2.64575
0.14,0.65,1.51745
0.09,0.65,1.3549
0.92,1.0,4.2785
0.51,0.43,2.5265
0.36,0.66,1.98095
0.33,0.92,1.7809
0.01,0.93,1.0252
0.25,0.81,1.67045
0.9,0.46,4.28505
0.3,0.12,2.5874
0.87,0.59,4.0566
0.8,0.75,3.48675
0.93,0.2,4.4723
0.34,0.41,2.1868
0.05,0.48,1.30115
0.9,0.12,4.11095
0.59,0.65,2.63345
0.72,0.62,3.0768
0.29,0.87,1.71935
0.02,0.72,1.0865
0.8,0.35,3.5828
0.09,0.22,1.82585
0.05,0.61,1.24475
0.49,0.38,2.5513
0.62,0.21,2.9158
0.79,0.55,3.34535
0.64,0.52,2.87435
0.17,0.15,2.28605
0.45,0.81,2.05205
0.48,0.8,2.07875
0.51,0.39,2.572
0.62,0.39,2.87665
0.58,0.64,2.55015
0.8,0.62,3.53185
0.6,0.07,3.04505
0.35,0.87,1.84015
0.85,0.83,3.80825
0.96,0.89,4.52615
0.68,0.4,3.0948
0.13,0.15,2.18265
0.14,0.31,1.8804
0.15,0.88,1.41255
0.72,0.97,2.91805
0.56,0.33,2.8166
0.52,0.26,2.7391
0.99,0.97,4.83195
0.9,0.63,4.136
0.31,0.47,2.04285
0.98,0.8,4.76015
0.31,0.34,2.19515
0.22,0.4,1.9565
0.87,0.37,4.0957
0.76,0.43,3.34505
0.79,0.76,3.4806
0.83,0.38,3.7544
0.74,0.12,3.37335
0.68,0.51,3.0244
0.56,0.43,2.62455
0.63,0.01,3.1771
0.45,0.24,2.59505
0.52,0.13,2.87425
0.64,0.47,2.9211
0.51,0.91,2.1803
0.78,0.92,3.3917
0.92,0.54,4.35105
0.75,0.83,3.18005
0.72,0.5,3.01645
0.53,0.74,2.34595
0.82,0.88,3.58275
0.63,0.35,2.9325
0.8,0.56,3.611
0.99,0.8,4.86865
0.69,0.67,2.89315
0.44,0.43,2.3443
0.71,0.62,2.9912
0.63,0.08,3.17285
0.48,0.4,2.4733
0.93,0.51,4.3674
0.65,0.12,3.09725
0.78,0.34,3.31825
0.17,0.41,1.8142
0.59,0.93,2.3263
0.98,0.65,4.8001
0.89,0.49,4.05635
0.09,0.48,1.4486
0.98,0.94,4.7937
0.6,0.72,2.5697
0.74,0.48,3.3917
0.48,0.19,2.7209
0.15,0.11,2.36305
0.86,0.55,3.8422
0.97,0.56,4.66385
1.0,0.64,4.94515
0.43,0.66,2.14815
0.85,0.2,4.0865
0.02,0.64,1.09965
0.26,0.02,2.90395
0.12,0.68,1.43835
0.66,0.15,3.1267
0.75,0.58,3.1573
0.04,0.92,1.1215
0.15,0.58,1.59115
0.4,0.84,2.00345
0.94,0.97,4.43905
0.64,0.08,3.1333
0.08,0.63,1.3314
0.81,0.9,3.35695
0.21,0.79,1.60605
0.21,0.13,2.45525
0.82,0.12,3.8703
0.77,0.84,3.3609
0.76,0.89,3.10765
0.06,0.34,1.4456
0.92,0.45,4.41365
0.41,0.87,1.96805
0.11,0.48,1.5215
0.67,0.53,2.97165
0.36,0.88,1.89475
0.47,0.6,2.2817
0.34,0.03,2.83255
0.79,0.95,3.25995
0.24,0.56,1.81525
0.17,0.32,1.91925
0.59,0.26,2.8777
0.59,0.68,2.6207
1.0,0.57,4.9481
0.63,0.84,2.66
0.72,0.58,2.9742
0.84,0.68,3.91905
0.07,0.87,1.21735
0.71,0.48,3.0968
0.27,0.76,1.7217
0.2,0.43,1.86755
0.25,0.83,1.65875
0.74,0.97,3.1292
0.56,0.06,3.02335
0.77,0.18,3.52475
0.61,0.23,2.99245
0.73,0.56,3.1476
0.4,0.67,2.0953
0.93,0.15,4.48015
0.37,0.3,2.3716
0.89,0.6,4.10865
0.32,0.92,1.73955
0.97,0.95,4.7356
0.96,0.12,4.60945
0.74,0.25,3.40395
0.47,0.92,2.1161
0.13,0.43,1.62695
0.8,0.68,3.50455
0.01,0.53,1.07885
0.69,0.03,3.342
0.73,0.82,3.05855
0.97,0.94,4.62985
0.9,1.0,4.23145
0.08,0.23,1.70975
0.82,0.79,3.6736
0.42,0.46,2.2638
0.62,0.93,2.46805
0.71,0.43,3.10075
0.77,0.04,3.68825
0.97,0.53,4.76635
0.73,0.22,3.32505
0.59,0.14,2.9549
0.5,0.81,2.24135
0.4,1.0,1.8537
0.89,0.12,4.1847
0.05,0.83,1.16205
0.19,0.67,1.61365
0.97,0.93,4.6341
0.69,0.2,3.1592
0.72,0.64,3.06935
0.94,0.47,4.50515
0.81,0.73,3.6023
0.5,0.86,2.1151
0.15,0.5,1.66255
0.45,0.28,2.52945
0.48,0.93,2.1345
0.15,0.25,1.9809
0.32,0.14,2.6016
0.62,0.38,2.83665
0.48,0.51,2.37165
0.61,0.92,2.4869
0.34,0.82,1.8398
0.39,0.43,2.2745
0.89,0.11,4.1496
0.67,0.3,3.0117
0.15,0.26,1.9612
0.72,0.21,3.2957
0.57,0.41,2.78455
0.01,0.09,1.5209
0.55,0.84,2.3182
0.85,0.24,4.09275
0.53,0.07,2.9548
0.81,0.85,3.47215
0.65,0.79,2.6564
0.08,0.01,2.836
0.62,0.24,2.92785
0.28,0.85,1.7035
0.12,0.31,1.7788
0.04,0.88,1.12365
0.25,0.42,1.9763
0.29,0.34,2.15855
0.12,0.75,1.39325
0.16,0.7,1.5239
0.9,0.47,4.2094
0.65,0.01,3.20345
0.44,0.94,1.9661
0.38,0.39,2.28785
0.95,0.84,4.5502
0.31,0.48,2.03205
0.45,0.92,2.085
0.08,0.35,1.5461
0.68,0.89,2.9179
0.99,1.0,4.804
0.61,0.37,2.8738
0.02,0.96,1.04805
0.94,0.0,4.51585
0.71,0.78,2.971
0.09,0.02,2.7717
0.46,0.16,2.68895
0.3,0.07,2.72975
0.94,0.83,4.42885
0.25,0.01,2.87405
0.78,0.53,3.34335
0.24,0.45,1.9155
0.1,0.82,1.31535
0.27,0.33,2.1602
0.89,0.17,4.17015
0.5,0.19,2.7256
0.12,0.89,1.3328
0.57,0.07,3.0482
0.85,0.58,3.86615
0.03,0.67,1.1349
0.79,0.05,3.7091
0.18,0.3,2.01315
0.66,0.43,2.9376
0.41,0.6,2.1248
0.52,0.47,2.47675
0.53,0.05,2.9596
0.51,0.93,2.1624
0.8,0.32,3.5951
0.91,0.77,4.24825
0.57,0.84,2.40355
0.65,0.7,2.71775
0.6,0.23,2.9283
0.11,0.82,1.3457
0.46,1.0,2.08
0.71,0.57,3.1186
0.28,0.08,2.6921
0.2,0.19,2.2801
0.82,0.03,3.92565
0.9,0.83,4.322
0.68,0.02,3.28555
0.1,0.34,1.64585
0.97,0.02,4.73215
0.27,0.01,2.8863
0.84,0.82,3.6568
0.99,0.61,4.87835
0.18,0.48,1.72645
0.18,0.73,1.5582
0.79,0.15,3.66115
0.77,0.93,3.13895
0.58,0.8,2.57145
0.18,0.95,1.4602
0.21,0.71,1.6348
0.98,0.62,4.82375
0.23,0.97,1.5556
0.06,0.16,1.81165
0.53,0.36,2.56395
0.97,0.86,4.7426
0.26,0.42,2.0105
0.81,0.43,3.7404
0.2,0.12,2.45025
0.1,0.57,1.4221
0.15,0.35,1.83555
0.89,0.02,4.26755
0.51,0.7,2.3501
0.57,0.27,2.8552
0.11,0.19,1.99075
0.69,0.41,3.0844
0.68,0.83,2.93635
0.97,0.34,4.68895
0.36,0.11,2.67835
0.53,0.1,2.8912
0.19,0.47,1.79295
0.81,0.31,3.7445
0.66,0.86,2.8661
0.93,0.77,4.45005
0.82,0.05,3.85365
0.88,0.94,3.9088
0.33,0.39,2.20065
0.1,0.68,1.3644
0.84,0.95,3.88935
0.29,0.54,1.9617
0.96,0.41,4.60025
0.89,0.67,4.09545
0.91,0.12,4.2847
0.31,0.86,1.75915
0.11,0.2,1.95265
0.06,0.77,1.2068
0.89,0.59,4.2447
0.01,0.38,1.1198
0.18,0.09,2.50265
0.2,0.72,1.6174
0.56,0.89,2.3735
0.19,0.48,1.77675
0.33,0.63,1.9485
0.86,0.41,4.05535
0.51,0.19,2.762
0.35,0.08,2.74455
0.51,0.69,2.2994
0.68,0.91,2.8248
0.78,0.73,3.315
0.65,0.68,2.72705
0.4,0.44,2.26575
0.02,0.27,1.25805
0.3,0.89,1.72945
0.87,0.99,3.8811
0.95,0.8,4.5279
0.58,0.76,2.4647
0.71,0.86,2.99785
0.44,0.13,2.73645
0.48,0.0,2.9805
0.57,0.63,2.60235
0.59,0.25,2.82625
0.95,0.45,4.52275
0.12,0.04,2.68305
0.21,0.3,2.0603
0.57,0.31,2.82385
0.26,0.94,1.63345
0.55,0.82,2.4467
0.73,0.83,3.03815
0.94,0.28,4.50685
0.74,0.14,3.41905
0.03,0.55,1.1683
0.28,0.81,1.71675
