x,y,score
0.46,0.76,1.965
0.54,0.86,1.89
0.16,0.19,2.345
0.61,0.18,2.365
0.82,0.41,2.27
0.72,0.66,2.13
0.63,0.37,2.29
0.41,0.28,2.3
0.16,0.44,1.625
0.8,0.33,2.385
0.84,0.23,2.44
0.25,0.48,1.84
0.62,0.7,2.08
0.78,0.28,2.29
0.03,0.68,1.17
0.57,0.0,3.0
0.69,0.37,2.335
0.46,0.05,2.78
0.65,0.03,2.865
0.56,0.8,1.945
0.28,0.44,1.915
0.65,0.0,3.0
0.57,0.1,2.765
0.44,0.29,2.365
0.63,0.49,2.14
0.26,0.03,2.88
0.92,0.27,2.49
0.69,0.35,2.375
0.79,0.78,2.21
0.3,0.26,2.225
0.98,0.54,2.295
0.25,0.62,1.655
0.55,0.43,2.125
0.19,0.06,2.79
0.14,0.65,1.375
0.09,0.65,1.37
0.92,1.0,2.22
0.51,0.43,2.07
0.36,0.66,1.865
0.33,0.92,1.765
0.01,0.93,1.02
0.25,0.81,1.47
0.9,0.46,2.45
0.3,0.12,2.67
0.87,0.59,2.27
0.8,0.75,2.07
0.93,0.2,2.57
0.34,0.41,1.965
0.05,0.48,1.42
0.9,0.12,2.675
0.59,0.65,2.105
0.72,0.62,2.145
0.29,0.87,1.645
0.02,0.72,1.095
0.8,0.35,2.39
0.09,0.22,1.63
0.05,0.61,1.265
0.49,0.38,2.155
0.62,0.21,2.52
0.79,0.55,2.23
0.64,0.52,2.005
0.17,0.15,2.58
0.45,0.81,1.825
0.48,0.8,1.86
0.51,0.39,2.17
0.62,0.39,2.185
0.58,0.64,2.025
0.8,0.62,2.15
0.6,0.07,2.805
0.35,0.87,1.77
0.85,0.83,2.23
0.96,0.89,2.245
0.68,0.4,2.285
0.13,0.15,2.47
0.14,0.31,1.75
0.15,0.88,1.49
0.72,0.97,2.105
0.56,0.33,2.265
0.52,0.26,2.405
0.99,0.97,2.31
0.9,0.63,2.335
0.31,0.47,2.015
0.98,0.8,2.31
0.31,0.34,2.1
0.22,0.4,1.85
0.87,0.37,2.19
0.76,0.43,2.33
