x,y,score
0.46,0.76,2.6387
0.54,0.86,2.79935
0.16,0.19,1.6861
0.61,0.18,3.11145
0.82,0.41,3.27255
0.72,0.66,3.1418
0.63,0.37,3.09405
0.41,0.28,2.62595
0.16,0.44,1.6576
0.8,0.33,3.27345
0.84,0.23,3.2864
0.25,0.48,1.98195
0.62,0.7,2.99745
0.78,0.28,3.27165
0.03,0.68,1.1312
0.57,0.0,3.0
0.69,0.37,3.17805
0.46,0.05,2.86865
0.65,0.03,3.0803
0.56,0.8,2.851
0.28,0.44,2.10065
0.65,0.0,3.0
0.57,0.1,3.0465
0.44,0.29,2.6875
0.63,0.49,3.0605
0.26,0.03,2.28715
0.92,0.27,3.30845
0.69,0.35,3.1881
0.79,0.78,3.1438
0.3,0.26,2.20405
0.98,0.54,3.29565
0.25,0.62,1.9715
0.55,0.43,2.9353
0.19,0.06,1.88115
0.14,0.65,1.56445
0.09,0.65,1.36575
0.92,1.0,3.13635
0.51,0.43,2.8422
0.36,0.66,2.3719
0.33,0.92,2.23875
0.01,0.93,1.0356
0.25,0.81,1.99225
0.9,0.46,3.293
0.3,0.12,2.2615
0.87,0.59,3.2447
0.8,0.75,3.1617
0.93,0.2,3.288
0.34,0.41,2.3362
0.05,0.48,1.2023
0.9,0.12,3.2215
0.59,0.65,2.9675
0.72,0.62,3.1516
0.29,0.87,2.09895
0.02,0.72,1.085
0.8,0.35,3.27115
0.09,0.22,1.38835
0.05,0.61,1.2122
0.49,0.38,2.8118
0.62,0.21,3.1322
0.79,0.55,3.2353
0.64,0.52,3.0771
0.17,0.15,1.72575
0.45,0.81,2.59445
0.48,0.8,2.67895
0.51,0.39,2.85925
0.62,0.39,3.0591
0.58,0.64,2.95135
0.8,0.62,3.19985
0.6,0.07,3.08795
0.35,0.87,2.30245
0.85,0.83,3.1688
0.96,0.89,3.1828
0.68,0.4,3.1603
0.13,0.15,1.56805
0.14,0.31,1.5799
0.15,0.88,1.5761
0.72,0.97,3.02915
0.56,0.33,3.0012
0.52,0.26,2.91905
0.99,0.97,3.1638
0.9,0.63,3.2521
0.31,0.47,2.22965
0.98,0.8,3.22
0.31,0.34,2.2381
0.22,0.4,1.87935
0.87,0.37,3.29995
0.76,0.43,3.2465
0.79,0.76,3.1622
0.83,0.38,3.2865
0.74,0.12,3.21
0.68,0.51,3.1221
0.56,0.43,2.95845
0.63,0.01,3.031
0.45,0.24,2.73315
0.52,0.13,2.9604
0.64,0.47,3.08995
0.51,0.91,2.7305
0.78,0.92,3.09015
0.92,0.54,3.28395
0.75,0.83,3.09575
0.72,0.5,3.1797
0.53,0.74,2.80325
0.82,0.88,3.131
0.63,0.35,3.11475
0.8,0.56,3.22845
0.99,0.8,3.22425
0.69,0.67,3.0998
0.44,0.43,2.6386
0.71,0.62,3.13435
0.63,0.08,3.1255
0.48,0.4,2.7761
0.93,0.51,3.2869
0.65,0.12,3.15175
0.78,0.34,3.2646
0.17,0.41,1.69175
0.59,0.93,2.866
0.98,0.65,3.27195
0.89,0.49,3.2865
0.09,0.48,1.38645
0.98,0.94,3.1727
0.6,0.72,2.94135
0.74,0.48,3.1971
0.48,0.19,2.8474
0.15,0.11,1.68905
0.86,0.55,3.25465
0.97,0.56,3.2873
1.0,0.64,3.26995
0.43,0.66,2.5707
0.85,0.2,3.2836
0.02,0.64,1.0887
