x,y,score
0.46,0.76,0.82725
0.54,0.86,0.55615
0.16,0.19,2.4247
0.61,0.18,2.5217
0.82,0.41,1.872
0.72,0.66,1.1519
0.63,0.37,1.96585
0.41,0.28,2.1995
0.16,0.44,1.6999
0.8,0.33,2.1022
0.84,0.23,2.4163
0.25,0.48,1.60715
0.62,0.7,1.002
0.78,0.28,2.2398
0.03,0.68,0.9888
0.57,0.0,3.0326
0.69,0.37,1.985
0.46,0.05,2.87185
0.65,0.03,2.96185
0.56,0.8,0.712
0.28,0.44,1.6927
0.65,0.0,3.043
0.57,0.1,2.7427
0.44,0.29,2.15745
0.63,0.49,1.60465
0.26,0.03,2.8938
0.92,0.27,2.30375
0.69,0.35,2.0396
0.79,0.78,0.8103
0.3,0.26,2.2407
0.98,0.54,1.5352
0.25,0.62,1.20115
0.55,0.43,1.7777
0.19,0.06,2.80005
0.14,0.65,1.08525
0.09,0.65,1.0798
0.92,1.0,0.31255
0.51,0.43,1.7826
0.36,0.66,1.09765
0.33,0.92,0.40035
0.01,0.93,0.5719
0.25,0.81,0.6624
0.9,0.46,1.75285
0.3,0.12,2.64685
0.87,0.59,1.35865
0.8,0.75,0.9043
0.93,0.2,2.53125
0.34,0.41,1.8178
0.05,0.48,1.5578
0.9,0.12,2.7342
0.59,0.65,1.1422
0.72,0.62,1.26085
0.29,0.87,0.4956
0.02,0.72,0.86415
0.8,0.35,2.0558
0.09,0.22,2.31935
0.05,0.61,1.1953
0.49,0.38,1.9053
0.62,0.21,2.433
0.79,0.55,1.4668
0.64,0.52,1.5445
0.17,0.15,2.5451
0.45,0.81,0.69315
0.48,0.8,0.71965
0.51,0.39,1.9206
0.62,0.39,1.9211
0.58,0.64,1.1866
0.8,0.62,1.28895
0.6,0.07,2.8372
0.35,0.87,0.5157
0.85,0.83,0.6799
0.96,0.89,0.5418
0.68,0.4,1.8895
0.13,0.15,2.53205
0.14,0.31,2.0742
0.15,0.88,0.47035
0.72,0.97,0.3279
0.56,0.33,2.0804
0.52,0.26,2.27645
0.99,0.97,0.35705
0.9,0.63,1.2716
0.31,0.47,1.6288
0.98,0.8,0.79225
0.31,0.34,2.0227
0.22,0.4,1.80965
0.87,0.37,2.00595
0.76,0.43,1.8185
0.79,0.76,0.87435
0.83,0.38,1.98545
0.74,0.12,2.71455
0.68,0.51,1.5792
0.56,0.43,1.7956
0.63,0.01,3.0109
0.45,0.24,2.32585
0.52,0.13,2.6616
0.64,0.47,1.67975
0.51,0.91,0.4294
0.78,0.92,0.4393
0.92,0.54,1.5101
0.75,0.83,0.6768
0.72,0.5,1.5976
0.53,0.74,0.8985
