x,y,score
0.0,0.0,2.6732500000000003
0.0,0.01,2.64725
0.0,0.02,2.629
0.0,0.03,2.60625
0.0,0.04,2.5825000000000005
0.0,0.05,2.5625
0.0,0.06,2.5307500000000003
0.0,0.07,2.53275
0.0,0.08,2.4715
0.0,0.09,2.4684999999999997
0.0,0.1,2.4464999999999995
0.0,0.11,2.4229999999999996
0.0,0.12,2.3884999999999996
0.0,0.13,2.4037499999999996
0.0,0.14,2.339
0.0,0.15,2.342
0.0,0.16,2.2849999999999997
0.0,0.17,2.2439999999999998
0.0,0.18,2.268
0.0,0.19,2.2697499999999997
0.0,0.2,2.2209999999999996
0.0,0.21,2.19625
0.0,0.22,2.16125
0.0,0.23,2.16775
0.0,0.24,2.1174999999999997
0.0,0.25,2.10975
0.0,0.26,2.082
0.0,0.27,2.06625
0.0,0.28,2.0407500000000005
0.0,0.29,2.0289999999999995
0.0,0.3,1.9625
0.0,0.31,1.9425000000000001
0.0,0.32,1.9715
0.0,0.33,1.8739999999999999
0.0,0.34,1.8517500000000002
0.0,0.35000000000000003,1.8387499999999999
0.0,0.36,1.8852500000000003
0.0,0.37,1.8097500000000004
0.0,0.38,1.826
0.0,0.39,1.7730000000000001
0.0,0.4,1.7614999999999998
0.0,0.41000000000000003,1.7079999999999997
0.0,0.42,1.73075
0.0,0.43,1.6942499999999998
0.0,0.44,1.67075
0.0,0.45,1.6032500000000003
0.0,0.46,1.5845
0.0,0.47000000000000003,1.6019999999999999
0.0,0.48,1.5922500000000002
0.0,0.49,1.5367499999999998
0.0,0.5,1.48925
0.0,0.51,1.4752500000000002
0.0,0.52,1.4495
0.0,0.53,1.425
0.0,0.54,1.3944999999999999
0.0,0.55,1.35625
0.0,0.56,1.3560000000000003
0.0,0.5700000000000001,1.3715000000000004
0.0,0.58,1.299
0.0,0.59,1.25725
0.0,0.6,1.2229999999999999
0.0,0.61,1.2157499999999999
0.0,0.62,1.1655
0.0,0.63,1.17025
0.0,0.64,1.16425
0.0,0.65,1.096
0.0,0.66,1.1119999999999997
0.0,0.67,1.08375
0.0,0.68,1.0407499999999998
0.0,0.6900000000000001,0.9964999999999999
0.0,0.7000000000000001,1.009
0.0,0.71,0.9887499999999999
0.0,0.72,0.9344999999999999
0.0,0.73,0.8602500000000001
0.0,0.74,0.8700000000000001
0.0,0.75,0.85225
0.0,0.76,0.8227500000000001
0.0,0.77,0.7762499999999999
0.0,0.78,0.761
0.0,0.79,0.7515
0.0,0.8,0.7175
0.0,0.81,0.6907500000000001
0.0,0.8200000000000001,0.64625
0.0,0.8300000000000001,0.5760000000000001
0.0,0.84,0.5832499999999999
0.0,0.85,0.5112500000000001
0.0,0.86,0.48100000000000004
0.0,0.87,0.472
0.0,0.88,0.44375
0.0,0.89,0.43574999999999997
0.0,0.9,0.3682500000000001
0.0,0.91,0.32925000000000004
0.0,0.92,0.302
0.0,0.93,0.27025
0.0,0.9400000000000001,0.2505
0.0,0.9500000000000001,0.19175000000000003
0.0,0.96,0.17875000000000002
0.0,0.97,0.12974999999999998
0.0,0.98,0.073
0.0,0.99,0.038000000000000006
0.0,1.0,0.0035000000000000005
0.01,0.0,2.6725000000000003
0.01,0.01,2.6675000000000004
0.01,0.02,2.6212500000000003
0.01,0.03,2.61725
0.01,0.04,2.58625
0.01,0.05,2.566
0.01,0.06,2.5309999999999997
0.01,0.07,2.5330000000000004
0.01,0.08,2.48925
0.01,0.09,2.4857499999999995
0.01,0.1,2.45125
0.01,0.11,2.4210000000000003
0.01,0.12,2.4245
0.01,0.13,2.37275
0.01,0.14,2.3819999999999997
0.01,0.15,2.3125000000000004
0.01,0.16,2.3282499999999997
0.01,0.17,2.2950000000000004
0.01,0.18,2.28675
0.01,0.19,2.2335000000000003
0.01,0.2,2.224
0.01,0.21,2.22925
0.01,0.22,2.199
0.01,0.23,2.1605
0.01,0.24,2.1595000000000004
0.01,0.25,2.08725
0.01,0.26,2.065
0.01,0.27,2.0715000000000003
0.01,0.28,2.0460000000000003
0.01,0.29,2.0162500000000003
0.01,0.3,2.0
0.01,0.31,1.95825
0.01,0.32,1.9530000000000005
0.01,0.33,1.9287500000000002
0.01,0.34,1.89125
0.01,0.35000000000000003,1.8387500000000003
0.01,0.36,1.85625
0.01,0.37,1.83275
0.01,0.38,1.79575
0.01,0.39,1.7890000000000001
0.01,0.4,1.7865000000000006
0.01,0.41000000000000003,1.7145000000000004
0.01,0.42,1.6912499999999997
0.01,0.43,1.703
0.01,0.44,1.6822499999999998
0.01,0.45,1.654
0.01,0.46,1.62775
0.01,0.47000000000000003,1.5677500000000002
0.01,0.48,1.5790000000000002
0.01,0.49,1.50175
0.01,0.5,1.4897500000000001
0.01,0.51,1.48075
0.01,0.52,1.461
0.01,0.53,1.4555
0.01,0.54,1.3989999999999998
0.01,0.55,1.3647500000000001
0.01,0.56,1.371
0.01,0.5700000000000001,1.3565
0.01,0.58,1.30325
0.01,0.59,1.2734999999999999
0.01,0.6,1.25725
0.01,0.61,1.21975
0.01,0.62,1.2099999999999997
0.01,0.63,1.1397499999999998
0.01,0.64,1.17925
0.01,0.65,1.1377500000000003
0.01,0.66,1.0340000000000003
0.01,0.67,1.07275
0.01,0.68,1.0337500000000002
0.01,0.6900000000000001,1.025
0.01,0.7000000000000001,0.9922500000000001
0.01,0.71,0.9885000000000002
0.01,0.72,0.9359999999999999
0.01,0.73,0.9022500000000001
0.01,0.74,0.906
0.01,0.75,0.8057500000000001
0.01,0.76,0.7845
0.01,0.77,0.7985
0.01,0.78,0.78225
0.01,0.79,0.71025
0.01,0.8,0.7475
0.01,0.81,0.64125
0.01,0.8200000000000001,0.6592499999999999
0.01,0.8300000000000001,0.5984999999999999
0.01,0.84,0.5445
0.01,0.85,0.55325
0.01,0.86,0.5215
0.01,0.87,0.48424999999999996
0.01,0.88,0.4605
0.01,0.89,0.42600000000000005
0.01,0.9,0.38575
0.01,0.91,0.33675
0.01,0.92,0.321
0.01,0.93,0.26425
0.01,0.9400000000000001,0.23524999999999996
0.01,0.9500000000000001,0.18075000000000002
0.01,0.96,0.1705
0.01,0.97,0.10725
0.01,0.98,0.09425000000000001
0.01,0.99,0.06
0.01,1.0,0.00275
0.02,0.0,2.6845
0.02,0.01,2.6712499999999997
0.02,0.02,2.6385
0.02,0.03,2.6219999999999994
0.02,0.04,2.5992500000000005
0.02,0.05,2.5772500000000003
0.02,0.06,2.5285
0.02,0.07,2.5307500000000003
0.02,0.08,2.50625
0.02,0.09,2.49
0.02,0.1,2.4472500000000004
0.02,0.11,2.4495
0.02,0.12,2.4305000000000003
0.02,0.13,2.377
0.02,0.14,2.3537499999999993
0.02,0.15,2.3307499999999997
0.02,0.16,2.3095
0.02,0.17,2.3277500000000004
0.02,0.18,2.2835
0.02,0.19,2.26025
0.02,0.2,2.2385
0.02,0.21,2.19625
0.02,0.22,2.18025
0.02,0.23,2.1642500000000005
0.02,0.24,2.1677500000000003
0.02,0.25,2.1172500000000003
0.02,0.26,2.07875
0.02,0.27,2.0835
0.02,0.28,2.0497500000000004
0.02,0.29,2.0629999999999997
0.02,0.3,2.0035000000000003
0.02,0.31,1.9994999999999998
0.02,0.32,1.9772500000000002
0.02,0.33,1.93825
0.02,0.34,1.93125
0.02,0.35000000000000003,1.8905
0.02,0.36,1.874
0.02,0.37,1.825
0.02,0.38,1.78375
0.02,0.39,1.8039999999999998
0.02,0.4,1.77575
0.02,0.41000000000000003,1.7625
0.02,0.42,1.717
0.02,0.43,1.69725
0.02,0.44,1.70325
0.02,0.45,1.6047499999999997
0.02,0.46,1.6149999999999998
0.02,0.47000000000000003,1.5764999999999998
0.02,0.48,1.63675
0.02,0.49,1.5177500000000002
0.02,0.5,1.509
0.02,0.51,1.522
0.02,0.52,1.45075
0.02,0.53,1.4439999999999997
0.02,0.54,1.43725
0.02,0.55,1.3880000000000003
0.02,0.56,1.3537499999999998
0.02,0.5700000000000001,1.367
0.02,0.58,1.29375
0.02,0.59,1.2745000000000002
0.02,0.6,1.24925
0.02,0.61,1.2535
0.02,0.62,1.22025
0.02,0.63,1.194
0.02,0.64,1.1852500000000001
0.02,0.65,1.1295000000000002
0.02,0.66,1.04125
0.02,0.67,1.1025
0.02,0.68,1.0430000000000001
0.02,0.6900000000000001,1.032
0.02,0.7000000000000001,1.04275
0.02,0.71,0.9654999999999999
0.02,0.72,0.9287499999999997
0.02,0.73,0.9037500000000002
0.02,0.74,0.841
0.02,0.75,0.8639999999999999
0.02,0.76,0.79025
0.02,0.77,0.7902499999999999
0.02,0.78,0.7427500000000001
0.02,0.79,0.7190000000000001
0.02,0.8,0.7169999999999999
0.02,0.81,0.64625
0.02,0.8200000000000001,0.6170000000000002
0.02,0.8300000000000001,0.609
0.02,0.84,0.5309999999999999
0.02,0.85,0.5635
0.02,0.86,0.54
0.02,0.87,0.51075
0.02,0.88,0.45999999999999996
0.02,0.89,0.41525
0.02,0.9,0.37249999999999994
0.02,0.91,0.32399999999999995
0.02,0.92,0.33725000000000005
0.02,0.93,0.27049999999999996
0.02,0.9400000000000001,0.25175000000000003
0.02,0.9500000000000001,0.1935
0.02,0.96,0.1625
0.02,0.97,0.13225
0.02,0.98,0.09924999999999999
0.02,0.99,0.035250000000000004
0.02,1.0,0.0015
0.03,0.0,2.69825
0.03,0.01,2.6750000000000003
0.03,0.02,2.6502499999999998
0.03,0.03,2.61725
0.03,0.04,2.60275
0.03,0.05,2.5875
0.03,0.06,2.5732500000000003
0.03,0.07,2.524
0.03,0.08,2.5125
0.03,0.09,2.4925
0.03,0.1,2.47525
0.03,0.11,2.43525
0.03,0.12,2.4165
0.03,0.13,2.429
0.03,0.14,2.3674999999999997
0.03,0.15,2.3775
0.03,0.16,2.35325
0.03,0.17,2.3400000000000003
0.03,0.18,2.3185
0.03,0.19,2.253
0.03,0.2,2.2565
0.03,0.21,2.2319999999999998
0.03,0.22,2.1862500000000002
0.03,0.23,2.1469999999999994
0.03,0.24,2.189
0.03,0.25,2.1075
0.03,0.26,2.082
0.03,0.27,2.0780000000000003
0.03,0.28,2.0755
0.03,0.29,1.9887500000000002
0.03,0.3,1.9989999999999999
0.03,0.31,2.0039999999999996
0.03,0.32,1.957
0.03,0.33,1.9005000000000003
0.03,0.34,1.8987500000000004
0.03,0.35000000000000003,1.8785000000000003
0.03,0.36,1.907
0.03,0.37,1.8482500000000002
0.03,0.38,1.8035
0.03,0.39,1.80075
0.03,0.4,1.7709999999999997
0.03,0.41000000000000003,1.7355
0.03,0.42,1.7454999999999998
0.03,0.43,1.69875
0.03,0.44,1.6767500000000002
0.03,0.45,1.6380000000000003
0.03,0.46,1.6182500000000002
0.03,0.47000000000000003,1.6342500000000002
0.03,0.48,1.5605
0.03,0.49,1.5532499999999998
0.03,0.5,1.5270000000000001
0.03,0.51,1.4814999999999998
0.03,0.52,1.4572500000000002
0.03,0.53,1.4692499999999997
0.03,0.54,1.4615
0.03,0.55,1.3764999999999996
0.03,0.56,1.4289999999999998
0.03,0.5700000000000001,1.33925
0.03,0.58,1.31775
0.03,0.59,1.3105
0.03,0.6,1.2849999999999997
0.03,0.61,1.2135000000000002
0.03,0.62,1.21375
0.03,0.63,1.1960000000000002
0.03,0.64,1.1560000000000001
0.03,0.65,1.144
0.03,0.66,1.1015000000000001
0.03,0.67,1.09325
0.03,0.68,1.0670000000000002
0.03,0.6900000000000001,1.07225
0.03,0.7000000000000001,1.0114999999999998
0.03,0.71,0.9817499999999999
0.03,0.72,0.9434999999999999
0.03,0.73,0.9187500000000002
0.03,0.74,0.88575
0.03,0.75,0.8832500000000001
0.03,0.76,0.8472500000000001
0.03,0.77,0.8227500000000001
0.03,0.78,0.75275
0.03,0.79,0.695
0.03,0.8,0.68175
0.03,0.81,0.6642499999999999
0.03,0.8200000000000001,0.67
0.03,0.8300000000000001,0.6280000000000001
0.03,0.84,0.5940000000000001
0.03,0.85,0.5465
0.03,0.86,0.5265000000000001
0.03,0.87,0.45525000000000004
0.03,0.88,0.44300000000000006
0.03,0.89,0.42024999999999996
0.03,0.9,0.36574999999999996
0.03,0.91,0.331
0.03,0.92,0.2925
0.03,0.93,0.24874999999999997
0.03,0.9400000000000001,0.22275
0.03,0.9500000000000001,0.18650000000000003
0.03,0.96,0.16025000000000003
0.03,0.97,0.125
0.03,0.98,0.099
0.03,0.99,0.0415
0.03,1.0,0.00225
0.04,0.0,2.707
0.04,0.01,2.688
0.04,0.02,2.6754999999999995
0.04,0.03,2.6377499999999996
0.04,0.04,2.6224999999999996
0.04,0.05,2.5995
0.04,0.06,2.5497499999999995
0.04,0.07,2.55
0.04,0.08,2.51025
0.04,0.09,2.4912500000000004
0.04,0.1,2.461
0.04,0.11,2.42875
0.04,0.12,2.4212499999999997
0.04,0.13,2.420749999999999
0.04,0.14,2.381
0.04,0.15,2.33975
0.04,0.16,2.32375
0.04,0.17,2.293
0.04,0.18,2.2907499999999996
0.04,0.19,2.2627500000000005
0.04,0.2,2.2390000000000003
0.04,0.21,2.22275
0.04,0.22,2.22525
0.04,0.23,2.1730000000000005
0.04,0.24,2.1670000000000003
0.04,0.25,2.14575
0.04,0.26,2.1185
0.04,0.27,2.1227500000000004
0.04,0.28,2.0452500000000002
0.04,0.29,1.9989999999999999
0.04,0.3,1.99025
0.04,0.31,2.0012499999999998
0.04,0.32,1.9842499999999998
0.04,0.33,1.9602499999999998
0.04,0.34,1.9494999999999998
0.04,0.35000000000000003,1.90625
0.04,0.36,1.8695
0.04,0.37,1.8705000000000003
0.04,0.38,1.8177500000000002
0.04,0.39,1.8125
0.04,0.4,1.7724999999999997
0.04,0.41000000000000003,1.7690000000000001
0.04,0.42,1.7267499999999998
0.04,0.43,1.7557500000000001
0.04,0.44,1.6784999999999997
0.04,0.45,1.6285000000000003
0.04,0.46,1.6244999999999998
0.04,0.47000000000000003,1.59625
0.04,0.48,1.5945
0.04,0.49,1.5747499999999999
0.04,0.5,1.5557500000000002
0.04,0.51,1.51325
0.04,0.52,1.4705
0.04,0.53,1.43575
0.04,0.54,1.4412500000000001
0.04,0.55,1.4400000000000002
0.04,0.56,1.3592499999999998
0.04,0.5700000000000001,1.36375
0.04,0.58,1.3175
0.04,0.59,1.2745
